INT	INT	INT	STRING	STRING
10086	48	30	接到了新任务，就是打败你	t_qiyutiaozhan_205
10087	48	30	我眼中的花朵又印出了你的脸庞	t_qiyutiaozhan_206
10088	49	30	让我看看你的自保能力有多强吧	t_qiyutiaozhan_500
10089	49	30	我才不会告诉你我是来找你玩的呢	t_qiyutiaozhan_207
10090	49	30	好想吃东西，不过要先运动下	t_qiyutiaozhan_208
10091	50	30	我分分钟几十万上下没空陪你训练	t_qiyutiaozhan_209
10092	50	30	你敢不敢接受魔女的挑战呢	t_qiyutiaozhan_211
10093	50	30	这次也要鼓足干劲上了哦	t_qiyutiaozhan_212
10094	51	30	就喜欢看你惊慌失措的样子，嘻嘻	t_qiyutiaozhan_501
10095	51	30	是时候展现你真正的实力了	t_qiyutiaozhan_202
10096	51	30	这次我一定要打败你，等着瞧	t_qiyutiaozhan_203
10097	52	30	瞄准完毕，准备射击	t_qiyutiaozhan_204
10098	52	30	接到了新任务，就是打败你	t_qiyutiaozhan_205
10099	52	30	我眼中的花朵又印出了你的脸庞	t_qiyutiaozhan_206
10100	53	30	准备好被我的热情点燃了吗	t_qiyutiaozhan_404
10101	53	35	我才不会告诉你我是来找你玩的呢	t_qiyutiaozhan_207
10102	53	35	好想吃东西，不过要先运动下	t_qiyutiaozhan_208
10103	54	35	我分分钟几十万上下没空陪你训练	t_qiyutiaozhan_209
10104	54	35	你敢不敢接受魔女的挑战呢	t_qiyutiaozhan_211
10105	54	35	这次也要鼓足干劲上了哦	t_qiyutiaozhan_212
10106	55	35	不自量力，看我怎么收拾你	t_qiyutiaozhan_402
10107	55	35	你身为一个男人到底行不行啊	t_qiyutiaozhan_201
10108	55	35	让我看看你的自保能力有多强吧	t_qiyutiaozhan_500
10109	56	35	就喜欢看你惊慌失措的样子，嘻嘻	t_qiyutiaozhan_501
10110	56	35	这次我一定要打败你，等着瞧	t_qiyutiaozhan_203
10111	56	35	瞄准完毕，准备射击	t_qiyutiaozhan_204
10112	57	35	接到了新任务，就是打败你	t_qiyutiaozhan_205
10113	57	35	我眼中的花朵又印出了你的脸庞	t_qiyutiaozhan_206
10114	57	35	我才不会告诉你我是来找你玩的呢	t_qiyutiaozhan_207
10115	58	35	好想吃东西，不过要先运动下	t_qiyutiaozhan_208
10116	58	35	我分分钟几十万上下没空陪你训练	t_qiyutiaozhan_209
10117	58	35	你敢不敢接受魔女的挑战呢	t_qiyutiaozhan_211
10118	59	35	这次也要鼓足干劲上了哦	t_qiyutiaozhan_212
10119	59	35	不自量力，看我怎么收拾你	t_qiyutiaozhan_402
10120	59	35	你身为一个男人到底行不行啊	t_qiyutiaozhan_201
10121	60	40	这次我一定要打败你，等着瞧	t_qiyutiaozhan_203
10122	60	40	瞄准完毕，准备射击	t_qiyutiaozhan_204
10123	60	40	接到了新任务，就是打败你	t_qiyutiaozhan_205
10124	61	40	我眼中的花朵又印出了你的脸庞	t_qiyutiaozhan_206
10125	61	40	让我看看你的自保能力有多强吧	t_qiyutiaozhan_500
10126	61	40	我才不会告诉你我是来找你玩的呢	t_qiyutiaozhan_207
10127	62	40	好想吃东西，不过要先运动下	t_qiyutiaozhan_208
10128	62	40	我分分钟几十万上下没空陪你训练	t_qiyutiaozhan_209
10129	62	40	你敢不敢接受魔女的挑战呢	t_qiyutiaozhan_211
10130	63	40	这次也要鼓足干劲上了哦	t_qiyutiaozhan_212
10131	63	40	就喜欢看你惊慌失措的样子，嘻嘻	t_qiyutiaozhan_501
10132	63	40	是时候展现你真正的实力了	t_qiyutiaozhan_202
10133	64	40	这次我一定要打败你，等着瞧	t_qiyutiaozhan_203
10134	64	40	瞄准完毕，准备射击	t_qiyutiaozhan_204
10135	64	40	接到了新任务，就是打败你	t_qiyutiaozhan_205
10136	65	40	我眼中的花朵又印出了你的脸庞	t_qiyutiaozhan_206
10137	65	40	准备好被我的热情点燃了吗	t_qiyutiaozhan_404
10138	65	40	我才不会告诉你我是来找你玩的呢	t_qiyutiaozhan_207
10139	66	40	好想吃东西，不过要先运动下	t_qiyutiaozhan_208
10140	66	40	我分分钟几十万上下没空陪你训练	t_qiyutiaozhan_209
10141	66	45	你敢不敢接受魔女的挑战呢	t_qiyutiaozhan_211
10142	67	45	这次也要鼓足干劲上了哦	t_qiyutiaozhan_212
10143	67	45	就喜欢看你惊慌失措的样子，嘻嘻	t_qiyutiaozhan_501
10144	67	45	是时候展现你真正的实力了	t_qiyutiaozhan_202
10145	68	45	这次我一定要打败你，等着瞧	t_qiyutiaozhan_203
