INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3004053	女神答题	t_manyou_qiyu_3004053	3004	5301	5302	5303	1	5	300	0								
3004054	女神答题	t_manyou_qiyu_3004054	3004	5401	5402	5403	1	21	300	0								
3004055	女神答题	t_manyou_qiyu_3004055	3004	5501	5502	5503	1	5	300	0								
3004056	女神答题	t_manyou_qiyu_3004056	3004	5601	5602	5603	1	21	300	0								
3004057	女神答题	t_manyou_qiyu_3004057	3004	5701	5702	5703	1	5	300	0								
3004058	女神答题	t_manyou_qiyu_3004058	3004	5801	5802	5803	1	21	300	0								
3004059	女神答题	t_manyou_qiyu_3004059	3004	5901	5902	5903	1	5	300	0								
3004060	女神答题	t_manyou_qiyu_3004060	3004	6001	6002	6003	1	21	300	0								
3004061	女神答题	t_manyou_qiyu_3004061	3004	6101	6102	6103	1	5	300	0								
3004062	女神答题	t_manyou_qiyu_3004062	3004	6201	6202	6203	1	21	300	0								
3004063	女神答题	t_manyou_qiyu_3004063	3004	6301	6302	6303	1	5	300	0								
3004064	女神答题	t_manyou_qiyu_3004064	3004	6401	6402	6403	1	21	300	0								
3004065	女神答题	t_manyou_qiyu_3004065	3004	6501	6502	6503	1	5	300	0								
3004066	女神答题	t_manyou_qiyu_3004066	3004	6601	6602	6603	1	21	300	0								
3004067	女神答题	t_manyou_qiyu_3004067	3004	6701	6702	6703	1	5	300	0								
3004068	女神答题	t_manyou_qiyu_3004068	3004	6801	6802	6803	1	21	300	0								
3004069	女神答题	t_manyou_qiyu_3004069	3004	6901	6902	6903	1	5	300	0								
3004070	女神答题	t_manyou_qiyu_3004070	3004	7001	7002	7003	1	21	300	0								
3004071	女神答题	t_manyou_qiyu_3004071	3004	7101	7102	7103	1	5	300	0								
3004072	女神答题	t_manyou_qiyu_3004072	3004	7201	7202	7203	1	21	300	0								
3004073	女神答题	t_manyou_qiyu_3004073	3004	7301	7302	7303	1	5	300	0								
3004074	女神答题	t_manyou_qiyu_3004074	3004	7401	7402	7403	1	21	300	0								
3004075	女神答题	t_manyou_qiyu_3004075	3004	7501	7502	7503	1	5	300	0								
3004076	女神答题	t_manyou_qiyu_3004076	3004	7601	7602	7603	1	21	300	0								
3004077	女神答题	t_manyou_qiyu_3004077	3004	7701	7702	7703	1	5	300	0								
3004078	女神答题	t_manyou_qiyu_3004078	3004	7801	7802	7803	1	21	300	0								
3004079	女神答题	t_manyou_qiyu_3004079	3004	7901	7902	7903	1	5	300	0								
3004080	女神答题	t_manyou_qiyu_3004080	3004	8001	8002	8003	1	21	300	0								
3004081	女神答题	t_manyou_qiyu_3004081	3004	8101	8102	8103	1	5	300	0								
3004082	女神答题	t_manyou_qiyu_3004082	3004	8201	8202	8203	1	21	300	0								
3004083	女神答题	t_manyou_qiyu_3004083	3004	8301	8302	8303	1	5	300	0								
3004084	女神答题	t_manyou_qiyu_3004084	3004	8401	8402	8403	1	21	300	0								
3004085	女神答题	t_manyou_qiyu_3004085	3004	8501	8502	8503	1	5	300	0								
3004086	女神答题	t_manyou_qiyu_3004086	3004	8601	8602	8603	1	21	300	0								
3004087	女神答题	t_manyou_qiyu_3004087	3004	8701	8702	8703	1	5	300	0								
3004088	女神答题	t_manyou_qiyu_3004088	3004	8801	8802	8803	1	21	300	0								
3004089	女神答题	t_manyou_qiyu_3004089	3004	8901	8902	8903	1	5	300	0								
3004090	女神答题	t_manyou_qiyu_3004090	3004	9001	9002	9003	1	21	300	0								
3004091	女神答题	t_manyou_qiyu_3004091	3004	9101	9102	9103	1	5	300	0								
3004092	女神答题	t_manyou_qiyu_3004092	3004	9201	9202	9203	1	21	300	0								
3004093	女神答题	t_manyou_qiyu_3004093	3004	9301	9302	9303	1	5	300	0								
3004094	女神答题	t_manyou_qiyu_3004094	3004	9401	9402	9403	1	21	300	0								
3004095	女神答题	t_manyou_qiyu_3004095	3004	9501	9502	9503	1	5	300	0								
3004096	女神答题	t_manyou_qiyu_3004096	3004	9601	9602	9603	1	21	300	0								
3004097	女神答题	t_manyou_qiyu_3004097	3004	9701	9702	9703	1	5	300	0								
3004098	女神答题	t_manyou_qiyu_3004098	3004	9801	9802	9803	1	21	300	0								
3004099	女神答题	t_manyou_qiyu_3004099	3004	9901	9902	9903	1	5	300	0								
3004100	女神答题	t_manyou_qiyu_3004100	3004	10001	10002	10003	1	21	300	0								
3005001	单笔充值30元	t_manyou_qiyu_3005001	3005	120			1	2	688	0	2	10010002	6	0	2	10010007	6	0
3005002	单笔充值98元	t_manyou_qiyu_3005002	3005	100			1	2	1988	0	2	10010002	20	0	2	10010007	20	0
