INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	STRING	STRING
27	50270011	50270012	50270012	50270012	50270012	800	40	3426010	50270021	50270022	50270022	50270022	50270022	1600	80	5623297	50270031	50270032	50270032	50270032	50270032	2400	120	9219174	3	1	我方死亡人数不超过1人	t_ttt_target_27	t_ttt_dialog_27
28	50280011	50280012	50280012	50280012	50280012	800	40	3248516	50280021	50280022	50280022	50280022	50280022	1600	80	5724964	50280031	50280032	50280032	50280032	50280032	2400	120	10012577	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_28	t_ttt_dialog_28
29	50290011	50290012	50290012	50290012	50290012	800	40	3496955	50290021	50290022	50290022	50290022	50290022	1600	80	6203154	50290031	50290032	50290032	50290032	50290032	2400	120	10677945	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_29	t_ttt_dialog_29
30	50300011	50300012	50300012	50300012	50300012	800	40	4495672	50300021	50300022	50300022	50300022	50300022	1600	80	7815191	50300031	50300032	50300032	50300032	50300032	2400	120	13243383	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_30	t_ttt_dialog_30
31	50310011	50310012	50310012	50310012	50310012	800	40	4602305	50310021	50310022	50310022	50310022	50310022	1600	80	8069207	50310031	50310032	50310032	50310032	50310032	2400	120	13198949	2	4	4回合内消灭全部敌人	t_ttt_target_31	t_ttt_dialog_31
32	50320011	50320012	50320012	50320012	50320012	800	40	4583035	50320021	50320022	50320022	50320022	50320022	1600	80	8667834	50320031	50320032	50320032	50320032	50320032	2400	120	14729750	2	4	4回合内消灭全部敌人	t_ttt_target_32	t_ttt_dialog_32
33	50330011	50330012	50330012	50330012	50330012	800	40	5400160	50330021	50330022	50330022	50330022	50330022	1600	80	10217066	50330031	50330032	50330032	50330032	50330032	2400	120	17236941	2	4	4回合内消灭全部敌人	t_ttt_target_33	t_ttt_dialog_33
34	50340011	50340012	50340012	50340012	50340012	800	40	7067899	50340021	50340022	50340022	50340022	50340022	1600	80	12648261	50340031	50340032	50340032	50340032	50340032	2400	120	21605372	3	0	我方全员存活	t_ttt_target_34	t_ttt_dialog_34
35	50350011	50350012	50350012	50350012	50350012	800	40	8473368	50350021	50350022	50350022	50350022	50350022	1600	80	14624674	50350031	50350032	50350032	50350032	50350032	2400	120	24614502	3	0	我方全员存活	t_ttt_target_35	t_ttt_dialog_35
36	50360011	50360012	50360012	50360012	50360012	800	40	7902766	50360021	50360022	50360022	50360022	50360022	1600	80	14378789	50360031	50360032	50360032	50360032	50360032	2400	120	25362803	3	0	我方全员存活	t_ttt_target_36	t_ttt_dialog_36
37	50370011	50370012	50370012	50370012	50370012	800	40	8909034	50370021	50370022	50370022	50370022	50370022	1600	80	16367401	50370031	50370032	50370032	50370032	50370032	2400	120	27995775	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_37	t_ttt_dialog_37
38	50380011	50380012	50380012	50380012	50380012	800	40	11480043	50380021	50380022	50380022	50380022	50380022	1600	80	20601664	50380031	50380032	50380032	50380032	50380032	2400	120	34986517	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_38	t_ttt_dialog_38
39	50390011	50390012	50390012	50390012	50390012	800	40	11092428	50390021	50390022	50390022	50390022	50390022	1600	80	19895624	50390031	50390032	50390032	50390032	50390032	2400	120	32981589	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_39	t_ttt_dialog_39
40	50400011	50400012	50400012	50400012	50400012	800	40	13397805	50400021	50400022	50400022	50400022	50400022	1600	80	25224097	50400031	50400032	50400032	50400032	50400032	2400	120	43237351	2	4	4回合内消灭全部敌人	t_ttt_target_40	t_ttt_dialog_40
41	50410011	50410012	50410012	50410012	50410012	800	40	15871781	50410021	50410022	50410022	50410022	50410022	1600	80	29525845	50410031	50410032	50410032	50410032	50410032	2400	120	49474288	2	4	4回合内消灭全部敌人	t_ttt_target_41	t_ttt_dialog_41
42	50420011	50420012	50420012	50420012	50420012	800	40	16970801	50420021	50420022	50420022	50420022	50420022	1600	80	31376532	50420031	50420032	50420032	50420032	50420032	2400	120	51280419	2	4	4回合内消灭全部敌人	t_ttt_target_42	t_ttt_dialog_42
43	50430011	50430012	50430012	50430012	50430012	800	40	17872024	50430021	50430022	50430022	50430022	50430022	1600	80	32286542	50430031	50430032	50430032	50430032	50430032	2400	120	50724080	3	0	我方全员存活	t_ttt_target_43	t_ttt_dialog_43
44	50440011	50440012	50440012	50440012	50440012	800	40	19707405	50440021	50440022	50440022	50440022	50440022	1600	80	37112214	50440031	50440032	50440032	50440032	50440032	2400	120	60293086	3	0	我方全员存活	t_ttt_target_44	t_ttt_dialog_44
45	50450011	50450012	50450012	50450012	50450012	800	40	21993216	50450021	50450022	50450022	50450022	50450022	1600	80	40507792	50450031	50450032	50450032	50450032	50450032	2400	120	64143832	3	0	我方全员存活	t_ttt_target_45	t_ttt_dialog_45
46	50460011	50460012	50460012	50460012	50460012	800	40	24468063	50460021	50460022	50460022	50460022	50460022	1600	80	44211131	50460031	50460032	50460032	50460032	50460032	2400	120	68840699	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_46	t_ttt_dialog_46
47	50470011	50470012	50470012	50470012	50470012	800	40	25281287	50470021	50470022	50470022	50470022	50470022	1600	80	44602272	50470031	50470032	50470032	50470032	50470032	2400	120	68533429	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_47	t_ttt_dialog_47
48	50480011	50480012	50480012	50480012	50480012	800	40	29190280	50480021	50480022	50480022	50480022	50480022	1600	80	53127413	50480031	50480032	50480032	50480032	50480032	2400	120	84310370	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_48	t_ttt_dialog_48
49	50490011	50490012	50490012	50490012	50490012	800	40	31551595	50490021	50490022	50490022	50490022	50490022	1600	80	55260393	50490031	50490032	50490032	50490032	50490032	2400	120	87770800	2	4	4回合内消灭全部敌人	t_ttt_target_49	t_ttt_dialog_49
50	50500011	50500012	50500012	50500012	50500012	800	40	31624048	50500021	50500022	50500022	50500022	50500022	1600	80	53570630	50500031	50500032	50500032	50500032	50500032	2400	120	83642346	2	4	4回合内消灭全部敌人	t_ttt_target_50	t_ttt_dialog_50
51	50510011	50510012	50510012	50510012	50510012	800	40	35183818	50510021	50510022	50510022	50510022	50510022	1600	80	57901342	50510031	50510032	50510032	50510032	50510032	2400	120	90603588	2	4	4回合内消灭全部敌人	t_ttt_target_51	t_ttt_dialog_51
52	50520011	50520012	50520012	50520012	50520012	800	40	37261746	50520021	50520022	50520022	50520022	50520022	1600	80	64102376	50520031	50520032	50520032	50520032	50520032	2400	120	101233622	3	0	我方全员存活	t_ttt_target_52	t_ttt_dialog_52
53	50530011	50530012	50530012	50530012	50530012	800	40	39650012	50530021	50530022	50530022	50530022	50530022	1600	80	66561143	50530031	50530032	50530032	50530032	50530032	2400	120	104088495	3	0	我方全员存活	t_ttt_target_53	t_ttt_dialog_53
54	50540011	50540012	50540012	50540012	50540012	800	40	44591257	50540021	50540022	50540022	50540022	50540022	1600	80	74159692	50540031	50540032	50540032	50540032	50540032	2400	120	112048021	3	0	我方全员存活	t_ttt_target_54	t_ttt_dialog_54
55	50550011	50550012	50550012	50550012	50550012	800	40	46118201	50550021	50550022	50550022	50550022	50550022	1600	80	75150423	50550031	50550032	50550032	50550032	50550032	2400	120	114252876	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_55	t_ttt_dialog_55
56	50560011	50560012	50560012	50560012	50560012	800	40	52762729	50560021	50560022	50560022	50560022	50560022	1600	80	89809407	50560031	50560032	50560032	50560032	50560032	2400	120	141558062	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_56	t_ttt_dialog_56
57	50570011	50570012	50570012	50570012	50570012	800	40	50499565	50570021	50570022	50570022	50570022	50570022	1600	80	85017194	50570031	50570032	50570032	50570032	50570032	2400	120	136669425	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_57	t_ttt_dialog_57
58	50580011	50580012	50580012	50580012	50580012	800	40	55819721	50580021	50580022	50580022	50580022	50580022	1600	80	92996313	50580031	50580032	50580032	50580032	50580032	2400	120	150402253	2	4	4回合内消灭全部敌人	t_ttt_target_58	t_ttt_dialog_58
59	50590011	50590012	50590012	50590012	50590012	800	40	65424837	50590021	50590022	50590022	50590022	50590022	1600	80	107989890	50590031	50590032	50590032	50590032	50590032	2400	120	177282709	2	4	4回合内消灭全部敌人	t_ttt_target_59	t_ttt_dialog_59
60	50600011	50600012	50600012	50600012	50600012	800	40	66308273	50600021	50600022	50600022	50600022	50600022	1600	80	111255959	50600031	50600032	50600032	50600032	50600032	2400	120	220379735	2	4	4回合内消灭全部敌人	t_ttt_target_60	t_ttt_dialog_60
61	50610011	50610012	50610012	50610012	50610012	800	40	69480612	50610021	50610022	50610022	50610022	50610022	1600	80	114171753	50610031	50610032	50610032	50610032	50610032	2400	120	256484389	3	0	我方全员存活	t_ttt_target_61	t_ttt_dialog_61
62	50620011	50620012	50620012	50620012	50620012	800	40	66985679	50620021	50620022	50620022	50620022	50620022	1600	80	107227600	50620031	50620032	50620032	50620032	50620032	2400	120	267374807	3	0	我方全员存活	t_ttt_target_62	t_ttt_dialog_62
63	50630011	50630012	50630012	50630012	50630012	800	40	74818307	50630021	50630022	50630022	50630022	50630022	1600	80	122097853	50630031	50630032	50630032	50630032	50630032	2400	120	320076324	3	0	我方全员存活	t_ttt_target_63	t_ttt_dialog_63
64	50640011	50640012	50640012	50640012	50640012	800	40	72878319	50640021	50640022	50640022	50640022	50640022	1600	80	123238632	50640031	50640032	50640032	50640032	50640032	2400	120	352326063	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_64	t_ttt_dialog_64
65	50650011	50650012	50650012	50650012	50650012	800	40	78593407	50650021	50650022	50650022	50650022	50650022	1600	80	133894451	50650031	50650032	50650032	50650032	50650032	2400	120	413461431	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_65	t_ttt_dialog_65
66	50660011	50660012	50660012	50660012	50660012	800	40	95784438	50660021	50660022	50660022	50660022	50660022	1600	80	165203461	50660031	50660032	50660032	50660032	50660032	2400	120	544418445	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_66	t_ttt_dialog_66
67	50670011	50670012	50670012	50670012	50670012	800	40	103834221	50670021	50670022	50670022	50670022	50670022	1600	80	182419662	50670031	50670032	50670032	50670032	50670032	2400	120	643787372	2	4	4回合内消灭全部敌人	t_ttt_target_67	t_ttt_dialog_67
68	50680011	50680012	50680012	50680012	50680012	800	40	90592082	50680021	50680022	50680022	50680022	50680022	1600	80	177089157	50680031	50680032	50680032	50680032	50680032	2400	120	626122222	2	4	4回合内消灭全部敌人	t_ttt_target_68	t_ttt_dialog_68
69	50690011	50690012	50690012	50690012	50690012	800	40	106209495	50690021	50690022	50690022	50690022	50690022	1600	80	238630905	50690031	50690032	50690032	50690032	50690032	2400	120	764244587	2	4	4回合内消灭全部敌人	t_ttt_target_69	t_ttt_dialog_69
70	50700011	50700012	50700012	50700012	50700012	800	40	106991033	50700021	50700022	50700022	50700022	50700022	1600	80	266825835	50700031	50700032	50700032	50700032	50700032	2400	120	796239900	3	0	我方全员存活	t_ttt_target_70	t_ttt_dialog_70
71	50710011	50710012	50710012	50710012	50710012	800	40	105948495	50710021	50710022	50710022	50710022	50710022	1600	80	290653789	50710031	50710032	50710032	50710032	50710032	2400	120	815772494	3	0	我方全员存活	t_ttt_target_71	t_ttt_dialog_71
72	50720011	50720012	50720012	50720012	50720012	800	40	121152016	50720021	50720022	50720022	50720022	50720022	1600	80	355493966	50720031	50720032	50720032	50720032	50720032	2400	120	1007082670	3	0	我方全员存活	t_ttt_target_72	t_ttt_dialog_72
73	50730011	50730012	50730012	50730012	50730012	800	40	119627919	50730021	50730022	50730022	50730022	50730022	1600	80	370444006	50730031	50730032	50730032	50730032	50730032	2400	120	1000133898	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_73	t_ttt_dialog_73
74	50740011	50740012	50740012	50740012	50740012	800	40	134335824	50740021	50740022	50740022	50740022	50740022	1600	80	457755710	50740031	50740032	50740032	50740032	50740032	2400	120	1102402856	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_74	t_ttt_dialog_74
75	50750011	50750012	50750012	50750012	50750012	800	40	149735036	50750021	50750022	50750022	50750022	50750022	1600	80	540079529	50750031	50750032	50750032	50750032	50750032	2400	120	1219190376	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_75	t_ttt_dialog_75
76	50760011	50760012	50760012	50760012	50760012	800	40	140207421	50760021	50760022	50760022	50760022	50760022	1600	80	538543543	50760031	50760032	50760032	50760032	50760032	2400	120	1212784035	2	4	4回合内消灭全部敌人	t_ttt_target_76	t_ttt_dialog_76
77	50770011	50770012	50770012	50770012	50770012	800	40	149519481	50770021	50770022	50770022	50770022	50770022	1600	80	597946433	50770031	50770032	50770032	50770032	50770032	2400	120	1278289583	2	4	4回合内消灭全部敌人	t_ttt_target_77	t_ttt_dialog_77
78	50780011	50780012	50780012	50780012	50780012	800	40	162967532	50780021	50780022	50780022	50780022	50780022	1600	80	674446305	50780031	50780032	50780032	50780032	50780032	2400	120	1378190594	2	4	4回合内消灭全部敌人	t_ttt_target_78	t_ttt_dialog_78
79	50790011	50790012	50790012	50790012	50790012	800	40	220387857	50790021	50790022	50790022	50790022	50790022	1600	80	810616542	50790031	50790032	50790032	50790032	50790032	2400	120	1592023530	3	0	我方全员存活	t_ttt_target_79	t_ttt_dialog_79
80	50800011	50800012	50800012	50800012	50800012	800	40	233498073	50800021	50800022	50800022	50800022	50800022	1600	80	857356894	50800031	50800032	50800032	50800032	50800032	2400	120	1661562406	3	0	我方全员存活	t_ttt_target_80	t_ttt_dialog_80
81	50810011	50810012	50810012	50810012	50810012	800	40	259685635	50810021	50810022	50810022	50810022	50810022	1600	80	879423547	50810031	50810032	50810032	50810032	50810032	2400	120	1651305433	3	0	我方全员存活	t_ttt_target_81	t_ttt_dialog_81
82	50820011	50820012	50820012	50820012	50820012	800	40	289442808	50820021	50820022	50820022	50820022	50820022	1600	80	915870606	50820031	50820032	50820032	50820032	50820032	2400	120	1673277428	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_82	t_ttt_dialog_82
83	50830011	50830012	50830012	50830012	50830012	800	40	340104473	50830021	50830022	50830022	50830022	50830022	1600	80	1019777090	50830031	50830032	50830032	50830032	50830032	2400	120	1811410261	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_83	t_ttt_dialog_83
84	50840011	50840012	50840012	50840012	50840012	800	40	373537265	50840021	50840022	50840022	50840022	50840022	1600	80	1151949904	50840031	50840032	50840032	50840032	50840032	2400	120	2070399410	4	70	我方剩余血量不低于总血量的70%	t_ttt_target_84	t_ttt_dialog_84
85	50850011	50850012	50850012	50850012	50850012	800	40	385849773	50850021	50850022	50850022	50850022	50850022	1600	80	1106407758	50850031	50850032	50850032	50850032	50850032	2400	120	1946751538	2	4	4回合内消灭全部敌人	t_ttt_target_85	t_ttt_dialog_85
86	50860011	50860012	50860012	50860012	50860012	800	40	446723389	50860021	50860022	50860022	50860022	50860022	1600	80	1180979914	50860031	50860032	50860032	50860032	50860032	2400	120	2029889530	2	4	4回合内消灭全部敌人	t_ttt_target_86	t_ttt_dialog_86
87	50870011	50870012	50870012	50870012	50870012	800	40	591804108	50870021	50870022	50870022	50870022	50870022	1600	80	1414010243	50870031	50870032	50870032	50870032	50870032	2400	120	2356150824	2	4	4回合内消灭全部敌人	t_ttt_target_87	t_ttt_dialog_87
88	50880011	50880012	50880012	50880012	50880012	800	40	561155332	50880021	50880022	50880022	50880022	50880022	1600	80	1374319130	50880031	50880032	50880032	50880032	50880032	2400	120	2321665136	3	0	我方全员存活	t_ttt_target_88	t_ttt_dialog_88
89	50890011	50890012	50890012	50890012	50890012	800	40	586061664	50890021	50890022	50890022	50890022	50890022	1600	80	1355202131	50890031	50890032	50890032	50890032	50890032	2400	120	2250933543	3	0	我方全员存活	t_ttt_target_89	t_ttt_dialog_89
90	50900011	50900012	50900012	50900012	50900012	800	40	718136669	50900021	50900022	50900022	50900022	50900022	1600	80	1584465280	50900031	50900032	50900032	50900032	50900032	2400	120	2585211343	3	0	我方全员存活	t_ttt_target_90	t_ttt_dialog_90
								25508																					
								50525																					
								74072																					
								88230																					
								108118																					
								152388																					
								195560																					
								191256																					
								283451																					
								288059																					
								318793																					
								390267																					
								421636																					
								497407																					
								695743																					
								594214																					
								735566																					
								891109																					
								1239571																					
								1113461																					
								1223598																					
								1392805																					
								1716082																					
								2001556																					
								1984723																					
								2253155																					
								3008471																					
								2654775																					
								2834526																					
								3819213																					
								3598428																					
								3591679																					
								4279749																					
								5121587																					
								6090918																					
								5718486																					
								6632173																					
								8986651																					
								8452670																					
								9724062																					
								12750408																					
								13846138																					
								13452237																					
								15760323																					
								17817482																					
								19113175																					
								17460762																					
								21508593																					
								23029667																					
								20849281																					
								22909697																					
								26212590																					
								25483689																					
								29552566																					
								29213663																					
								35458125																					
								32568926																					
								35915220																					
								45578170																					
								44878950																					
								46102644																					
								41111569																					
								45513638																					
								44803831																					
								48416233																					
								64751755																					
								70005049																					
								57353841																					
								72766391																					
								69817957																					
								70556067																					
								86364434																					
								79244926																					
								82856522																					
								99374990																					
								84872509																					
								89346787																					
								97982030																					
								126887747																					
								113974440																					
								117885926																					
								124383279																					
								138372655																					
								161389280																					
								146917719																					
								156613533																					
								196145952																					
								173085627																					
								171497740																					
								218588858																					
								25508																					
								50525																					
								74072																					
								88230																					
								108118																					
								152388																					
								195560																					
								191256																					
								283451																					
								288059																					
								318793																					
								390267																					
								421636																					
								497407																					
								695743																					
								594214																					
								735566																					
								891109																					
								1239571																					
								1113461																					
								1223598																					
								1392805																					
								1716082																					
								2001556																					
								1984723																					
								2253155																					
								3008471																					
								2654775																					
								2834526																					
								3819213																					
								3598428																					
								3591679																					
								4279749																					
								5121587																					
								6090918																					
								5718486																					
								6632173																					
								8986651																					
								8452670																					
								9724062																					
								12750408																					
								13846138																					
								13452237																					
								15760323																					
								17817482																					
								19113175																					
								17460762																					
								21508593																					
								23029667																					
								20849281																					
								22909697																					
								26212590																					
								25483689																					
								29552566																					
								29213663																					
								35458125																					
								32568926																					
								35915220																					
								45578170																					
								44878950																					
								46102644																					
								41111569																					
								45513638																					
								44803831																					
								48416233																					
								64751755																					
								70005049																					
								57353841																					
								72766391																					
								69817957																					
								70556067																					
								86364434																					
								79244926																					
								82856522																					
								99374990																					
								84872509																					
								89346787																					
								97982030																					
								126887747																					
								113974440																					
								117885926																					
								124383279																					
								138372655																					
								161389280																					
								146917719																					
								156613533																					
								196145952																					
								173085627																					
								171497740																					
								218588858																					
