INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT
2002	2	全服玩家击败10级BOSS	t_boss_active_2002	10	2	50090001	10	0	0
2003	2	全服玩家击败15级BOSS	t_boss_active_2003	15	2	50090001	10	0	0
2004	2	全服玩家击败20级BOSS	t_boss_active_2004	20	2	50090001	10	0	0
2005	2	全服玩家击败25级BOSS	t_boss_active_2005	25	2	50090001	10	0	0
2006	2	全服玩家击败30级BOSS	t_boss_active_2006	30	2	50090001	20	0	0
2007	2	全服玩家击败35级BOSS	t_boss_active_2007	35	2	50090001	20	0	0
2008	2	全服玩家击败40级BOSS	t_boss_active_2008	40	2	50090001	20	0	0
2009	2	全服玩家击败45级BOSS	t_boss_active_2009	45	2	50090001	20	0	0
2010	2	全服玩家击败50级BOSS	t_boss_active_2010	50	2	50090001	20	0	0
2011	2	全服玩家击败55级BOSS	t_boss_active_2011	55	2	50090001	30	0	0
2012	2	全服玩家击败60级BOSS	t_boss_active_2012	60	2	50090001	30	0	0
2013	2	全服玩家击败65级BOSS	t_boss_active_2013	65	2	50090001	30	0	0
2014	2	全服玩家击败70级BOSS	t_boss_active_2014	70	2	50090001	30	0	0
2015	2	全服玩家击败75级BOSS	t_boss_active_2015	75	2	50090001	30	0	0
2016	2	全服玩家击败80级BOSS	t_boss_active_2016	80	2	50090001	40	0	0
2017	2	全服玩家击败85级BOSS	t_boss_active_2017	85	2	50090001	40	0	0
2018	2	全服玩家击败90级BOSS	t_boss_active_2018	90	2	50090001	40	0	0
2019	2	全服玩家击败95级BOSS	t_boss_active_2019	95	2	50090001	40	0	0
2020	2	全服玩家击败100级BOSS	t_boss_active_2020	100	2	50090001	40	0	0
