INT	INT	STRING	STRING	FLOAT	INT	INT	FLOAT	FLOAT	INT
3018	2	t_danmu_words_3900		1	0	50		5	100
3018	2	t_danmu_words_4000		1	0	25		5	100
3018	2	t_danmu_words_4100		0	0	0		5	100
3018	2	t_danmu_words_4200		0	0	-25		5	100
3018	2	t_danmu_words_4300		0	0	-50		5	100
4018	1	t_danmu_words_4400		0		-100	210		100
4018	1	t_danmu_words_4500		0.5		0	130		100
4018	2	t_danmu_words_4600		0	0	300		5	100
4018	2	t_danmu_words_4700		0.3	0	275		5	100
4018	2	t_danmu_words_4800		0.8	0	250		5	100
4018	2	t_danmu_words_4900		1	0	125		5	100
4018	2	t_danmu_words_5000		0.8	0	225		5	100
4018	2	t_danmu_words_5100		0.8	0	200		5	100
4018	2	t_danmu_words_5200		0.8	0	175		5	100
4018	2	t_danmu_words_5300		0.8	0	150		5	100
4018	2	t_danmu_words_5400		1	0	100		5	100
4018	2	t_danmu_words_5500		1	0	75		5	100
4018	2	t_danmu_words_5600		1	0	50		5	100
4018	2	t_danmu_words_5700		1	0	25		5	100
4018	2	t_danmu_words_5800		0	0	0		5	100
4018	2	t_danmu_words_5900		0	0	-25		5	100
4018	2	t_danmu_words_6000		0	0	-50		5	100
5018	1	t_danmu_words_6100		0		-100	210		100
5018	1	t_danmu_words_6200		0.5		0	130		100
5018	2	t_danmu_words_6300		0	0	300		5	100
5018	2	t_danmu_words_6400		0.3	0	275		5	100
5018	2	t_danmu_words_6500		0.8	0	250		5	100
5018	2	t_danmu_words_6600		1	0	125		5	100
5018	2	t_danmu_words_6700		0.8	0	225		5	100
5018	2	t_danmu_words_6800		0.8	0	200		5	100
5018	2	t_danmu_words_6900		0.8	0	175		5	100
5018	2	t_danmu_words_7000		0.8	0	150		5	100
5018	2	t_danmu_words_7100		1	0	100		5	100
5018	2	t_danmu_words_7200		1	0	75		5	100
5018	2	t_danmu_words_7300		1	0	50		5	100
5018	2	t_danmu_words_7400		1	0	25		5	100
5018	2	t_danmu_words_7500		0	0	0		5	100
5018	2	t_danmu_words_7600		0	0	-25		5	100
5018	2	t_danmu_words_7700		0	0	-50		5	100
6022	1	t_danmu_words_7800		0		-100	210		100
6022	1	t_danmu_words_7900		0.5		0	130		100
6022	2	t_danmu_words_8000		0	0	300		5	100
6022	2	t_danmu_words_8100		0.3	0	275		5	100
6022	2	t_danmu_words_8200		0.8	0	250		5	100
6022	2	t_danmu_words_8300		1	0	125		5	100
6022	2	t_danmu_words_8400		0.8	0	225		5	100
6022	2	t_danmu_words_8500		0.8	0	200		5	100
6022	2	t_danmu_words_8600		0.8	0	175		5	100
6022	2	t_danmu_words_8700		0.8	0	150		5	100
6022	2	t_danmu_words_8800		1	0	100		5	100
6022	2	t_danmu_words_8900		1	0	75		5	100
6022	2	t_danmu_words_9000		1	0	50		5	100
6022	2	t_danmu_words_9100		1	0	25		5	100
6022	2	t_danmu_words_9200		0	0	0		5	100
6022	2	t_danmu_words_9300		0	0	-25		5	100
6022	2	t_danmu_words_9400		0	0	-50		5	100
7021	1	t_danmu_words_9500		0		-100	210		100
7021	1	t_danmu_words_9600		0.5		0	130		100
7021	2	t_danmu_words_9700		0	0	300		5	100
7021	2	t_danmu_words_9800		0.3	0	275		5	100
7021	2	t_danmu_words_9900		0.8	0	250		5	100
7021	2	t_danmu_words_10000		1	0	125		5	100
7021	2	t_danmu_words_10100		0.8	0	225		5	100
7021	2	t_danmu_words_10200		0.8	0	200		5	100
7021	2	t_danmu_words_10300		0.8	0	175		5	100
7021	2	t_danmu_words_10400		0.8	0	150		5	100
7021	2	t_danmu_words_10500		1	0	100		5	100
7021	2	t_danmu_words_10600		1	0	75		5	100
7021	2	t_danmu_words_10700		1	0	50		5	100
7021	2	t_danmu_words_10800		1	0	25		5	100
7021	2	t_danmu_words_10900		0	0	0		5	100
7021	2	t_danmu_words_11000		0	0	-25		5	100
7021	2	t_danmu_words_11100		0	0	-50		5	100
8021	1	t_danmu_words_11200		0		-100	210		100
8021	1	t_danmu_words_11300		0.5		0	130		100
8021	2	t_danmu_words_11400		0	0	300		5	100
8021	2	t_danmu_words_11500		0.3	0	275		5	100
8021	2	t_danmu_words_11600		0.8	0	250		5	100
8021	2	t_danmu_words_11700		1	0	125		5	100
8021	2	t_danmu_words_11800		0.8	0	225		5	100
8021	2	t_danmu_words_11900		0.8	0	200		5	100
8021	2	t_danmu_words_12000		0.8	0	175		5	100
8021	2	t_danmu_words_12100		0.8	0	150		5	100
8021	2	t_danmu_words_12200		1	0	100		5	100
8021	2	t_danmu_words_12300		1	0	75		5	100
8021	2	t_danmu_words_12400		1	0	50		5	100
8021	2	t_danmu_words_12500		1	0	25		5	100
8021	2	t_danmu_words_12600		0	0	0		5	100
8021	2	t_danmu_words_12700		0	0	-25		5	100
8021	2	t_danmu_words_12800		0	0	-50		5	100
9020	1	t_danmu_words_12900		0		-100	210		100
9020	1	t_danmu_words_13000		0.5		0	130		100
9020	2	t_danmu_words_13100		0	0	300		5	100
9020	2	t_danmu_words_13200		0.3	0	275		5	100
9020	2	t_danmu_words_13300		0.8	0	250		5	100
9020	2	t_danmu_words_13400		1	0	125		5	100
9020	2	t_danmu_words_13500		0.8	0	225		5	100
9020	2	t_danmu_words_13600		0.8	0	200		5	100
9020	2	t_danmu_words_13700		0.8	0	175		5	100
9020	2	t_danmu_words_13800		0.8	0	150		5	100
9020	2	t_danmu_words_13900		1	0	100		5	100
9020	2	t_danmu_words_14000		1	0	75		5	100
9020	2	t_danmu_words_14100		1	0	50		5	100
9020	2	t_danmu_words_14200		1	0	25		5	100
9020	2	t_danmu_words_14300		0	0	0		5	100
9020	2	t_danmu_words_14400		0	0	-25		5	100
9020	2	t_danmu_words_14500		0	0	-50		5	100
10020	1	t_danmu_words_14600		0		-100	210		100
10020	1	t_danmu_words_14700		0.5		0	130		100
10020	2	t_danmu_words_14800		0	0	300		5	100
10020	2	t_danmu_words_14900		0.3	0	275		5	100
10020	2	t_danmu_words_15000		0.8	0	250		5	100
10020	2	t_danmu_words_15100		1	0	125		5	100
10020	2	t_danmu_words_15200		0.8	0	225		5	100
10020	2	t_danmu_words_15300		0.8	0	200		5	100
10020	2	t_danmu_words_15400		0.8	0	175		5	100
10020	2	t_danmu_words_15500		0.8	0	150		5	100
10020	2	t_danmu_words_15600		1	0	100		5	100
10020	2	t_danmu_words_15700		1	0	75		5	100
10020	2	t_danmu_words_15800		1	0	50		5	100
10020	2	t_danmu_words_15900		1	0	25		5	100
10020	2	t_danmu_words_16000		0	0	0		5	100
10020	2	t_danmu_words_16100		0	0	-25		5	100
10020	2	t_danmu_words_16200		0	0	-50		5	100
2110	1	t_danmu_words_16300		0		-100	210		100
2110	1	t_danmu_words_16400		0.5		0	130		100
2110	2	t_danmu_words_16500		1	0	125		5	100
2110	2	t_danmu_words_16600		0.3	0	275		5	100
2110	2	t_danmu_words_16700		0.8	0	250		5	100
2110	2	t_danmu_words_16800		0	0	300		5	100
2110	2	t_danmu_words_16900		0.8	0	225		5	100
2110	2	t_danmu_words_17000		0.8	0	200		5	100
2110	2	t_danmu_words_17100		0.8	0	175		5	100
2110	2	t_danmu_words_17200		0.8	0	150		5	100
2110	2	t_danmu_words_17300		1	0	100		5	100
2110	2	t_danmu_words_17400		1	0	75		5	100
2110	2	t_danmu_words_17500		1	0	50		5	100
2110	2	t_danmu_words_17600		1	0	25		5	100
3118	1	t_danmu_words_17700		0		-100	210		100
3118	1	t_danmu_words_17800		0.5		0	130		100
3118	2	t_danmu_words_17900		0	0	300		5	100
3118	2	t_danmu_words_18000		0.3	0	275		5	100
3118	2	t_danmu_words_18100		0.8	0	250		5	100
3118	2	t_danmu_words_18200		1	0	125		5	100
3118	2	t_danmu_words_18300		0.8	0	225		5	100
3118	2	t_danmu_words_18400		0.8	0	200		5	100
3118	2	t_danmu_words_18500		0.8	0	175		5	100
3118	2	t_danmu_words_18600		0.8	0	150		5	100
3118	2	t_danmu_words_18700		1	0	100		5	100
3118	2	t_danmu_words_18800		1	0	75		5	100
3118	2	t_danmu_words_18900		1	0	50		5	100
3118	2	t_danmu_words_19000		1	0	25		5	100
3118	2	t_danmu_words_19100		0	0	0		5	100
3118	2	t_danmu_words_19200		0	0	-25		5	100
3118	2	t_danmu_words_19300		0	0	-50		5	100
4118	1	t_danmu_words_19400		0		-100	210		100
4118	1	t_danmu_words_19500		0.5		0	130		100
4118	2	t_danmu_words_19600		0	0	300		5	100
4118	2	t_danmu_words_19700		0.3	0	275		5	100
4118	2	t_danmu_words_19800		0.8	0	250		5	100
4118	2	t_danmu_words_19900		1	0	125		5	100
4118	2	t_danmu_words_20000		0.8	0	225		5	100
4118	2	t_danmu_words_20100		0.8	0	200		5	100
4118	2	t_danmu_words_20200		0.8	0	175		5	100
4118	2	t_danmu_words_20300		0.8	0	150		5	100
4118	2	t_danmu_words_20400		1	0	100		5	100
4118	2	t_danmu_words_20500		1	0	75		5	100
4118	2	t_danmu_words_20600		1	0	50		5	100
4118	2	t_danmu_words_20700		1	0	25		5	100
4118	2	t_danmu_words_20800		0	0	0		5	100
4118	2	t_danmu_words_20900		0	0	-25		5	100
4118	2	t_danmu_words_21000		0	0	-50		5	100
5118	1	t_danmu_words_21100		0		-100	210		100
5118	1	t_danmu_words_21200		0.5		0	130		100
5118	2	t_danmu_words_21300		0	0	300		5	100
5118	2	t_danmu_words_21400		0.3	0	275		5	100
5118	2	t_danmu_words_21500		0.8	0	250		5	100
5118	2	t_danmu_words_21600		1	0	125		5	100
5118	2	t_danmu_words_21700		0.8	0	225		5	100
5118	2	t_danmu_words_21800		0.8	0	200		5	100
5118	2	t_danmu_words_21900		0.8	0	175		5	100
5118	2	t_danmu_words_22000		0.8	0	150		5	100
5118	2	t_danmu_words_22100		1	0	100		5	100
5118	2	t_danmu_words_22200		1	0	75		5	100
5118	2	t_danmu_words_22300		1	0	50		5	100
5118	2	t_danmu_words_22400		1	0	25		5	100
5118	2	t_danmu_words_22500		0	0	0		5	100
5118	2	t_danmu_words_22600		0	0	-25		5	100
5118	2	t_danmu_words_22700		0	0	-50		5	100
6122	1	t_danmu_words_22800		0		-100	210		100
6122	1	t_danmu_words_22900		0.5		0	130		100
6122	2	t_danmu_words_23000		0	0	300		5	100
6122	2	t_danmu_words_23100		0.3	0	275		5	100
6122	2	t_danmu_words_23200		0.8	0	250		5	100
6122	2	t_danmu_words_23300		1	0	125		5	100
6122	2	t_danmu_words_23400		0.8	0	225		5	100
6122	2	t_danmu_words_23500		0.8	0	200		5	100
6122	2	t_danmu_words_23600		0.8	0	175		5	100
6122	2	t_danmu_words_23700		0.8	0	150		5	100
6122	2	t_danmu_words_23800		1	0	100		5	100
6122	2	t_danmu_words_23900		1	0	75		5	100
6122	2	t_danmu_words_24000		1	0	50		5	100
6122	2	t_danmu_words_24100		1	0	25		5	100
6122	2	t_danmu_words_24200		0	0	0		5	100
6122	2	t_danmu_words_24300		0	0	-25		5	100
6122	2	t_danmu_words_24400		0	0	-50		5	100
7121	1	t_danmu_words_24500		0		-100	210		100
7121	1	t_danmu_words_24600		0.5		0	130		100
7121	2	t_danmu_words_24700		0	0	300		5	100
7121	2	t_danmu_words_24800		0.3	0	275		5	100
7121	2	t_danmu_words_24900		0.8	0	250		5	100
7121	2	t_danmu_words_25000		1	0	125		5	100
7121	2	t_danmu_words_25100		0.8	0	225		5	100
7121	2	t_danmu_words_25200		0.8	0	200		5	100
7121	2	t_danmu_words_25300		0.8	0	175		5	100
7121	2	t_danmu_words_25400		0.8	0	150		5	100
7121	2	t_danmu_words_25500		1	0	100		5	100
7121	2	t_danmu_words_25600		1	0	75		5	100
7121	2	t_danmu_words_25700		1	0	50		5	100
7121	2	t_danmu_words_25800		1	0	25		5	100
7121	2	t_danmu_words_25900		0	0	0		5	100
7121	2	t_danmu_words_26000		0	0	-25		5	100
7121	2	t_danmu_words_26100		0	0	-50		5	100
8121	1	t_danmu_words_26200		0		-100	210		100
8121	1	t_danmu_words_26300		0.5		0	130		100
8121	2	t_danmu_words_26400		0	0	300		5	100
8121	2	t_danmu_words_26500		0.3	0	275		5	100
8121	2	t_danmu_words_26600		0.8	0	250		5	100
8121	2	t_danmu_words_26700		1	0	125		5	100
8121	2	t_danmu_words_26800		0.8	0	225		5	100
8121	2	t_danmu_words_26900		0.8	0	200		5	100
8121	2	t_danmu_words_27000		0.8	0	175		5	100
8121	2	t_danmu_words_27100		0.8	0	150		5	100
8121	2	t_danmu_words_27200		1	0	100		5	100
8121	2	t_danmu_words_27300		1	0	75		5	100
8121	2	t_danmu_words_27400		1	0	50		5	100
8121	2	t_danmu_words_27500		1	0	25		5	100
8121	2	t_danmu_words_27600		0	0	0		5	100
8121	2	t_danmu_words_27700		0	0	-25		5	100
8121	2	t_danmu_words_27800		0	0	-50		5	100
9120	1	t_danmu_words_27900		0		-100	210		100
9120	1	t_danmu_words_28000		0.5		0	130		100
9120	2	t_danmu_words_28100		0	0	300		5	100
9120	2	t_danmu_words_28200		0.3	0	275		5	100
9120	2	t_danmu_words_28300		0.8	0	250		5	100
9120	2	t_danmu_words_28400		1	0	125		5	100
9120	2	t_danmu_words_28500		0.8	0	225		5	100
9120	2	t_danmu_words_28600		0.8	0	200		5	100
9120	2	t_danmu_words_28700		0.8	0	175		5	100
9120	2	t_danmu_words_28800		0.8	0	150		5	100
9120	2	t_danmu_words_28900		1	0	100		5	100
9120	2	t_danmu_words_29000		1	0	75		5	100
9120	2	t_danmu_words_29100		1	0	50		5	100
9120	2	t_danmu_words_29200		1	0	25		5	100
9120	2	t_danmu_words_29300		0	0	0		5	100
9120	2	t_danmu_words_29400		0	0	-25		5	100
9120	2	t_danmu_words_29500		0	0	-50		5	100
10120	1	t_danmu_words_29600		0		-100	210		100
10120	1	t_danmu_words_29700		0.5		0	130		100
10120	2	t_danmu_words_29800		0	0	300		5	100
10120	2	t_danmu_words_29900		0.3	0	275		5	100
10120	2	t_danmu_words_30000		0.8	0	250		5	100
10120	2	t_danmu_words_30100		1	0	125		5	100
10120	2	t_danmu_words_30200		0.8	0	225		5	100
10120	2	t_danmu_words_30300		0.8	0	200		5	100
10120	2	t_danmu_words_30400		0.8	0	175		5	100
10120	2	t_danmu_words_30500		0.8	0	150		5	100
10120	2	t_danmu_words_30600		1	0	100		5	100
10120	2	t_danmu_words_30700		1	0	75		5	100
10120	2	t_danmu_words_30800		1	0	50		5	100
10120	2	t_danmu_words_30900		1	0	25		5	100
10120	2	t_danmu_words_31000		0	0	0		5	100
10120	2	t_danmu_words_31100		0	0	-25		5	100
10120	2	t_danmu_words_31200		0	0	-50		5	100
