INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING
5006	破甲一击II	t_equip_skill_name_5006	5	16	6	20	50	无视防御概率提升至{{n1}}%	t_equip_skill_desc_5006
5007	圣器强攻	t_equip_skill_name_5007	5	18	1	2	3000		t_equip_skill_desc_5007
5008	破甲一击III	t_equip_skill_name_5008	5	20	6	30	50	无视防御概率提升至{{n1}}%	t_equip_skill_desc_5008
6001	圣器强命	t_equip_skill_name_6001	6	5	1	1	30000		t_equip_skill_desc_6001
6002	圣器强命	t_equip_skill_name_6002	6	8	1	1	30000		t_equip_skill_desc_6002
6003	圣器强命	t_equip_skill_name_6003	6	10	1	1	30000		t_equip_skill_desc_6003
6004	超级护甲I	t_equip_skill_name_6004	6	12	7	50	10	每次受到普通攻击时，有{{n1}}%概率减少{{n2}}%的伤害	t_equip_skill_desc_6004
6005	圣器强命	t_equip_skill_name_6005	6	14	1	1	30000		t_equip_skill_desc_6005
6006	超级护甲II	t_equip_skill_name_6006	6	16	7	50	20	减少伤害比例提升至{{n2}}%	t_equip_skill_desc_6006
6007	圣器强命	t_equip_skill_name_6007	6	18	1	1	30000		t_equip_skill_desc_6007
6008	超级护甲III	t_equip_skill_name_6008	6	20	7	50	40	减少伤害比例提升至{{n2}}%	t_equip_skill_desc_6008
