INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
39	160	800	400	400	120	210	200	150	150	300	240	40	3200	200	1000	10	10	250	20	400	80	7800
40	200	800	400	400	120	210	200	150	150	350	300	40	3200	200	1000	10	10	250	20	400	80	8000
41	200	800	400	400	140	220	200	200	200	350	300	50	3200	200	1000	10	10	250	20	400	80	8200
42	200	800	400	400	140	220	200	200	200	350	300	50	3200	200	1000	10	10	250	20	400	80	8400
43	200	800	400	400	140	230	200	200	200	350	300	50	3200	200	1000	10	10	250	20	400	80	8600
44	200	800	400	400	140	230	200	200	200	350	300	50	3200	200	1000	10	10	250	20	400	80	8800
45	200	800	400	400	140	240	200	200	200	350	300	50	3200	200	1000	10	10	250	20	400	80	9000
46	200	800	400	400	140	240	200	250	250	350	300	50	3200	250	1000	10	10	250	20	500	80	9200
47	200	800	400	400	140	250	200	250	250	350	300	50	3200	250	1000	10	10	250	20	500	80	9400
48	200	800	400	400	140	250	200	250	250	350	300	50	3200	250	1000	10	10	250	20	500	80	9600
49	200	800	400	400	140	260	200	250	250	350	300	50	3200	250	1000	10	10	250	20	500	80	9800
50	200	800	400	400	140	260	200	250	250	350	300	50	3200	250	1000	10	10	250	20	500	80	10000
51	200	800	400	400	160	270	250	300	300	400	350	60	3200	250	1000	10	10	250	20	500	80	10200
52	200	800	400	400	160	270	250	300	300	400	350	60	3200	250	1000	10	10	250	20	500	80	10400
53	200	800	400	400	160	280	250	300	300	400	350	60	3200	250	1000	10	10	250	20	500	80	10600
54	200	800	400	400	160	280	250	300	300	400	350	60	3200	250	1000	10	10	250	20	500	80	10800
55	200	800	400	400	160	290	250	300	300	400	350	60	3200	250	1000	10	10	250	20	500	86	11000
56	200	800	400	400	160	290	250	300	300	400	350	60	3200	300	1000	10	10	250	20	600	86	11200
57	200	800	400	400	160	300	250	300	300	400	350	60	3200	300	1000	10	10	250	20	600	86	11400
58	200	800	400	400	160	300	250	300	300	400	350	60	3200	300	1000	10	10	250	20	600	86	11600
59	200	800	400	400	160	300	250	300	300	400	350	60	3200	300	1000	10	10	250	20	600	86	11800
60	200	800	400	400	160	300	250	300	300	400	350	60	3200	300	1000	10	10	250	20	600	86	12000
61	200	800	400	400	160	300	250	300	300	400	350	70	3200	300	1000	10	10	250	20	600	86	12200
62	200	800	400	400	160	300	250	300	300	400	350	70	3200	300	1000	10	10	250	20	600	86	12400
63	200	800	400	400	160	300	250	300	300	400	350	70	3200	300	1000	10	10	250	20	600	86	12600
64	200	800	400	400	160	300	250	300	300	400	350	70	3200	300	1000	10	10	250	20	600	106	12800
65	200	800	400	400	160	300	250	300	300	400	350	70	3200	300	1000	10	10	250	20	600	106	13000
66	200	800	400	400	160	300	250	300	300	400	350	70	3200	300	1000	10	10	250	20	600	106	13200
67	200	800	400	400	160	300	250	300	300	400	350	70	3200	300	1000	10	10	250	20	600	106	13400
68	200	800	400	400	160	300	250	300	300	400	350	70	3200	300	1000	10	10	250	20	600	106	13600
69	200	800	400	400	160	300	250	300	300	400	350	70	3200	300	1000	10	10	250	20	600	106	13800
70	200	800	400	400	160	300	250	300	300	400	350	70	3200	300	1000	10	10	250	20	600	106	14000
71	200	800	400	400	160	300	250	300	300	400	350	80	3200	300	1000	10	10	250	20	600	106	14200
72	200	800	400	400	160	300	250	300	300	400	350	80	3200	300	1000	10	10	250	20	600	106	14400
73	200	800	400	400	160	300	250	300	300	400	350	80	3200	300	1000	10	10	250	20	600	106	14600
74	200	800	400	400	160	300	250	300	300	400	350	80	3200	300	1000	10	10	250	20	600	106	14800
75	200	800	400	400	160	300	250	300	300	400	350	80	3200	300	1000	10	10	250	20	600	106	15000
76	200	800	400	400	160	300	250	300	300	400	350	80	3200	300	1000	10	10	250	20	600	106	15200
77	200	800	400	400	160	300	250	300	300	400	350	80	3200	300	1000	10	10	250	20	600	106	15400
78	200	800	400	400	160	300	250	300	300	400	350	80	3200	300	1000	10	10	250	20	600	106	15600
79	200	800	400	400	160	300	250	300	300	400	350	80	3200	300	1000	10	10	250	20	600	106	15800
80	200	800	400	400	160	300	250	300	300	400	350	80	3200	300	1000	10	10	250	20	600	106	16000
81	200	800	400	400	160	300	250	300	300	400	350	90	3200	300	1000	10	10	250	20	600	106	16200
82	200	800	400	400	160	300	250	300	300	400	350	90	3200	300	1000	10	10	250	20	600	113	16400
83	200	800	400	400	160	300	250	300	300	400	350	90	3200	300	1000	10	10	250	20	600	113	16600
84	200	800	400	400	160	300	250	300	300	400	350	90	3200	300	1000	10	10	250	20	600	113	16800
85	200	800	400	400	160	300	250	300	300	400	350	90	3200	300	1000	10	10	250	20	600	113	17000
86	200	800	400	400	160	300	250	300	300	400	350	90	3200	300	1000	10	10	250	20	600	113	17200
87	200	800	400	400	160	300	250	300	300	400	350	90	3200	300	1000	10	10	250	20	600	113	17400
88	200	800	400	400	160	300	250	300	300	400	350	90	3200	300	1000	10	10	250	20	600	113	17600
89	200	800	400	400	160	300	250	300	300	400	350	90	3200	300	1000	10	10	250	20	600	113	17800
90	200	800	400	400	160	300	250	300	300	400	350	90	3200	300	1000	10	10	250	20	600	113	18000
91	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	10	250	20	600	123	18200
92	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	10	250	20	600	123	18400
93	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	10	250	20	600	123	18600
94	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	10	250	20	600	123	18800
95	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	10	250	20	600	123	19000
96	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	10	250	20	600	123	19200
97	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	10	250	20	600	123	19400
98	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	10	250	20	600	123	19600
99	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	10	250	20	600	123	19800
100	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	10	250	20	600	123	20000
101	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	20200
102	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	20400
103	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	20600
104	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	20800
105	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	21000
106	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	21200
107	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	21400
108	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	21600
109	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	21800
110	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	22000
111	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	22200
112	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	22400
113	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	22600
114	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	22800
115	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	23000
116	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	23200
117	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	23400
118	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	23600
119	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	23800
120	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	24000
121	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	24200
122	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	24400
123	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	24600
124	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	24800
125	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	25000
126	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	25200
127	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	25400
128	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	25600
129	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	25800
130	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	26000
131	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	26200
132	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	26400
133	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	26600
134	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	26800
135	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	27000
136	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	27200
137	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	27400
138	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	27600
139	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	27800
140	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	28000
141	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	28200
142	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	28400
143	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	28600
144	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	28800
145	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	29000
146	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	29200
147	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	29400
148	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	29600
149	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	29800
150	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	30000
151	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	30200
152	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	30400
153	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	30600
154	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	30800
155	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	31000
156	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	31200
157	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	31400
158	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	31600
159	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	31800
160	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	32000
161	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	32200
162	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	32400
163	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	32600
164	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	32800
165	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	33000
166	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	33200
167	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	33400
168	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	33600
169	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	33800
170	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	34000
171	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	34200
172	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	34400
173	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	34600
174	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	34800
175	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	35000
176	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	35200
177	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	35400
178	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	35600
179	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	35800
180	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	36000
181	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	36200
182	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	36400
183	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	36600
184	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	36800
185	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	37000
186	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	37200
187	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	37400
188	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	37600
189	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	37800
190	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	38000
191	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	38200
192	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	38400
193	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	38600
194	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	38800
195	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	39000
196	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	39200
197	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	39400
198	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	39600
199	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	39800
200	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	15	250	20	600	123	40000
201	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	40200
202	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	40400
203	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	40600
204	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	40800
205	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	41000
206	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	41200
207	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	41400
208	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	41600
209	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	41800
210	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	42000
211	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	42200
212	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	42400
213	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	42600
214	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	42800
215	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	43000
216	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	43200
217	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	43400
218	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	43600
219	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	43800
220	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	44000
221	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	44200
222	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	44400
223	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	44600
224	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	44800
225	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	45000
226	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	45200
227	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	45400
228	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	45600
229	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	45800
230	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	46000
231	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	46200
232	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	46400
233	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	46600
234	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	46800
235	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	47000
236	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	47200
237	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	47400
238	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	47600
239	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	47800
240	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	48000
241	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	48200
242	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	48400
243	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	48600
244	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	48800
245	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	49000
246	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	49200
247	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	49400
248	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	49600
249	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	49800
250	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	50000
251	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	50200
252	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	50400
253	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	50600
254	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	50800
255	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	51000
256	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	51200
257	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	51400
258	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	51600
259	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	51800
260	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	52000
261	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	52200
262	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	52400
263	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	52600
264	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	52800
265	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	53000
266	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	53200
267	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	53400
268	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	53600
269	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	53800
270	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	54000
271	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	54200
272	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	54400
273	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	54600
274	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	54800
275	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	55000
276	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	55200
277	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	55400
278	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	55600
279	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	55800
280	200	800	400	400	160	300	250	300	300	400	350	100	3200	300	1000	10	20	250	20	600	123	56000
