INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	FLOAT	INT	INT	INT	INT	FLOAT	INT	FLOAT	INT	INT
100200205	自由爆破	对全体敌人造成81%的魔法伤害，并使我方受到的伤害减少10%，持续1回合。每次行动有39%的几率释放	t_chongwuskill_name_100200202	t_chongwuskill_desc_100200205	jn04	2	3	9	0.81	0.39				2	1	1			21	-10									
100200206	自由爆破	对全体敌人造成81%的魔法伤害，并使我方受到的伤害减少15%，持续1回合。每次行动有42%的几率释放	t_chongwuskill_name_100200202	t_chongwuskill_desc_100200206	jn05	2	3	9	0.81	0.42				2	1	1			21	-15									
100200207	自由爆破	对全体敌人造成81%的魔法伤害，并使我方受到的伤害减少20%，持续1回合。每次行动有45%的几率释放	t_chongwuskill_name_100200202	t_chongwuskill_desc_100200207	jn06	2	3	9	0.81	0.45				2	1	1			21	-20									
100300101	尖锐穿刺	对全体敌人造成31%的物理伤害	t_chongwuskill_name_100300101	t_chongwuskill_desc_100300101	attack	1	3	9	0.31																				
100300102	无情制裁	对全体敌人造成85%的物理伤害，每次行动有35%的几率释放	t_chongwuskill_name_100300102	t_chongwuskill_desc_100300102	jn01	1	3	9	0.85	0.35																			
100300103	无情制裁	对全体敌人造成85%的物理伤害，每次行动有38%的几率释放	t_chongwuskill_name_100300102	t_chongwuskill_desc_100300103	jn02	1	3	9	0.85	0.38																			
100300104	无情制裁	对全体敌人造成85%的物理伤害，每次行动有41%的几率释放	t_chongwuskill_name_100300102	t_chongwuskill_desc_100300104	jn03	1	3	9	0.85	0.41																			
100300105	无情制裁	对全体敌人造成85%的物理伤害，并造成自身攻击力40%的流血效果，持续2回合。每次行动有44%的几率释放	t_chongwuskill_name_100300102	t_chongwuskill_desc_100300105	jn04	1	3	9	0.85	0.44				1	2	2	1	0.4											
100300106	无情制裁	对全体敌人造成85%的物理伤害，并造成自身攻击力50%的流血效果，持续2回合。每次行动有47%的几率释放	t_chongwuskill_name_100300102	t_chongwuskill_desc_100300106	jn05	1	3	9	0.85	0.47				1	2	2	1	0.5											
100300107	无情制裁	对全体敌人造成85%的物理伤害，并造成自身攻击力60%的流血效果，持续2回合。每次行动有50%的几率释放	t_chongwuskill_name_100300102	t_chongwuskill_desc_100300107	jn06	1	3	9	0.85	0.5				1	2	2	1	0.6											
100300201	神圣之光	对全体敌人造成31%的魔法伤害	t_chongwuskill_name_100300201	t_chongwuskill_desc_100300201	attack	2	3	9	0.31																				
100300202	空之惩戒	对全体敌人造成85%的魔法伤害，每次行动有35%的几率释放	t_chongwuskill_name_100300202	t_chongwuskill_desc_100300202	jn01	2	3	9	0.85	0.35																			
100300203	空之惩戒	对全体敌人造成85%的魔法伤害，每次行动有38%的几率释放	t_chongwuskill_name_100300202	t_chongwuskill_desc_100300203	jn02	2	3	9	0.85	0.38																			
100300204	空之惩戒	对全体敌人造成85%的魔法伤害，每次行动有41%的几率释放	t_chongwuskill_name_100300202	t_chongwuskill_desc_100300204	jn03	2	3	9	0.85	0.41																			
100300205	空之惩戒	对全体敌人造成85%的魔法伤害，并使其造成的伤害减少15%，持续1回合。每次行动有44%的几率释放	t_chongwuskill_name_100300202	t_chongwuskill_desc_100300205	jn04	2	3	9	0.85	0.44				2	2	1			20	-15									
100300206	空之惩戒	对全体敌人造成85%的魔法伤害，并使其造成的伤害减少20%，持续1回合。每次行动有47%的几率释放	t_chongwuskill_name_100300202	t_chongwuskill_desc_100300206	jn05	2	3	9	0.85	0.47				2	2	1			20	-20									
100300207	空之惩戒	对全体敌人造成85%的魔法伤害，并使其造成的伤害减少25%，持续1回合。每次行动有50%的几率释放	t_chongwuskill_name_100300202	t_chongwuskill_desc_100300207	jn06	2	3	9	0.85	0.5				2	2	1			20	-25									
