INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING
6010	全体祝福	t_guanghuan_skill_name_6010	5001	100	1	38	2	所有上阵伙伴全属性+{{n1}}%	t_guanghuan_skill_desc_6010
7001	光环强命	t_guanghuan_skill_name_7001	5002	10	1	1	24000		t_guanghuan_skill_desc_7001
7002	全体祝福	t_guanghuan_skill_name_7002	5002	20	1	38	2	所有上阵伙伴全属性+{{n1}}%	t_guanghuan_skill_desc_7002
7003	光环强命	t_guanghuan_skill_name_7003	5002	30	1	1	24000		t_guanghuan_skill_desc_7003
7004	全体祝福	t_guanghuan_skill_name_7004	5002	40	1	38	2	所有上阵伙伴全属性+{{n1}}%	t_guanghuan_skill_desc_7004
7005	光环强命	t_guanghuan_skill_name_7005	5002	50	1	1	24000		t_guanghuan_skill_desc_7005
7006	全体祝福	t_guanghuan_skill_name_7006	5002	60	1	38	2	所有上阵伙伴全属性+{{n1}}%	t_guanghuan_skill_desc_7006
7007	光环强命	t_guanghuan_skill_name_7007	5002	70	1	1	24000		t_guanghuan_skill_desc_7007
7008	全体祝福	t_guanghuan_skill_name_7008	5002	80	1	38	2	所有上阵伙伴全属性+{{n1}}%	t_guanghuan_skill_desc_7008
7009	光环强命	t_guanghuan_skill_name_7009	5002	90	1	1	24000		t_guanghuan_skill_desc_7009
7010	全体祝福	t_guanghuan_skill_name_7010	5002	100	1	38	2	所有上阵伙伴全属性+{{n1}}%	t_guanghuan_skill_desc_7010
