STRING	STRING	STRING	STRING
37	                                           -军团战规则-{nn}{nn}1.每2周开启一轮军团战，军团战分为报名和战斗2个阶段{nn}{nn}2.报名阶段{nn}{nn}（1）军团长和副军团长可以进行报名{nn}{nn}（2）报名的军团需要满足以下条件：成员数≥22人，且军团等级≥5级{nn}{nn}3.开战阶段{nn}{nn}（1）每轮军团战有6场比赛，每天进行一场{nn}{nn}（2）每场比赛会重新匹配其他军团作为对手{nn}{nn}（3）最后一场比赛结束，即本轮军团战完结，结束后，会发放个人战绩排名奖励以及军团战绩排名奖励{nn}{nn}（4）报名军团战后，在军团战期间，无法解散军团{nn}{nn}（5）新加入军团时间不足24小时，无法参与军团战{nn}{nn}                                           -防守规则-{nn}{nn}1.报名时，需要对自身军团所代表的基地进行防守{nn}{nn}2.基地有3个据点和1个司令部，3个据点分别需要驻守7人，司令部需要驻守1人{nn}{nn}（1）3个据点作为第一道防线，攻击方攻破任一据点后，才可以攻打司令部{nn}{nn}（2）当有敌对军团进攻时，据点和司令部防守的成员进行迎战{nn}{nn}3.据点和司令部有初始城防值，每次有敌方进攻基地，城防值都会有所损耗{nn}{nn}（1）每次成功击败敌方的挑战，可以获得军团战绩奖励，城防值会有少量降低{nn}{nn}（2）敌方挑战成功，守军防守次数-1，降低大量城防值{nn}{nn}（3）防守次数为0后，守军战败，无法继续战斗{nn}{nn}4.当守军全部死亡或城防值为0后，据点告破{nn}{nn}5.在每场军团战结束后，会根据每个据点及司令部的剩余防守次数，结算一次防守战绩{nn}{nn}6.防守次数、城防值等相关数据，对每个敌对军团来说，分别计算{nn}{nn}                                           -进攻规则-{nn}{nn}1.可以选择任一据点进行攻击，攻破据点后，可以攻击司令部{nn}{nn}2.攻打时，无论胜败，均扣除1次攻打次数{nn}{nn}（1）攻打胜利，可以获得大量军团贡献，并扣除攻打基地的城防值{nn}{nn}（2）攻打失败，也可以获得军团军团贡献，并扣除基地城防值{nn}{nn}3.扣除敌对基地城防值越多，军团战绩和个人战绩越高{nn}{nn}（1）据点有质量区分，攻打质量越高的据点，可以获得更多奖励{nn}{nn}（2）司令部质量最高，攻打司令部，可以获得最高奖励{nn}{nn}4.每攻破一个据点和司令部，军团都可以获得大量军团经验{nn}{nn}                                           -军团战奖励-{nn}{nn}1.每期军团战结束后，会根据军团战绩和个人战绩排名发放排名奖励{nn}{nn}（1）军团战绩排名奖励会发放到军团内所有成员，奖励通过邮件发放{nn}{nn}（2）个人战绩排名奖励也通过邮件发放{nn}{nn}2.每天，军团成员可以根据军团攻破据点或基地数量领取攻破奖励	                                           -軍團戰規則-{nn}{nn}1.每2周開啟一輪軍團戰，軍團戰分為報名和戰鬥2個階段{nn}{nn}2.報名階段{nn}{nn}（1）軍團長和副軍團長可以進行報名{nn}{nn}（2）報名的軍團需要滿足以下條件：成員數≥22人，且軍團等級≥5級{nn}{nn}3.開戰階段{nn}{nn}（1）每輪軍團戰有6場比賽，每天進行一場{nn}{nn}（2）每場比賽會重新匹配其他軍團作為對手{nn}{nn}（3）最後一場比賽結束，即本輪軍團戰完結，結束後，會發放個人戰績排名獎勵以及軍團戰績排名獎勵{nn}{nn}（4）報名軍團戰後，在軍團戰期間，無法解散軍團{nn}{nn}（5）新加入軍團時間不足24小時，無法參與軍團戰{nn}{nn}                                           -防守規則-{nn}{nn}1.報名時，需要對自身軍團所代表的基地進行防守{nn}{nn}2.基地有3個據點和1個司令部，3個據點分別需要駐守7人，司令部需要駐守1人{nn}{nn}（1）3個據點作為第一道防線，攻擊方攻破任一據點後，才可以攻打司令部{nn}{nn}（2）當有敵對軍團進攻時，據點和司令部防守的成員進行迎戰{nn}{nn}3.據點和司令部有初始城防值，每次有敵方進攻基地，城防值都會有所損耗{nn}{nn}（1）每次成功擊敗敵方的挑戰，可以獲得軍團戰績獎勵，城防值會有少量降低{nn}{nn}（2）敵方挑戰成功，守軍防守次數-1，降低大量城防值{nn}{nn}（3）防守次數為0後，守軍戰敗，無法繼續戰鬥{nn}{nn}4.當守軍全部死亡或城防值為0後，據點告破{nn}{nn}5.在每場軍團戰結束後，會根據每個據點及司令部的剩餘防守次數，結算一次防守戰績{nn}{nn}6.防守次數、城防值等相關數據，對每個敵對軍團來說，分別計算{nn}{nn}                                           -進攻規則-{nn}{nn}1.可以選擇任一據點進行攻擊，攻破據點後，可以攻擊司令部{nn}{nn}2.攻打時，無論勝敗，均扣除1次攻打次數{nn}{nn}（1）攻打勝利，可以獲得大量軍團貢獻，並扣除攻打基地的城防值{nn}{nn}（2）攻打失敗，也可以獲得軍團軍團貢獻，並扣除基地城防值{nn}{nn}3.扣除敵對基地城防值越多，軍團戰績和個人戰績越高{nn}{nn}（1）據點有品質區分，攻打品質越高的據點，可以獲得更多獎勵{nn}{nn}（2）司令部品質最高，攻打司令部，可以獲得最高獎勵{nn}{nn}4.每攻破一個據點和司令部，軍團都可以獲得大量軍團經驗{nn}{nn}                                           -軍團戰獎勵-{nn}{nn}1.每期軍團戰結束後，會根據軍團戰績和個人戰績排名發放排名獎勵{nn}{nn}（1）軍團戰績排名獎勵會發放到軍團內所有成員，獎勵通過郵件發放{nn}{nn}（2）個人戰績排名獎勵也通過郵件發放{nn}{nn}2.每天，軍團成員可以根據軍團攻破據點或基地數量領取攻破獎勵	" -Guild War rules-{nn}{nn}1. A new round of Guild War is unlocked once every two weeks. Guild War has two stages: register and combat. {nn}{nn} 2. Register stage {nn}{nn} (1) The guild commander and guild lieutenant can register. {nn}{nn} (2) guilds register must meet the following conditions: members ≥ 22, and guild LV ≥ 5 {nn}{nn} 3. Combat stage {nn}{nn} (1) each round of Guild War has six competitions, one competition each day {nn}{nn} (2) A different guild will be matched as the opponent for each new competition. {nn}{nn} (3) The current Guild War is completed when the final competition ends. Personal combat record ranking rewards and guild combat record ranking rewards will be issued when the Guild War has finished. {nn}{nn} (4) After registered, a guild cannot be dissolved during a Guild War {nn}{nn} (5) New guild members who have joined within the last 24 hours cannot participate in the Guild War {nn}{nn}                                          -Defense rules-{nn}{nn} 1. When in register, the guild must defend the base it represents. {nn}{nn} 2. There are 3 strongholds where 7 members must be stationed and 1 headquarters where 1 member must be stationed. {nn}{nn} (1) The 3 strongholds constitute the first line of defense. The attacking guild can attack headquarters only after breaching any of strongholds. {nn}{nn} (2) When enemy guilds attack, members defending strongholds and headquarters meet them in battle. {nn}{nn} 3. Strongholds and headquarters have an initial defense value which will be decreased for every time enemies attack the base{nn}{nn} (1) Each time an enemy's challenge is defeated, guild combat record rewards will be issued and defense value has a slight decrease. {nn}{nn} (2) When the enemy's challenge is successful, defending members will lose 1 defense time and defense value has a sharp decrease {nn}{nn} (3) When the defenders' defense times are spent out, the defending members are defeated and cannot continue to fight. {nn}{nn} 4. When all defending members die or the defense value becomes 0, the stronghold is occupied {nn}{nn} 5. After each round of Guild War has ended, defending combat record will be settled once according to the remaining defense times of each stronghold and headquarters.  {nn}{nn} 6. Defense times, defense value and related stats will be calculated separately for each enemy guild {nn}{nn}                                                                    -Attack rules-{nn}{nn} 1. Can choose any stronghold to attack. The headquarters may be attacked only after breaching a stronghold.{nn}{nn} 2. 1 Attack times will be deducted regardless of whether the attack is successful or not. {nn}{nn} (1) When the attack is successful, a large amount of Guild Exploit will be offered and the defense value of the attacked base will be deducted.{nn}{nn}(2) When the attack is failed, Guild Exploit will be offered as well and the defense value of the base will be deducted{nn}{nn} 3. The more defense value the enemy loses, the higher the attackers' guild combat record and personal combat records. {nn}{nn} (1) Strongholds can be divided by quality. More rewards can be obtained for attacking high-quality strongholds {nn}{nn} (2) The headquarters has the Max quality.  The best rewards will be issued for attacking the headquarters {nn}{nn} 4. For each each stronghold or headquarters is breached, the guild can obtain a large amount of guild EXP {nn}{nn}                                                                     -Guild War rewards-{nn}{nn} 1. Ranking rewards will be issued according to guild combat record ranking and personal combat record ranking after each round of Guild War has ended. {nn}{nn} (1) guild combat record ranking rewards will be issued to all members of the guild by mail. {nn}{nn} (2) Personal combat record ranking rewards will also be issued by mail. {nn}{nn} 2. guild members can get Evolve Rewards every day according to the number of breached strongholds or bases."
38	报名	報名	Register
39	说明	說明	Help
40	排名	排名	Ranking
41	玩家姓名	玩家姓名	Name
42	区服	區服	Server
43	战绩	戰績	Record
44	查看	查看	View
45	个人排行	個人排行	Personal Ranking
46	个人奖励	個人獎勵	Personal Reward
47	军团排行	軍團排行	Guild War
48	军团奖励	軍團獎勵	Guild Reward
49	徽章	徽章	Badge
50	军团名	軍團名	Guild Name
51	军团战结束后，通过邮件发放奖励	軍團戰結束後，通過郵件發放獎勵	Rewards will be sent by mails after the Guild War
52	周二	週二	Tuesday
53	周三	週三	Wednesday
54	周四	週四	Thursday
55	周五	週五	Friday
56	周六	週六	Saturday
57	周日	周日	Sunday
58	战斗结束	戰鬥結束	Guild war has ended
59	等级	等級	Level
60	战力	戰力	Power
61	可领取	可領取	Claim
62	立即前往	立即前往	Go get
63	同意	同意	Agree
64	拒绝	拒絕	Ignore
65	请抽取战斗奖励！	請抽取戰鬥獎勵！	Choose your Reward!
66	请翻牌（3选1）	請翻牌（3選1）	Choose one from the 3 cards
67	点击荧幕任意位置继续...	點擊螢幕任意位置繼續...	Tap to continue...
68	排行榜	排行榜	Ranking
69	领取奖励	領取獎勵	Reward
70	荣誉商店	榮譽商店	Shop
71	每天21:00可领	每天21:00可領	Reward refresh at 9 pm
72	排名奖励	排名獎勵	Ranking
73	玩家名称	玩家名稱	Name
74	1000名以内可获得每日排名奖励	1000名以內可獲得每日排名獎勵	Top 1000 players of the Ranking can claim rewards
75	上次排名奖励	上次排名獎勵	Last Ranking Reward
76	胜利奖励	勝利獎勵	Reward
77	奖励预览	獎勵預覽	Preview
78	竞技场奖励	競技場獎勵	Arena Reward
79	排名奖励21点刷新	排名獎勵21點刷新	Refresh at 9 pm
80	上次排名	上次排名	Last Ranking
81	扫荡完成	掃蕩完成	Completed
82	竞技场战报	競技場戰報	Arena Report
83	预览	預覽	Preview
84	战斗力  :	戰鬥力  :	Power:
85	战多次	戰多次	Sweep
86	历史最高排名	歷史最高排名	Max Ranking
87	当前排名	當前排名	Current Ranking
88	[上升	[上升	[up to 
89	]	]	 ]
90	可获奖励	可獲獎勵	Reward
91	获得经验	獲得經驗	Exp
92	获得金币 	獲得金幣	Gold
93	获得荣誉	獲得榮譽	Honour
94	物品出售	物品出售	Sell
95	当前拥有	當前擁有	Have
96	出售价格：	出售價格：	Price:
97	一键出售	一鍵出售	Quick Sell
98	一键出售蓝色碎片	一鍵出售藍色碎片	Sell all Excellent Shard
99	一键出售紫色碎片	一鍵出售紫色碎片	Sell all Rare Shard
100	一键出售紫色装备碎片	一鍵出售紫色裝備碎片	Sell all Rare Shard
101	光环	光環	Halo
102	返回	返回	Return
103	饰品	飾品	Ornament
104	装备	裝備	Equipment
105	道具合成	道具合成	Synthesis
106	您的背包里没有任何物品	您的背包裡沒有任何物品	Empty
107	回忆	回憶	Story
108	基因	基因	Gene
109	宠物	寵物	Pet
110	合成	合成	Go get
111	出售	出售	Sell
112	获取	獲取	Claim
113	碎片	碎片	Shard
114	物品	物品	Item
115	恭喜获得以下物品	恭喜獲得以下物品	Congratulations
116	护符	護符	Amulet
117	项链	項鍊	Necklace
118	恭喜您获得!!	恭喜您獲得!!	Congratulations
119	免战	免戰	Protect
120	一键夺宝	一鍵奪寶	Sweep
121	购买	購買	Purchase
122	购买价格	購買價格	Price
123	普通保护	普通保護	Normal Protection
124	现有数量	現有數量	Have
125	保护时间	保護時間	Last Time
126	冷却时间	冷卻時間	CD
127	使  用	使  用	Use
128	高级保护	高級保護	Advanced Protection
129	1.使用免战牌可保护您的饰品碎片不被夺走{nn}{nn}2.免战期间抢夺其他玩家将解除免战状态{nn}{nn}3.免战牌有使用冷却时间，在冷却时间无法再次使用同类型物品	1.使用免戰牌可保護您的飾品碎片不被奪走{nn}{nn}2.免戰期間搶奪其他玩家將解除免戰狀態{nn}{nn}3.免戰牌有使用冷卻時間，在冷卻時間無法再次使用同類型物品	1. Protection can protect your ornament shards from being snatched{nn}{nn} 2. Snatching other players during protection period will relieve protection state {nn}{nn} 3. Protection has CD time
130	保护规则	保護規則	Rules
131	免战保护	免戰保護	Protection
132	每日[00ffff]01:00[-]至[00ffff]09:00[-]无法对其他玩家进行夺宝	每日[00ffff]01:00[-]至[00ffff]09:00[-]無法對其他玩家進行奪寶	Other players' Ornament cannot be snatched from [00ffff]1 am[-]to [00ffff]9 am[-] every day
133	换一批	換一批	Refresh
134	出击夺宝	出擊奪寶	Snatch
135	圣  炼	聖  煉	Holy Refine
136	战报	戰報	Record
137	自动添加	自動添加	Auto
138	精炼到一定阶级，开启圣器技能	精煉到一定階級，開啟聖器技能	Divine Skill required a certain Refine level
139	圣炼	聖煉	Holy Refine
140	消耗钻石:	消耗鑽石:	Cost:
141	抢夺战报	搶奪戰報	Result
142	描述内容	描述內容	Help
143	自动消耗能量药水补充能量	自動消耗能量藥水補充能量	Automatically use Energy Potion
144	提 示	提 示	Tips
145	剩余能量药水：	剩餘能量藥水：	Energy Potion Remaining:
146	提升猎人等级	提升獵人等級	Upgrade Hunter Level
147	伙伴进阶	夥伴進階	Hero Evolve
148	提升伙伴成长{nn}使战斗力大幅提升	提升夥伴成長{nn}使戰鬥力大幅提升	Evolve hero{nn}to boost power massively
149	伙伴突破	夥伴突破	Hero Evolve
150	提升伙伴等级{nn}使战斗力提升	提升夥伴等級{nn}使戰鬥力提升	Upgrade hero{nn}to boost power
151	伙伴充能	夥伴充能	Hero Upgrade
152	强化装备{nn}使实力提升	強化裝備{nn}使實力提升	Enhance Equipment{nn}to boost power
153	强化装备	強化裝備	Equipment Enhance
154	获得战利品	獲得戰利品	Spoils
155	点击荧幕任意位置继续... 	點擊螢幕任意位置繼續...	Tap to continue
156	回合	回合	Round
157	过关进度	過關進度	Progress
158	邀请	邀請	Invition
159	冰原副本	冰原副本	Ice Zone
160	                                            玩法概述{nn}决战冰原是跨服五人组队战斗玩法，其中冰晶可以在商店中兑换道具，冰原积分可以争夺排名，并获得对应称号{nn}                                            单人状态{nn}1.自动匹配：系统将自动寻找并加入开放房间的空缺队伍{nn}2.创建队伍：成为队长，创建一个房间{nn}3.冰原商店：奖励分页中的道具每周一0点重置{nn}4.积分排行：冰原积分每周一0点重置，冰原积分变化时，相关称号会实时改变{nn}                                            组队状态{nn}1.邀请好友：所有玩家都可以邀请好友，点击空位加号即可邀请{nn}2.更换出战位置：队长可以拖动玩家进行位置更换{nn}3.奖励剩余次数：每日3次，0点重置，最多购买9次，为0时仍可以进行战斗，但不再获得奖励{nn}4.出战：4个队员准备完毕后，由队长开启战斗{nn}5.奖励加成：除一键邀请外的玩家都属于活跃玩家（除队长），每名活跃玩家可增加2%奖励，队伍中每有一名队长好友，可额外再获得2%奖励，队伍中每有一名与队长同军团的玩家，可额外再获得2%奖励{nn}                                            战斗状态{nn}1.真实战斗：为避免战斗时间过长，采用简单战斗表现，但结果为实际战斗后的真实结果{nn}2.回合省略：为避免战斗回合过长，超过3回合的战斗将在第3回合统一结算{nn}3.顺序出场：组队状态下的排序即为出场顺序{nn}4.血量继承：玩家每次战斗后的血量将会带入下一场战斗{nn}u5.满三下场：每名玩家最多进行3场战斗，超过则强制下场	                                            玩法概述{nn}決戰冰原是跨服五人組隊戰鬥玩法，其中冰晶可以在商店中兌換道具，冰原積分可以爭奪排名，並獲得對應稱號{nn}                                            單人狀態{nn}1.自動匹配：系統將自動尋找並加入開放房間的空缺隊伍{nn}2.創建隊伍：成為隊長，創建一個房間{nn}3.冰原商店：獎勵分頁中的道具每週一0點重置{nn}4.積分排行：冰原積分每週一0點重置，冰原積分變化時，相關稱號會即時改變{nn}                                            組隊狀態{nn}1.邀請好友：所有玩家都可以邀請好友，點擊空位加號即可邀請{nn}2.更換出戰位置：隊長可以拖動玩家進行位置更換{nn}3.獎勵剩餘次數：每日3次，0點重置，最多購買9次，為0時仍可以進行戰鬥，但不再獲得獎勵{nn}4.出戰：4個隊員準備完畢後，由隊長開啟戰鬥{nn}5.獎勵加成：除一鍵邀請外的玩家都屬於活躍玩家（除隊長），每名活躍玩家可增加2%獎勵，隊伍中每有一名隊長好友，可額外再獲得2%獎勵，隊伍中每有一名與隊長同軍團的玩家，可額外再獲得2%獎勵{nn}                                            戰鬥狀態{nn}1.真實戰鬥：為避免戰鬥時間過長，採用簡單戰鬥表現，但結果為實際戰鬥後的真實結果{nn}2.回合省略：為避免戰鬥回合過長，超過3回合的戰鬥將在第3回合統一結算{nn}3.順序出場：組隊狀態下的排序即為出場順序{nn}4.血量繼承：玩家每次戰鬥後的血量將會帶入下一場戰鬥{nn}u5.滿三下場：每名玩家最多進行3場戰鬥，超過則強制下場	"Introduction{nn}Ice field is a cross-server five-a-side gameplay, ice crystals can be used to exchange items in the shop, ice field Score can be used to contend rankings, and get corresponding title {nn}                          Single state {nn} 1. Auto-matching: the system will automatically search and join the room-opened vacant team {nn} 2. Team building: create a room as team leader {nn} 3. Ice Field Shop: the items in the rewards pagination will be reset at 0 o'clock every Monday {nn} 4. Score Ranking: ice field Score will be reset at 0 o'clock every Monday, when ice field Score change, relevant titles will change in real time {nn}                                               Team-up state {nn} 1. Invite friends: all players can invite friends, tap vacancy plus sign to invite {nn} 2. Change combat position: team leader can drag players to change position {nn} 3. Remaining times for rewards: 3 times each day, reset at 0 o'clock, purchase not over 9 times, can combat without reward times but no rewards are issued {nn} 4. Combat: after 4 members prepared well, team leader starts the combat {nn} 5. Reward bonus: in addition to Quick invite players, the others belong to active players (except team leader), each active player can get 2% reward bonus, and extra 2% reward bonus for each team leader friend in the team and extra 2% reward bonus for each player who is in the same guild with team leader {nn}                                  Combat state{nn} 1. Real combat: simple combat is adopted in order to avoid overlong combat, but the results are the real results of actual combat {nn} 2. Round omission: in order to avoid overlong combat round, combats over 3 rounds will be calculated uniformly in the third round {nn} 3. Combat order: The team-up order is the combat order{nn} 4. health inheritance: health of player left of each combat will be taken into the next combat {nn} 5. Go off after three combats: each player can take 3 combats at most, and will be forced to go off when exceeding 3 combats"
161	道具购买	道具購買	Item Purchase
162	总价：	總價：	Total Price:
163	当前拥有:	當前擁有:	Have:
164	奖励	獎勵	Reward
165	商品	商品	Goods
166	回   合{nn}1	回   合{nn}1	Round {nn}1
167	我{nn}方	我{nn}方	Ally
168	敌{nn}方	敵{nn}方	Enemy
169	请出	請出	Kick out
170	请准备！！	請準備！！	Get Ready!!
171	积分称号	積分稱號	Score Title
172	称号	稱號	Title
173	称号效果	稱號效果	Title Effect
174	需求排名	需求排名	Required Ranking
175	需求积分	需求積分	Required Score
176	1.称号效果对所有上阵伙伴都有效{nn}2.积分与排名变化时，称号会实时更新	1.稱號效果對所有上陣夥伴都有效{nn}2.積分與排名變化時，稱號會即時更新	1. Title effects apply to all combating hero {nn} 2. Titles will refresh in real time when Score and rankings change
177	我的称号	我的稱號	My Title
178	军团等级	軍團等級	Guild Level
179	积分	積分	Score
180	未上榜	未上榜	No Ranking
181	排行奖励	排行獎勵	Ranking Reward
182	奖励将以邮件形式每周一00:00发放	獎勵將以郵件形式每週一00:00發放	Reward will be sent by mail at 12 am every Monday
183	阵营                        玩家                    称号                  杀人数	陣營                        玩家                    稱號                  殺人數	Camp
184	我方	我方	Ally
185	敌方	敵方	Enemy
186	创建队伍	創建隊伍	Create
187	创建一个队伍进行战斗	創建一個隊伍進行戰鬥	Create a team for battle
188	自动匹配	自動匹配	Auto Matching
189	快速寻找一个队伍进行战斗	快速尋找一個隊伍進行戰鬥	Seek a team for battle
190	每日12:00-14:00，18:00-22:00可获得[6dff00]双倍积分	每日12:00-14:00，18:00-22:00可獲得[6dff00]雙倍積分	[6Dff00]Double Score between 12 am~2 pm and 6 pm~10 pm daily
191	请队长在30秒内开启战斗	請隊長在30秒內開啟戰鬥	Leader should start battle within 30 seconds
192	请准备	請準備	Get Ready
193	默认	默認	Default
194	设置	設置	Settings
195	快捷喊话	快捷喊話	Quick Chat
196	开放房间	開放房間	Open to public
197	一键邀请	一鍵邀請	Quick Invite
198	拖动玩家可更换位置	拖動玩家可更換位置	Drag hero to alter position
199	系统提示	系統提示	System Message
200	你已经没有奖励次数{nn}继续参与将无法获得奖励	你已經沒有獎勵次數{nn}繼續參與將無法獲得獎勵	Rewards are not available for you now
201	购买次数后，获胜可得奖励：	購買次數後，獲勝可得獎勵：	Victory can get rewards after purchasing:
202	购买次数后，失败可得奖励：	購買次數後，失敗可得獎勵：	Defeat can get rewards after purchasing:
203	继续开启	繼續開啟	Continue to open
204	正在重连...	正在重連...	Reconnecting...
205	正在寻找合适队伍...	正在尋找合適隊伍...	Matching
206	主人，你当前没有好友在线	主人，你當前沒有好友線上	"No firend is online now, master"
207	邀请好友	邀請好友	Invite Friends
208	剩余奖励次数	剩餘獎勵次數	Reward Limit
209	队伍等级、积分越高，匹配的对手实力越强{nn}	隊伍等級、積分越高，匹配的對手實力越強{nn}	"The higher team level and Score is, the stronger the matched opponents are{nn}"
210	主人，您收到来自以下好友的邀请：	主人，您收到來自以下好友的邀請：	"Invitations from the following friends, master:"
211	目前没有好友邀请您哦	目前沒有好友邀請您哦	No invitations from friends now
212	邀请函	邀請函	Invitation
213	紫装	紫裝	Rare Equipment
214	组队信息	組隊資訊	Team Info
215	冰原积分：	冰原積分：	Ice Zone Score:
216	我的排名：	我的排名：	My Rank:
217	【未上榜】	【未上榜】	[No Ranking]
218	队形	隊形	Formation
219	商店	商店	Shop
220	队长	隊長	Leader
221	准备完毕	準備完畢	Ready
222	邀请函：	邀請函：	Ticket:
223	全服击杀	全服擊殺	Server Kills
224	伤害	傷害	Damage
225	一键领取	一鍵領取	Quick Claim
226	每日奖励	每日獎勵	Daily Reward
227	欢迎来到魔王商店，走过路过不要错过	歡迎來到魔王商店，走過路過不要錯過	Welcome to the Boss Shop
228	每日购买次数会在晚上24:00重置	每日購買次數會在晚上24:00重置	Refresh at 12 am
229	魔王商店	魔王商店	Boss Shop
230	累计伤害	累計傷害	Accumulated Damage
231	最高伤害	最高傷害	Max Damage
232	总伤害奖励	總傷害獎勵	Accumulated Damage Reward
233	最高伤害奖励	最高傷害獎勵	Max Damage Reward
234	名次	名次	Ranking
235	奖励将以邮件形式每天24:00发放	獎勵將以郵件形式每天24:00發放	Rewards will be sent by mail at 12 am daily
236	攻击力翻倍时间	攻擊力翻倍時間	Double Damage Time
237	魔王战报	魔王戰報	Result
238	拉格纳罗斯分身	拉格納羅斯分身	Ragnar Ross Form
239	2小时后开始	2小時後開始	Start in 2 hours
240	一键装备	一鍵裝備	E
241	护甲	護甲	Armor
242	防饰	防飾	Ornament 2
243	15级开启 	15級開啟	Lv.15{nn}Unlock
244	手套	手套	Bracers
245	武器	武器	Weapon
246	攻饰	攻飾	Ornament 1
247	一键强化	一鍵強化	Q
248	战靴	戰靴	Boots
249	属性共振	屬性共振	Resonance
250	点击更换伙伴	點擊更換夥伴	Change
251	强化进度	強化進度	Enhance Progress
252	装备共振	裝備共振	Equipment Resonance
253	无	無	Empty
254	后援鼓舞	後援鼓舞	Backup Encouragement
255	后援上阵	後援上陣	Backup in Battle
256	38级开启 	38級開啟	Lv.38 Unlock
257	43级开启 	43級開啟	Lv.43 Unlock
258	48级开启 	48級開啟	Lv.48 Unlock
259	53级开启 	53級開啟	Lv.53 Unlock
260	58级开启 	58級開啟	Lv.58 Unlock
261	63级开启 	63級開啟	Lv.63 Unlock
262	后援可启动上阵伙伴组合效果	後援可啟動上陣夥伴組合效果	Backup can activate the placed hero's relation property
263	当前上阵伙伴组合效果	當前上陣夥伴組合效果	Placed hero's relation property
264	后援助威	後援助威	Backup Encouragement
265	饰品强化	飾品強化	Ornament Enhance
266	饰品精炼	飾品精煉	Ornament Refine
267	技能升级	技能升級	Skill Upgrade
268	装备强化	裝備強化	Equipment Enhance
269	装备精炼	裝備精煉	Equipment Refine
270	2级开启 	2級開啟	Lv.2 Unlock
271	7级开启	7級開啟	Lv.7 Unlock
272	9级开启 	9級開啟	Lv.9 Unlock
273	23级开启 	23級開啟	Lv.23 Unlock
274	33级开启 	33級開啟	Lv.33 Unlock
275	75级开启 	75級開啟	Lv.75 Unlock
276	未上阵	未上陣	Idle
277	已上阵	已上陣	Placed
278	70级开启 	70級開啟	Lv.70 Unlock
279	后援	後援	Backup
280	技能	技能	Skill
281	属性	屬性	Property
282	重生	重生	Restore
283	强化	強化	Enhance
284	图鉴	圖鑒	Book
285	培养	培養	Forge
286	详细	詳細	Detail
287	- 喂养 -	- 餵養 -	Feed
288	- 进阶 -	- 進階 -	Advance
289	-代码-	-代码-	code
290	- 升星 -	- 升星 -	Evolve
291	介绍	介紹	Detail
292	攻击	攻擊	Damage
293	生命	生命	Health
294	魔防	魔防	Magic Defense
295	物防	物防	Physical Defense
296	属性 	屬性	Property
297	时装	時裝	Fashion
298	- 充能 -	- 充能 -	Upgrade
299	- 技能 -	- 技能 -	Skill
300	- 突破 -	- 突破 -	Evolve
301	组合 	組合	Relation
302	光环等级	光環等級	Halo Level
303	玩家等级:	玩家等級:	Player Level:
304	需要金币:	需要金幣:	Gold:
305	升级	升級	Upgrade
306	开启技能:	開啟技能:	Unlock Skill:
307	更换	更換	Change
308	卸下	卸下	Remove
309	护卫宠物	護衛寵物	Guarding Pet
310	宠物自身属性越高提供的护卫属性就越高	寵物自身屬性越高提供的護衛屬性就越高	"The higher pet's own property, the higher guarding property provided is"
311	护卫属性加成	護衛屬性加成	Guarding property bonus
312	没有可以选择的宠物	沒有可以選擇的寵物	No pets
313	觉醒	覺醒	Awaken
314	伙伴等级	夥伴等級	Hero Level
315	需要金币	需要金幣	Gold
316	已升至最高品级	已升至最高品級	Max Quality
317	成长	成長	Growth
318	参战伙伴在战斗中自动排列	參戰夥伴在戰鬥中自動排列	Heros are placed automatically in fighting
