INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING	STRING
113	91650	120	60	258000	516000	774000	1032000	68250	133	77	708	535	410820	1210260	2398320	5995800														
114	92850	120	60	264000	528000	792000	1056000	69750	134	77	714	540	417880	1231240	2440080	6100200														
115	94050	120	60	270000	540000	810000	1080000	71250	135	78	720	545	425000	1252400	2482200	6205500														
116	94650	120	60	276000	552000	828000	1104000	72750	136	78	726	550	432180	1273740	2524680	6311700														
117	95250	120	60	282000	564000	846000	1128000	74250	137	79	732	555	439420	1295260	2567520	6418800														
118	95850	120	60	288000	576000	864000	1152000	75750	138	79	738	560	446720	1316960	2610720	6526800														
119	96450	120	60	294000	588000	882000	1176000	77250	139	80	744	565	454080	1338840	2654280	6635700														
120	97050	120	60	300000	600000	900000	1200000	78750	140	80	750	570	461500	1360900	2698200	6745500														
121	101850	120	60	309000	610000	930000	1296000	81750	141	81	756	575	468980	1382960	2742480	6856200														
122	106650	120	60	318000	620000	960000	1392000	84750	142	81	762	580	476520	1405200	2787120	6967800														
123	111450	120	60	327000	630000	990000	1488000	87750	143	82	768	585	484120	1427620	2832120	7080300														
124	116250	120	60	336000	640000	1020000	1584000	90750	144	82	774	590	491780	1450220	2877480	7193700														
125	121050	120	60	345000	650000	1050000	1680000	93750	145	83	780	595	499500	1473000	2923200	7308000														
126	125850	120	60	354000	660000	1080000	1776000	96750	146	83	786	600	507280	1495960	2969280	7423200														
127	130650	120	60	363000	670000	1110000	1872000	99750	147	84	792	605	515120	1519100	3015720	7539300														
128	135450	120	60	372000	680000	1140000	1968000	102750	148	84	798	610	523020	1542420	3062520	7656300														
129	140250	120	60	381000	690000	1170000	2064000	105750	149	85	804	615	530980	1565920	3109680	7774200														
130	145050	120	60	390000	700000	1200000	2160000	108750	150	85	810	620	539000	1589600	3157200	7893000														
131	149850	120	60	399000	710000	1230000	2256000	111750	151	86	816	625	547080	1613460	3205080	8012700														
132	154650	120	60	408000	720000	1260000	2352000	114750	152	86	822	630	555220	1637500	3253320	8133300														
133	159450	120	60	417000	730000	1290000	2448000	117750	153	87	828	635	563420	1661720	3301920	8254800														
134	164250	120	60	426000	740000	1320000	2544000	120750	154	87	834	640	571680	1686120	3350880	8377200														
135	169050	120	60	435000	750000	1350000	2640000	123750	155	88	840	645	580000	1710700	3400200	8500500														
136	178650	120	60	444000	760000	1380000	2736000	126750	156	88	846	650	588380	1735460	3449880	8624700														
137	188250	120	60	453000	770000	1410000	2832000	129750	157	89	852	655	596820	1760400	3499920	8749800														
138	197850	120	60	462000	780000	1440000	2928000	132750	158	89	858	660	605320	1785520	3550320	8875800														
139	207450	120	60	471000	790000	1470000	3024000	135750	159	90	864	665	613880	1810820	3601080	9002700														
140	217050	120	60	480000	800000	1500000	3120000	138750	160	90	870	670	622500	1836300	3652200	9130500														
141	226650	120	60	489000	810000	1530000	3216000	141750	161	91	876	675	631180	1861960	3703680	9259200														
142	236250	120	60	498000	820000	1560000	3312000	144750	162	91	882	680	639920	1887800	3755520	9388800														
143	245850	120	60	507000	830000	1590000	3408000	147750	163	92	888	685	648720	1913820	3807720	9519300														
144	255450	120	60	516000	840000	1620000	3504000	150750	164	92	894	690	657580	1940020	3860280	9650700														
145	265050	120	60	525000	850000	1650000	3600000	153750	165	93	900	695	666500	1966400	3913200	9783000														
146	274650	120	60	534000	860000	1680000	3696000	156750	166	93	906	700	675480	1992960	3966480	9916200														
147	284250	120	60	543000	870000	1710000	3792000	159750	167	94	912	705	684520	2019700	4020120	10050300														
148	293850	120	60	552000	880000	1740000	3888000	162750	168	94	918	710	693620	2046620	4074120	10185300														
149	303450	120	60	561000	890000	1770000	3984000	165750	169	95	924	715	702780	2073720	4128480	10321200														
150	313050	120	60	570000	900000	1800000	4080000	168750	170	95	930	720	712000	2101000	4183200	10458000														
