INT	STR	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
12	第12关 - 往逝	t_guild_mission_name_12	60120011	60120012	60120021	60120022	60120031	60120032	60120041	60120042	410	430	210	2100	1	1	90000	180000	360000	600000	1200000	2	50090001	17	34	68	110	220	2	50070001	17	34	68	110	220	2	50100001	17	34	68	110	220	1	10	7500	0	1	1	600000	0	2	50100001	210	0	
13	第13关 - 失控	t_guild_mission_name_13	60130011	60130012	60130021	60130022	60130031	60130032	60130041	60130042	430	450	220	2200	1	1	95000	190000	380000	630000	1260000	2	50090001	18	36	72	120	240	2	50070001	18	36	72	120	240	2	50100001	18	36	72	120	240	1	10	8000	0	1	1	650000	0	2	50090001	220	0	
14	第14关 - 星海	t_guild_mission_name_14	60140011	60140012	60140021	60140022	60140031	60140032	60140041	60140042	450	470	230	2300	1	1	100000	200000	400000	660000	1320000	2	50090001	19	38	76	120	240	2	50070001	19	38	76	120	240	2	50100001	19	38	76	120	240	1	10	8500	0	1	1	700000	0	2	50100001	230	0	5
15	第15关 - 边缘	t_guild_mission_name_15	60150011	60150012	60150021	60150022	60150031	60150032	60150041	60150042	470	490	240	2400	1	1	105000	210000	420000	700000	1400000	2	50090001	20	40	80	130	260	2	50070001	20	40	80	130	260	2	50100001	20	40	80	130	260	1	10	9000	0	1	1	750000	0	2	50090001	240	0	
16	第16关 - 盗梦	t_guild_mission_name_16	60160011	60160012	60160021	60160022	60160031	60160032	60160041	60160042	490	510	250	2500	1	1	110000	220000	440000	730000	1460000	2	50090001	21	42	84	140	280	2	50070001	21	42	84	140	280	2	50100001	21	42	84	140	280	1	10	9500	0	1	1	800000	0	2	50100001	250	0	
17	第17关 - 饕餮	t_guild_mission_name_17	60170011	60170012	60170021	60170022	60170031	60170032	60170041	60170042	510	530	260	2600	1	1	115000	230000	460000	760000	1520000	2	50090001	22	44	88	140	280	2	50070001	22	44	88	140	280	2	50100001	22	44	88	140	280	1	10	10000	0	1	1	850000	0	2	50090001	260	0	
18	第18关 - 活着	t_guild_mission_name_18	60180011	60180012	60180021	60180022	60180031	60180032	60180041	60180042	530	550	270	2700	1	1	120000	240000	480000	800000	1600000	2	50090001	23	46	92	150	300	2	50070001	23	46	92	150	300	2	50100001	23	46	92	150	300	1	10	10500	0	1	1	900000	0	2	50100001	270	0	
19	第19关 - 歌者	t_guild_mission_name_19	60190011	60190012	60190021	60190022	60190031	60190032	60190041	60190042	550	570	280	2800	1	1	125000	250000	500000	830000	1660000	2	50090001	24	48	96	160	320	2	50070001	24	48	96	160	320	2	50100001	24	48	96	160	320	1	10	11000	0	1	1	950000	0	2	50090001	280	0	
20	第20关 - 未来	t_guild_mission_name_20	60200011	60200012	60200021	60200022	60200031	60200032	60200041	60200042	570	590	290	2900	1	1	130000	260000	520000	860000	1720000	2	50090001	25	50	100	160	320	2	50070001	25	50	100	160	320	2	50100001	25	50	100	160	320	1	10	11500	0	1	1	1000000	0	2	50100001	290	0	
21	第21关 - 错位	t_guild_mission_name_21	60210011	60210012	60210021	60210022	60210031	60210032	60210041	60210042	590	610	300	3000	1	1	135000	270000	540000	900000	1800000	2	50090001	26	52	104	170	340	2	50070001	26	52	104	170	340	2	50100001	26	52	104	170	340	1	10	12000	0	1	1	1050000	0	2	50090001	300	0	
22	第22关 - 光束	t_guild_mission_name_22	60220011	60220012	60220021	60220022	60220031	60220032	60220041	60220042	610	630	310	3100	1	1	140000	280000	560000	930000	1860000	2	50090001	27	54	108	180	360	2	50070001	27	54	108	180	360	2	50100001	27	54	108	180	360	1	10	12500	0	1	1	1100000	0	2	50100001	310	0	
23	第23关 - 帝国	t_guild_mission_name_23	60230011	60230012	60230021	60230022	60230031	60230032	60230041	60230042	630	650	320	3200	1	1	145000	290000	580000	960000	1920000	2	50090001	28	56	112	180	360	2	50070001	28	56	112	180	360	2	50100001	28	56	112	180	360	1	10	13000	0	1	1	1150000	0	2	50090001	320	0	
24	第24关 - 背影	t_guild_mission_name_24	60240011	60240012	60240021	60240022	60240031	60240032	60240041	60240042	650	670	330	3300	1	1	150000	300000	600000	1000000	2000000	2	50090001	29	58	116	190	380	2	50070001	29	58	116	190	380	2	50100001	29	58	116	190	380	1	10	13500	0	1	1	1200000	0	2	50100001	330	0	
25	第25关 - 伟业	t_guild_mission_name_25	60250011	60250012	60250021	60250022	60250031	60250032	60250041	60250042	670	690	340	3400	1	1	155000	310000	620000	1030000	2060000	2	50090001	30	60	120	200	400	2	50070001	30	60	120	200	400	2	50100001	30	60	120	200	400	1	10	14000	0	1	1	1250000	0	2	50090001	340	0	
26	第26关 - 火焰	t_guild_mission_name_26	60260011	60260012	60260021	60260022	60260031	60260032	60260041	60260042	690	710	350	3500	1	1	160000	320000	640000	1060000	2120000	2	50090001	31	62	124	200	400	2	50070001	31	62	124	200	400	2	50100001	31	62	124	200	400	1	10	14500	0	1	1	1300000	0	2	50100001	350	0	
27	第27关 - 陨落	t_guild_mission_name_27	60270011	60270012	60270021	60270022	60270031	60270032	60270041	60270042	710	730	360	3600	1	1	165000	330000	660000	1100000	2200000	2	50090001	32	64	128	210	420	2	50070001	32	64	128	210	420	2	50100001	32	64	128	210	420	1	10	15000	0	1	1	1350000	0	2	50090001	360	0	
28	第28关 - 断箭	t_guild_mission_name_28	60280011	60280012	60280021	60280022	60280031	60280032	60280041	60280042	730	750	370	3700	1	1	170000	340000	680000	1130000	2260000	2	50090001	33	66	132	220	440	2	50070001	33	66	132	220	440	2	50100001	33	66	132	220	440	1	10	15500	0	1	1	1400000	0	2	50100001	370	0	
29	第29关 - 货币	t_guild_mission_name_29	60290011	60290012	60290021	60290022	60290031	60290032	60290041	60290042	750	770	380	3800	1	1	175000	350000	700000	1160000	2320000	2	50090001	34	68	136	220	440	2	50070001	34	68	136	220	440	2	50100001	34	68	136	220	440	1	10	16000	0	1	1	1450000	0	2	50090001	380	0	6
30	第30关 - 新星	t_guild_mission_name_30	60300011	60300012	60300021	60300022	60300031	60300032	60300041	60300042	770	790	390	3900	1	1	180000	360000	720000	1200000	2400000	2	50090001	35	70	140	230	460	2	50070001	35	70	140	230	460	2	50100001	35	70	140	230	460	1	10	16500	0	1	1	1500000	0	2	50100001	390	0	
31	第31关 - 异变	t_guild_mission_name_31	60310011	60310012	60310021	60310022	60310031	60310032	60310041	60310042	790	810	400	4000	1	1	185000	370000	740000	1230000	2460000	2	50090001	36	72	144	240	480	2	50070001	36	72	144	240	480	2	50100001	36	72	144	240	480	1	10	17000	0	1	1	1550000	0	2	50090001	400	0	
32	第32关 - 进化	t_guild_mission_name_32	60320011	60320012	60320021	60320022	60320031	60320032	60320041	60320042	810	830	410	4100	1	1	190000	380000	760000	1260000	2520000	2	50090001	37	74	148	240	480	2	50070001	37	74	148	240	480	2	50100001	37	74	148	240	480	1	10	17500	0	1	1	1600000	0	2	50100001	410	0	
33	第33关 - 锁链	t_guild_mission_name_33	60330011	60330012	60330021	60330022	60330031	60330032	60330041	60330042	830	850	420	4200	1	1	195000	390000	780000	1300000	2600000	2	50090001	38	76	152	250	500	2	50070001	38	76	152	250	500	2	50100001	38	76	152	250	500	1	10	18000	0	1	1	1650000	0	2	50090001	420	0	
34	第34关 - 超载	t_guild_mission_name_34	60340011	60340012	60340021	60340022	60340031	60340032	60340041	60340042	850	870	430	4300	1	1	200000	400000	800000	1330000	2660000	2	50090001	39	78	156	260	520	2	50070001	39	78	156	260	520	2	50100001	39	78	156	260	520	1	10	18500	0	1	1	1700000	0	2	50100001	430	0	
35	第35关 - 次元	t_guild_mission_name_35	60350011	60350012	60350021	60350022	60350031	60350032	60350041	60350042	870	890	440	4400	1	1	205000	410000	820000	1360000	2720000	2	50090001	40	80	160	260	520	2	50070001	40	80	160	260	520	2	50100001	40	80	160	260	520	1	10	19000	0	1	1	1750000	0	2	50090001	440	0	
36	第36关 - 琉璃	t_guild_mission_name_36	60360011	60360012	60360021	60360022	60360031	60360032	60360041	60360042	890	910	450	4500	1	1	210000	420000	840000	1400000	2800000	2	50090001	41	82	164	270	540	2	50070001	41	82	164	270	540	2	50100001	41	82	164	270	540	1	10	19500	0	1	1	1800000	0	2	50100001	450	0	
37	第37关 - 磁能	t_guild_mission_name_37	60370011	60370012	60370021	60370022	60370031	60370032	60370041	60370042	910	930	460	4600	1	1	215000	430000	860000	1430000	2860000	2	50090001	42	84	168	280	560	2	50070001	42	84	168	280	560	2	50100001	42	84	168	280	560	1	10	20000	0	1	1	1850000	0	2	50090001	460	0	
38	第38关 - 异能	t_guild_mission_name_38	60380011	60380012	60380021	60380022	60380031	60380032	60380041	60380042	930	950	470	4700	1	1	220000	440000	880000	1460000	2920000	2	50090001	43	86	172	280	560	2	50070001	43	86	172	280	560	2	50100001	43	86	172	280	560	1	10	20500	0	1	1	1900000	0	2	50100001	470	0	
39	第39关 - 光晕	t_guild_mission_name_39	60390011	60390012	60390021	60390022	60390031	60390032	60390041	60390042	950	970	480	4800	1	1	225000	450000	900000	1500000	3000000	2	50090001	44	88	176	290	580	2	50070001	44	88	176	290	580	2	50100001	44	88	176	290	580	1	10	21000	0	1	1	1950000	0	2	50090001	480	0	
40	第40关 - 熔岩	t_guild_mission_name_40	60400011	60400012	60400021	60400022	60400031	60400032	60400041	60400042	970	990	490	4900	1	1	230000	460000	920000	1530000	3060000	2	50090001	45	90	180	300	600	2	50070001	45	90	180	300	600	2	50100001	45	90	180	300	600	1	10	21500	0	1	1	2000000	0	2	50100001	490	0	7
41	第41关 - 保险	t_guild_mission_name_41	60410011	60410012	60410021	60410022	60410031	60410032	60410041	60410042	990	1010	500	5000	1	1	235000	470000	940000	1560000	3120000	2	50090001	46	92	184	300	600	2	50070001	46	92	184	300	600	2	50100001	46	92	184	300	600	1	10	22000	0	1	1	2050000	0	2	50090001	500	0	
42	第42关 - 安分	t_guild_mission_name_42	60420011	60420012	60420021	60420022	60420031	60420032	60420041	60420042	1010	1030	510	5100	1	1	240000	480000	960000	1600000	3200000	2	50090001	47	94	188	310	620	2	50070001	47	94	188	310	620	2	50100001	47	94	188	310	620	1	10	22500	0	1	1	2100000	0	2	50100001	510	0	
43	第43关 - 穿越	t_guild_mission_name_43	60430011	60430012	60430021	60430022	60430031	60430032	60430041	60430042	1030	1050	520	5200	1	1	245000	490000	980000	1630000	3260000	2	50090001	48	96	192	320	640	2	50070001	48	96	192	320	640	2	50100001	48	96	192	320	640	1	10	23000	0	1	1	2150000	0	2	50090001	520	0	
44	第44关 - 考核	t_guild_mission_name_44	60440011	60440012	60440021	60440022	60440031	60440032	60440041	60440042	1050	1070	530	5300	1	1	250000	500000	1000000	1660000	3320000	2	50090001	49	98	196	320	640	2	50070001	49	98	196	320	640	2	50100001	49	98	196	320	640	1	10	23500	0	1	1	2200000	0	2	50100001	530	0	
45	第45关 - 禁运	t_guild_mission_name_45	60450011	60450012	60450021	60450022	60450031	60450032	60450041	60450042	1070	1090	540	5400	1	1	255000	510000	1020000	1700000	3400000	2	50090001	50	100	200	330	660	2	50070001	50	100	200	330	660	2	50100001	50	100	200	330	660	1	10	24000	0	1	1	2250000	0	2	50090001	540	0	
46	第46关 - 伪装	t_guild_mission_name_46	60460011	60460012	60460021	60460022	60460031	60460032	60460041	60460042	1090	1110	550	5500	1	1	260000	520000	1040000	1730000	3460000	2	50090001	51	102	204	340	680	2	50070001	51	102	204	340	680	2	50100001	51	102	204	340	680	1	10	24500	0	1	1	2300000	0	2	50100001	550	0	
47	第47关 - 实验	t_guild_mission_name_47	60470011	60470012	60470021	60470022	60470031	60470032	60470041	60470042	1110	1130	560	5600	1	1	265000	530000	1060000	1760000	3520000	2	50090001	52	104	208	340	680	2	50070001	52	104	208	340	680	2	50100001	52	104	208	340	680	1	10	25000	0	1	1	2350000	0	2	50090001	560	0	
48	第48关 - 遗产	t_guild_mission_name_48	60480011	60480012	60480021	60480022	60480031	60480032	60480041	60480042	1130	1150	570	5700	1	1	270000	540000	1080000	1800000	3600000	2	50090001	53	106	212	350	700	2	50070001	53	106	212	350	700	2	50100001	53	106	212	350	700	1	10	25500	0	1	1	2400000	0	2	50100001	570	0	
49	第49关 - 制度	t_guild_mission_name_49	60490011	60490012	60490021	60490022	60490031	60490032	60490041	60490042	1150	1170	580	5800	1	1	275000	550000	1100000	1830000	3660000	2	50090001	54	108	216	360	720	2	50070001	54	108	216	360	720	2	50100001	54	108	216	360	720	1	10	26000	0	1	1	2450000	0	2	50090001	580	0	
50	第50关 - 降临	t_guild_mission_name_50	60500011	60500012	60500021	60500022	60500031	60500032	60500041	60500042	1170	1190	590	5900	1	1	280000	560000	1120000	1860000	3720000	2	50090001	55	110	220	360	720	2	50070001	55	110	220	360	720	2	50100001	55	110	220	360	720	1	10	26500	0	1	1	2500000	0	2	50100001	590	0	
51	第51关 - 禁令	t_guild_mission_name_51	60510011	60510012	60510021	60510022	60510031	60510032	60510041	60510042	1190	1210	600	6000	1	1	285000	570000	1140000	1900000	3800000	2	50090001	56	112	224	370	740	2	50070001	56	112	224	370	740	2	50100001	56	112	224	370	740	1	10	27000	0	1	1	2550000	0	2	50090001	600	0	
52	第52关 - 计划	t_guild_mission_name_52	60520011	60520012	60520021	60520022	60520031	60520032	60520041	60520042	1210	1230	610	6100	1	1	290000	580000	1160000	1930000	3860000	2	50090001	57	114	228	380	760	2	50070001	57	114	228	380	760	2	50100001	57	114	228	380	760	1	10	27500	0	1	1	2600000	0	2	50100001	610	0	
53	第53关 - 冒牌	t_guild_mission_name_53	60530011	60530012	60530021	60530022	60530031	60530032	60530041	60530042	1230	1250	620	6200	1	1	295000	590000	1180000	1960000	3920000	2	50090001	58	116	232	380	760	2	50070001	58	116	232	380	760	2	50100001	58	116	232	380	760	1	10	28000	0	1	1	2650000	0	2	50090001	620	0	
54	第54关 - 沦陷	t_guild_mission_name_54	60540011	60540012	60540021	60540022	60540031	60540032	60540041	60540042	1250	1270	630	6300	1	1	300000	600000	1200000	2000000	4000000	2	50090001	59	118	236	390	780	2	50070001	59	118	236	390	780	2	50100001	59	118	236	390	780	1	10	28500	0	1	1	2700000	0	2	50100001	630	0	
55	第55关 - 希望	t_guild_mission_name_55	60550011	60550012	60550021	60550022	60550031	60550032	60550041	60550042	1270	1290	640	6400	1	1	305000	610000	1220000	2030000	4060000	2	50090001	60	120	240	400	800	2	50070001	60	120	240	400	800	2	50100001	60	120	240	400	800	1	10	29000	0	1	1	2750000	0	2	50090001	640	0	
56	第56关 - 逃离	t_guild_mission_name_56	60560011	60560012	60560021	60560022	60560031	60560032	60560041	60560042	1290	1310	650	6500	1	1	310000	620000	1240000	2060000	4120000	2	50090001	61	122	244	400	800	2	50070001	61	122	244	400	800	2	50100001	61	122	244	400	800	1	10	29500	0	1	1	2800000	0	2	50100001	650	0	
57	第57关 - 尊严	t_guild_mission_name_57	60570011	60570012	60570021	60570022	60570031	60570032	60570041	60570042	1310	1330	660	6600	1	1	315000	630000	1260000	2100000	4200000	2	50090001	62	124	248	410	820	2	50070001	62	124	248	410	820	2	50100001	62	124	248	410	820	1	10	30000	0	1	1	2850000	0	2	50090001	660	0	
58	第58关 - 反叛	t_guild_mission_name_58	60580011	60580012	60580021	60580022	60580031	60580032	60580041	60580042	1330	1350	670	6700	1	1	320000	640000	1280000	2130000	4260000	2	50090001	63	126	252	420	840	2	50070001	63	126	252	420	840	2	50100001	63	126	252	420	840	1	10	30500	0	1	1	2900000	0	2	50100001	670	0	
59	第59关 - 英雄	t_guild_mission_name_59	60590011	60590012	60590021	60590022	60590031	60590032	60590041	60590042	1350	1370	680	6800	1	1	325000	650000	1300000	2160000	4320000	2	50090001	64	128	256	420	840	2	50070001	64	128	256	420	840	2	50100001	64	128	256	420	840	1	10	31000	0	1	1	2950000	0	2	50090001	680	0	
60	第60关 - 罪恶	t_guild_mission_name_60	60600011	60600012	60600021	60600022	60600031	60600032	60600041	60600042	1370	1390	690	6900	1	1	330000	660000	1320000	2200000	4400000	2	50090001	65	130	260	430	860	2	50070001	65	130	260	430	860	2	50100001	65	130	260	430	860	1	10	31500	0	1	1	3000000	0	2	50100001	690	0	
