INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
36009	1	1	60000	0	2	40030033	4	0	2	70040306	5	0				
37003	1	1	60000	0	2	40030031	4	0								
37006	1	1	60000	0	2	40030032	4	0								
37009	1	1	60000	0	2	40030033	4	0	2	70010401	2	0				
38003	1	1	60000	0	2	40030031	4	0								
38006	1	1	60000	0	2	40030032	4	0								
38009	1	1	60000	0	2	40030033	4	0	2	70020401	2	0				
39003	1	1	60000	0	2	40030031	4	0								
39006	1	1	60000	0	2	40030032	4	0								
39009	1	1	60000	0	2	40030033	4	0	2	70030401	2	0				
40003	1	1	60000	0	2	40030031	4	0								
40006	1	1	60000	0	2	40030032	4	0								
40009	1	1	60000	0	2	40030033	4	0	2	70040401	2	0				
41003	1	1	80000	0	2	40030031	4	0								
41006	1	1	80000	0	2	40030032	4	0								
41009	1	1	80000	0	2	40030033	4	0	2	70010402	2	0				
42003	1	1	80000	0	2	40030031	4	0								
42006	1	1	80000	0	2	40030032	4	0								
42009	1	1	80000	0	2	40030033	4	0	2	70020402	2	0				
43003	1	1	80000	0	2	40030031	4	0								
43006	1	1	80000	0	2	40030032	4	0								
43009	1	1	80000	0	2	40030033	4	0	2	70030402	2	0				
44003	1	1	80000	0	2	40030031	4	0								
44006	1	1	80000	0	2	40030032	4	0								
44009	1	1	80000	0	2	40030033	4	0	2	70040402	2	0				
45003	1	1	80000	0	2	40030031	4	0								
45006	1	1	80000	0	2	40030032	4	0								
45009	1	1	80000	0	2	40030033	4	0	2	70010403	2	0				
46003	1	1	80000	0	2	40030031	5	0								
46006	1	1	80000	0	2	40030032	5	0								
46009	1	1	80000	0	2	40030033	5	0	2	70020403	2	0				
47003	1	1	80000	0	2	40030031	5	0								
47006	1	1	80000	0	2	40030032	5	0								
47009	1	1	80000	0	2	40030033	5	0	2	70030403	2	0				
48003	1	1	80000	0	2	40030031	5	0								
48006	1	1	80000	0	2	40030032	5	0								
48009	1	1	80000	0	2	40030033	5	0	2	70040403	2	0				
49003	1	1	80000	0	2	40030031	5	0								
49006	1	1	80000	0	2	40030032	5	0								
49009	1	1	80000	0	2	40030033	5	0	2	70010404	2	0				
50003	1	1	80000	0	2	40030031	5	0								
50006	1	1	80000	0	2	40030032	5	0								
50009	1	1	80000	0	2	40030033	5	0	2	70020404	2	0				
51003	1	1	100000	0	2	40030041	5	0								
51006	1	1	100000	0	2	40030042	5	0								
51009	1	1	100000	0	2	40030043	5	0	2	70030404	2	0				
52003	1	1	100000	0	2	40030041	5	0								
52006	1	1	100000	0	2	40030042	5	0								
52009	1	1	100000	0	2	40030043	5	0	2	70040404	2	0				
53003	1	1	100000	0	2	40030041	5	0								
53006	1	1	100000	0	2	40030042	5	0								
53009	1	1	100000	0	2	40030043	5	0	2	70010405	2	0				
54003	1	1	100000	0	2	40030041	5	0								
54006	1	1	100000	0	2	40030042	5	0								
54009	1	1	100000	0	2	40030043	5	0	2	70020405	2	0				
55003	1	1	100000	0	2	40030041	5	0								
55006	1	1	100000	0	2	40030042	5	0								
55009	1	1	100000	0	2	40030043	5	0	2	70030405	2	0				
56003	1	1	100000	0	2	40030041	6	0								
56006	1	1	100000	0	2	40030042	6	0								
56009	1	1	100000	0	2	40030043	6	0	2	70040405	2	0				
57003	1	1	100000	0	2	40030041	6	0								
57006	1	1	100000	0	2	40030042	6	0								
57009	1	1	100000	0	2	40030043	6	0	2	70010406	2	0				
58003	1	1	100000	0	2	40030041	6	0								
58006	1	1	100000	0	2	40030042	6	0								
58009	1	1	100000	0	2	40030043	6	0	2	70020406	2	0				
59003	1	1	100000	0	2	40030041	6	0								
59006	1	1	100000	0	2	40030042	6	0								
59009	1	1	100000	0	2	40030043	6	0	2	70030406	2	0				
60003	1	1	100000	0	2	40030041	6	0								
60006	1	1	100000	0	2	40030042	6	0								
60009	1	1	100000	0	2	40030043	6	0	2	70040406	2	0				
61003	1	1	100000	0	2	40030041	6	0								
61006	1	1	100000	0	2	40030042	6	0								
61009	1	1	100000	0	2	40030043	6	0	2	70010401	2	0				
62003	1	1	100000	0	2	40030041	6	0								
62006	1	1	100000	0	2	40030042	6	0								
62009	1	1	100000	0	2	40030043	6	0	2	70020401	2	0				
63003	1	1	100000	0	2	40030041	6	0								
63006	1	1	100000	0	2	40030042	6	0								
63009	1	1	100000	0	2	40030043	6	0	2	70030401	2	0				
64003	1	1	100000	0	2	40030041	6	0								
64006	1	1	100000	0	2	40030042	6	0								
64009	1	1	100000	0	2	40030043	6	0	2	70040401	2	0				
65003	1	1	100000	0	2	40030041	6	0								
65006	1	1	100000	0	2	40030042	6	0								
65009	1	1	100000	0	2	40030043	6	0	2	70010402	2	0				
66003	1	1	100000	0	2	40030041	6	0								
66006	1	1	100000	0	2	40030042	6	0								
66009	1	1	100000	0	2	40030043	6	0	2	70020402	2	0				
67003	1	1	100000	0	2	40030041	6	0								
67006	1	1	100000	0	2	40030042	6	0								
67009	1	1	100000	0	2	40030043	6	0	2	70030402	2	0				
68003	1	1	100000	0	2	40030041	6	0								
68006	1	1	100000	0	2	40030042	6	0								
68009	1	1	100000	0	2	40030043	6	0	2	70040402	2	0				
69003	1	1	100000	0	2	40030041	6	0								
69006	1	1	100000	0	2	40030042	6	0								
69009	1	1	100000	0	2	40030043	6	0	2	70010403	2	0				
70003	1	1	100000	0	2	40030041	6	0								
70006	1	1	100000	0	2	40030042	6	0								
70009	1	1	100000	0	2	40030043	6	0	2	70020403	2	0				
71003	1	1	100000	0	2	40030051	6	0								
71006	1	1	100000	0	2	40030052	6	0								
71009	1	1	100000	0	2	40030053	6	0	2	70030403	2	0				
72003	1	1	100000	0	2	40030051	6	0								
72006	1	1	100000	0	2	40030052	6	0								
72009	1	1	100000	0	2	40030053	6	0	2	70040403	2	0				
73003	1	1	100000	0	2	40030051	6	0								
73006	1	1	100000	0	2	40030052	6	0								
73009	1	1	100000	0	2	40030053	6	0	2	70010404	2	0				
74003	1	1	100000	0	2	40030051	6	0								
74006	1	1	100000	0	2	40030052	6	0								
74009	1	1	100000	0	2	40030053	6	0	2	70020404	2	0				
75003	1	1	100000	0	2	40030051	6	0								
75006	1	1	100000	0	2	40030052	6	0								
75009	1	1	100000	0	2	40030053	6	0	2	70030404	2	0				
76003	1	1	100000	0	2	40030051	6	0								
76006	1	1	100000	0	2	40030052	6	0								
76009	1	1	100000	0	2	40030053	6	0	2	70040404	2	0				
77003	1	1	100000	0	2	40030051	6	0								
77006	1	1	100000	0	2	40030052	6	0								
77009	1	1	100000	0	2	40030053	6	0	2	70010405	2	0				
78003	1	1	100000	0	2	40030051	6	0								
78006	1	1	100000	0	2	40030052	6	0								
78009	1	1	100000	0	2	40030053	6	0	2	70020405	2	0				
79003	1	1	100000	0	2	40030051	6	0								
79006	1	1	100000	0	2	40030052	6	0								
79009	1	1	100000	0	2	40030053	6	0	2	70030405	2	0				
80003	1	1	100000	0	2	40030051	6	0								
80006	1	1	100000	0	2	40030052	6	0								
80009	1	1	100000	0	2	40030053	6	0	2	70040405	2	0				
81003	1	1	100000	0	2	40030051	6	0								
81006	1	1	100000	0	2	40030052	6	0								
81009	1	1	100000	0	2	40030053	6	0	2	70010401	2	0				
82003	1	1	100000	0	2	40030051	6	0								
82006	1	1	100000	0	2	40030052	6	0								
82009	1	1	100000	0	2	40030053	6	0	2	70020401	2	0				
83003	1	1	100000	0	2	40030051	6	0								
83006	1	1	100000	0	2	40030052	6	0								
83009	1	1	100000	0	2	40030053	6	0	2	70030401	2	0				
84003	1	1	100000	0	2	40030051	6	0								
84006	1	1	100000	0	2	40030052	6	0								
84009	1	1	100000	0	2	40030053	6	0	2	70040401	2	0				
85003	1	1	100000	0	2	40030051	6	0								
85006	1	1	100000	0	2	40030052	6	0								
85009	1	1	100000	0	2	40030053	6	0	2	70010402	2	0				
86003	1	1	100000	0	2	40030051	6	0								
86006	1	1	100000	0	2	40030052	6	0								
86009	1	1	100000	0	2	40030053	6	0	2	70020402	2	0				
87003	1	1	100000	0	2	40030051	6	0								
87006	1	1	100000	0	2	40030052	6	0								
87009	1	1	100000	0	2	40030053	6	0	2	70030402	2	0				
88003	1	1	100000	0	2	40030051	6	0								
88006	1	1	100000	0	2	40030052	6	0								
88009	1	1	100000	0	2	40030053	6	0	2	70040402	2	0				
89003	1	1	100000	0	2	40030051	6	0								
89006	1	1	100000	0	2	40030052	6	0								
89009	1	1	100000	0	2	40030053	6	0	2	70010403	2	0				
90003	1	1	100000	0	2	40030051	6	0								
90006	1	1	100000	0	2	40030052	6	0								
90009	1	1	100000	0	2	40030053	6	0	2	70020403	2	0				
91003	1	1	100000	0	2	40030051	6	0								
91006	1	1	100000	0	2	40030052	6	0								
91009	1	1	100000	0	2	40030053	6	0	2	70030403	2	0				
92003	1	1	100000	0	2	40030051	6	0								
92006	1	1	100000	0	2	40030052	6	0								
92009	1	1	100000	0	2	40030053	6	0	2	70040403	2	0				
93003	1	1	100000	0	2	40030051	6	0								
93006	1	1	100000	0	2	40030052	6	0								
93009	1	1	100000	0	2	40030053	6	0	2	70010404	2	0				
94003	1	1	100000	0	2	40030051	6	0								
94006	1	1	100000	0	2	40030052	6	0								
94009	1	1	100000	0	2	40030053	6	0	2	70020404	2	0				
95003	1	1	100000	0	2	40030051	6	0								
95006	1	1	100000	0	2	40030052	6	0								
95009	1	1	100000	0	2	40030053	6	0	2	70030404	2	0				
96003	1	1	100000	0	2	40030051	6	0								
96006	1	1	100000	0	2	40030052	6	0								
96009	1	1	100000	0	2	40030053	6	0	2	70040404	2	0				
97003	1	1	100000	0	2	40030051	6	0								
97006	1	1	100000	0	2	40030052	6	0								
97009	1	1	100000	0	2	40030053	6	0	2	70010405	2	0				
98003	1	1	100000	0	2	40030051	6	0								
98006	1	1	100000	0	2	40030052	6	0								
98009	1	1	100000	0	2	40030053	6	0	2	70020405	2	0				
99003	1	1	100000	0	2	40030051	6	0								
99006	1	1	100000	0	2	40030052	6	0								
99009	1	1	100000	0	2	40030053	6	0	2	70030405	2	0				
100003	1	1	100000	0	2	40030051	6	0								
100006	1	1	100000	0	2	40030052	6	0								
100009	1	1	100000	0	2	40030053	6	0	2	70040405	2	0				
101003	1	1	100000	0	2	40030061	6	0								
101006	1	1	100000	0	2	40030062	6	0								
101009	1	1	100000	0	2	40030063	6	0	2	70010406	2	0				
102003	1	1	100000	0	2	40030061	6	0								
102006	1	1	100000	0	2	40030062	6	0								
102009	1	1	100000	0	2	40030063	6	0	2	70020406	2	0				
103003	1	1	100000	0	2	40030061	6	0								
103006	1	1	100000	0	2	40030062	6	0								
103009	1	1	100000	0	2	40030063	6	0	2	70030406	2	0				
104003	1	1	100000	0	2	40030061	6	0								
104006	1	1	100000	0	2	40030062	6	0								
104009	1	1	100000	0	2	40030063	6	0	2	70040406	2	0				
105003	1	1	100000	0	2	40030061	6	0								
105006	1	1	100000	0	2	40030062	6	0								
105009	1	1	100000	0	2	40030063	6	0	2	70010401	2	0				
106003	1	1	100000	0	2	40030061	6	0								
106006	1	1	100000	0	2	40030062	6	0								
106009	1	1	100000	0	2	40030063	6	0	2	70020401	2	0				
107003	1	1	100000	0	2	40030061	6	0								
107006	1	1	100000	0	2	40030062	6	0								
107009	1	1	100000	0	2	40030063	6	0	2	70030401	2	0				
108003	1	1	100000	0	2	40030061	6	0								
108006	1	1	100000	0	2	40030062	6	0								
108009	1	1	100000	0	2	40030063	6	0	2	70040401	2	0				
109003	1	1	100000	0	2	40030061	6	0								
109006	1	1	100000	0	2	40030062	6	0								
109009	1	1	100000	0	2	40030063	6	0	2	70010402	2	0				
110003	1	1	100000	0	2	40030061	6	0								
110006	1	1	100000	0	2	40030062	6	0								
110009	1	1	100000	0	2	40030063	6	0	2	70020402	2	0				
111003	1	1	100000	0	2	40030061	6	0								
111006	1	1	100000	0	2	40030062	6	0								
111009	1	1	100000	0	2	40030063	6	0	2	70030402	2	0				
112003	1	1	100000	0	2	40030061	6	0								
112006	1	1	100000	0	2	40030062	6	0								
112009	1	1	100000	0	2	40030063	6	0	2	70040402	2	0				
113003	1	1	100000	0	2	40030061	6	0								
113006	1	1	100000	0	2	40030062	6	0								
113009	1	1	100000	0	2	40030063	6	0	2	70010403	2	0				
114003	1	1	100000	0	2	40030061	6	0								
114006	1	1	100000	0	2	40030062	6	0								
114009	1	1	100000	0	2	40030063	6	0	2	70020403	2	0				
115003	1	1	100000	0	2	40030061	6	0								
115006	1	1	100000	0	2	40030062	6	0								
115009	1	1	100000	0	2	40030063	6	0	2	70030403	2	0				
116003	1	1	100000	0	2	40030061	6	0								
116006	1	1	100000	0	2	40030062	6	0								
116009	1	1	100000	0	2	40030063	6	0	2	70040403	2	0				
117003	1	1	100000	0	2	40030061	6	0								
117006	1	1	100000	0	2	40030062	6	0								
117009	1	1	100000	0	2	40030063	6	0	2	70010404	2	0				
118003	1	1	100000	0	2	40030061	6	0								
118006	1	1	100000	0	2	40030062	6	0								
118009	1	1	100000	0	2	40030063	6	0	2	70020404	2	0				
119003	1	1	100000	0	2	40030061	6	0								
119006	1	1	100000	0	2	40030062	6	0								
119009	1	1	100000	0	2	40030063	6	0	2	70030404	2	0				
120003	1	1	100000	0	2	40030061	6	0								
120006	1	1	100000	0	2	40030062	6	0								
120009	1	1	100000	0	2	40030063	6	0	2	70040404	2	0				
121003	1	1	100000	0	2	40030061	6	0								
121006	1	1	100000	0	2	40030062	6	0								
121009	1	1	100000	0	2	40030063	6	0	2	70010405	2	0				
122003	1	1	100000	0	2	40030061	6	0								
122006	1	1	100000	0	2	40030062	6	0								
122009	1	1	100000	0	2	40030063	6	0	2	70020405	2	0				
123003	1	1	100000	0	2	40030061	6	0								
123006	1	1	100000	0	2	40030062	6	0								
123009	1	1	100000	0	2	40030063	6	0	2	70030405	2	0				
124003	1	1	100000	0	2	40030061	6	0								
124006	1	1	100000	0	2	40030062	6	0								
124009	1	1	100000	0	2	40030063	6	0	2	70040405	2	0				
125003	1	1	100000	0	2	40030061	6	0								
125006	1	1	100000	0	2	40030062	6	0								
125009	1	1	100000	0	2	40030063	6	0	2	70010406	2	0				
126003	1	1	100000	0	2	40030061	6	0								
126006	1	1	100000	0	2	40030062	6	0								
126009	1	1	100000	0	2	40030063	6	0	2	70020406	2	0				
127003	1	1	100000	0	2	40030061	6	0								
127006	1	1	100000	0	2	40030062	6	0								
127009	1	1	100000	0	2	40030063	6	0	2	70030406	2	0				
128003	1	1	100000	0	2	40030061	6	0								
128006	1	1	100000	0	2	40030062	6	0								
128009	1	1	100000	0	2	40030063	6	0	2	70040406	2	0				
129003	1	1	100000	0	2	40030061	6	0								
129006	1	1	100000	0	2	40030062	6	0								
129009	1	1	100000	0	2	40030063	6	0	2	70010401	2	0				
130003	1	1	100000	0	2	40030061	6	0								
130006	1	1	100000	0	2	40030062	6	0								
130009	1	1	100000	0	2	40030063	6	0	2	70020401	2	0				
131003	1	1	100000	0	2	40030061	6	0								
131006	1	1	100000	0	2	40030062	6	0								
131009	1	1	100000	0	2	40030063	6	0	2	70030401	2	0				
132003	1	1	100000	0	2	40030061	6	0								
132006	1	1	100000	0	2	40030062	6	0								
132009	1	1	100000	0	2	40030063	6	0	2	70040401	2	0				
133003	1	1	100000	0	2	40030061	6	0								
133006	1	1	100000	0	2	40030062	6	0								
133009	1	1	100000	0	2	40030063	6	0	2	70010402	2	0				
134003	1	1	100000	0	2	40030061	6	0								
134006	1	1	100000	0	2	40030062	6	0								
134009	1	1	100000	0	2	40030063	6	0	2	70020402	2	0				
135003	1	1	100000	0	2	40030061	6	0								
135006	1	1	100000	0	2	40030062	6	0								
135009	1	1	100000	0	2	40030063	6	0	2	70030402	2	0				
136003	1	1	100000	0	2	40030061	6	0								
136006	1	1	100000	0	2	40030062	6	0								
136009	1	1	100000	0	2	40030063	6	0	2	70040402	2	0				
137003	1	1	100000	0	2	40030061	6	0								
137006	1	1	100000	0	2	40030062	6	0								
137009	1	1	100000	0	2	40030063	6	0	2	70010403	2	0				
138003	1	1	100000	0	2	40030061	6	0								
138006	1	1	100000	0	2	40030062	6	0								
138009	1	1	100000	0	2	40030063	6	0	2	70020403	2	0				
139003	1	1	100000	0	2	40030061	6	0								
139006	1	1	100000	0	2	40030062	6	0								
139009	1	1	100000	0	2	40030063	6	0	2	70030403	2	0				
140003	1	1	100000	0	2	40030061	6	0								
140006	1	1	100000	0	2	40030062	6	0								
140009	1	1	100000	0	2	40030063	6	0	2	70040403	2	0				
141003	1	1	100000	0	2	40030061	6	0								
141006	1	1	100000	0	2	40030062	6	0								
141009	1	1	100000	0	2	40030063	6	0	2	70010404	2	0				
142003	1	1	100000	0	2	40030061	6	0								
142006	1	1	100000	0	2	40030062	6	0								
142009	1	1	100000	0	2	40030063	6	0	2	70020404	2	0				
143003	1	1	100000	0	2	40030061	6	0								
143006	1	1	100000	0	2	40030062	6	0								
143009	1	1	100000	0	2	40030063	6	0	2	70030404	2	0				
144003	1	1	100000	0	2	40030061	6	0								
144006	1	1	100000	0	2	40030062	6	0								
144009	1	1	100000	0	2	40030063	6	0	2	70040404	2	0				
145003	1	1	100000	0	2	40030061	6	0								
145006	1	1	100000	0	2	40030062	6	0								
145009	1	1	100000	0	2	40030063	6	0	2	70010405	2	0				
1104	2	30010006	5	0	2	30010007	5	0	2	30010202	2	0				
2106	2	30010008	5	0	2	30010024	5	0	2	30010203	2	0				
3108	2	30010027	5	0	2	30010035	5	0	2	30010036	5	0	2	30010204	2	0
4110	2	30010042	5	0	2	30010049	5	0	2	30010052	5	0	2	30010205	2	0
5110	2	30010053	5	0	2	30010055	5	0	2	30010057	5	0	2	30010206	2	0
6110	2	30010059	5	0	2	30010062	5	0	2	30010066	5	0	2	30010207	2	0
7110	2	30010067	5	0	2	30010069	5	0	2	30010100	5	0	2	30010208	2	0
8110	2	30010101	5	0	2	30010006	5	0	2	30010007	5	0	2	30010209	2	0
9110	2	30010008	5	0	2	30010024	5	0	2	30010027	5	0	2	30010211	2	0
10110	2	30010035	5	0	2	30010036	5	0	2	30010042	5	0	2	30010212	2	0
11110	2	30010049	5	0	2	30010052	5	0	2	30010053	5	0	2	30010201	2	0
12110	2	30010055	5	0	2	30010057	5	0	2	30010059	5	0	2	30010400	2	0
13110	2	30010062	5	0	2	30010066	5	0	2	30010067	5	0	2	30010401	2	0
14110	2	30010069	5	0	2	30010100	5	0	2	30010101	5	0	2	30010402	2	0
15110	2	30010006	5	0	2	30010007	5	0	2	30010008	5	0	2	30010403	2	0
16110	2	30010024	5	0	2	30010027	5	0	2	30010035	5	0	2	30010202	2	0
17110	2	30010036	5	0	2	30010042	5	0	2	30010049	5	0	2	30010203	2	0
18110	2	30010052	5	0	2	30010053	5	0	2	30010055	5	0	2	30010204	2	0
19110	2	30010057	5	0	2	30010059	5	0	2	30010062	5	0	2	30010205	2	0
20110	2	30010066	5	0	2	30010067	5	0	2	30010069	5	0	2	30010206	2	0
21110	2	30010100	5	0	2	30010101	5	0	2	30010006	5	0	2	30010207	2	0
22110	2	30010007	5	0	2	30010008	5	0	2	30010024	5	0	2	30010208	2	0
23110	2	30010027	5	0	2	30010035	5	0	2	30010036	5	0	2	30010209	2	0
24110	2	30010042	5	0	2	30010049	5	0	2	30010052	5	0	2	30010211	2	0
25110	2	30010053	5	0	2	30010055	5	0	2	30010057	5	0	2	30010212	2	0
26110	2	30010059	5	0	2	30010062	5	0	2	30010066	5	0	2	30010201	2	0
27110	2	30010067	5	0	2	30010069	5	0	2	30010100	5	0	2	30010400	2	0
28110	2	30010101	5	0	2	30010006	5	0	2	30010007	5	0	2	30010401	2	0
29110	2	30010008	5	0	2	30010024	5	0	2	30010027	5	0	2	30010402	2	0
30110	2	30010035	5	0	2	30010036	5	0	2	30010042	5	0	2	30010403	2	0
31110	2	30010049	5	0	2	30010052	5	0	2	30010053	5	0	2	30010202	2	0
32110	2	30010055	5	0	2	30010057	5	0	2	30010059	5	0	2	30010203	2	0
33110	2	30010062	5	0	2	30010066	5	0	2	30010067	5	0	2	30010204	2	0
34110	2	30010069	5	0	2	30010100	5	0	2	30010101	5	0	2	30010205	2	0
35110	2	30010006	5	0	2	30010007	5	0	2	30010008	5	0	2	30010206	2	0
36110	2	30010024	5	0	2	30010027	5	0	2	30010035	5	0	2	30010207	2	0
37110	2	30010036	5	0	2	30010042	5	0	2	30010049	5	0	2	30010208	2	0
38110	2	30010052	5	0	2	30010053	5	0	2	30010055	5	0	2	30010209	2	0
39110	2	30010057	5	0	2	30010059	5	0	2	30010062	5	0	2	30010211	2	0
40110	2	30010066	5	0	2	30010067	5	0	2	30010069	5	0	2	30010212	2	0
41110	2	30010006	5	0	2	30010007	5	0	2	30010008	5	0	2	30010201	2	0
42110	2	30010024	5	0	2	30010027	5	0	2	30010035	5	0	2	30010400	2	0
43110	2	30010036	5	0	2	30010042	5	0	2	30010049	5	0	2	30010401	2	0
44110	2	30010052	5	0	2	30010053	5	0	2	30010055	5	0	2	30010402	2	0
45110	2	30010057	5	0	2	30010059	5	0	2	30010062	5	0	2	30010403	2	0
46110	2	30010066	5	0	2	30010067	5	0	2	30010069	5	0	2	30010202	2	0
47110	2	30010100	5	0	2	30010101	5	0	2	30010006	5	0	2	30010203	2	0
48110	2	30010007	5	0	2	30010008	5	0	2	30010024	5	0	2	30010204	2	0
49110	2	30010027	5	0	2	30010035	5	0	2	30010036	5	0	2	30010205	2	0
50110	2	30010042	5	0	2	30010049	5	0	2	30010052	5	0	2	30010206	2	0
51110	2	30010053	5	0	2	30010055	5	0	2	30010057	5	0	2	30010207	2	0
52110	2	30010059	5	0	2	30010062	5	0	2	30010066	5	0	2	30010208	2	0
53110	2	30010067	5	0	2	30010069	5	0	2	30010100	5	0	2	30010209	2	0
54110	2	30010101	5	0	2	30010006	5	0	2	30010007	5	0	2	30010211	2	0
55110	2	30010008	5	0	2	30010024	5	0	2	30010027	5	0	2	30010212	2	0
