INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10	第10章 神秘歌声	t_map_name_10	初音战士	t_map_boss_name_11	bsx_chuyin	9000	0	212	t_map_image_text_11	10	1	1	10000	0	1	2	39	0	2	40040001	50	0	1	7	20000	0	20	1	1	15000	0	1	2	69	0	2	40040001	100	0	1	7	20000	0	30	1	1	15000	0	1	2	99	0	2	40040001	150	0	2	10010007	1	0
11	第11章 平行世界	t_map_name_11	明日少尉	t_map_boss_name_1	bsx_mrx	10000	0	201	t_map_image_text_1	10	1	1	20000	0	1	2	40	0	2	40040001	50	0	1	7	40000	0	20	1	1	30000	0	1	2	70	0	2	40040001	100	0	1	7	40000	0	30	1	1	30000	0	1	2	100	0	2	40040001	150	0	2	10010007	1	0
12	第12章 似曾相识	t_map_name_12	炮姐	t_map_boss_name_3	bsx_ybmq	11000	0	203	t_map_image_text_3	10	1	1	20000	0	1	2	41	0	2	40040001	50	0	1	7	40000	0	20	1	1	30000	0	1	2	71	0	2	40040001	100	0	1	7	40000	0	30	1	1	30000	0	1	2	101	0	2	40040001	150	0	2	10010007	1	0
13	第13章 全面失控	t_map_name_13	黑色射手	t_map_boss_name_4	bsx_heiyan	12000	0	204	t_map_image_text_4	10	1	1	20000	0	1	2	42	0	2	40040001	50	0	1	7	40000	0	20	1	1	30000	0	1	2	72	0	2	40040001	100	0	1	7	40000	0	30	1	1	30000	0	1	2	102	0	2	40040001	150	0	2	10010007	1	0
14	第14章 星际海关	t_map_name_14	波波利	t_map_boss_name_5	bsx_lbli	13000	0	205	t_map_image_text_5	10	1	1	20000	0	1	2	43	0	2	40040001	50	0	1	7	40000	0	20	1	1	30000	0	1	2	73	0	2	40040001	100	0	1	7	40000	0	30	1	1	30000	0	1	2	103	0	2	40040001	150	0	2	10010007	1	0
15	第15章 埃及后裔	t_map_name_15	zero	t_map_boss_name_6	bsx_zero	14000	0	206	t_map_image_text_6	10	1	1	20000	0	1	2	44	0	2	40040001	50	0	1	7	40000	0	20	1	1	30000	0	1	2	74	0	2	40040001	100	0	1	7	40000	0	30	1	1	30000	0	1	2	104	0	2	40040001	150	0	2	10010007	1	0
16	第16章 时空边缘	t_map_name_16	灼眼公主	t_map_boss_name_15	bsx_xiana	15000	0	401	t_map_image_text_15	10	1	1	20000	0	1	2	45	0	2	40040001	50	0	1	7	40000	0	20	1	1	30000	0	1	2	75	0	2	40040001	100	0	1	7	40000	0	30	1	1	30000	0	1	2	105	0	2	40040001	150	0	2	10010007	1	0
17	第17章 梦中之梦	t_map_name_17	妖妄之梦	t_map_boss_name_7	bsx_yme	16000	0	207	t_map_image_text_7	10	1	1	20000	0	1	2	46	0	2	40040001	50	0	1	7	40000	0	20	1	1	30000	0	1	2	76	0	2	40040001	100	0	1	7	40000	0	30	1	1	30000	0	1	2	106	0	2	40040001	150	0	2	10010007	1	0
18	第18章 坐吃山空	t_map_name_18	幽灵公主	t_map_boss_name_8	bsx_yyz	17000	0	208	t_map_image_text_8	10	1	1	20000	0	1	2	47	0	2	40040001	50	0	1	7	40000	0	20	1	1	30000	0	1	2	77	0	2	40040001	100	0	1	7	40000	0	30	1	1	30000	0	1	2	107	0	2	40040001	150	0	2	10010007	1	0
19	第19章 夜宵异变	t_map_name_19	红白	t_map_boss_name_9	bsx_bllm	18000	0	209	t_map_image_text_9	10	1	1	20000	0	1	2	48	0	2	40040001	50	0	1	7	40000	0	20	1	1	30000	0	1	2	78	0	2	40040001	100	0	1	7	40000	0	30	1	1	30000	0	1	2	108	0	2	40040001	150	0	2	10010007	1	0
20	第20章 活之地狱	t_map_name_20	C.C	t_map_boss_name_10	bsx_cc	19000	0	211	t_map_image_text_10	10	1	1	20000	0	1	2	49	0	2	40040001	50	0	1	7	40000	0	20	1	1	30000	0	1	2	79	0	2	40040001	100	0	1	7	40000	0	30	1	1	30000	0	1	2	109	0	2	40040001	150	0	2	10010007	1	0
21	第21章 星际歌神	t_map_name_21	初音战士	t_map_boss_name_11	bsx_chuyin	20000	0	212	t_map_image_text_11	10	1	1	30000	0	1	2	50	0	2	40040001	50	0	1	7	60000	0	20	1	1	45000	0	1	2	80	0	2	40040001	100	0	1	7	60000	0	30	1	1	45000	0	1	2	110	0	2	40040001	150	0	2	10010007	1	0
22	第22章 回到过去	t_map_name_22	斗人	t_map_boss_name_2	bsx_dren	21000	0	202	t_map_image_text_2	10	1	1	30000	0	1	2	51	0	2	40040001	50	0	1	7	60000	0	20	1	1	45000	0	1	2	81	0	2	40040001	100	0	1	7	60000	0	30	1	1	45000	0	1	2	111	0	2	40040001	150	0	2	10010007	1	0
23	第23章 音速硬币	t_map_name_23	炮姐	t_map_boss_name_3	bsx_ybmq	22000	0	203	t_map_image_text_3	10	1	1	30000	0	1	2	52	0	2	40040001	50	0	1	7	60000	0	20	1	1	45000	0	1	2	82	0	2	40040001	100	0	1	7	60000	0	30	1	1	45000	0	1	2	112	0	2	40040001	150	0	2	10010007	1	0
24	第24章 黑客帝国	t_map_name_24	黑色射手	t_map_boss_name_4	bsx_heiyan	23000	0	204	t_map_image_text_4	10	1	1	30000	0	1	2	53	0	2	40040001	50	0	1	7	60000	0	20	1	1	45000	0	1	2	83	0	2	40040001	100	0	1	7	60000	0	30	1	1	45000	0	1	2	113	0	2	40040001	150	0	2	10010007	1	0
25	第25章 魔能黑手	t_map_name_25	波波利	t_map_boss_name_5	bsx_lbli	24000	0	205	t_map_image_text_5	10	1	1	30000	0	1	2	54	0	2	40040001	50	0	1	7	60000	0	20	1	1	45000	0	1	2	84	0	2	40040001	100	0	1	7	60000	0	30	1	1	45000	0	1	2	114	0	2	40040001	150	0	2	10010007	1	0
26	第26章 伟业中落	t_map_name_26	zero	t_map_boss_name_6	bsx_zero	25000	0	206	t_map_image_text_6	10	1	1	30000	0	1	2	55	0	2	40040001	50	0	1	7	60000	0	20	1	1	45000	0	1	2	85	0	2	40040001	100	0	1	7	60000	0	30	1	1	45000	0	1	2	115	0	2	40040001	150	0	2	10010007	1	0
27	第27章 炎发灼眼	t_map_name_27	灼眼公主	t_map_boss_name_15	bsx_xiana	26000	0	401	t_map_image_text_15	10	1	1	30000	0	1	2	56	0	2	40040001	50	0	1	7	60000	0	20	1	1	45000	0	1	2	86	0	2	40040001	100	0	1	7	60000	0	30	1	1	45000	0	1	2	116	0	2	40040001	150	0	2	10010007	1	0
28	第28章 半灵之殇	t_map_name_28	妖妄之梦	t_map_boss_name_7	bsx_yme	27000	0	207	t_map_image_text_7	10	1	1	30000	0	1	2	57	0	2	40040001	50	0	1	7	60000	0	20	1	1	45000	0	1	2	87	0	2	40040001	100	0	1	7	60000	0	30	1	1	45000	0	1	2	117	0	2	40040001	150	0	2	10010007	1	0
29	第29章 北方幽灵	t_map_name_29	幽灵公主	t_map_boss_name_8	bsx_yyz	28000	0	208	t_map_image_text_8	10	1	1	30000	0	1	2	58	0	2	40040001	50	0	1	7	60000	0	20	1	1	45000	0	1	2	88	0	2	40040001	100	0	1	7	60000	0	30	1	1	45000	0	1	2	118	0	2	40040001	150	0	2	10010007	1	0
30	第30章 市场战争	t_map_name_30	红白	t_map_boss_name_9	bsx_bllm	29000	0	209	t_map_image_text_9	10	1	1	30000	0	1	2	59	0	2	40040001	50	0	1	7	60000	0	20	1	1	45000	0	1	2	89	0	2	40040001	100	0	1	7	60000	0	30	1	1	45000	0	1	2	119	0	2	40040001	150	0	2	10010007	1	0
31	第31章 围魏救赵	t_map_name_31	C.C	t_map_boss_name_10	bsx_cc	30000	0	211	t_map_image_text_10	10	1	1	40000	0	1	2	60	0	2	40040001	50	0	1	7	80000	0	20	1	1	60000	0	1	2	90	0	2	40040001	100	0	1	7	80000	0	30	1	1	60000	0	1	2	120	0	2	40040001	150	0	2	10010007	1	0
32	第32章 歌会请柬	t_map_name_32	初音战士	t_map_boss_name_11	bsx_chuyin	31000	0	212	t_map_image_text_11	10	1	1	40000	0	1	2	61	0	2	40040001	50	0	1	7	80000	0	20	1	1	60000	0	1	2	91	0	2	40040001	100	0	1	7	80000	0	30	1	1	60000	0	1	2	121	0	2	40040001	150	0	2	10010007	1	0
33	第33章 天使星球	t_map_name_33	一卡螺丝	t_map_boss_name_17	bsx_ykls	32000	0	403	t_map_image_text_17	10	1	1	40000	0	1	2	62	0	2	40040001	50	0	1	7	80000	0	20	1	1	60000	0	1	2	92	0	2	40040001	100	0	1	7	80000	0	30	1	1	60000	0	1	2	122	0	2	40040001	150	0	2	10010007	1	0
34	第34章 回到未来	t_map_name_34	明日少尉	t_map_boss_name_1	bsx_mrx	33000	0	201	t_map_image_text_1	10	1	1	40000	0	1	2	63	0	2	40040001	50	0	1	7	80000	0	20	1	1	60000	0	1	2	93	0	2	40040001	100	0	1	7	80000	0	30	1	1	60000	0	1	2	123	0	2	40040001	150	0	2	10010007	1	0
35	第35章 阻击呱太	t_map_name_35	炮姐	t_map_boss_name_3	bsx_ybmq	34000	0	203	t_map_image_text_3	10	1	1	40000	0	1	2	64	0	2	40040001	50	0	1	7	80000	0	20	1	1	60000	0	1	2	94	0	2	40040001	100	0	1	7	80000	0	30	1	1	60000	0	1	2	124	0	2	40040001	150	0	2	10010007	1	0
36	第36章 防御无效	t_map_name_36	黑色射手	t_map_boss_name_4	bsx_heiyan	35000	0	204	t_map_image_text_4	10	1	1	40000	0	1	2	65	0	2	40040001	50	0	1	7	80000	0	20	1	1	60000	0	1	2	95	0	2	40040001	100	0	1	7	80000	0	30	1	1	60000	0	1	2	125	0	2	40040001	150	0	2	10010007	1	0
37	第37章 武器禁运	t_map_name_37	波波利	t_map_boss_name_5	bsx_lbli	36000	0	205	t_map_image_text_5	10	1	1	40000	0	1	2	66	0	2	40040001	50	0	1	7	80000	0	20	1	1	60000	0	1	2	96	0	2	40040001	100	0	1	7	80000	0	30	1	1	60000	0	1	2	126	0	2	40040001	150	0	2	10010007	1	0
38	第38章 连锁效应	t_map_name_38	zero	t_map_boss_name_6	bsx_zero	37000	0	206	t_map_image_text_6	10	1	1	40000	0	1	2	67	0	2	40040001	50	0	1	7	80000	0	20	1	1	60000	0	1	2	97	0	2	40040001	100	0	1	7	80000	0	30	1	1	60000	0	1	2	127	0	2	40040001	150	0	2	10010007	1	0
39	第39章 镜像星球	t_map_name_39	灼眼公主	t_map_boss_name_15	bsx_xiana	38000	0	401	t_map_image_text_15	10	1	1	40000	0	1	2	68	0	2	40040001	50	0	1	7	80000	0	20	1	1	60000	0	1	2	98	0	2	40040001	100	0	1	7	80000	0	30	1	1	60000	0	1	2	128	0	2	40040001	150	0	2	10010007	1	0
40	第40章 异变再临	t_map_name_40	妖妄之梦	t_map_boss_name_7	bsx_yme	39000	0	207	t_map_image_text_7	10	1	1	40000	0	1	2	69	0	2	40040001	50	0	1	7	80000	0	20	1	1	60000	0	1	2	99	0	2	40040001	100	0	1	7	80000	0	30	1	1	60000	0	1	2	129	0	2	40040001	150	0	2	10010007	1	0
41	第41章 肥胖公主	t_map_name_41	幽灵公主	t_map_boss_name_8	bsx_yyz	40000	0	208	t_map_image_text_8	10	1	1	50000	0	1	2	70	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	100	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	130	0	2	40040001	150	0	2	10010007	1	0
42	第42章 保险星球	t_map_name_42	红白	t_map_boss_name_9	bsx_bllm	41000	0	209	t_map_image_text_9	10	1	1	50000	0	1	2	71	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	101	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	131	0	2	40040001	150	0	2	10010007	1	0
43	第43章 安分不能	t_map_name_43	C.C	t_map_boss_name_10	bsx_cc	42000	0	211	t_map_image_text_10	10	1	1	50000	0	1	2	72	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	102	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	132	0	2	40040001	150	0	2	10010007	1	0
44	第44章 退艺演出	t_map_name_44	初音战士	t_map_boss_name_11	bsx_chuyin	43000	0	212	t_map_image_text_11	10	1	1	50000	0	1	2	73	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	103	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	133	0	2	40040001	150	0	2	10010007	1	0
45	第45章 穿越尝试	t_map_name_45	一卡螺丝	t_map_boss_name_17	bsx_ykls	44000	0	403	t_map_image_text_17	10	1	1	50000	0	1	2	74	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	104	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	134	0	2	40040001	150	0	2	10010007	1	0
46	第46章 定期考核	t_map_name_46	斗人	t_map_boss_name_2	bsx_dren	45000	0	202	t_map_image_text_2	10	1	1	50000	0	1	2	75	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	105	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	135	0	2	40040001	150	0	2	10010007	1	0
47	第47章 特殊禁运	t_map_name_47	炮姐	t_map_boss_name_3	bsx_ybmq	46000	0	203	t_map_image_text_3	10	1	1	50000	0	1	2	76	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	106	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	136	0	2	40040001	150	0	2	10010007	1	0
48	第48章  伪装者	t_map_name_48	黑色射手	t_map_boss_name_4	bsx_heiyan	47000	0	204	t_map_image_text_4	10	1	1	50000	0	1	2	77	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	107	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	137	0	2	40040001	150	0	2	10010007	1	0
49	第49章 非法实验	t_map_name_49	波波利	t_map_boss_name_5	bsx_lbli	48000	0	205	t_map_image_text_5	10	1	1	50000	0	1	2	78	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	108	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	138	0	2	40040001	150	0	2	10010007	1	0
50	第50章 战争遗产	t_map_name_50	zero	t_map_boss_name_6	bsx_zero	49000	0	206	t_map_image_text_6	10	1	1	50000	0	1	2	79	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	109	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	139	0	2	40040001	150	0	2	10010007	1	0
51	第51章 制度更新	t_map_name_51	骑士女皇	t_map_boss_name_21	zj_nv001	50000	0	400	t_map_image_text_21	10	1	1	50000	0	1	2	80	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	110	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	140	0	2	40040001	150	0	2	10010007	1	0
52	第52章 魔剑降临	t_map_name_52	魔法剑士	t_map_boss_name_16	bsx_dyhdw	51000	0	402	t_map_image_text_16	10	1	1	50000	0	1	2	81	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	111	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	141	0	2	40040001	150	0	2	10010007	1	0
53	第53章 夜宵禁令	t_map_name_53	妖妄之梦	t_map_boss_name_7	bsx_yme	52000	0	207	t_map_image_text_7	10	1	1	50000	0	1	2	82	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	112	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	142	0	2	40040001	150	0	2	10010007	1	0
54	第54章 减肥计划	t_map_name_54	幽灵公主	t_map_boss_name_8	bsx_yyz	53000	0	208	t_map_image_text_8	10	1	1	50000	0	1	2	83	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	113	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	143	0	2	40040001	150	0	2	10010007	1	0
55	第55章 保险之殇	t_map_name_55	红白	t_map_boss_name_9	bsx_bllm	54000	0	209	t_map_image_text_9	10	1	1	50000	0	1	2	84	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	114	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	144	0	2	40040001	150	0	2	10010007	1	0
56	第56章 约定失效	t_map_name_56	C.C	t_map_boss_name_10	bsx_cc	55000	0	211	t_map_image_text_10	10	1	1	50000	0	1	2	85	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	115	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	145	0	2	40040001	150	0	2	10010007	1	0
57	第57章 冒牌歌迷	t_map_name_57	初音战士	t_map_boss_name_11	bsx_chuyin	56000	0	212	t_map_image_text_11	10	1	1	50000	0	1	2	86	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	116	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	146	0	2	40040001	150	0	2	10010007	1	0
58	第58章 总部沦陷	t_map_name_58	一卡螺丝	t_map_boss_name_17	bsx_ykls	57000	0	403	t_map_image_text_17	10	1	1	50000	0	1	2	87	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	117	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	147	0	2	40040001	150	0	2	10010007	1	0
59	第59章 新的希望	t_map_name_59	明日少尉	t_map_boss_name_1	bsx_mrx	58000	0	201	t_map_image_text_1	10	1	1	50000	0	1	2	88	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	118	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	148	0	2	40040001	150	0	2	10010007	1	0
60	第60章 无能力者	t_map_name_60	炮姐	t_map_boss_name_3	bsx_ybmq	59000	0	203	t_map_image_text_3	10	1	1	50000	0	1	2	89	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	119	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	149	0	2	40040001	150	0	2	10010007	1	0
61	第61章 无药可救	t_map_name_61	黑色射手	t_map_boss_name_4	bsx_heiyan	60000	0	204	t_map_image_text_4	10	1	1	50000	0	1	2	90	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	120	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	150	0	2	40040001	150	0	2	10010007	1	0
62	第62章 傲娇无言	t_map_name_62	波波利	t_map_boss_name_5	bsx_lbli	61000	0	205	t_map_image_text_5	10	1	1	50000	0	1	2	91	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	121	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	151	0	2	40040001	150	0	2	10010007	1	0
63	第63章 失控的爱	t_map_name_63	zero	t_map_boss_name_6	bsx_zero	62000	0	206	t_map_image_text_6	10	1	1	50000	0	1	2	92	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	122	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	152	0	2	40040001	150	0	2	10010007	1	0
64	第64章 尝试逃离	t_map_name_64	灼眼公主	t_map_boss_name_15	bsx_xiana	63000	0	401	t_map_image_text_15	10	1	1	50000	0	1	2	93	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	123	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	153	0	2	40040001	150	0	2	10010007	1	0
65	第65章 无处躲藏	t_map_name_65	妖妄之梦	t_map_boss_name_7	bsx_yme	64000	0	207	t_map_image_text_7	10	1	1	50000	0	1	2	94	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	124	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	154	0	2	40040001	150	0	2	10010007	1	0
66	第66章 任性	t_map_name_66	幽灵公主	t_map_boss_name_8	bsx_yyz	65000	0	208	t_map_image_text_8	10	1	1	50000	0	1	2	95	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	125	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	155	0	2	40040001	150	0	2	10010007	1	0
67	第67章 尊严之战	t_map_name_67	红白	t_map_boss_name_9	bsx_bllm	66000	0	209	t_map_image_text_9	10	1	1	50000	0	1	2	96	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	126	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	156	0	2	40040001	150	0	2	10010007	1	0
68	第68章 知情人士	t_map_name_68	C.C	t_map_boss_name_10	bsx_cc	67000	0	211	t_map_image_text_10	10	1	1	50000	0	1	2	97	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	127	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	157	0	2	40040001	150	0	2	10010007	1	0
69	第69章 脑控传说	t_map_name_69	初音战士	t_map_boss_name_11	bsx_chuyin	68000	0	212	t_map_image_text_11	10	1	1	50000	0	1	2	98	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	128	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	158	0	2	40040001	150	0	2	10010007	1	0
70	第70章 过程放大	t_map_name_70	骑士女皇	t_map_boss_name_21	zj_nv001	69000	0	400	t_map_image_text_21	10	1	1	50000	0	1	2	99	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	129	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	159	0	2	40040001	150	0	2	10010007	1	0
71	第71章 故意放水	t_map_name_71	斗人	t_map_boss_name_2	bsx_dren	70000	0	202	t_map_image_text_2	10	1	1	50000	0	1	2	100	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	130	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	160	0	2	40040001	150	0	2	10010007	1	0
72	第72章 反叛者	t_map_name_72	炮姐	t_map_boss_name_3	bsx_ybmq	71000	0	203	t_map_image_text_3	10	1	1	50000	0	1	2	101	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	131	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	161	0	2	40040001	150	0	2	10010007	1	0
73	第73章 英雄反目	t_map_name_73	黑色射手	t_map_boss_name_4	bsx_heiyan	72000	0	204	t_map_image_text_4	10	1	1	50000	0	1	2	102	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	132	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	162	0	2	40040001	150	0	2	10010007	1	0
74	第74章 午时已到	t_map_name_74	波波利	t_map_boss_name_5	bsx_lbli	73000	0	205	t_map_image_text_5	10	1	1	50000	0	1	2	103	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	133	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	163	0	2	40040001	150	0	2	10010007	1	0
75	第75章 罪恶之花	t_map_name_75	zero	t_map_boss_name_6	bsx_zero	74000	0	206	t_map_image_text_6	10	1	1	50000	0	1	2	104	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	134	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	164	0	2	40040001	150	0	2	10010007	1	0
76	第76章 海市蜃楼	t_map_name_76	魔法剑士	t_map_boss_name_16	bsx_dyhdw	75000	0	402	t_map_image_text_16	10	1	1	50000	0	1	2	105	0	2	40040001	50	0	1	7	100000	0	20	1	1	75000	0	1	2	135	0	2	40040001	100	0	1	7	100000	0	30	1	1	75000	0	1	2	165	0	2	40040001	150	0	2	10010007	1	0
