INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3111	C级健康证	3	80	2	110030403	5	0	50	2	3425	1
3112	C级饲养证	3	80	2	110030404	5	0	50	2	3425	1
3113	F级血统证	3		2	110030101	10	0	200	27	100	
3114	F级战斗证	3		2	110030102	10	0	200	27	100	
3115	F级健康证	3		2	110030103	10	0	200	27	100	
3116	F级饲养证	3		2	110030104	10	0	200	27	100	
3117	E级血统证	3		2	110030201	10	0	200	27	290	
3118	E级战斗证	3		2	110030202	10	0	200	27	290	
3119	E级健康证	3		2	110030203	10	0	200	27	290	
3120	E级饲养证	3		2	110030204	10	0	200	27	290	
3121	D级血统证	3		2	110030301	10	0	200	27	1500	1
3122	D级战斗证	3		2	110030302	10	0	200	27	1500	1
3123	D级健康证	3		2	110030303	10	0	200	27	1500	1
3124	D级饲养证	3		2	110030304	10	0	200	27	1500	1
3125	F级血统证	3		2	110030101	10	0	50	2	100	
3126	F级战斗证	3		2	110030102	10	0	50	2	100	
3127	F级健康证	3		2	110030103	10	0	50	2	100	
3128	F级饲养证	3		2	110030104	10	0	50	2	100	
3129	E级血统证	3		2	110030201	10	0	50	2	290	
3130	E级战斗证	3		2	110030202	10	0	50	2	290	
3131	E级健康证	3		2	110030203	10	0	50	2	290	
3132	E级饲养证	3		2	110030204	10	0	50	2	290	
3133	D级血统证	3		2	110030301	10	0	50	2	1500	1
3134	D级战斗证	3		2	110030302	10	0	50	2	1500	1
3135	D级健康证	3		2	110030303	10	0	50	2	1500	1
3136	D级饲养证	3		2	110030304	10	0	50	2	1500	1
4001	F级血统证	4		2	110030101	1	0	200	27	10	
4002	F级战斗证	4		2	110030102	1	0	200	27	10	
4003	F级健康证	4		2	110030103	1	0	200	27	10	
4004	F级饲养证	4		2	110030104	1	0	200	27	10	
4005	E级血统证	4		2	110030201	1	0	200	27	29	
4006	E级战斗证	4		2	110030202	1	0	200	27	29	
4007	E级健康证	4		2	110030203	1	0	200	27	29	
4008	E级饲养证	4		2	110030204	1	0	200	27	29	
4009	D级血统证	4		2	110030301	1	0	200	27	150	1
4010	D级战斗证	4		2	110030302	1	0	200	27	150	1
4011	D级健康证	4		2	110030303	1	0	200	27	150	1
4012	D级饲养证	4		2	110030304	1	0	200	27	150	1
4013	C级血统证	4	80	2	110030401	1	0	200	27	685	1
4014	C级战斗证	4	80	2	110030402	1	0	200	27	685	1
4015	C级健康证	4	80	2	110030403	1	0	200	27	685	1
4016	C级饲养证	4	80	2	110030404	1	0	200	27	685	1
4017	B级血统证	4	85	2	110030501	1	0	200	27	2425	1
4018	B级战斗证	4	85	2	110030502	1	0	200	27	2425	1
4019	B级健康证	4	85	2	110030503	1	0	200	27	2425	1
4020	B级饲养证	4	85	2	110030504	1	0	200	27	2425	1
4021	F级血统证	4		2	110030101	1	0	50	2	10	
4022	F级战斗证	4		2	110030102	1	0	50	2	10	
4023	F级健康证	4		2	110030103	1	0	50	2	10	
4024	F级饲养证	4		2	110030104	1	0	50	2	10	
4025	E级血统证	4		2	110030201	1	0	50	2	29	
4026	E级战斗证	4		2	110030202	1	0	50	2	29	
4027	E级健康证	4		2	110030203	1	0	50	2	29	
4028	E级饲养证	4		2	110030204	1	0	50	2	29	
4029	D级血统证	4		2	110030301	1	0	50	2	150	1
4030	D级战斗证	4		2	110030302	1	0	50	2	150	1
4031	D级健康证	4		2	110030303	1	0	50	2	150	1
4032	D级饲养证	4		2	110030304	1	0	50	2	150	1
4033	C级血统证	4	80	2	110030401	1	0	50	2	685	1
4034	C级战斗证	4	80	2	110030402	1	0	50	2	685	1
4035	C级健康证	4	80	2	110030403	1	0	50	2	685	1
4036	C级饲养证	4	80	2	110030404	1	0	50	2	685	1
4037	B级血统证	4	85	2	110030501	1	0	50	2	2425	1
4038	B级战斗证	4	85	2	110030502	1	0	50	2	2425	1
4039	B级健康证	4	85	2	110030503	1	0	50	2	2425	1
4040	B级饲养证	4	85	2	110030504	1	0	50	2	2425	1
4041	F级血统证	4		2	110030101	2	0	200	27	20	
4042	F级战斗证	4		2	110030102	2	0	200	27	20	
4043	F级健康证	4		2	110030103	2	0	200	27	20	
4044	F级饲养证	4		2	110030104	2	0	200	27	20	
4045	E级血统证	4		2	110030201	2	0	200	27	58	
4046	E级战斗证	4		2	110030202	2	0	200	27	58	
4047	E级健康证	4		2	110030203	2	0	200	27	58	
4048	E级饲养证	4		2	110030204	2	0	200	27	58	
4049	D级血统证	4		2	110030301	2	0	200	27	300	1
4050	D级战斗证	4		2	110030302	2	0	200	27	300	1
4051	D级健康证	4		2	110030303	2	0	200	27	300	1
4052	D级饲养证	4		2	110030304	2	0	200	27	300	1
4053	C级血统证	4	80	2	110030401	2	0	200	27	1370	1
4054	C级战斗证	4	80	2	110030402	2	0	200	27	1370	1
4055	C级健康证	4	80	2	110030403	2	0	200	27	1370	1
4056	C级饲养证	4	80	2	110030404	2	0	200	27	1370	1
4057	B级血统证	4	85	2	110030501	2	0	200	27	4850	1
4058	B级战斗证	4	85	2	110030502	2	0	200	27	4850	1
4059	B级健康证	4	85	2	110030503	2	0	200	27	4850	1
4060	B级饲养证	4	85	2	110030504	2	0	200	27	4850	1
4061	F级血统证	4		2	110030101	2	0	50	2	20	
4062	F级战斗证	4		2	110030102	2	0	50	2	20	
4063	F级健康证	4		2	110030103	2	0	50	2	20	
4064	F级饲养证	4		2	110030104	2	0	50	2	20	
4065	E级血统证	4		2	110030201	2	0	50	2	58	
4066	E级战斗证	4		2	110030202	2	0	50	2	58	
4067	E级健康证	4		2	110030203	2	0	50	2	58	
4068	E级饲养证	4		2	110030204	2	0	50	2	58	
4069	D级血统证	4		2	110030301	2	0	50	2	300	1
4070	D级战斗证	4		2	110030302	2	0	50	2	300	1
4071	D级健康证	4		2	110030303	2	0	50	2	300	1
4072	D级饲养证	4		2	110030304	2	0	50	2	300	1
4073	C级血统证	4	80	2	110030401	2	0	50	2	1370	1
4074	C级战斗证	4	80	2	110030402	2	0	50	2	1370	1
4075	C级健康证	4	80	2	110030403	2	0	50	2	1370	1
4076	C级饲养证	4	80	2	110030404	2	0	50	2	1370	1
4077	B级血统证	4	85	2	110030501	2	0	50	2	4850	1
4078	B级战斗证	4	85	2	110030502	2	0	50	2	4850	1
4079	B级健康证	4	85	2	110030503	2	0	50	2	4850	1
4080	B级饲养证	4	85	2	110030504	2	0	50	2	4850	1
4081	F级血统证	4		2	110030101	5	0	200	27	50	
4082	F级战斗证	4		2	110030102	5	0	200	27	50	
4083	F级健康证	4		2	110030103	5	0	200	27	50	
4084	F级饲养证	4		2	110030104	5	0	200	27	50	
4085	E级血统证	4		2	110030201	5	0	200	27	145	
4086	E级战斗证	4		2	110030202	5	0	200	27	145	
4087	E级健康证	4		2	110030203	5	0	200	27	145	
4088	E级饲养证	4		2	110030204	5	0	200	27	145	
4089	D级血统证	4		2	110030301	5	0	200	27	750	1
4090	D级战斗证	4		2	110030302	5	0	200	27	750	1
4091	D级健康证	4		2	110030303	5	0	200	27	750	1
4092	D级饲养证	4		2	110030304	5	0	200	27	750	1
4093	C级血统证	4	80	2	110030401	5	0	200	27	3425	1
4094	C级战斗证	4	80	2	110030402	5	0	200	27	3425	1
4095	C级健康证	4	80	2	110030403	5	0	200	27	3425	1
4096	C级饲养证	4	80	2	110030404	5	0	200	27	3425	1
4097	F级血统证	4		2	110030101	5	0	50	2	50	
4098	F级战斗证	4		2	110030102	5	0	50	2	50	
4099	F级健康证	4		2	110030103	5	0	50	2	50	
4100	F级饲养证	4		2	110030104	5	0	50	2	50	
4101	E级血统证	4		2	110030201	5	0	50	2	145	
4102	E级战斗证	4		2	110030202	5	0	50	2	145	
4103	E级健康证	4		2	110030203	5	0	50	2	145	
4104	E级饲养证	4		2	110030204	5	0	50	2	145	
4105	D级血统证	4		2	110030301	5	0	50	2	750	1
4106	D级战斗证	4		2	110030302	5	0	50	2	750	1
4107	D级健康证	4		2	110030303	5	0	50	2	750	1
4108	D级饲养证	4		2	110030304	5	0	50	2	750	1
4109	C级血统证	4	80	2	110030401	5	0	50	2	3425	1
4110	C级战斗证	4	80	2	110030402	5	0	50	2	3425	1
4111	C级健康证	4	80	2	110030403	5	0	50	2	3425	1
4112	C级饲养证	4	80	2	110030404	5	0	50	2	3425	1
4113	F级血统证	4		2	110030101	10	0	200	27	100	
4114	F级战斗证	4		2	110030102	10	0	200	27	100	
4115	F级健康证	4		2	110030103	10	0	200	27	100	
4116	F级饲养证	4		2	110030104	10	0	200	27	100	
4117	E级血统证	4		2	110030201	10	0	200	27	290	
4118	E级战斗证	4		2	110030202	10	0	200	27	290	
4119	E级健康证	4		2	110030203	10	0	200	27	290	
4120	E级饲养证	4		2	110030204	10	0	200	27	290	
4121	D级血统证	4		2	110030301	10	0	200	27	1500	1
4122	D级战斗证	4		2	110030302	10	0	200	27	1500	1
4123	D级健康证	4		2	110030303	10	0	200	27	1500	1
4124	D级饲养证	4		2	110030304	10	0	200	27	1500	1
4125	F级血统证	4		2	110030101	10	0	50	2	100	
4126	F级战斗证	4		2	110030102	10	0	50	2	100	
4127	F级健康证	4		2	110030103	10	0	50	2	100	
4128	F级饲养证	4		2	110030104	10	0	50	2	100	
4129	E级血统证	4		2	110030201	10	0	50	2	290	
4130	E级战斗证	4		2	110030202	10	0	50	2	290	
4131	E级健康证	4		2	110030203	10	0	50	2	290	
4132	E级饲养证	4		2	110030204	10	0	50	2	290	
4133	D级血统证	4		2	110030301	10	0	50	2	1500	1
4134	D级战斗证	4		2	110030302	10	0	50	2	1500	1
4135	D级健康证	4		2	110030303	10	0	50	2	1500	1
4136	D级饲养证	4		2	110030304	10	0	50	2	1500	1
5001	F级血统证	5		2	110030101	1	0	200	27	10	
5002	F级战斗证	5		2	110030102	1	0	200	27	10	
5003	F级健康证	5		2	110030103	1	0	200	27	10	
5004	F级饲养证	5		2	110030104	1	0	200	27	10	
5005	E级血统证	5		2	110030201	1	0	200	27	29	
5006	E级战斗证	5		2	110030202	1	0	200	27	29	
5007	E级健康证	5		2	110030203	1	0	200	27	29	
5008	E级饲养证	5		2	110030204	1	0	200	27	29	
5009	D级血统证	5		2	110030301	1	0	200	27	150	1
5010	D级战斗证	5		2	110030302	1	0	200	27	150	1
5011	D级健康证	5		2	110030303	1	0	200	27	150	1
5012	D级饲养证	5		2	110030304	1	0	200	27	150	1
5013	C级血统证	5	80	2	110030401	1	0	200	27	685	1
5014	C级战斗证	5	80	2	110030402	1	0	200	27	685	1
5015	C级健康证	5	80	2	110030403	1	0	200	27	685	1
5016	C级饲养证	5	80	2	110030404	1	0	200	27	685	1
5017	B级血统证	5	85	2	110030501	1	0	200	27	2425	1
5018	B级战斗证	5	85	2	110030502	1	0	200	27	2425	1
5019	B级健康证	5	85	2	110030503	1	0	200	27	2425	1
5020	B级饲养证	5	85	2	110030504	1	0	200	27	2425	1
5021	F级血统证	5		2	110030101	1	0	50	2	10	
5022	F级战斗证	5		2	110030102	1	0	50	2	10	
5023	F级健康证	5		2	110030103	1	0	50	2	10	
5024	F级饲养证	5		2	110030104	1	0	50	2	10	
5025	E级血统证	5		2	110030201	1	0	50	2	29	
5026	E级战斗证	5		2	110030202	1	0	50	2	29	
5027	E级健康证	5		2	110030203	1	0	50	2	29	
5028	E级饲养证	5		2	110030204	1	0	50	2	29	
5029	D级血统证	5		2	110030301	1	0	50	2	150	1
5030	D级战斗证	5		2	110030302	1	0	50	2	150	1
5031	D级健康证	5		2	110030303	1	0	50	2	150	1
5032	D级饲养证	5		2	110030304	1	0	50	2	150	1
5033	C级血统证	5	80	2	110030401	1	0	50	2	685	1
5034	C级战斗证	5	80	2	110030402	1	0	50	2	685	1
5035	C级健康证	5	80	2	110030403	1	0	50	2	685	1
5036	C级饲养证	5	80	2	110030404	1	0	50	2	685	1
5037	B级血统证	5	85	2	110030501	1	0	50	2	2425	1
5038	B级战斗证	5	85	2	110030502	1	0	50	2	2425	1
5039	B级健康证	5	85	2	110030503	1	0	50	2	2425	1
5040	B级饲养证	5	85	2	110030504	1	0	50	2	2425	1
5041	F级血统证	5		2	110030101	2	0	200	27	20	
5042	F级战斗证	5		2	110030102	2	0	200	27	20	
5043	F级健康证	5		2	110030103	2	0	200	27	20	
5044	F级饲养证	5		2	110030104	2	0	200	27	20	
5045	E级血统证	5		2	110030201	2	0	200	27	58	
5046	E级战斗证	5		2	110030202	2	0	200	27	58	
5047	E级健康证	5		2	110030203	2	0	200	27	58	
5048	E级饲养证	5		2	110030204	2	0	200	27	58	
5049	D级血统证	5		2	110030301	2	0	200	27	300	1
5050	D级战斗证	5		2	110030302	2	0	200	27	300	1
5051	D级健康证	5		2	110030303	2	0	200	27	300	1
5052	D级饲养证	5		2	110030304	2	0	200	27	300	1
5053	C级血统证	5	80	2	110030401	2	0	200	27	1370	1
5054	C级战斗证	5	80	2	110030402	2	0	200	27	1370	1
5055	C级健康证	5	80	2	110030403	2	0	200	27	1370	1
5056	C级饲养证	5	80	2	110030404	2	0	200	27	1370	1
5057	B级血统证	5	85	2	110030501	2	0	200	27	4850	1
5058	B级战斗证	5	85	2	110030502	2	0	200	27	4850	1
5059	B级健康证	5	85	2	110030503	2	0	200	27	4850	1
5060	B级饲养证	5	85	2	110030504	2	0	200	27	4850	1
5061	F级血统证	5		2	110030101	2	0	50	2	20	
5062	F级战斗证	5		2	110030102	2	0	50	2	20	
5063	F级健康证	5		2	110030103	2	0	50	2	20	
5064	F级饲养证	5		2	110030104	2	0	50	2	20	
5065	E级血统证	5		2	110030201	2	0	50	2	58	
5066	E级战斗证	5		2	110030202	2	0	50	2	58	
5067	E级健康证	5		2	110030203	2	0	50	2	58	
5068	E级饲养证	5		2	110030204	2	0	50	2	58	
5069	D级血统证	5		2	110030301	2	0	50	2	300	1
5070	D级战斗证	5		2	110030302	2	0	50	2	300	1
5071	D级健康证	5		2	110030303	2	0	50	2	300	1
5072	D级饲养证	5		2	110030304	2	0	50	2	300	1
5073	C级血统证	5	80	2	110030401	2	0	50	2	1370	1
5074	C级战斗证	5	80	2	110030402	2	0	50	2	1370	1
5075	C级健康证	5	80	2	110030403	2	0	50	2	1370	1
5076	C级饲养证	5	80	2	110030404	2	0	50	2	1370	1
5077	B级血统证	5	85	2	110030501	2	0	50	2	4850	1
5078	B级战斗证	5	85	2	110030502	2	0	50	2	4850	1
5079	B级健康证	5	85	2	110030503	2	0	50	2	4850	1
5080	B级饲养证	5	85	2	110030504	2	0	50	2	4850	1
5081	F级血统证	5		2	110030101	5	0	200	27	50	
5082	F级战斗证	5		2	110030102	5	0	200	27	50	
5083	F级健康证	5		2	110030103	5	0	200	27	50	
5084	F级饲养证	5		2	110030104	5	0	200	27	50	
5085	E级血统证	5		2	110030201	5	0	200	27	145	
5086	E级战斗证	5		2	110030202	5	0	200	27	145	
5087	E级健康证	5		2	110030203	5	0	200	27	145	
5088	E级饲养证	5		2	110030204	5	0	200	27	145	
5089	D级血统证	5		2	110030301	5	0	200	27	750	1
5090	D级战斗证	5		2	110030302	5	0	200	27	750	1
5091	D级健康证	5		2	110030303	5	0	200	27	750	1
5092	D级饲养证	5		2	110030304	5	0	200	27	750	1
5093	C级血统证	5	80	2	110030401	5	0	200	27	3425	1
5094	C级战斗证	5	80	2	110030402	5	0	200	27	3425	1
5095	C级健康证	5	80	2	110030403	5	0	200	27	3425	1
5096	C级饲养证	5	80	2	110030404	5	0	200	27	3425	1
5097	F级血统证	5		2	110030101	5	0	50	2	50	
5098	F级战斗证	5		2	110030102	5	0	50	2	50	
5099	F级健康证	5		2	110030103	5	0	50	2	50	
5100	F级饲养证	5		2	110030104	5	0	50	2	50	
5101	E级血统证	5		2	110030201	5	0	50	2	145	
5102	E级战斗证	5		2	110030202	5	0	50	2	145	
5103	E级健康证	5		2	110030203	5	0	50	2	145	
5104	E级饲养证	5		2	110030204	5	0	50	2	145	
5105	D级血统证	5		2	110030301	5	0	50	2	750	1
5106	D级战斗证	5		2	110030302	5	0	50	2	750	1
5107	D级健康证	5		2	110030303	5	0	50	2	750	1
5108	D级饲养证	5		2	110030304	5	0	50	2	750	1
5109	C级血统证	5	80	2	110030401	5	0	50	2	3425	1
5110	C级战斗证	5	80	2	110030402	5	0	50	2	3425	1
5111	C级健康证	5	80	2	110030403	5	0	50	2	3425	1
5112	C级饲养证	5	80	2	110030404	5	0	50	2	3425	1
5113	F级血统证	5		2	110030101	10	0	200	27	100	
5114	F级战斗证	5		2	110030102	10	0	200	27	100	
5115	F级健康证	5		2	110030103	10	0	200	27	100	
5116	F级饲养证	5		2	110030104	10	0	200	27	100	
5117	E级血统证	5		2	110030201	10	0	200	27	290	
5118	E级战斗证	5		2	110030202	10	0	200	27	290	
5119	E级健康证	5		2	110030203	10	0	200	27	290	
5120	E级饲养证	5		2	110030204	10	0	200	27	290	
5121	D级血统证	5		2	110030301	10	0	200	27	1500	1
5122	D级战斗证	5		2	110030302	10	0	200	27	1500	1
5123	D级健康证	5		2	110030303	10	0	200	27	1500	1
5124	D级饲养证	5		2	110030304	10	0	200	27	1500	1
5125	F级血统证	5		2	110030101	10	0	50	2	100	
5126	F级战斗证	5		2	110030102	10	0	50	2	100	
5127	F级健康证	5		2	110030103	10	0	50	2	100	
5128	F级饲养证	5		2	110030104	10	0	50	2	100	
5129	E级血统证	5		2	110030201	10	0	50	2	290	
5130	E级战斗证	5		2	110030202	10	0	50	2	290	
5131	E级健康证	5		2	110030203	10	0	50	2	290	
5132	E级饲养证	5		2	110030204	10	0	50	2	290	
5133	D级血统证	5		2	110030301	10	0	50	2	1500	1
5134	D级战斗证	5		2	110030302	10	0	50	2	1500	1
5135	D级健康证	5		2	110030303	10	0	50	2	1500	1
5136	D级饲养证	5		2	110030304	10	0	50	2	1500	1
6001	星界石	6		2	110010001	150	0	50	27	300	
6002	星界石	6		2	110010001	200	0	50	27	400	
6003	星界石	6		2	110010001	250	0	50	27	500	1
6004	星界石	6		2	110010001	150	0	50	2	300	
6005	星界石	6		2	110010001	200	0	50	2	400	
6006	星界石	6		2	110010001	250	0	50	2	500	1
