INT	STRING	STRING	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
10010071	橙色防卫伙伴礼包	t_item_name_10010071	4	1001	icon_csgdlb_h	打开后可以从斗人碎片x80/zero碎片x80中任选一个	t_item_desc_10010071		71	2			10	1		2000	
10010072	橙色治疗伙伴礼包	t_item_name_10010072	4	1001	icon_csgdlb_h	打开后可以从幽灵公主碎片x80/C.C碎片x80中任选一个	t_item_desc_10010072		72	2			10	1		2000	
10010073	橙色装备礼包	t_item_name_10010073	4	1001	icon_csgdlb_z	打开后可以从永恒套装礼包/晶铸套装礼包/闪电套装礼包/炽光套装礼包/雷鸣套装礼包/混元套装礼包中任选一个	t_item_desc_10010073		73	2			10	1		4000	
10010074	永恒套装礼包	t_item_name_10010074	4	1001	icon_csgdlb_z	打开后可以从永恒巨剑/永恒战甲/永恒护手/永恒战靴中任选一个	t_item_desc_10010074		74	2			10	1		4000	
10010075	晶铸套装礼包	t_item_name_10010075	4	1001	icon_csgdlb_z	打开后可以从晶铸之枪/晶铸战甲/晶铸护手/晶铸战靴中任选一个	t_item_desc_10010075		75	2			10	1		4000	
10010076	闪电套装礼包	t_item_name_10010076	4	1001	icon_csgdlb_z	打开后可以从闪电之光/闪电战甲/闪电护手/闪电战靴中任选一个	t_item_desc_10010076		76	2			10	1		4000	
10010077	炽光套装礼包	t_item_name_10010077	4	1001	icon_csgdlb_z	打开后可以从炽光之锤/炽光战甲/炽光护手/炽光战靴中任选一个	t_item_desc_10010077		77	2			10	1		4000	
10010078	雷鸣套装礼包	t_item_name_10010078	4	1001	icon_csgdlb_z	打开后可以从雷鸣手枪/雷鸣战甲/雷鸣护手/雷鸣战靴中任选一个	t_item_desc_10010078		78	2			10	1		4000	
10010079	混元套装礼包	t_item_name_10010079	4	1001	icon_csgdlb_z	打开后可以从混元镰刀/混元战甲/混元护手/混元战靴中任选一个	t_item_desc_10010079		79	2			10	1		4000	
10010080	橙色饰品碎片礼包	t_item_name_10010080	4	1001	icon_csgdlb_s	打开后可以从荣耀之链碎片A/荣耀之戒碎片A/荣耀徽章碎片A/荣耀护符碎片A中任选一个	t_item_desc_10010080		80	2			10	1		400	
10010081	红色饰品碎片礼包	t_item_name_10010081	5	1001	icon_hsgdlb_s	打开后可以从明光之链碎片A/明光之戒碎片A/明光徽章碎片A/明光护符碎片A中任选一个	t_item_desc_10010081		81	2			10	1		850	
10010082	紫色回忆录	t_item_name_10010082	3	1001	icon_zshyl	打开后随机获得紫色、橙色回忆	t_item_desc_10010082		82	1			10	1		200	
10010083	橙色回忆录	t_item_name_10010083	4	1001	icon_cshyl	打开后随机获得橙色、红色回忆	t_item_desc_10010083		83	1			10	1		1000	
10010084	紫色回忆箱	t_item_name_10010084	3	1001	icon_zssjxz_h	打开后随机获得紫色回忆	t_item_desc_10010084		84	1			10	1		100	
10010085	橙色回忆箱	t_item_name_10010085	4	1001	icon_cssjxz_h	打开后随机获得橙色回忆	t_item_desc_10010085		85	1			10	1		600	
10010086	红色回忆箱	t_item_name_10010086	5	1001	icon_hssjxz_h	打开后随机获得红色回忆	t_item_desc_10010086		86	1			10	1		4000	
10010087	红色装备碎片礼包	t_item_name_10010087	5	1001	icon_hsgdlb_z	打开后可以从大天使之刃碎片x1/大天使战甲碎片x1/大天使护手碎片x1/大天使战靴碎片x1中任选一个	t_item_desc_10010087		87	2			10	1		250	
10010088	橙色铁卫伙伴礼包	t_item_name_10010088	4	1001	icon_csgdlb_h	打开后可以从一卡螺丝碎片x80/火女碎片x80/奈亚酱碎片x80/紫妈碎片x80中任选一个	t_item_desc_10010088		88	2			10	1		2400	
10010089	橙色锋芒伙伴礼包	t_item_name_10010089	4	1001	icon_csgdlb_h	打开后可以从灼眼公主碎片x80/双枪少女碎片x80中任选一个	t_item_desc_10010089		89	2			10	1		2400	
10010090	橙色睿智伙伴礼包	t_item_name_10010090	4	1001	icon_csgdlb_h	打开后可以从魔剑士碎片x80/黑子碎片x80/女仆长碎片x80中任选一个	t_item_desc_10010090		90	2			10	1		2400	
10010091	橙色助手上衣箱	t_item_name_10010091	4	1001	icon_cszssz	打开后可以获得助手上衣时装——圣域战斗服	t_item_desc_10010091		91	3			10	1			
10010092	橙色助手饰品箱	t_item_name_10010092	4	1001	icon_cszssz	打开后可以获得助手饰品时装——圣域战斗翅膀	t_item_desc_10010092		92	3			10	1			
10010093	传奇猎人称号箱	t_item_name_10010093	6	1001	icon_dj_lsj003a	打开后可以获得20000猎人勋章以及传奇猎人称号，称号有效7天	t_item_desc_10010093		93	4			10	1			
10010094	万夫莫敌称号箱	t_item_name_10010094	5	1001	icon_dj_lsj003a	打开后可以获得18000猎人勋章以及万夫莫敌称号，称号有效7天	t_item_desc_10010094		94	4			10	1			
10010095	大杀四方称号箱	t_item_name_10010095	4	1001	icon_dj_lsj003a	打开后可以获得16000猎人勋章以及大杀四方称号，称号有效7天	t_item_desc_10010095		95	4			10	1			
10010096	威名远扬称号箱	t_item_name_10010096	3	1001	icon_dj_lsj003a	打开后可以获得14000猎人勋章以及威名远扬称号，称号有效7天	t_item_desc_10010096		96	4			10	1			
10010097	百战百胜称号箱	t_item_name_10010097	3	1001	icon_dj_lsj003a	打开后可以获得12000猎人勋章以及百战百胜称号，称号有效7天	t_item_desc_10010097		97	4			10	1			
10010098	骁勇战将称号箱	t_item_name_10010098	2	1001	icon_dj_lsj003a	打开后可以获得10000猎人勋章以及骁勇战将称号，称号有效7天	t_item_desc_10010098		98	4			10	1			
10010099	精英猎兵称号箱	t_item_name_10010099	2	1001	icon_dj_lsj003a	打开后可以获得8000猎人勋章以及精英猎兵称号，称号有效7天	t_item_desc_10010099		99	4			10	1			
10010100	11品伙伴时装箱	t_item_name_10010100	4	1001	icon_cszssz	打开后可以从11品防卫时装箱/11品物理时装箱/11品魔法时装箱中任选1个	t_item_desc_10010100		100	2			10	1			
10010101	11品防卫时装箱	t_item_name_10010101	4	1001	icon_cszssz	打开后可以从奈亚酱时装箱/紫妈时装箱/一卡螺丝时装箱/火女时装箱中任选1个	t_item_desc_10010101		101	2			10	1			
10010102	11品物理时装箱	t_item_name_10010102	4	1001	icon_cszssz	打开后可以从灼眼公主时装箱/双枪少女时装箱中任选1个	t_item_desc_10010102		102	2			10	1			
10010103	11品魔法时装箱	t_item_name_10010103	4	1001	icon_cszssz	打开后可以从黑子时装箱/魔法剑客时装箱/女仆长时装箱中任选1个	t_item_desc_10010103		103	2			10	1			
10010104	奈亚酱时装箱	t_item_name_10010104	4	1001	icon_cszssz	打开后可以获得奈亚酱的中国风旗袍时装	t_item_desc_10010104		104	3			10	1			
10010105	黑子时装箱	t_item_name_10010105	4	1001	icon_cszssz	打开后可以获得黑子的中国风旗袍时装	t_item_desc_10010105		105	3			10	1			
10010106	紫妈时装箱	t_item_name_10010106	4	1001	icon_cszssz	打开后可以获得紫妈的中国风旗袍时装	t_item_desc_10010106		106	3			10	1			
10010107	灼眼公主时装箱	t_item_name_10010107	4	1001	icon_cszssz	打开后可以获得灼眼公主的中国风旗袍时装	t_item_desc_10010107		107	3			10	1			
10010108	魔法剑客时装箱	t_item_name_10010108	4	1001	icon_cszssz	打开后可以获得魔法剑客的中国风旗袍时装	t_item_desc_10010108		108	3			10	1			
10010109	一卡螺丝时装箱	t_item_name_10010109	4	1001	icon_cszssz	打开后可以获得一卡螺丝的中国风旗袍时装	t_item_desc_10010109		109	3			10	1			
10010110	火女时装箱	t_item_name_10010110	4	1001	icon_cszssz	打开后可以获得火女的中国风旗袍时装	t_item_desc_10010110		110	3			10	1			
10010111	红色伙伴时装箱	t_item_name_10010111	5	1001	icon_hshbsz	打开后可以从骑士女皇时装箱/阿丝奈时装箱/狂姗时装箱/召唤师时装箱/三竹立时装箱中任选一个	t_item_desc_10010111		111	2			10	1			
10010112	骑士女皇时装箱	t_item_name_10010112	5	1001	icon_hshbsz	打开后可以获得骑士女皇的中国风旗袍时装	t_item_desc_10010112		112	3			10	1			
10010113	阿丝奈时装箱	t_item_name_10010113	5	1001	icon_hshbsz	打开后可以获得阿丝奈的中国风旗袍时装	t_item_desc_10010113		113	3			10	1			
10010114	狂姗时装箱	t_item_name_10010114	5	1001	icon_hshbsz	打开后可以获得狂姗的中国风旗袍时装	t_item_desc_10010114		114	3			10	1			
10010115	三竹立时装箱	t_item_name_10010115	5	1001	icon_hshbsz	打开后可以获得三竹立的中国风旗袍时装	t_item_desc_10010115		115	3			10	1			
10010116	双枪少女时装箱	t_item_name_10010116	4	1001	icon_cszssz	打开后可以获得双枪少女的中国风旗袍时装	t_item_desc_10010116		116	3			10	1			
10010117	女仆长时装箱	t_item_name_10010117	4	1001	icon_cszssz	打开后可以获得女仆长的中国风旗袍时装	t_item_desc_10010117		117	3			10	1			
10010118	召唤师时装箱	t_item_name_10010118	5	1001	icon_hshbsz	打开后可以获得召唤师的中国风旗袍时装	t_item_desc_10010118		118	3			10	1			
10010119	蝴蝶时装箱	t_item_name_10010119	5	1001	icon_hshbsz	打开后可以获得蝴蝶的中国风旗袍时装	t_item_desc_10010119		119	3			10	1			
10010120	橙色宠物箱	t_item_name_10010120	4	1001	icon_cszscw	打开后可以从机械制裁者碎片x75/天空守护者碎片x75中选择一种获取	t_item_desc_10010120		120	2			10	1		15000	
10010121	橙色宠物碎片箱	t_item_name_10010121	4	1001	icon_cssjcw_z	打开后随机获得橙色宠物碎片	t_item_desc_10010121		121	1			10	1		200	
10010122	白色宠物进阶箱	t_item_name_10010122	0	1001	icon_clbx_bai	打开后随机获得白色宠物进阶材料	t_item_desc_10010122		122	1			10	1		10	
10010123	绿色宠物进阶箱	t_item_name_10010123	1	1001	icon_clbx_lv	打开后随机获得绿色宠物进阶材料	t_item_desc_10010123		123	1			10	1		29	
10010124	蓝色宠物进阶箱	t_item_name_10010124	2	1001	icon_clbx_lan	打开后随机获得蓝色宠物进阶材料	t_item_desc_10010124		124	1			10	1		150	
10010125	紫色宠物进阶箱	t_item_name_10010125	3	1001	icon_clbx_zi	打开后随机获得紫色宠物进阶材料	t_item_desc_10010125		125	1			10	1		685	
10010126	橙色宠物进阶箱	t_item_name_10010126	4	1001	icon_clbx_jin	打开后随机获得橙色宠物进阶材料	t_item_desc_10010126		126	1			10	1		2425	
10010127	红色宠物进阶箱	t_item_name_10010127	5	1001	icon_clbx_ho	打开后随机获得红色宠物进阶材料	t_item_desc_10010127		127	1			10	1		9775	
10010128	直捣黄龙称号箱	t_item_name_10010128	2	1001	icon_dj_lsj003a	打开后可以获得直捣黄龙称号，称号有效7天	t_item_desc_10010128		128	4			10	1			
10010129	横空出世称号箱	t_item_name_10010129	1	1001	icon_dj_lsj003a	打开后可以获得横空出世称号，称号有效7天	t_item_desc_10010129		129	4			10	1			
10010130	白音时装箱	t_item_name_10010130	5	1001	icon_hshbsz	打开后可以获得白音的中国风旗袍时装	t_item_desc_10010130		130	3			10	1			
10010131	红色伙伴碎片礼包	t_item_name_10010131	5	1001	icon_hsgdlb_h	打开后可以从骑士女皇碎片x10/阿丝奈碎片x10/狂姗碎片x10/召唤师碎片x10/三竹立碎片x10中任选一个	t_item_desc_10010131		131	2			10	1		500	
10020002	活力装备礼包	t_item_name_10020002	2	1001	icon_dj_nlkc	打开后获得一套活力套装	t_item_desc_10020002		20002				10	1			
10020011	VIP7返利礼盒	t_item_name_10020011	1	1001	icon_hd_fl	礼盒内共有500钻石，当前礼盒打开获得50钻石和VIP7返利礼盒（二）	t_item_desc_10020011	30	20011				10	1			
10020012	VIP7返利礼盒（二）	t_item_name_10020012	1	1001	icon_hd_fl	礼盒内共有450钻石，当前礼盒打开获得75钻石和VIP7返利礼盒（三）	t_item_desc_10020012	40	20012				10	1			
10020013	VIP7返利礼盒（三）	t_item_name_10020013	1	1001	icon_hd_fl	礼盒内共有375钻石，当前礼盒打开获得100钻石和VIP7返利礼盒（四）	t_item_desc_10020013	50	20013				10	1			
10020014	VIP7返利礼盒（四）	t_item_name_10020014	1	1001	icon_hd_fl	礼盒内共有275钻石，当前礼盒打开获得125钻石和VIP7返利礼盒（五）	t_item_desc_10020014	60	20014				10	1			
10020015	VIP7返利礼盒（五）	t_item_name_10020015	1	1001	icon_hd_fl	打开获得150钻石	t_item_desc_10020015	70	20015				10	1			
10020016	VIP7神秘礼盒	t_item_name_10020016	2	1001	icon_hd_sm	打开获得紫色伙伴碎片箱*5	t_item_desc_10020016	20	20016				10	1			
10020017	VIP7惊喜礼盒	t_item_name_10020017	3	1001	icon_hd_jx	打开获得250战魂	t_item_desc_10020017	30	20017				10	1			
10020018	VIP7至尊礼盒	t_item_name_10020018	4	1001	icon_hd_zz	打开获得紫色装备箱*5	t_item_desc_10020018	40	20018				10	1			
10020021	VIP8返利礼盒	t_item_name_10020021	1	1001	icon_hd_fl	礼盒内共有1000钻石，当前礼盒打开获得100钻石和VIP8返利礼盒（二）	t_item_desc_10020021	30	20021				10	1			
10020022	VIP8返利礼盒（二）	t_item_name_10020022	1	1001	icon_hd_fl	礼盒内共有900钻石，当前礼盒打开获得150钻石和VIP8返利礼盒（三）	t_item_desc_10020022	40	20022				10	1			
10020023	VIP8返利礼盒（三）	t_item_name_10020023	1	1001	icon_hd_fl	礼盒内共有750钻石，当前礼盒打开获得200钻石和VIP8返利礼盒（四）	t_item_desc_10020023	50	20023				10	1			
10020024	VIP8返利礼盒（四）	t_item_name_10020024	1	1001	icon_hd_fl	礼盒内共有550钻石，当前礼盒打开获得250钻石和VIP8返利礼盒（五）	t_item_desc_10020024	60	20024				10	1			
10020025	VIP8返利礼盒（五）	t_item_name_10020025	1	1001	icon_hd_fl	打开获得300钻石	t_item_desc_10020025	70	20025				10	1			
10020026	VIP8神秘礼盒	t_item_name_10020026	2	1001	icon_hd_sm	打开获得橙色伙伴碎片箱*5	t_item_desc_10020026	30	20026				10	1			
10020027	VIP8惊喜礼盒	t_item_name_10020027	3	1001	icon_hd_jx	打开获得1000战魂	t_item_desc_10020027	40	20027				10	1			
10020028	VIP8至尊礼盒	t_item_name_10020028	4	1001	icon_hd_zz	打开获得橙色装备箱*5	t_item_desc_10020028	50	20028				10	1			
10020031	VIP9返利礼盒	t_item_name_10020031	1	1001	icon_hd_fl	礼盒内共有1500钻石，当前礼盒打开获得150钻石和VIP9返利礼盒（二）	t_item_desc_10020031	30	20031				10	1			
10020032	VIP9返利礼盒（二）	t_item_name_10020032	1	1001	icon_hd_fl	礼盒内共有1350钻石，当前礼盒打开获得225钻石和VIP9返利礼盒（三）	t_item_desc_10020032	40	20032				10	1			
10020033	VIP9返利礼盒（三）	t_item_name_10020033	1	1001	icon_hd_fl	礼盒内共有1125钻石，当前礼盒打开获得300钻石和VIP9返利礼盒（四）	t_item_desc_10020033	50	20033				10	1			
10020034	VIP9返利礼盒（四）	t_item_name_10020034	1	1001	icon_hd_fl	礼盒内共有825钻石，当前礼盒打开获得375钻石和VIP9返利礼盒（五）	t_item_desc_10020034	60	20034				10	1			
10020035	VIP9返利礼盒（五）	t_item_name_10020035	1	1001	icon_hd_fl	打开获得450钻石	t_item_desc_10020035	70	20035				10	1			
10020036	VIP9神秘礼盒	t_item_name_10020036	2	1001	icon_hd_sm	打开获得橙色伙伴碎片箱*7	t_item_desc_10020036	30	20036				10	1			
10020037	VIP9惊喜礼盒	t_item_name_10020037	3	1001	icon_hd_jx	打开获得1000战魂	t_item_desc_10020037	40	20037				10	1			
10020038	VIP9至尊礼盒	t_item_name_10020038	4	1001	icon_hd_zz	打开获得橙色装备箱*7	t_item_desc_10020038	50	20038				10	1			
10020041	VIP10返利礼盒	t_item_name_10020041	1	1001	icon_hd_fl	礼盒内共有2000钻石，当前礼盒打开获得200钻石和VIP10返利礼盒（二）	t_item_desc_10020041	30	20041				10	1			
10020042	VIP10返利礼盒（二）	t_item_name_10020042	1	1001	icon_hd_fl	礼盒内共有1800钻石，当前礼盒打开获得300钻石和VIP10返利礼盒（三）	t_item_desc_10020042	40	20042				10	1			
10020043	VIP10返利礼盒（三）	t_item_name_10020043	1	1001	icon_hd_fl	礼盒内共有1500钻石，当前礼盒打开获得400钻石和VIP10返利礼盒（四）	t_item_desc_10020043	50	20043				10	1			
10020044	VIP10返利礼盒（四）	t_item_name_10020044	1	1001	icon_hd_fl	礼盒内共有1100钻石，当前礼盒打开获得500钻石和VIP10返利礼盒（五）	t_item_desc_10020044	60	20044				10	1			
10020045	VIP10返利礼盒（五）	t_item_name_10020045	1	1001	icon_hd_fl	打开获得600钻石	t_item_desc_10020045	70	20045				10	1			
10020046	VIP10神秘礼盒	t_item_name_10020046	2	1001	icon_hd_sm	打开获得橙色伙伴碎片箱*10	t_item_desc_10020046	30	20046				10	1			
10020047	VIP10惊喜礼盒	t_item_name_10020047	3	1001	icon_hd_jx	打开获得1000战魂	t_item_desc_10020047	40	20047				10	1			
10020048	VIP10至尊礼盒	t_item_name_10020048	4	1001	icon_hd_zz	打开获得橙色装备箱*10	t_item_desc_10020048	50	20048				10	1			
10030001	节日礼盒	t_item_name_10030001	5	1001	hsty_lihe002	打开后随机获得队形强化装置、能力水晶、精炼金属、神之金属或节日卡片	t_item_desc_10030001		30001	1			10	1		500	
10030002	幸运礼包	t_item_name_10030002	4	1001	hsty_lihe002	打开后从红色伙伴礼包x1/红色装备碎片礼包x30中选择一种获取	t_item_desc_10030002		30002	2			10	1		7500	
10030003	幸运豪华礼包	t_item_name_10030003	4	1001	hsty_lihe002	打开后从红色伙伴礼包x4/红色装备礼包x2/橙色光环碎片x3中选择一种获取	t_item_desc_10030003		30003	2			10	1		30000	
10030004	银河礼包	t_item_name_10030004	4	1001	hsty_lihe002	打开后从红色回忆箱x2/红色饰品礼包x3中选择一种获取	t_item_desc_10030004		30004	2			10	1		7500	
10030005	银河豪华礼包	t_item_name_10030005	5	1001	hsty_lihe001	打开后从红色回忆箱x2/橙色助手饰品箱x1中选择一种获取	t_item_desc_10030005		30005	2			10	1		30000	
10030006	漫游积分礼包	t_item_name_10030006	4	1001	hsty_lihe002	可从红色伙伴之力x10、红色装备之力x10、光元素x100里选择一种获取	t_item_desc_10030006		30006	2			10	1		500	
10030007	漫游排名礼包	t_item_name_10030007	5	1001	hsty_lihe001	可从红色伙伴礼包x1/红装装备碎片礼包x30/橙色助手上衣箱x1/橙色助手饰品箱x1里选择一种获取	t_item_desc_10030007		30007	2			10	1		7500	
10030008	圣诞节上衣箱	t_item_name_10030008	5	1001	hsty_lihe001	打开后可以获得小助手时装——圣诞节上衣	t_item_desc_10030008		30008	3			10	1			
10030009	圣诞节头饰箱	t_item_name_10030009	5	1001	hsty_lihe001	打开后可以获得小助手时装——圣诞节头饰	t_item_desc_10030009		30009	3			10	1			
10030010	月卡基金礼包	t_item_name_10030010	4	1001	hsty_lihe002	打开后从红色伙伴礼包x2/红色装备礼包x1中选择一种获取	t_item_desc_10030010		30010	2			10	1			
10030011	月卡基金豪华礼包	t_item_name_10030011	5	1001	hsty_lihe001	打开后从红色伙伴礼包x4/红色装备礼包x2中选择一种获取	t_item_desc_10030011		30011	2			10	1			
10030012	幸运之神礼包	t_item_name_10030012	5	1001	hsty_lihe001	打开后从红色伙伴礼包x6/红色装备礼包x3/红色光环碎片x3中选择一种获取	t_item_desc_10030012		30012	2			10	1		45000	
10030013	幸运勇者礼包	t_item_name_10030013	5	1001	hsty_lihe001	打开后从红色伙伴礼包x4/红色装备礼包x2/红色光环碎片x2中选择一种获取	t_item_desc_10030013		30013	2			10	1		30000	
30010004	强尼团长碎片	t_item_name_30010004	2	3001		收集20个可以兑换强尼团长	t_item_desc_30010004		4	20	1	30020004	2			5	
30010006	强袭天使碎片	t_item_name_30010006	3	3001		收集40个可以兑换强袭天使	t_item_desc_30010006		6	40	2	30020006	10			20	1|2|12
30010007	炮击天使碎片	t_item_name_30010007	3	3001		收集40个可以兑换炮击天使	t_item_desc_30010007		7	40	2	30020007	10			20	1|2|12
30010008	斩击天使碎片	t_item_name_30010008	3	3001		收集40个可以兑换斩击天使	t_item_desc_30010008		8	40	2	30020008	10			20	1|2|12
30010023	阿米巴碎片	t_item_name_30010023	2	3001		收集20个可以兑换阿米巴	t_item_desc_30010023		23	20	1	30020023	2			5	
30010024	女武神碎片	t_item_name_30010024	3	3001		收集40个可以兑换女武神	t_item_desc_30010024		24	40	2	30020024	10			20	1|2|12
30010026	苍破将军碎片	t_item_name_30010026	2	3001		收集20个可以兑换苍破将军	t_item_desc_30010026		26	20	1	30020026	2			5	
30010027	机甲将军碎片	t_item_name_30010027	3	3001		收集40个可以兑换机甲将军	t_item_desc_30010027		27	40	2	30020027	10			20	1|2|12
30010035	机械女仆碎片	t_item_name_30010035	3	3001		收集40个可以兑换机械女仆	t_item_desc_30010035		35	40	2	30020035	10			20	1|2|12
30010036	黄金神王碎片	t_item_name_30010036	3	3001		收集40个可以兑换黄金神王	t_item_desc_30010036		36	40	2	30020036	10			20	1|2|12
30010037	白银神王碎片	t_item_name_30010037	2	3001		收集20个可以兑换白银神王	t_item_desc_30010037		37	20	1	30020037	2			5	
30010041	青鬼碎片	t_item_name_30010041	2	3001		收集20个可以兑换青鬼	t_item_desc_30010041		41	20	1	30020041	2			5	
30010042	青鬼王碎片	t_item_name_30010042	3	3001		收集40个可以兑换青鬼王	t_item_desc_30010042		42	40	2	30020042	10			20	1|2|12
30010043	幸运兔碎片	t_item_name_30010043	2	3001		收集20个可以兑换幸运兔	t_item_desc_30010043		43	20	1	30020043	2			5	
30010046	猫又碎片	t_item_name_30010046	2	3001		收集20个可以兑换猫又	t_item_desc_30010046		46	20	1	30020046	2			5	
30010049	夜魇碎片	t_item_name_30010049	3	3001		收集40个可以兑换夜魇	t_item_desc_30010049		49	40	2	30020049	10			20	1|2|12
30010052	月兔碎片	t_item_name_30010052	3	3001		收集40个可以兑换月兔	t_item_desc_30010052		52	40	2	30020052	10			20	1|2|12
30010053	欲望君主碎片	t_item_name_30010053	3	3001		收集40个可以兑换欲望君主	t_item_desc_30010053		53	40	2	30020053	10			20	1|2|12
30010055	妖狐少女碎片	t_item_name_30010055	3	3001		收集40个可以兑换妖狐少女	t_item_desc_30010055		55	40	2	30020055	10			20	1|2|12
30010057	赤鬼王碎片	t_item_name_30010057	3	3001		收集40个可以兑换赤鬼王	t_item_desc_30010057		57	40	2	30020057	10			20	1|2|12
