INT	STRING	STRING	STRING	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
2015	斗人15	yhbj_tsg001	yuehui_2015_0	202	40	2	我一直很努力啊，看我战斗力	xinqing_choice_2015_1	yuehui_2015_1		我认为知识与实战同样重要	xinqing_choice_2015_2	yuehui_2015_2		你指望小学生拯救世界吗？	xinqing_choice_2015_3	yuehui_2015_3	
3001	炮姐01	yhcj_xlc001	yuehui_3001_0	203	60	1												
3002	炮姐02	yhcj_xlc001	yuehui_3002_0	203	60	1												
3003	炮姐03	yhcj_xlc001	yuehui_3003_0	203	40	2	送她一副橡胶手套	xinqing_choice_3003_1	yuehui_3003_1		给她玩一款宠物游戏	xinqing_choice_3003_2	yuehui_3003_2		我永远不会跑掉	xinqing_choice_3003_3	yuehui_3003_3	
3004	炮姐04	yhcj_fd001	yuehui_3004_0	203	60	1												
3005	炮姐05	yhcj_fd001	yuehui_3005_0	203	60	1												
3006	炮姐06	yhcj_fd001	yuehui_3006_0	203	40	2	我想请你吃麻辣烫	xinqing_choice_3006_1	yuehui_3006_1		这么踹会看到大腿根部	xinqing_choice_3006_2	yuehui_3006_2		ATM机你能踹吗	xinqing_choice_3006_3	yuehui_3006_3	
3007	炮姐07	yhcj_gy001	yuehui_3007_0	203	60	1												
3008	炮姐08	yhcj_gy001	yuehui_3008_0	203	60	1												
3009	炮姐09	yhcj_gy001	yuehui_3009_0	203	40	2	半价不代表一定要穿儿童泳衣啊	xinqing_choice_3009_1	yuehui_3009_1		没有！真好看！	xinqing_choice_3009_2	yuehui_3009_2		真是绝壁啊	xinqing_choice_3009_3	yuehui_3009_3	
3010	炮姐10	yhcj_gc001	yuehui_3010_0	203	60	1												
3011	炮姐11	yhcj_gc001	yuehui_3011_0	203	60	1												
3012	炮姐12	yhcj_gc001	yuehui_3012_0	203	40	2	送给炮姐一个杀人熊玩偶	xinqing_choice_3012_1	yuehui_3012_1		送给炮姐一个呱太玩偶	xinqing_choice_3012_2	yuehui_3012_2		送给炮姐一个刺猬玩偶	xinqing_choice_3012_3	yuehui_3012_3	
3013	炮姐13	yhbj_tsg001	yuehui_3013_0	203	60	1												
3014	炮姐14	yhbj_tsg001	yuehui_3014_0	203	60	1												
3015	炮姐15	yhbj_tsg001	yuehui_3015_0	203	40	2	这样做真的不要紧吗？	xinqing_choice_3015_1	yuehui_3015_1		额滴神啊，帅爆了	xinqing_choice_3015_2	yuehui_3015_2		居然穿安全裤，影响市容啊！	xinqing_choice_3015_3	yuehui_3015_3	
4001	黑色射手01	yhcj_xlc001	yuehui_4001_0	204	60	1												
4002	黑色射手02	yhcj_xlc001	yuehui_4002_0	204	60	1												
4003	黑色射手03	yhcj_xlc001	yuehui_4003_0	204	40	2	试试和我合作射击	xinqing_choice_4003_1	yuehui_4003_1		试试用BB弹对战吧	xinqing_choice_4003_2	yuehui_4003_2		试试玩射击类游戏	xinqing_choice_4003_3	yuehui_4003_3	
4004	黑色射手04	yhcj_fd001	yuehui_4004_0	204	60	1												
4005	黑色射手05	yhcj_fd001	yuehui_4005_0	204	60	1												
4006	黑色射手06	yhcj_fd001	yuehui_4006_0	204	40	2	帮忙用绷带包扎脚部	xinqing_choice_4006_1	yuehui_4006_1		背着她去医疗室	xinqing_choice_4006_2	yuehui_4006_2		施展“治愈术”	xinqing_choice_4006_3	yuehui_4006_3	
4007	黑色射手07	yhcj_gy001	yuehui_4007_0	204	60	1												
4008	黑色射手08	yhcj_gy001	yuehui_4008_0	204	60	1												
4009	黑色射手09	yhcj_gy001	yuehui_4009_0	204	40	2	见识各种事物	xinqing_choice_4009_1	yuehui_4009_1		经历过痛苦	xinqing_choice_4009_2	yuehui_4009_2		顺其自然就可以	xinqing_choice_4009_3	yuehui_4009_3	
4010	黑色射手10	yhcj_gc001	yuehui_4010_0	204	60	1												
4011	黑色射手11	yhcj_gc001	yuehui_4011_0	204	60	1												
4012	黑色射手12	yhcj_gc001	yuehui_4012_0	204	40	2	你不也输给我了吗	xinqing_choice_4012_1	yuehui_4012_1		总有得人负责卖萌	xinqing_choice_4012_2	yuehui_4012_2		因为爱情	xinqing_choice_4012_3	yuehui_4012_3	
4013	黑色射手13	yhbj_tsg001	yuehui_4013_0	204	60	1												
4014	黑色射手14	yhbj_tsg001	yuehui_4014_0	204	60	1												
4015	黑色射手15	yhbj_tsg001	yuehui_4015_0	204	40	2	和实战结合起来思考试试	xinqing_choice_4015_1	yuehui_4015_1		给我看看然后告诉你我的理解	xinqing_choice_4015_2	yuehui_4015_2		是有不认识的字吗	xinqing_choice_4015_3	yuehui_4015_3	
5001	波波利01	yhcj_xlc001	yuehui_5001_0	205	60	1												
5002	波波利02	yhcj_xlc001	yuehui_5002_0	205	60	1												
5003	波波利03	yhcj_xlc001	yuehui_5003_0	205	40	2	明天早一小时开始训练吧	xinqing_choice_5003_1	yuehui_5003_1		从今天开始生活规律也同步吧	xinqing_choice_5003_2	yuehui_5003_2		从今天开始晚上睡一起吧	xinqing_choice_5003_3	yuehui_5003_3	
5004	波波利04	yhcj_fd001	yuehui_5004_0	205	60	1												
5005	波波利05	yhcj_fd001	yuehui_5005_0	205	60	1												
5006	波波利06	yhcj_fd001	yuehui_5006_0	205	40	2	送波波利回家	xinqing_choice_5006_1	yuehui_5006_1		明天我接你一起去，约好了哦	xinqing_choice_5006_2	yuehui_5006_2		再聊一会儿再走嘛，好无聊哦	xinqing_choice_5006_3	yuehui_5006_3	
5007	波波利07	yhcj_gy001	yuehui_5007_0	205	60	1												
5008	波波利08	yhcj_gy001	yuehui_5008_0	205	60	1												
5009	波波利09	yhcj_gy001	yuehui_5009_0	205	40	2	写日记记录生活点滴	xinqing_choice_5009_1	yuehui_5009_1		召集朋友举办聚餐	xinqing_choice_5009_2	yuehui_5009_2		武器刻上她的名字	xinqing_choice_5009_3	yuehui_5009_3	
5010	波波利10	yhcj_gc001	yuehui_5010_0	205	60	1												
5011	波波利11	yhcj_gc001	yuehui_5011_0	205	60	1												
5012	波波利12	yhcj_gc001	yuehui_5012_0	205	40	2	因为看你没有眼镜盒放眼镜	xinqing_choice_5012_1	yuehui_5012_1		因为你好像很珍惜那副眼镜	xinqing_choice_5012_2	yuehui_5012_2		看到便宜就买多了	xinqing_choice_5012_3	yuehui_5012_3	
5013	波波利13	yhbj_tsg001	yuehui_5013_0	205	60	1												
5014	波波利14	yhbj_tsg001	yuehui_5014_0	205	60	1												
5015	波波利15	yhbj_tsg001	yuehui_5015_0	205	40	2	想着完成自己的使命	xinqing_choice_5015_1	yuehui_5015_1		心系自己最关心的人	xinqing_choice_5015_2	yuehui_5015_2		饱暖思“哔哔”	xinqing_choice_5015_3	yuehui_5015_3	
6001	ZERO01	yhcj_xlc001	yuehui_6001_0	206	60	1												
6002	ZERO02	yhcj_xlc001	yuehui_6002_0	206	60	1												
6003	ZERO03	yhcj_xlc001	yuehui_6003_0	206	40	2	带ZERO去喝一杯	xinqing_choice_6003_1	yuehui_6003_1		带ZERO回家	xinqing_choice_6003_2	yuehui_6003_2		带ZERO吃夜宵	xinqing_choice_6003_3	yuehui_6003_3	
6004	ZERO04	yhcj_fd001	yuehui_6004_0	206	60	1												
6005	ZERO05	yhcj_fd001	yuehui_6005_0	206	60	1												
6006	ZERO06	yhcj_fd001	yuehui_6006_0	206	40	2	尽快回来哦	xinqing_choice_6006_1	yuehui_6006_1		好的，没问题，我期待着	xinqing_choice_6006_2	yuehui_6006_2		难道我还没那些事情重要吗	xinqing_choice_6006_3	yuehui_6006_3	
6007	ZERO07	yhcj_gy001	yuehui_6007_0	206	60	1												
6008	ZERO08	yhcj_gy001	yuehui_6008_0	206	60	1												
6009	ZERO09	yhcj_gy001	yuehui_6009_0	206	40	2	我要用千年杀制裁他	xinqing_choice_6009_1	yuehui_6009_1		你来抚慰下我就好了	xinqing_choice_6009_2	yuehui_6009_2		谁让我那么单纯呢	xinqing_choice_6009_3	yuehui_6009_3	
6010	ZERO10	yhcj_gc001	yuehui_6010_0	206	60	1												
6011	ZERO11	yhcj_gc001	yuehui_6011_0	206	60	1												
6012	ZERO12	yhcj_gc001	yuehui_6012_0	206	40	2	你一定有苦衷	xinqing_choice_6012_1	yuehui_6012_1		错的不是你，是世界	xinqing_choice_6012_2	yuehui_6012_2		卧槽好可怕	xinqing_choice_6012_3	yuehui_6012_3	
6013	ZERO13	yhbj_tsg001	yuehui_6013_0	206	60	1												
6014	ZERO14	yhbj_tsg001	yuehui_6014_0	206	60	1												
6015	ZERO15	yhbj_tsg001	yuehui_6015_0	206	40	2	想必有什么缘由吧，请告诉我	xinqing_choice_6015_1	yuehui_6015_1		好，如果这是你所希望的话	xinqing_choice_6015_2	yuehui_6015_2		放开妹妹们，有什么事冲我来	xinqing_choice_6015_3	yuehui_6015_3	
7001	妖妄之梦01	yhcj_xlc001	yuehui_7001_0	207	60	1												
7002	妖妄之梦02	yhcj_xlc001	yuehui_7002_0	207	60	1												
7003	妖妄之梦03	yhcj_xlc001	yuehui_7003_0	207	40	2	带她去游乐园	xinqing_choice_7003_1	yuehui_7003_1		带她去看樱花	xinqing_choice_7003_2	yuehui_7003_2		带她去试胆大会	xinqing_choice_7003_3	yuehui_7003_3	
7004	妖妄之梦04	yhcj_fd001	yuehui_7004_0	207	60	1												
7005	妖妄之梦05	yhcj_fd001	yuehui_7005_0	207	60	1												
7006	妖妄之梦06	yhcj_fd001	yuehui_7006_0	207	40	2	现在已经够可爱啦	xinqing_choice_7006_1	yuehui_7006_1		你的气质够女人啦	xinqing_choice_7006_2	yuehui_7006_2		不要再欺骗自己了	xinqing_choice_7006_3	yuehui_7006_3	
7007	妖妄之梦07	yhcj_gy001	yuehui_7007_0	207	60	1												
7008	妖妄之梦08	yhcj_gy001	yuehui_7008_0	207	60	1												
7009	妖妄之梦09	yhcj_gy001	yuehui_7009_0	207	40	2	正面接受挑战	xinqing_choice_7009_1	yuehui_7009_1		我带了糖果来	xinqing_choice_7009_2	yuehui_7009_2		我才不和小孩打架	xinqing_choice_7009_3	yuehui_7009_3	
7010	妖妄之梦10	yhcj_gc001	yuehui_7010_0	207	60	1												
7011	妖妄之梦11	yhcj_gc001	yuehui_7011_0	207	60	1												
7012	妖妄之梦12	yhcj_gc001	yuehui_7012_0	207	40	2	啊，我错了，对不起啦	xinqing_choice_7012_1	yuehui_7012_1		你太娇小可爱了	xinqing_choice_7012_2	yuehui_7012_2		你个矮子太矮了	xinqing_choice_7012_3	yuehui_7012_3	
7013	妖妄之梦13	yhbj_tsg001	yuehui_7013_0	207	60	1												
7014	妖妄之梦14	yhbj_tsg001	yuehui_7014_0	207	60	1												
7015	妖妄之梦15	yhbj_tsg001	yuehui_7015_0	207	40	2	讲述天文知识	xinqing_choice_7015_1	yuehui_7015_1		讲述星座传说	xinqing_choice_7015_2	yuehui_7015_2		讲述灵异故事	xinqing_choice_7015_3	yuehui_7015_3	
8001	幽灵公主01	yhcj_xlc001	yuehui_8001_0	208	60	1												
8002	幽灵公主02	yhcj_xlc001	yuehui_8002_0	208	60	1												
8003	幽灵公主03	yhcj_xlc001	yuehui_8003_0	208	40	2	世界那么大我想去看看	xinqing_choice_8003_1	yuehui_8003_1		我带了馒头过来！	xinqing_choice_8003_2	yuehui_8003_2		别啊！停！雅蠛蝶！	xinqing_choice_8003_3	yuehui_8003_3	
8004	幽灵公主04	yhcj_fd001	yuehui_8004_0	208	60	1												
8005	幽灵公主05	yhcj_fd001	yuehui_8005_0	208	60	1												
8006	幽灵公主06	yhcj_fd001	yuehui_8006_0	208	40	2	吃饱睡好，身体倍儿棒	xinqing_choice_8006_1	yuehui_8006_1		看着晒太阳吃包子的你	xinqing_choice_8006_2	yuehui_8006_2		左拥右抱，妻妾成群	xinqing_choice_8006_3	yuehui_8006_3	
8007	幽灵公主07	yhcj_gy001	yuehui_8007_0	208	60	1												
8008	幽灵公主08	yhcj_gy001	yuehui_8008_0	208	60	1												
8009	幽灵公主09	yhcj_gy001	yuehui_8009_0	208	40	2	找东西垫在她脚下	xinqing_choice_8009_1	yuehui_8009_1		将2人的腿绑在一起	xinqing_choice_8009_2	yuehui_8009_2		把鞋子穿到手上摸墙壁	xinqing_choice_8009_3	yuehui_8009_3	
8010	幽灵公主10	yhcj_gc001	yuehui_8010_0	208	60	1												
8011	幽灵公主11	yhcj_gc001	yuehui_8011_0	208	60	1												
8012	幽灵公主12	yhcj_gc001	yuehui_8012_0	208	40	2	我知道家很好吃的馒头店	xinqing_choice_8012_1	yuehui_8012_1		命只有一条你要负责哦TAT	xinqing_choice_8012_2	yuehui_8012_2		打死我我也不去	xinqing_choice_8012_3	yuehui_8012_3	
8013	幽灵公主13	yhbj_tsg001	yuehui_8013_0	208	60	1												
8014	幽灵公主14	yhbj_tsg001	yuehui_8014_0	208	60	1												
8015	幽灵公主15	yhbj_tsg001	yuehui_8015_0	208	40	2	我是隔壁老王	xinqing_choice_8015_1	yuehui_8015_1		我是你老公	xinqing_choice_8015_2	yuehui_8015_2		我是检查身体的医生	xinqing_choice_8015_3	yuehui_8015_3	
9001	红白01	yhcj_xlc001	yuehui_9001_0	209	60	1												
9002	红白02	yhcj_xlc001	yuehui_9002_0	209	60	1												
9003	红白03	yhcj_xlc001	yuehui_9003_0	209	40	2	看谁先被蚊子咬	xinqing_choice_9003_1	yuehui_9003_1		比酒量	xinqing_choice_9003_2	yuehui_9003_2		你还是打我吧	xinqing_choice_9003_3	yuehui_9003_3	
9004	红白04	yhcj_fd001	yuehui_9004_0	209	60	1												
9005	红白05	yhcj_fd001	yuehui_9005_0	209	60	1												
9006	红白06	yhcj_fd001	yuehui_9006_0	209	40	2	说了很多自己的英勇事迹	xinqing_choice_9006_1	yuehui_9006_1		夸奖我进步很大，值得信赖	xinqing_choice_9006_2	yuehui_9006_2		说出了自己的体重	xinqing_choice_9006_3	yuehui_9006_3	
9007	红白07	yhcj_gy001	yuehui_9007_0	209	60	1												
9008	红白08	yhcj_gy001	yuehui_9008_0	209	60	1												
9009	红白09	yhcj_gy001	yuehui_9009_0	209	40	2	请你体谅下弱者的感受	xinqing_choice_9009_1	yuehui_9009_1		请收下我的膝盖	xinqing_choice_9009_2	yuehui_9009_2		果然天生怪力么	xinqing_choice_9009_3	yuehui_9009_3	
9010	红白10	yhcj_gc001	yuehui_9010_0	209	60	1												
9011	红白11	yhcj_gc001	yuehui_9011_0	209	60	1												
9012	红白12	yhcj_gc001	yuehui_9012_0	209	40	2	哎，我去泡个茶，等下一起喝	xinqing_choice_9012_1	yuehui_9012_1		那等下切磋切磋玩玩吧	xinqing_choice_9012_2	yuehui_9012_2		当然是有事件发生才刺激嘛	xinqing_choice_9012_3	yuehui_9012_3	
9013	红白13	yhbj_tsg001	yuehui_9013_0	209	60	1												
9014	红白14	yhbj_tsg001	yuehui_9014_0	209	60	1												
9015	红白15	yhbj_tsg001	yuehui_9015_0	209	40	2	介绍几个赏金任务	xinqing_choice_9015_1	yuehui_9015_1		高薪聘请她来当女仆	xinqing_choice_9015_2	yuehui_9015_2		赏点香火钱	xinqing_choice_9015_3	yuehui_9015_3	
10001	C.C01	yhcj_xlc001	yuehui_10001_0	211	60	1												
10002	C.C02	yhcj_xlc001	yuehui_10002_0	211	60	1												
10003	C.C03	yhcj_xlc001	yuehui_10003_0	211	40	2	递给她洛丽塔洋装	xinqing_choice_10003_1	yuehui_10003_1		递给她拘束服	xinqing_choice_10003_2	yuehui_10003_2		递给她学生泳装	xinqing_choice_10003_3	yuehui_10003_3	
10004	C.C04	yhcj_fd001	yuehui_10004_0	211	60	1												
10005	C.C05	yhcj_fd001	yuehui_10005_0	211	60	1												
10006	C.C06	yhcj_fd001	yuehui_10006_0	211	40	2	把手上的披萨给她	xinqing_choice_10006_1	yuehui_10006_1		把披萨印章积分给她	xinqing_choice_10006_2	yuehui_10006_2		把披萨钱给她	xinqing_choice_10006_3	yuehui_10006_3	
10007	C.C07	yhcj_gy001	yuehui_10007_0	211	60	1												
10008	C.C08	yhcj_gy001	yuehui_10008_0	211	60	1												
10009	C.C09	yhcj_gy001	yuehui_10009_0	211	40	2	我是你的同伴	xinqing_choice_10009_1	yuehui_10009_1		那就让我来成为魔王	xinqing_choice_10009_2	yuehui_10009_2		不是魔法少女吗	xinqing_choice_10009_3	yuehui_10009_3	
10010	C.C10	yhcj_gc001	yuehui_10010_0	211	60	1												
10011	C.C11	yhcj_gc001	yuehui_10011_0	211	60	1												
10012	C.C12	yhcj_gc001	yuehui_10012_0	211	40	2	啊，约定好了	xinqing_choice_10012_1	yuehui_10012_1		你以为你在对谁说话	xinqing_choice_10012_2	yuehui_10012_2		你可要保护我	xinqing_choice_10012_3	yuehui_10012_3	
10013	C.C13	yhbj_tsg001	yuehui_10013_0	211	60	1												
10014	C.C14	yhbj_tsg001	yuehui_10014_0	211	60	1												
10015	C.C15	yhbj_tsg001	yuehui_10015_0	211	40	2	还是换披萨吃	xinqing_choice_10015_1	yuehui_10015_1		换芝士君抱枕	xinqing_choice_10015_2	yuehui_10015_2		你自己看着换啦	xinqing_choice_10015_3	yuehui_10015_3	
11001	初音战士01	yhcj_xlc001	yuehui_11001_0	212	60	1												
11002	初音战士02	yhcj_xlc001	yuehui_11002_0	212	60	1												
11003	初音战士03	yhcj_xlc001	yuehui_11003_0	212	40	2	汽车导航仪	xinqing_choice_11003_1	yuehui_11003_1		声优	xinqing_choice_11003_2	yuehui_11003_2		电话推销保险	xinqing_choice_11003_3	yuehui_11003_3	
11004	初音战士04	yhcj_fd001	yuehui_11004_0	212	60	1												
11005	初音战士05	yhcj_fd001	yuehui_11005_0	212	60	1												
11006	初音战士06	yhcj_fd001	yuehui_11006_0	212	40	2	…哇！我最喜欢火锅了	xinqing_choice_11006_1	yuehui_11006_1		我们一起重新做一份吧	xinqing_choice_11006_2	yuehui_11006_2		吐槽了我是不是就输了	xinqing_choice_11006_3	yuehui_11006_3	
11007	初音战士07	yhcj_gy001	yuehui_11007_0	212	60	1												
11008	初音战士08	yhcj_gy001	yuehui_11008_0	212	60	1												
11009	初音战士09	yhcj_gy001	yuehui_11009_0	212	40	2	给根大葱	xinqing_choice_11009_1	yuehui_11009_1		带回家照顾	xinqing_choice_11009_2	yuehui_11009_2		残忍无视	xinqing_choice_11009_3	yuehui_11009_3	
11010	初音战士10	yhcj_gc001	yuehui_11010_0	212	60	1												
11011	初音战士11	yhcj_gc001	yuehui_11011_0	212	60	1												
11012	初音战士12	yhcj_gc001	yuehui_11012_0	212	40	2	买买买	xinqing_choice_11012_1	yuehui_11012_1		自制一件适合她的外套	xinqing_choice_11012_2	yuehui_11012_2		我们去买大葱吧	xinqing_choice_11012_3	yuehui_11012_3	
11013	初音战士13	yhbj_tsg001	yuehui_11013_0	212	60	1												
11014	初音战士14	yhbj_tsg001	yuehui_11014_0	212	60	1												
11015	初音战士15	yhbj_tsg001	yuehui_11015_0	212	40	2	今天盒饭给你加点大葱	xinqing_choice_11015_1	yuehui_11015_1		哇，我成为你的粉丝了	xinqing_choice_11015_2	yuehui_11015_2		趁邻居没报警快闭嘴	xinqing_choice_11015_3	yuehui_11015_3	
12001	骑士女皇01	yhcj_xlc001	yuehui_12001_0	400	60	1												
12002	骑士女皇02	yhcj_xlc001	yuehui_12002_0	400	60	1												
12003	骑士女皇03	yhcj_xlc001	yuehui_12003_0	400	40	2	在星球上散步	xinqing_choice_12003_1	yuehui_12003_1		在星球上兜风	xinqing_choice_12003_2	yuehui_12003_2		在星球上住宿	xinqing_choice_12003_3	yuehui_12003_3	
12004	骑士女皇04	yhcj_fd001	yuehui_12004_0	400	60	1												
12005	骑士女皇05	yhcj_fd001	yuehui_12005_0	400	60	1												
12006	骑士女皇06	yhcj_fd001	yuehui_12006_0	400	40	2	红豆饼	xinqing_choice_12006_1	yuehui_12006_1		烤番薯	xinqing_choice_12006_2	yuehui_12006_2		章鱼烧	xinqing_choice_12006_3	yuehui_12006_3	
12007	骑士女皇07	yhcj_gy001	yuehui_12007_0	400	60	1												
12008	骑士女皇08	yhcj_gy001	yuehui_12008_0	400	60	1												
12009	骑士女皇09	yhcj_gy001	yuehui_12009_0	400	40	2	都重要	xinqing_choice_12009_1	yuehui_12009_1		原则最重要	xinqing_choice_12009_2	yuehui_12009_2		胜利最重要	xinqing_choice_12009_3	yuehui_12009_3	
12010	骑士女皇10	yhcj_gc001	yuehui_12010_0	400	60	1												
12011	骑士女皇11	yhcj_gc001	yuehui_12011_0	400	60	1												
12012	骑士女皇12	yhcj_gc001	yuehui_12012_0	400	40	2	和服	xinqing_choice_12012_1	yuehui_12012_1		日常便服	xinqing_choice_12012_2	yuehui_12012_2		女仆装	xinqing_choice_12012_3	yuehui_12012_3	
12013	骑士女皇13	yhbj_tsg001	yuehui_12013_0	400	60	1												
12014	骑士女皇14	yhbj_tsg001	yuehui_12014_0	400	60	1												
12015	骑士女皇15	yhbj_tsg001	yuehui_12015_0	400	40	2	龙	xinqing_choice_12015_1	yuehui_12015_1		狮子	xinqing_choice_12015_2	yuehui_12015_2		我	xinqing_choice_12015_3	yuehui_12015_3	
13001	灼眼公主01	yhcj_xlc001	yuehui_13001_0	401	60	1												
13002	灼眼公主02	yhcj_xlc001	yuehui_13002_0	401	60	1												
13003	灼眼公主03	yhcj_xlc001	yuehui_13003_0	401	40	2	在我眼中你只是个少女	xinqing_choice_13003_1	yuehui_13003_1		那么我也要战斗	xinqing_choice_13003_2	yuehui_13003_2		快逃吧，重整旗鼓再来	xinqing_choice_13003_3	yuehui_13003_3	
13004	灼眼公主04	yhcj_fd001	yuehui_13004_0	401	60	1												
13005	灼眼公主05	yhcj_fd001	yuehui_13005_0	401	60	1												
13006	灼眼公主06	yhcj_fd001	yuehui_13006_0	401	40	2	自制便当	xinqing_choice_13006_1	yuehui_13006_1		冰甜点	xinqing_choice_13006_2	yuehui_13006_2		麻辣烫	xinqing_choice_13006_3	yuehui_13006_3	
13007	灼眼公主07	yhcj_gy001	yuehui_13007_0	401	60	1												
13008	灼眼公主08	yhcj_gy001	yuehui_13008_0	401	60	1												
13009	灼眼公主09	yhcj_gy001	yuehui_13009_0	401	40	2	保护宇宙和平的觉悟	xinqing_choice_13009_1	yuehui_13009_1		以后也一直和你一起战斗的觉悟	xinqing_choice_13009_2	yuehui_13009_2		守护你的觉悟	xinqing_choice_13009_3	yuehui_13009_3	
13010	灼眼公主10	yhcj_gc001	yuehui_13010_0	401	60	1												
13011	灼眼公主11	yhcj_gc001	yuehui_13011_0	401	60	1												
13012	灼眼公主12	yhcj_gc001	yuehui_13012_0	401	40	2	我倒没什么所谓啦	xinqing_choice_13012_1	yuehui_13012_1		贫乳与荣光同在	xinqing_choice_13012_2	yuehui_13012_2		乳不巨何以聚人心	xinqing_choice_13012_3	yuehui_13012_3	
13013	灼眼公主13	yhbj_tsg001	yuehui_13013_0	401	60	1												
13014	灼眼公主14	yhbj_tsg001	yuehui_13014_0	401	60	1												
13015	灼眼公主15	yhbj_tsg001	yuehui_13015_0	401	40	2	把自己的便当给她	xinqing_choice_13015_1	yuehui_13015_1		买个蜜瓜包给她	xinqing_choice_13015_2	yuehui_13015_2		借钱给她	xinqing_choice_13015_3	yuehui_13015_3	
14001	地狱蝴蝶丸01	yhcj_xlc001	yuehui_14001_0	402	60	1												
14002	地狱蝴蝶丸02	yhcj_xlc001	yuehui_14002_0	402	60	1												
