INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
12006	通关主线第14章	t_kaifu_mubiao_desc_12006	3	14000		0		1	1	1	200000	0												
12007	通关主线第16章	t_kaifu_mubiao_desc_12007	3	16000		0		1	1	1	250000	0												
12008	通关主线第18章	t_kaifu_mubiao_desc_12008	3	18000		0		1	1	1	300000	0												
12009	通关主线第20章	t_kaifu_mubiao_desc_12009	3	20000		0		1	1	1	350000	0												
12010	玩家等级达到20级	t_kaifu_mubiao_desc_12010	5	20		0		20	1	5	100	0												
12011	玩家等级达到25级	t_kaifu_mubiao_desc_12011	5	25		0		25	1	5	150	0												
12012	玩家等级达到30级	t_kaifu_mubiao_desc_12012	5	30		0		30	1	5	300	0												
13001	上阵6个伙伴全部穿戴蓝色及以上品质装备	t_kaifu_mubiao_desc_13001	6	2		0		6	1	1	20000	0												
13002	上阵6个伙伴全部穿戴强化+20级以上的装备	t_kaifu_mubiao_desc_13002	7	20		0		6	1	1	20000	0												
13003	上阵6个伙伴全部穿戴强化+25级以上的装备	t_kaifu_mubiao_desc_13003	7	25		0		6	1	1	20000	0												
13004	上阵6个伙伴全部穿戴强化+30级以上的装备	t_kaifu_mubiao_desc_13004	7	30		0		6	1	1	50000	0												
13005	上阵6个伙伴全部穿戴强化+35级以上的装备	t_kaifu_mubiao_desc_13005	7	35		0		6	1	1	50000	0												
14001	半价抢购	t_kaifu_mubiao_desc_14001	200	400		0			2	10020002	1	0												
21001	今日登录赠送	t_kaifu_mubiao_desc_21001	1			0		1	1	2	150	0	2	10010061	1	0								
21002	累计充值200元	t_kaifu_mubiao_desc_21002	2	2000		0		2000	2	10010061	10	0	2	10010002	10	0	2	10010007	10	0				
21003	玩家等级达到36级	t_kaifu_mubiao_desc_21003	5	36		0		36	1	2	500	0												
21004	达到360000战斗力	t_kaifu_mubiao_desc_21004	22	360000		0		360000	1	2	500	0												
22001	竞技场排名第1名	t_kaifu_mubiao_desc_22001	8	1		0		1	2	40040001	80	0												
22002	竞技场排名第3名	t_kaifu_mubiao_desc_22002	8	3		0		1	2	40040001	50	0												
22003	竞技场排名第10名	t_kaifu_mubiao_desc_22003	8	10		0		1	2	40040001	40	0												
22004	竞技场排名第30名	t_kaifu_mubiao_desc_22004	8	30		0		1	2	40040001	30	0												
22005	竞技场排名第100名	t_kaifu_mubiao_desc_22005	8	100		0		1	2	40040001	25	0												
22006	竞技场排名第500名	t_kaifu_mubiao_desc_22006	8	500		0		1	2	40040001	20	0												
22007	竞技场排名第1000名	t_kaifu_mubiao_desc_22007	8	1000		0		1	2	40040001	15	0												
22008	竞技场排名第3000名	t_kaifu_mubiao_desc_22008	8	3000		0		1	2	40040001	10	0												
23001	合成饰品10个	t_kaifu_mubiao_desc_23001	35	10		0		10	2	10010061	1	0												
23002	合成饰品20个	t_kaifu_mubiao_desc_23002	35	20		0		20	2	10010061	2	0												
23003	合成紫色饰品5个	t_kaifu_mubiao_desc_23003	36	5	3	0		5	2	10010061	2	0												
23004	合成紫色饰品10个	t_kaifu_mubiao_desc_23004	36	10	3	0		10	2	10010061	4	0												
23005	合成橙色饰品5个	t_kaifu_mubiao_desc_23005	36	5	4	0		5	2	10010061	3	0												
23006	合成橙色饰品10个	t_kaifu_mubiao_desc_23006	36	10	4	0		10	2	10010061	6	0												
24001	半价抢购	t_kaifu_mubiao_desc_24001	200	600		0			2	10010061	12	0												
31001	今日登录赠送	t_kaifu_mubiao_desc_31001	1			0		1	1	2	200	0	2	50070001	5	0								
31002	累计充值300元	t_kaifu_mubiao_desc_31002	2	3000		0		3000	2	10010034	10	0	2	50070001	50	0								
31003	玩家等级达到40级	t_kaifu_mubiao_desc_31003	5	40		0		40	1	2	600	0												
31004	达到560000战斗力	t_kaifu_mubiao_desc_31004	22	560000		0		560000	1	2	600	0												
32001	星河秘境达到15星	t_kaifu_mubiao_desc_32001	20	15		0		15	2	10010034	1	0												
32002	星河秘境达到20星	t_kaifu_mubiao_desc_32002	20	20		0		20	2	10010034	1	0												
32003	星河秘境达到25星	t_kaifu_mubiao_desc_32003	20	25		0		25	2	10010034	1	0												
32004	星河秘境达到30星	t_kaifu_mubiao_desc_32004	20	30		0		30	2	10010034	2	0												
32005	星河秘境达到35星	t_kaifu_mubiao_desc_32005	20	35		0		35	2	10010034	2	0												
32006	星河秘境达到40星	t_kaifu_mubiao_desc_32006	20	40		0		40	2	10010034	2	0												
32007	星河秘境达到45星	t_kaifu_mubiao_desc_32007	20	45		0		45	2	10010034	3	0												
32008	星河秘境达到50星	t_kaifu_mubiao_desc_32008	20	50		0		50	2	10010034	3	0												
33001	上阵6个伙伴全部穿戴精炼1级以上的装备	t_kaifu_mubiao_desc_33001	37	1		0		6	2	50070001	5	0												
33002	上阵6个伙伴全部穿戴精炼2级以上的装备	t_kaifu_mubiao_desc_33002	37	2		0		6	2	50070001	10	0												
33003	上阵6个伙伴全部穿戴精炼3级以上的装备	t_kaifu_mubiao_desc_33003	37	3		0		6	2	50070001	15	0												
33004	上阵6个伙伴全部穿戴精炼4级以上的装备	t_kaifu_mubiao_desc_33004	37	4		0		6	2	50070001	20	0												
33005	上阵6个伙伴全部穿戴精炼5级以上的装备	t_kaifu_mubiao_desc_33005	37	5		0		6	2	50070001	25	0												
33006	上阵6个伙伴全部穿戴精炼6级以上的装备	t_kaifu_mubiao_desc_33006	37	6		0		6	2	50070001	30	0												
33007	穿戴的装备中最高精练等级到达3级	t_kaifu_mubiao_desc_33007	38	3		0		3	2	50070001	15	0												
33008	穿戴的装备中最高精练等级到达5级	t_kaifu_mubiao_desc_33008	38	5		0		5	2	50070001	30	0												
33009	穿戴的装备中最高精练等级到达7级	t_kaifu_mubiao_desc_33009	38	7		0		7	2	50070001	50	0												
33010	穿戴的装备中最高精练等级到达10级	t_kaifu_mubiao_desc_33010	38	10		0		10	2	50070001	80	0												
34001	半价抢购	t_kaifu_mubiao_desc_34001	200	1500		0			2	10010034	20	0												
41001	今日登录赠送	t_kaifu_mubiao_desc_41001	1			0		1	1	2	250	0	2	50090001	30	0								
41002	累计充值500元	t_kaifu_mubiao_desc_41002	2	5000		0		5000	2	50090001	300	0	2	10010009	10	0								
41003	玩家等级达到44级	t_kaifu_mubiao_desc_41003	5	44		0		44	1	2	700	0												
41004	达到960000战斗力	t_kaifu_mubiao_desc_41004	22	960000		0		960000	1	2	700	0												
42001	上阵6个伙伴全部主动技能达到2	t_kaifu_mubiao_desc_42001	39	2		0		6	2	50090001	50	0												
42002	上阵6个伙伴全部主动技能达到4	t_kaifu_mubiao_desc_42002	39	4		0		6	2	50090001	100	0												
42003	上阵6个伙伴全部主动技能达到6	t_kaifu_mubiao_desc_42003	39	6		0		6	2	50090001	200	0												
42004	上阵6个伙伴全部主动技能达到8	t_kaifu_mubiao_desc_42004	39	8		0		6	2	50090001	300	0												
42005	上阵6个伙伴全部主动技能达到10	t_kaifu_mubiao_desc_42005	39	10		0		6	2	50090001	400	0												
42006	上阵6个伙伴全部主动技能达到12	t_kaifu_mubiao_desc_42006	39	12		0		6	2	50090001	800	0												
42007	上阵6个伙伴最高主动技能达到5	t_kaifu_mubiao_desc_42007	40	5		0		5	2	50090001	200	0												
42008	上阵6个伙伴最高主动技能达到10	t_kaifu_mubiao_desc_42008	40	10		0		10	2	50090001	300	0												
42009	上阵6个伙伴最高主动技能达到15	t_kaifu_mubiao_desc_42009	40	15		0		15	2	50090001	400	0												
43001	魔王讨伐战中最高伤害达到100000	t_kaifu_mubiao_desc_43001	12	100000		0		100000	2	50090001	30	0												
43002	魔王讨伐战中最高伤害达到200000	t_kaifu_mubiao_desc_43002	12	200000		0		200000	2	50090001	40	0												
43003	魔王讨伐战中最高伤害达到400000	t_kaifu_mubiao_desc_43003	12	400000		0		400000	2	50090001	60	0												
43004	魔王讨伐战中最高伤害达到600000	t_kaifu_mubiao_desc_43004	12	600000		0		600000	2	50090001	80	0												
43005	魔王讨伐战中最高伤害达到800000	t_kaifu_mubiao_desc_43005	12	800000		0		800000	2	50090001	100	0												
43006	魔王讨伐战中最高伤害达到100万	t_kaifu_mubiao_desc_43006	12	1000000		0		1000000	2	50090001	120	0												
43007	魔王讨伐战中最高伤害达到120万	t_kaifu_mubiao_desc_43007	12	1200000		0		1200000	2	50090001	150	0												
43008	魔王讨伐战中累计伤害达到100万	t_kaifu_mubiao_desc_43008	41	1000000		0		1000000	2	50090001	30	0												
43009	魔王讨伐战中累计伤害达到200万	t_kaifu_mubiao_desc_43009	41	2000000		0		2000000	2	50090001	40	0												
43010	魔王讨伐战中累计伤害达到400万	t_kaifu_mubiao_desc_43010	41	4000000		0		4000000	2	50090001	60	0												
43011	魔王讨伐战中累计伤害达到600万	t_kaifu_mubiao_desc_43011	41	6000000		0		6000000	2	50090001	80	0												
43012	魔王讨伐战中累计伤害达到800万	t_kaifu_mubiao_desc_43012	41	8000000		0		8000000	2	50090001	100	0												
43013	魔王讨伐战中累计伤害达到1000万	t_kaifu_mubiao_desc_43013	41	10000000		0		10000000	2	50090001	120	0												
43014	魔王讨伐战中累计伤害达到1200万	t_kaifu_mubiao_desc_43014	41	12000000		0		12000000	2	50090001	150	0												
44001	半价抢购	t_kaifu_mubiao_desc_44001	200	1200		0			2	50090001	240	0												
51001	今日登录赠送	t_kaifu_mubiao_desc_51001	1			0		1	1	2	300	0	2	50020001	30	0								
51002	累计充值1000元	t_kaifu_mubiao_desc_51002	2	10000		0		10000	1	5	1000	0	2	50020001	100	0								
51003	玩家等级达到48级	t_kaifu_mubiao_desc_51003	5	48		0		48	1	2	800	0												
51004	达到1360000战斗力	t_kaifu_mubiao_desc_51004	22	1360000		0		1360000	1	2	800	0												
52001	通关精英副本第4章	t_kaifu_mubiao_desc_52001	4	4000		0		1	1	5	100	0												
52002	通关精英副本第6章	t_kaifu_mubiao_desc_52002	4	6000		0		1	1	5	150	0												
52003	通关精英副本第8章	t_kaifu_mubiao_desc_52003	4	8000		0		1	1	5	200	0												
52004	通关精英副本第10章	t_kaifu_mubiao_desc_52004	4	10000		0		1	1	5	250	0												
52005	通关精英副本第12章	t_kaifu_mubiao_desc_52005	4	12000		0		1	1	5	300	0												
52006	通关精英副本第14章	t_kaifu_mubiao_desc_52006	4	14000		0		1	1	5	350	0												
52007	通关精英副本第16章	t_kaifu_mubiao_desc_52007	4	16000		0		1	1	5	400	0												
52008	通关精英副本第18章	t_kaifu_mubiao_desc_52008	4	18000		0		1	1	5	450	0												
52009	通关精英副本第20章	t_kaifu_mubiao_desc_52009	4	20000		0		1	1	5	500	0												
53001	伙伴商店刷新10次	t_kaifu_mubiao_desc_53001	18	10		0		10	2	50020001	5	0												
53002	伙伴商店刷新20次	t_kaifu_mubiao_desc_53002	18	20		0		20	2	50020001	10	0												
53003	伙伴商店刷新30次	t_kaifu_mubiao_desc_53003	18	30		0		30	2	50020001	15	0												
53004	伙伴商店刷新40次	t_kaifu_mubiao_desc_53004	18	40		0		40	2	50020001	20	0												
53005	伙伴商店刷新50次	t_kaifu_mubiao_desc_53005	18	50		0		50	2	50020001	25	0												
53006	伙伴商店刷新80次	t_kaifu_mubiao_desc_53006	18	80		0		80	2	50020001	25	0												
53007	伙伴商店刷新120次	t_kaifu_mubiao_desc_53007	18	120		0		120	2	50020001	25	0												
53008	伙伴商店购买5次	t_kaifu_mubiao_desc_53008	19	5		0		5	1	5	100	0												
53009	伙伴商店购买10次	t_kaifu_mubiao_desc_53009	19	10		0		10	1	5	200	0												
53010	伙伴商店购买15次	t_kaifu_mubiao_desc_53010	19	15		0		15	1	5	300	0												
53011	伙伴商店购买20次	t_kaifu_mubiao_desc_53011	19	20		0		20	1	5	400	0												
53012	伙伴商店购买30次	t_kaifu_mubiao_desc_53012	19	30		0		30	1	5	500	0												
53013	伙伴商店购买50次	t_kaifu_mubiao_desc_53013	19	50		0		50	1	5	500	0												
54001	半价抢购	t_kaifu_mubiao_desc_54001	200	1600		0			1	5	3200	0												
61001	今日登录赠送	t_kaifu_mubiao_desc_61001	1			0		1	1	2	400	0	2	50100001	50	0								
61002	累计充值1500元	t_kaifu_mubiao_desc_61002	2	15000		0		15000	2	10010063	4	0	2	50100001	1000	0								
61003	玩家等级达到52级	t_kaifu_mubiao_desc_61003	5	52		0		52	1	2	900	0												
61004	达到1760000战斗力	t_kaifu_mubiao_desc_61004	22	1760000		0		1760000	1	2	900	0												
62001	在太空运输中成功拦截5次	t_kaifu_mubiao_desc_62001	32	5		0		5	2	10010007	1	0												
62002	在太空运输中成功拦截10次	t_kaifu_mubiao_desc_62002	32	10		0		10	2	10010007	1	0												
62003	在太空运输中成功拦截15次	t_kaifu_mubiao_desc_62003	32	15		0		15	2	10010007	2	0												
62004	在太空运输中成功拦截20次	t_kaifu_mubiao_desc_62004	32	20		0		20	2	10010007	2	0												
62005	在太空运输中成功拦截25次	t_kaifu_mubiao_desc_62005	32	25		0		25	2	10010007	3	0												
62006	在太空运输中成功拦截30次	t_kaifu_mubiao_desc_62006	32	30		0		30	2	10010007	3	0												
62007	在太空运输中成功拦截35次	t_kaifu_mubiao_desc_62007	32	35		0		35	2	10010007	4	0												
63001	上阵6个伙伴全部穿戴精炼1级以上的饰品	t_kaifu_mubiao_desc_63001	42	1		0		6	2	10010061	1	0	2	50100001	100	0								
63002	上阵6个伙伴全部穿戴精炼2级以上的饰品	t_kaifu_mubiao_desc_63002	42	2		0		6	2	10010061	2	0	2	50100001	200	0								
63003	上阵6个伙伴全部穿戴精炼3级以上的饰品	t_kaifu_mubiao_desc_63003	42	3		0		6	2	10010061	3	0	2	50100001	400	0								
63004	上阵6个伙伴全部穿戴精炼4级以上的饰品	t_kaifu_mubiao_desc_63004	42	4		0		6	2	10010061	4	0	2	50100001	600	0								
63005	穿戴的饰品中最高精练等级到达4级	t_kaifu_mubiao_desc_63005	43	4		0		4	2	10010061	3	0	2	50100001	300	0								
63006	穿戴的饰品中最高精练等级到达6级	t_kaifu_mubiao_desc_63006	43	6		0		6	2	10010061	5	0	2	50100001	500	0								
64001	半价抢购	t_kaifu_mubiao_desc_64001	200	2400		0			2	10010063	4	0												
71001	今日登录赠送	t_kaifu_mubiao_desc_71001	1			0		1	1	2	500	0	2	10010002	2	0	2	10010007	2	0	4	10401	0	0
71002	累计充值2000元	t_kaifu_mubiao_desc_71002	2	20000		0		20000	1	1	5000000	0	2	10010002	10	0	2	10010007	10	0				
71003	玩家等级达到55级	t_kaifu_mubiao_desc_71003	5	55		0		55	1	2	1000	0												
71004	达到2360000战斗力	t_kaifu_mubiao_desc_71004	22	2360000		0		2360000	1	2	1000	0												
72001	挑战竞技场胜利10次	t_kaifu_mubiao_desc_72001	26	10		0		10	1	14	500	0												
72002	挑战竞技场胜利20次	t_kaifu_mubiao_desc_72002	26	20		0		20	1	14	600	0												
72003	挑战竞技场胜利40次	t_kaifu_mubiao_desc_72003	26	40		0		40	1	14	700	0												
72004	挑战竞技场胜利60次	t_kaifu_mubiao_desc_72004	26	60		0		60	1	14	800	0												
72005	挑战竞技场胜利90次	t_kaifu_mubiao_desc_72005	26	90		0		90	1	14	900	0												
73001	刷新援救伙伴3次	t_kaifu_mubiao_desc_73001	34	3		0		3	1	5	100	0												
73002	刷新援救伙伴6次	t_kaifu_mubiao_desc_73002	34	6		0		6	1	5	200	0												
73003	刷新援救伙伴9次	t_kaifu_mubiao_desc_73003	34	9		0		9	1	5	300	0												
73004	刷新援救伙伴12次	t_kaifu_mubiao_desc_73004	34	12		0		12	1	5	400	0												
73005	刷新援救伙伴15次	t_kaifu_mubiao_desc_73005	34	15		0		15	1	5	500	0												
73006	刷新援救伙伴20次	t_kaifu_mubiao_desc_73006	34	20		0		20	1	5	600	0												
74001	半价抢购	t_kaifu_mubiao_desc_74001	200	1250		0			1	1	5000000	0												
81001	今日登录赠送	t_kaifu_mubiao_desc_81001	1			1		1	2	30010400	15	0	2	30010500	15	0	2	30010501	15	0				
81002	单笔充值6元	t_kaifu_mubiao_desc_81002	55	60		0		60	1	2	288	0												
82001	今日夺宝5次	t_kaifu_mubiao_desc_82001	53	5		0		5	2	10010061	1	0												
82002	今日夺宝15次	t_kaifu_mubiao_desc_82002	53	15		0		15	2	60130011	1	0												
82003	今日夺宝25次	t_kaifu_mubiao_desc_82003	53	25		0		25	2	10010061	1	0												
82004	今日夺宝40次	t_kaifu_mubiao_desc_82004	53	40		0		40	2	60130011	1	0												
82005	今日夺宝60次	t_kaifu_mubiao_desc_82005	53	60		0		60	2	10010061	1	0												
82006	今日夺宝80次	t_kaifu_mubiao_desc_82006	53	80		0		80	2	60130011	1	0												
82007	今日夺宝110次	t_kaifu_mubiao_desc_82007	53	110		0		110	2	10010061	2	0												
83001	能量药水	t_kaifu_mubiao_desc_83001	300	250	100	0	1		2	10010007	10	0												
83002	橙色饰品2选1	t_kaifu_mubiao_desc_83002	300	720	60	1	10		6	4001	0	0	6	4002	0	0								
83003	橙色饰品碎片2选1	t_kaifu_mubiao_desc_83003	300	240	60	1	6		2	60040011	1	0	2	60040021	1	0								
83004	神之金属	t_kaifu_mubiao_desc_83004	300	175	70	0	20		2	50100001	50	0												
83005	神之金属	t_kaifu_mubiao_desc_83005	300	1250	50	0	4		2	50100001	500	0												
83006	蓝晶石	t_kaifu_mubiao_desc_83006	300	58	80	0	20		6	12001	0	0												
84001	半价抢购	t_kaifu_mubiao_desc_84001	200	2400		0			2	10010063	4	0												
91001	今日登录赠送	t_kaifu_mubiao_desc_91001	1			1		1	2	30010400	15	0	2	30010500	15	0	2	30010501	15	0				
91002	单笔充值30元	t_kaifu_mubiao_desc_91002	55	300		0		300	1	2	388	0												
92001	今日夺宝5次	t_kaifu_mubiao_desc_92001	53	5		0		5	2	10010061	1	0												
92002	今日夺宝15次	t_kaifu_mubiao_desc_92002	53	15		0		15	2	60130011	1	0												
92003	今日夺宝25次	t_kaifu_mubiao_desc_92003	53	25		0		25	2	10010061	1	0												
92004	今日夺宝40次	t_kaifu_mubiao_desc_92004	53	40		0		40	2	60130011	1	0												
92005	今日夺宝60次	t_kaifu_mubiao_desc_92005	53	60		0		60	2	10010061	1	0												
92006	今日夺宝80次	t_kaifu_mubiao_desc_92006	53	80		0		80	2	60130011	1	0												
92007	今日夺宝110次	t_kaifu_mubiao_desc_92007	53	110		0		110	2	10010061	2	0												
93001	能量药水	t_kaifu_mubiao_desc_93001	300	250	100	0	1		2	10010007	10	0												
93002	橙色饰品2选1	t_kaifu_mubiao_desc_93002	300	720	60	1	10		6	4003	0	0	6	4004	0	0								
93003	橙色饰品碎片2选1	t_kaifu_mubiao_desc_93003	300	240	60	1	6		2	60040031	1	0	2	60040041	1	0								
93004	神之金属	t_kaifu_mubiao_desc_93004	300	175	70	0	20		2	50100001	50	0												
93005	神之金属	t_kaifu_mubiao_desc_93005	300	1250	50	0	4		2	50100001	500	0												
93006	紫晶石	t_kaifu_mubiao_desc_93006	300	230	80	0	10		6	13001	0	0												
94001	半价抢购	t_kaifu_mubiao_desc_94001	200	2400		0			2	10010063	4	0												
101001	今日登录赠送	t_kaifu_mubiao_desc_101001	1			1		1	2	30010400	20	0	2	30010500	20	0	2	30010501	20	0				
101002	单笔充值98元	t_kaifu_mubiao_desc_101002	55	980		0		980	1	2	888	0												
102001	主线副本胜利	t_kaifu_mubiao_desc_102001	51	10		0		10	1	5	100	0	2	50020001	1	0								
102002	主线副本胜利	t_kaifu_mubiao_desc_102002	51	20		0		20	1	5	100	0	2	50020001	1	0								
102003	主线副本胜利	t_kaifu_mubiao_desc_102003	51	30		0		30	1	5	100	0	2	50020001	1	0								
102004	主线副本胜利	t_kaifu_mubiao_desc_102004	51	40		0		40	1	5	100	0	2	50020001	1	0								
102005	主线副本胜利	t_kaifu_mubiao_desc_102005	51	50		0		50	1	5	100	0	2	50020001	1	0								
102006	主线副本胜利	t_kaifu_mubiao_desc_102006	51	80		0		80	1	5	150	0	2	50020001	2	0								
102007	主线副本胜利	t_kaifu_mubiao_desc_102007	51	110		0		110	1	5	150	0	2	50020001	2	0								
102008	主线副本胜利	t_kaifu_mubiao_desc_102008	51	150		0		150	1	5	200	0	2	50020001	2	0								
102009	主线副本胜利	t_kaifu_mubiao_desc_102009	51	200		0		200	1	5	250	0	2	50020001	3	0								
103001	红色伙伴礼包	t_kaifu_mubiao_desc_103001	300	6000	80	0	1		2	10010067	1	0												
103002	体力药水	t_kaifu_mubiao_desc_103002	300	250	100	0	1		2	10010002	10	0												
103003	红色伙伴碎片3选1	t_kaifu_mubiao_desc_103003	300	450	90	1	30		2	30010400	10	0	2	30010500	10	0	2	30010501	10	0				
103004	橙色高级伙伴礼包	t_kaifu_mubiao_desc_103004	300	1920	80	0	2		2	10010068	1	0												
103005	橙色伙伴4选1	t_kaifu_mubiao_desc_103005	300	45	90	1	40		2	30010204	2	0	2	30010205	2	0	2	30010207	2	0	2	30010212	2	0
103006	橙色伙伴3选1	t_kaifu_mubiao_desc_103006	300	45	90	1	40		2	30010201	2	0	2	30010203	2	0	2	30010209	2	0				
103007	20000原力	t_kaifu_mubiao_desc_103007	300	280	70	0	6		1	7	20000	0												
103008	战魂	t_kaifu_mubiao_desc_103008	300	160	80	0	10		1	5	200	0												
104001	半价抢购	t_kaifu_mubiao_desc_104001	200	3750		0			2	10010067	1	0												
111001	今日登录赠送	t_kaifu_mubiao_desc_111001	1			1		1	2	30010400	20	0	2	30010500	20	0	2	30010501	20	0				
111002	单笔充值98元	t_kaifu_mubiao_desc_111002	55	980		0		980	1	2	888	0												
112001	主线副本胜利	t_kaifu_mubiao_desc_112001	51	10		0		10	1	5	100	0	2	50020001	1	0								
112002	主线副本胜利	t_kaifu_mubiao_desc_112002	51	20		0		20	1	5	100	0	2	50020001	1	0								
112003	主线副本胜利	t_kaifu_mubiao_desc_112003	51	30		0		30	1	5	100	0	2	50020001	1	0								
112004	主线副本胜利	t_kaifu_mubiao_desc_112004	51	40		0		40	1	5	100	0	2	50020001	1	0								
112005	主线副本胜利	t_kaifu_mubiao_desc_112005	51	50		0		50	1	5	100	0	2	50020001	1	0								
112006	主线副本胜利	t_kaifu_mubiao_desc_112006	51	80		0		80	1	5	150	0	2	50020001	2	0								
112007	主线副本胜利	t_kaifu_mubiao_desc_112007	51	110		0		110	1	5	150	0	2	50020001	2	0								
112008	主线副本胜利	t_kaifu_mubiao_desc_112008	51	150		0		150	1	5	200	0	2	50020001	2	0								
112009	主线副本胜利	t_kaifu_mubiao_desc_112009	51	200		0		200	1	5	250	0	2	50020001	3	0								
113001	红色伙伴礼包	t_kaifu_mubiao_desc_113001	300	6000	80	0	1		2	10010067	1	0												
113002	体力药水	t_kaifu_mubiao_desc_113002	300	250	100	0	1		2	10010002	10	0												
113003	红色伙伴碎片3选1	t_kaifu_mubiao_desc_113003	300	450	90	1	30		2	30010400	10	0	2	30010500	10	0	2	30010501	10	0				
113004	橙色高级伙伴礼包	t_kaifu_mubiao_desc_113004	300	1920	80	0	2		2	10010068	1	0												
113005	橙色伙伴2选1	t_kaifu_mubiao_desc_113005	300	45	90	1	40		2	30010202	2	0	2	30010206	2	0								
113006	橙色伙伴2选1	t_kaifu_mubiao_desc_113006	300	45	90	1	40		2	30010208	2	0	2	30010211	2	0								
113007	20000原力	t_kaifu_mubiao_desc_113007	300	280	70	0	6		1	7	20000	0												
113008	勇者勋章	t_kaifu_mubiao_desc_113008	300	180	90	0	10		2	40040001	200	0												
113009	能力水晶	t_kaifu_mubiao_desc_113009	300	750	50	0	30		2	50090001	100	0												
113010	能力水晶	t_kaifu_mubiao_desc_113010	300	4500	30	0	3		2	50090001	1000	0												
113011	队形强化装置	t_kaifu_mubiao_desc_113011	300	27	90	0	100		2	50140001	10	0												
113012	队形强化装置	t_kaifu_mubiao_desc_113012	300	240	80	0	10		2	50140001	100	0												
114001	半价抢购	t_kaifu_mubiao_desc_114001	200	3750		0			2	10010067	1	0												
121001	今日登录赠送	t_kaifu_mubiao_desc_121001	1			1		1	2	30010400	25	0	2	30010500	25	0	2	30010501	25	0				
121002	单笔充值6元	t_kaifu_mubiao_desc_121002	55	60		0		60	1	2	288	0												
122001	星河秘境达到10星	t_kaifu_mubiao_desc_122001	20	10		0		10	1	6	400	0												
122002	星河秘境达到20星	t_kaifu_mubiao_desc_122002	20	20		0		20	1	6	400	0												
122003	星河秘境达到30星	t_kaifu_mubiao_desc_122003	20	30		0		30	1	6	400	0												
122004	星河秘境达到40星	t_kaifu_mubiao_desc_122004	20	40		0		40	1	6	400	0												
122005	星河秘境达到50星	t_kaifu_mubiao_desc_122005	20	50		0		50	1	6	400	0												
122006	星河秘境达到60星	t_kaifu_mubiao_desc_122006	20	60		0		60	1	6	400	0												
122007	星河秘境达到70星	t_kaifu_mubiao_desc_122007	20	70		0		70	1	6	400	0												
122008	星河秘境达到80星	t_kaifu_mubiao_desc_122008	20	80		0		80	1	6	400	0												
122009	星河秘境达到90星	t_kaifu_mubiao_desc_122009	20	90		0		90	1	6	400	0												
123001	能量药水	t_kaifu_mubiao_desc_123001	300	250	100	0	1		2	10010007	10	0												
123002	橙色武器碎片3选1	t_kaifu_mubiao_desc_123002	300	160	80	1	20		2	70010401	2	0	2	70010402	2	0	2	70010403	2	0				
123003	橙色战甲碎片3选1	t_kaifu_mubiao_desc_123003	300	160	80	1	20		2	70020401	2	0	2	70020402	2	0	2	70020403	2	0				
123004	精炼金属	t_kaifu_mubiao_desc_123004	300	90	60	0	100		2	50070001	30	0												
