INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
101021	人物等级达到105级	t_target_desc_101021	icon_hd_hbsjie	1	101020	1	105	105		1	2	1100	0
101022	人物等级达到110级	t_target_desc_101022	icon_hd_hbsjie	1	101021	1	110	110		1	2	1200	0
101023	人物等级达到115级	t_target_desc_101023	icon_hd_hbsjie	1	101022	1	115	115		1	2	1300	0
101024	人物等级达到120级	t_target_desc_101024	icon_hd_hbsjie	1	101023	1	120	120		1	2	1400	0
101025	人物等级达到125级	t_target_desc_101025	icon_hd_hbsjie	1	101024	1	125	125		1	2	1500	0
101026	人物等级达到130级	t_target_desc_101026	icon_hd_hbsjie	1	101025	1	130	130		1	2	1600	0
101027	人物等级达到135级	t_target_desc_101027	icon_hd_hbsjie	1	101026	1	135	135		1	2	1700	0
101028	人物等级达到140级	t_target_desc_101028	icon_hd_hbsjie	1	101027	1	140	140		1	2	1800	0
101029	人物等级达到145级	t_target_desc_101029	icon_hd_hbsjie	1	101028	1	145	145		1	2	1900	0
101030	人物等级达到150级	t_target_desc_101030	icon_hd_hbsjie	1	101029	1	150	150		1	2	2000	0
103001	拥有3个以上伙伴	t_target_desc_103001	icon_hd_hbcqu	1		3	3	3		1	5	50	0
103002	拥有4个以上伙伴	t_target_desc_103002	icon_hd_hbcqu	1	103001	3	4	4		1	5	50	0
103003	拥有5个以上伙伴	t_target_desc_103003	icon_hd_hbcqu	1	103002	3	5	5		1	5	50	0
103004	拥有6个以上伙伴	t_target_desc_103004	icon_hd_hbcqu	1	103003	3	6	6		1	5	50	0
103005	拥有7个以上伙伴	t_target_desc_103005	icon_hd_hbcqu	1	103004	3	7	7		1	5	50	0
103006	拥有8个以上伙伴	t_target_desc_103006	icon_hd_hbcqu	1	103005	3	8	8		1	5	50	0
103007	拥有9个以上伙伴	t_target_desc_103007	icon_hd_hbcqu	1	103006	3	9	9		1	5	50	0
103008	拥有10个以上伙伴	t_target_desc_103008	icon_hd_hbcqu	1	103007	3	10	10		1	5	50	0
103009	拥有11个以上伙伴	t_target_desc_103009	icon_hd_hbcqu	1	103008	3	11	11		1	5	100	0
103010	拥有12个以上伙伴	t_target_desc_103010	icon_hd_hbcqu	1	103009	3	12	12		1	5	100	0
103011	拥有13个以上伙伴	t_target_desc_103011	icon_hd_hbcqu	1	103010	3	13	13		1	5	100	0
103012	拥有14个以上伙伴	t_target_desc_103012	icon_hd_hbcqu	1	103011	3	14	14		1	5	100	0
103013	拥有15个以上伙伴	t_target_desc_103013	icon_hd_hbcqu	1	103012	3	15	15		1	5	100	0
103014	拥有16个以上伙伴	t_target_desc_103014	icon_hd_hbcqu	1	103013	3	16	16		1	5	100	0
103015	拥有17个以上伙伴	t_target_desc_103015	icon_hd_hbcqu	1	103014	3	17	17		1	5	100	0
103016	拥有18个以上伙伴	t_target_desc_103016	icon_hd_hbcqu	1	103015	3	18	18		1	5	100	0
103017	拥有19个以上伙伴	t_target_desc_103017	icon_hd_hbcqu	1	103016	3	19	19		1	5	100	0
103018	拥有20个以上伙伴	t_target_desc_103018	icon_hd_hbcqu	1	103017	3	20	20		1	5	100	0
103019	拥有21个以上伙伴	t_target_desc_103019	icon_hd_hbcqu	1	103018	3	21	21		1	5	150	0
103020	拥有22个以上伙伴	t_target_desc_103020	icon_hd_hbcqu	1	103019	3	22	22		1	5	150	0
103021	拥有23个以上伙伴	t_target_desc_103021	icon_hd_hbcqu	1	103020	3	23	23		1	5	150	0
103022	拥有24个以上伙伴	t_target_desc_103022	icon_hd_hbcqu	1	103021	3	24	24		1	5	150	0
103023	拥有25个以上伙伴	t_target_desc_103023	icon_hd_hbcqu	1	103022	3	25	25		1	5	150	0
103024	拥有26个以上伙伴	t_target_desc_103024	icon_hd_hbcqu	1	103023	3	26	26		1	5	150	0
103025	拥有27个以上伙伴	t_target_desc_103025	icon_hd_hbcqu	1	103024	3	27	27		1	5	150	0
103026	拥有28个以上伙伴	t_target_desc_103026	icon_hd_hbcqu	1	103025	3	28	28		1	5	150	0
103027	拥有29个以上伙伴	t_target_desc_103027	icon_hd_hbcqu	1	103026	3	29	29		1	5	150	0
103028	拥有30个以上伙伴	t_target_desc_103028	icon_hd_hbcqu	1	103027	3	30	30		1	5	150	0
103029	拥有31个以上伙伴	t_target_desc_103029	icon_hd_hbcqu	1	103028	3	31	31		1	5	200	0
103030	拥有32个以上伙伴	t_target_desc_103030	icon_hd_hbcqu	1	103029	3	32	32		1	5	200	0
103031	拥有33个以上伙伴	t_target_desc_103031	icon_hd_hbcqu	1	103030	3	33	33		1	5	200	0
103032	拥有34个以上伙伴	t_target_desc_103032	icon_hd_hbcqu	1	103031	3	34	34		1	5	200	0
103033	拥有35个以上伙伴	t_target_desc_103033	icon_hd_hbcqu	1	103032	3	35	35		1	5	200	0
103034	拥有36个以上伙伴	t_target_desc_103034	icon_hd_hbcqu	1	103033	3	36	36		1	5	200	0
103035	拥有37个以上伙伴	t_target_desc_103035	icon_hd_hbcqu	1	103034	3	37	37		1	5	200	0
103036	拥有38个以上伙伴	t_target_desc_103036	icon_hd_hbcqu	1	103035	3	38	38		1	5	200	0
103037	拥有39个以上伙伴	t_target_desc_103037	icon_hd_hbcqu	1	103036	3	39	39		1	5	200	0
103038	拥有40个以上伙伴	t_target_desc_103038	icon_hd_hbcqu	1	103037	3	40	40		1	5	200	0
103039	拥有41个以上伙伴	t_target_desc_103039	icon_hd_hbcqu	1	103038	3	41	41		1	5	200	0
103040	拥有42个以上伙伴	t_target_desc_103040	icon_hd_hbcqu	1	103039	3	42	42		1	5	200	0
103041	拥有43个以上伙伴	t_target_desc_103041	icon_hd_hbcqu	1	103040	3	43	43		1	5	200	0
103042	拥有44个以上伙伴	t_target_desc_103042	icon_hd_hbcqu	1	103041	3	44	44		1	5	200	0
103043	拥有45个以上伙伴	t_target_desc_103043	icon_hd_hbcqu	1	103042	3	45	45		1	5	200	0
103044	拥有46个以上伙伴	t_target_desc_103044	icon_hd_hbcqu	1	103043	3	46	46		1	5	200	0
103045	拥有47个以上伙伴	t_target_desc_103045	icon_hd_hbcqu	1	103044	3	47	47		1	5	200	0
103046	拥有48个以上伙伴	t_target_desc_103046	icon_hd_hbcqu	1	103045	3	48	48		1	5	200	0
103047	拥有49个以上伙伴	t_target_desc_103047	icon_hd_hbcqu	1	103046	3	49	49		1	5	200	0
103048	拥有50个以上伙伴	t_target_desc_103048	icon_hd_hbcqu	1	103047	3	50	50		1	5	200	0
103049	拥有51个以上伙伴	t_target_desc_103049	icon_hd_hbcqu	1	103048	3	51	51		1	5	200	0
103050	拥有52个以上伙伴	t_target_desc_103050	icon_hd_hbcqu	1	103049	3	52	52		1	5	200	0
103051	拥有53个以上伙伴	t_target_desc_103051	icon_hd_hbcqu	1	103050	3	53	53		1	5	200	0
103052	拥有54个以上伙伴	t_target_desc_103052	icon_hd_hbcqu	1	103051	3	54	54		1	5	200	0
103053	拥有55个以上伙伴	t_target_desc_103053	icon_hd_hbcqu	1	103052	3	55	55		1	5	200	0
103054	拥有56个以上伙伴	t_target_desc_103054	icon_hd_hbcqu	1	103053	3	56	56		1	5	200	0
103055	拥有57个以上伙伴	t_target_desc_103055	icon_hd_hbcqu	1	103054	3	57	57		1	5	200	0
103056	拥有58个以上伙伴	t_target_desc_103056	icon_hd_hbcqu	1	103055	3	58	58		1	5	200	0
103057	拥有59个以上伙伴	t_target_desc_103057	icon_hd_hbcqu	1	103056	3	59	59		1	5	200	0
103058	拥有60个以上伙伴	t_target_desc_103058	icon_hd_hbcqu	1	103057	3	60	60		1	5	200	0
103059	拥有61个以上伙伴	t_target_desc_103059	icon_hd_hbcqu	1	103058	3	61	61		1	5	200	0
103060	拥有62个以上伙伴	t_target_desc_103060	icon_hd_hbcqu	1	103059	3	62	62		1	5	200	0
103061	拥有63个以上伙伴	t_target_desc_103061	icon_hd_hbcqu	1	103060	3	63	63		1	5	200	0
103062	拥有64个以上伙伴	t_target_desc_103062	icon_hd_hbcqu	1	103061	3	64	64		1	5	200	0
103063	拥有65个以上伙伴	t_target_desc_103063	icon_hd_hbcqu	1	103062	3	65	65		1	5	200	0
103064	拥有66个以上伙伴	t_target_desc_103064	icon_hd_hbcqu	1	103063	3	66	66		1	5	200	0
103065	拥有67个以上伙伴	t_target_desc_103065	icon_hd_hbcqu	1	103064	3	67	67		1	5	200	0
103066	拥有68个以上伙伴	t_target_desc_103066	icon_hd_hbcqu	1	103065	3	68	68		1	5	200	0
103067	拥有69个以上伙伴	t_target_desc_103067	icon_hd_hbcqu	1	103066	3	69	69		1	5	200	0
103068	拥有70个以上伙伴	t_target_desc_103068	icon_hd_hbcqu	1	103067	3	70	70		1	5	200	0
105001	通关主线第1章	t_target_desc_105001	icon_hd_ptfb	1		5	1	1000		1	1	20000	0
105002	通关主线第2章	t_target_desc_105002	icon_hd_ptfb	1	105001	5	1	2000		1	1	25000	0
105003	通关主线第3章	t_target_desc_105003	icon_hd_ptfb	1	105002	5	1	3000		1	1	30000	0
105004	通关主线第4章	t_target_desc_105004	icon_hd_ptfb	1	105003	5	1	4000		1	1	35000	0
105005	通关主线第5章	t_target_desc_105005	icon_hd_ptfb	1	105004	5	1	5000		1	1	40000	0
105006	通关主线第6章	t_target_desc_105006	icon_hd_ptfb	1	105005	5	1	6000		1	1	45000	0
105007	通关主线第7章	t_target_desc_105007	icon_hd_ptfb	1	105006	5	1	7000		1	1	50000	0
105008	通关主线第8章	t_target_desc_105008	icon_hd_ptfb	1	105007	5	1	8000		1	1	55000	0
105009	通关主线第9章	t_target_desc_105009	icon_hd_ptfb	1	105008	5	1	9000		1	1	60000	0
105010	通关主线第10章	t_target_desc_105010	icon_hd_ptfb	1	105009	5	1	10000		1	1	65000	0
105011	通关主线第11章	t_target_desc_105011	icon_hd_ptfb	1	105010	5	1	11000		1	1	70000	0
105012	通关主线第12章	t_target_desc_105012	icon_hd_ptfb	1	105011	5	1	12000		1	1	75000	0
105013	通关主线第13章	t_target_desc_105013	icon_hd_ptfb	1	105012	5	1	13000		1	1	80000	0
105014	通关主线第14章	t_target_desc_105014	icon_hd_ptfb	1	105013	5	1	14000		1	1	85000	0
105015	通关主线第15章	t_target_desc_105015	icon_hd_ptfb	1	105014	5	1	15000		1	1	90000	0
105016	通关主线第16章	t_target_desc_105016	icon_hd_ptfb	1	105015	5	1	16000		1	1	95000	0
105017	通关主线第17章	t_target_desc_105017	icon_hd_ptfb	1	105016	5	1	17000		1	1	100000	0
105018	通关主线第18章	t_target_desc_105018	icon_hd_ptfb	1	105017	5	1	18000		1	1	105000	0
105019	通关主线第19章	t_target_desc_105019	icon_hd_ptfb	1	105018	5	1	19000		1	1	110000	0
105020	通关主线第20章	t_target_desc_105020	icon_hd_ptfb	1	105019	5	1	20000		1	1	115000	0
105021	通关主线第21章	t_target_desc_105021	icon_hd_ptfb	1	105020	5	1	21000		1	1	120000	0
105022	通关主线第22章	t_target_desc_105022	icon_hd_ptfb	1	105021	5	1	22000		1	1	125000	0
105023	通关主线第23章	t_target_desc_105023	icon_hd_ptfb	1	105022	5	1	23000		1	1	130000	0
105024	通关主线第24章	t_target_desc_105024	icon_hd_ptfb	1	105023	5	1	24000		1	1	135000	0
105025	通关主线第25章	t_target_desc_105025	icon_hd_ptfb	1	105024	5	1	25000		1	1	140000	0
105026	通关主线第26章	t_target_desc_105026	icon_hd_ptfb	1	105025	5	1	26000		1	1	145000	0
105027	通关主线第27章	t_target_desc_105027	icon_hd_ptfb	1	105026	5	1	27000		1	1	150000	0
105028	通关主线第28章	t_target_desc_105028	icon_hd_ptfb	1	105027	5	1	28000		1	1	155000	0
105029	通关主线第29章	t_target_desc_105029	icon_hd_ptfb	1	105028	5	1	29000		1	1	160000	0
105030	通关主线第30章	t_target_desc_105030	icon_hd_ptfb	1	105029	5	1	30000		1	1	165000	0
105031	通关主线第31章	t_target_desc_105031	icon_hd_ptfb	1	105030	5	1	31000		1	1	170000	0
105032	通关主线第32章	t_target_desc_105032	icon_hd_ptfb	1	105031	5	1	32000		1	1	175000	0
105033	通关主线第33章	t_target_desc_105033	icon_hd_ptfb	1	105032	5	1	33000		1	1	180000	0
105034	通关主线第34章	t_target_desc_105034	icon_hd_ptfb	1	105033	5	1	34000		1	1	185000	0
105035	通关主线第35章	t_target_desc_105035	icon_hd_ptfb	1	105034	5	1	35000		1	1	190000	0
105036	通关主线第36章	t_target_desc_105036	icon_hd_ptfb	1	105035	5	1	36000		1	1	195000	0
105037	通关主线第37章	t_target_desc_105037	icon_hd_ptfb	1	105036	5	1	37000		1	1	200000	0
105038	通关主线第38章	t_target_desc_105038	icon_hd_ptfb	1	105037	5	1	38000		1	1	205000	0
105039	通关主线第39章	t_target_desc_105039	icon_hd_ptfb	1	105038	5	1	39000		1	1	210000	0
105040	通关主线第40章	t_target_desc_105040	icon_hd_ptfb	1	105039	5	1	40000		1	1	215000	0
105041	通关主线第41章	t_target_desc_105041	icon_hd_ptfb	1	105040	5	1	41000		1	1	220000	0
105042	通关主线第42章	t_target_desc_105042	icon_hd_ptfb	1	105041	5	1	42000		1	1	225000	0
105043	通关主线第43章	t_target_desc_105043	icon_hd_ptfb	1	105042	5	1	43000		1	1	230000	0
105044	通关主线第44章	t_target_desc_105044	icon_hd_ptfb	1	105043	5	1	44000		1	1	235000	0
105045	通关主线第45章	t_target_desc_105045	icon_hd_ptfb	1	105044	5	1	45000		1	1	240000	0
105046	通关主线第46章	t_target_desc_105046	icon_hd_ptfb	1	105045	5	1	46000		1	1	245000	0
105047	通关主线第47章	t_target_desc_105047	icon_hd_ptfb	1	105046	5	1	47000		1	1	250000	0
105048	通关主线第48章	t_target_desc_105048	icon_hd_ptfb	1	105047	5	1	48000		1	1	255000	0
105049	通关主线第49章	t_target_desc_105049	icon_hd_ptfb	1	105048	5	1	49000		1	1	260000	0
105050	通关主线第50章	t_target_desc_105050	icon_hd_ptfb	1	105049	5	1	50000		1	1	265000	0
105051	通关主线第51章	t_target_desc_105051	icon_hd_ptfb	1	105050	5	1	51000		1	1	270000	0
105052	通关主线第52章	t_target_desc_105052	icon_hd_ptfb	1	105051	5	1	52000		1	1	275000	0
105053	通关主线第53章	t_target_desc_105053	icon_hd_ptfb	1	105052	5	1	53000		1	1	280000	0
105054	通关主线第54章	t_target_desc_105054	icon_hd_ptfb	1	105053	5	1	54000		1	1	285000	0
105055	通关主线第55章	t_target_desc_105055	icon_hd_ptfb	1	105054	5	1	55000		1	1	290000	0
105056	通关主线第56章	t_target_desc_105056	icon_hd_ptfb	1	105055	5	1	56000		1	1	295000	0
105057	通关主线第57章	t_target_desc_105057	icon_hd_ptfb	1	105056	5	1	57000		1	1	300000	0
105058	通关主线第58章	t_target_desc_105058	icon_hd_ptfb	1	105057	5	1	58000		1	1	305000	0
105059	通关主线第59章	t_target_desc_105059	icon_hd_ptfb	1	105058	5	1	59000		1	1	310000	0
105060	通关主线第60章	t_target_desc_105060	icon_hd_ptfb	1	105059	5	1	60000		1	1	315000	0
105061	通关主线第61章	t_target_desc_105061	icon_hd_ptfb	1	105060	5	1	61000		1	1	320000	0
105062	通关主线第62章	t_target_desc_105062	icon_hd_ptfb	1	105061	5	1	62000		1	1	325000	0
105063	通关主线第63章	t_target_desc_105063	icon_hd_ptfb	1	105062	5	1	63000		1	1	330000	0
105064	通关主线第64章	t_target_desc_105064	icon_hd_ptfb	1	105063	5	1	64000		1	1	335000	0
105065	通关主线第65章	t_target_desc_105065	icon_hd_ptfb	1	105064	5	1	65000		1	1	340000	0
105066	通关主线第66章	t_target_desc_105066	icon_hd_ptfb	1	105065	5	1	66000		1	1	345000	0
105067	通关主线第67章	t_target_desc_105067	icon_hd_ptfb	1	105066	5	1	67000		1	1	350000	0
105068	通关主线第68章	t_target_desc_105068	icon_hd_ptfb	1	105067	5	1	68000		1	1	355000	0
105069	通关主线第69章	t_target_desc_105069	icon_hd_ptfb	1	105068	5	1	69000		1	1	360000	0
105070	通关主线第70章	t_target_desc_105070	icon_hd_ptfb	1	105069	5	1	70000		1	1	365000	0
105071	通关主线第71章	t_target_desc_105071	icon_hd_ptfb	1	105070	5	1	71000		1	1	370000	0
105072	通关主线第72章	t_target_desc_105072	icon_hd_ptfb	1	105071	5	1	72000		1	1	375000	0
105073	通关主线第73章	t_target_desc_105073	icon_hd_ptfb	1	105072	5	1	73000		1	1	380000	0
105074	通关主线第74章	t_target_desc_105074	icon_hd_ptfb	1	105073	5	1	74000		1	1	385000	0
105075	通关主线第75章	t_target_desc_105075	icon_hd_ptfb	1	105074	5	1	75000		1	1	390000	0
105076	通关主线第76章	t_target_desc_105076	icon_hd_ptfb	1	105075	5	1	76000		1	1	395000	0
105077	通关主线第77章	t_target_desc_105077	icon_hd_ptfb	1	105076	5	1	77000		1	1	400000	0
105078	通关主线第78章	t_target_desc_105078	icon_hd_ptfb	1	105077	5	1	78000		1	1	400000	0
105079	通关主线第79章	t_target_desc_105079	icon_hd_ptfb	1	105078	5	1	79000		1	1	400000	0
105080	通关主线第80章	t_target_desc_105080	icon_hd_ptfb	1	105079	5	1	80000		1	1	400000	0
105081	通关主线第81章	t_target_desc_105081	icon_hd_ptfb	1	105080	5	1	81000		1	1	400000	0
105082	通关主线第82章	t_target_desc_105082	icon_hd_ptfb	1	105081	5	1	82000		1	1	400000	0
105083	通关主线第83章	t_target_desc_105083	icon_hd_ptfb	1	105082	5	1	83000		1	1	400000	0
105084	通关主线第84章	t_target_desc_105084	icon_hd_ptfb	1	105083	5	1	84000		1	1	400000	0
105085	通关主线第85章	t_target_desc_105085	icon_hd_ptfb	1	105084	5	1	85000		1	1	400000	0
105086	通关主线第86章	t_target_desc_105086	icon_hd_ptfb	1	105085	5	1	86000		1	1	400000	0
105087	通关主线第87章	t_target_desc_105087	icon_hd_ptfb	1	105086	5	1	87000		1	1	400000	0
105088	通关主线第88章	t_target_desc_105088	icon_hd_ptfb	1	105087	5	1	88000		1	1	400000	0
105089	通关主线第89章	t_target_desc_105089	icon_hd_ptfb	1	105088	5	1	89000		1	1	400000	0
105090	通关主线第90章	t_target_desc_105090	icon_hd_ptfb	1	105089	5	1	90000		1	1	400000	0
105091	通关主线第91章	t_target_desc_105091	icon_hd_ptfb	1	105090	5	1	91000		1	1	400000	0
105092	通关主线第92章	t_target_desc_105092	icon_hd_ptfb	1	105091	5	1	92000		1	1	400000	0
105093	通关主线第93章	t_target_desc_105093	icon_hd_ptfb	1	105092	5	1	93000		1	1	400000	0
105094	通关主线第94章	t_target_desc_105094	icon_hd_ptfb	1	105093	5	1	94000		1	1	400000	0
105095	通关主线第95章	t_target_desc_105095	icon_hd_ptfb	1	105094	5	1	95000		1	1	400000	0
105096	通关主线第96章	t_target_desc_105096	icon_hd_ptfb	1	105095	5	1	96000		1	1	400000	0
105097	通关主线第97章	t_target_desc_105097	icon_hd_ptfb	1	105096	5	1	97000		1	1	400000	0
105098	通关主线第98章	t_target_desc_105098	icon_hd_ptfb	1	105097	5	1	98000		1	1	400000	0
105099	通关主线第99章	t_target_desc_105099	icon_hd_ptfb	1	105098	5	1	99000		1	1	400000	0
105100	通关主线第100章	t_target_desc_105100	icon_hd_ptfb	1	105099	5	1	100000		1	1	400000	0
105101	通关主线第101章	t_target_desc_105101	icon_hd_ptfb	1	105100	5	1	101000		1	1	400000	0
105102	通关主线第102章	t_target_desc_105102	icon_hd_ptfb	1	105101	5	1	102000		1	1	400000	0
105103	通关主线第103章	t_target_desc_105103	icon_hd_ptfb	1	105102	5	1	103000		1	1	400000	0
105104	通关主线第104章	t_target_desc_105104	icon_hd_ptfb	1	105103	5	1	104000		1	1	400000	0
105105	通关主线第105章	t_target_desc_105105	icon_hd_ptfb	1	105104	5	1	105000		1	1	400000	0
105106	通关主线第106章	t_target_desc_105106	icon_hd_ptfb	1	105105	5	1	106000		1	1	400000	0
105107	通关主线第107章	t_target_desc_105107	icon_hd_ptfb	1	105106	5	1	107000		1	1	400000	0
105108	通关主线第108章	t_target_desc_105108	icon_hd_ptfb	1	105107	5	1	108000		1	1	400000	0
105109	通关主线第109章	t_target_desc_105109	icon_hd_ptfb	1	105108	5	1	109000		1	1	400000	0
105110	通关主线第110章	t_target_desc_105110	icon_hd_ptfb	1	105109	5	1	110000		1	1	400000	0
105111	通关主线第111章	t_target_desc_105111	icon_hd_ptfb	1	105110	5	1	111000		1	1	400000	0
105112	通关主线第112章	t_target_desc_105112	icon_hd_ptfb	1	105111	5	1	112000		1	1	400000	0
105113	通关主线第113章	t_target_desc_105113	icon_hd_ptfb	1	105112	5	1	113000		1	1	400000	0
105114	通关主线第114章	t_target_desc_105114	icon_hd_ptfb	1	105113	5	1	114000		1	1	400000	0
105115	通关主线第115章	t_target_desc_105115	icon_hd_ptfb	1	105114	5	1	115000		1	1	400000	0
105116	通关主线第116章	t_target_desc_105116	icon_hd_ptfb	1	105115	5	1	116000		1	1	400000	0
105117	通关主线第117章	t_target_desc_105117	icon_hd_ptfb	1	105116	5	1	117000		1	1	400000	0
105118	通关主线第118章	t_target_desc_105118	icon_hd_ptfb	1	105117	5	1	118000		1	1	400000	0
105119	通关主线第119章	t_target_desc_105119	icon_hd_ptfb	1	105118	5	1	119000		1	1	400000	0
105120	通关主线第120章	t_target_desc_105120	icon_hd_ptfb	1	105119	5	1	120000		1	1	400000	0
105121	通关主线第121章	t_target_desc_105121	icon_hd_ptfb	1	105120	5	1	121000		1	1	400000	0
105122	通关主线第122章	t_target_desc_105122	icon_hd_ptfb	1	105121	5	1	122000		1	1	400000	0
105123	通关主线第123章	t_target_desc_105123	icon_hd_ptfb	1	105122	5	1	123000		1	1	400000	0
105124	通关主线第124章	t_target_desc_105124	icon_hd_ptfb	1	105123	5	1	124000		1	1	400000	0
105125	通关主线第125章	t_target_desc_105125	icon_hd_ptfb	1	105124	5	1	125000		1	1	400000	0
105126	通关主线第126章	t_target_desc_105126	icon_hd_ptfb	1	105125	5	1	126000		1	1	400000	0
105127	通关主线第127章	t_target_desc_105127	icon_hd_ptfb	1	105126	5	1	127000		1	1	400000	0
105128	通关主线第128章	t_target_desc_105128	icon_hd_ptfb	1	105127	5	1	128000		1	1	400000	0
105129	通关主线第129章	t_target_desc_105129	icon_hd_ptfb	1	105128	5	1	129000		1	1	400000	0
105130	通关主线第130章	t_target_desc_105130	icon_hd_ptfb	1	105129	5	1	130000		1	1	400000	0
105131	通关主线第131章	t_target_desc_105131	icon_hd_ptfb	1	105130	5	1	131000		1	1	400000	0
105132	通关主线第132章	t_target_desc_105132	icon_hd_ptfb	1	105131	5	1	132000		1	1	400000	0
105133	通关主线第133章	t_target_desc_105133	icon_hd_ptfb	1	105132	5	1	133000		1	1	400000	0
105134	通关主线第134章	t_target_desc_105134	icon_hd_ptfb	1	105133	5	1	134000		1	1	400000	0
105135	通关主线第135章	t_target_desc_105135	icon_hd_ptfb	1	105134	5	1	135000		1	1	400000	0
105136	通关主线第136章	t_target_desc_105136	icon_hd_ptfb	1	105135	5	1	136000		1	1	400000	0
105137	通关主线第137章	t_target_desc_105137	icon_hd_ptfb	1	105136	5	1	137000		1	1	400000	0
105138	通关主线第138章	t_target_desc_105138	icon_hd_ptfb	1	105137	5	1	138000		1	1	400000	0
105139	通关主线第139章	t_target_desc_105139	icon_hd_ptfb	1	105138	5	1	139000		1	1	400000	0
105140	通关主线第140章	t_target_desc_105140	icon_hd_ptfb	1	105139	5	1	140000		1	1	400000	0
105141	通关主线第141章	t_target_desc_105141	icon_hd_ptfb	1	105140	5	1	141000		1	1	400000	0
105142	通关主线第142章	t_target_desc_105142	icon_hd_ptfb	1	105141	5	1	142000		1	1	400000	0
105143	通关主线第143章	t_target_desc_105143	icon_hd_ptfb	1	105142	5	1	143000		1	1	400000	0
105144	通关主线第144章	t_target_desc_105144	icon_hd_ptfb	1	105143	5	1	144000		1	1	400000	0
105145	通关主线第145章	t_target_desc_105145	icon_hd_ptfb	1	105144	5	1	145000		1	1	400000	0
106001	通关精英第1章	t_target_desc_106001	icon_hd_jyfb	1		15	1	1000		2	10010002	3	0
106002	通关精英第2章	t_target_desc_106002	icon_hd_jyfb	1	106001	15	1	2000		2	10010002	3	0
106003	通关精英第3章	t_target_desc_106003	icon_hd_jyfb	1	106002	15	1	3000		2	10010002	3	0
106004	通关精英第4章	t_target_desc_106004	icon_hd_jyfb	1	106003	15	1	4000		2	10010002	3	0
106005	通关精英第5章	t_target_desc_106005	icon_hd_jyfb	1	106004	15	1	5000		2	10010002	3	0
106006	通关精英第6章	t_target_desc_106006	icon_hd_jyfb	1	106005	15	1	6000		2	10010002	3	0
106007	通关精英第7章	t_target_desc_106007	icon_hd_jyfb	1	106006	15	1	7000		2	10010002	3	0
106008	通关精英第8章	t_target_desc_106008	icon_hd_jyfb	1	106007	15	1	8000		2	10010002	3	0
106009	通关精英第9章	t_target_desc_106009	icon_hd_jyfb	1	106008	15	1	9000		2	10010002	3	0
106010	通关精英第10章	t_target_desc_106010	icon_hd_jyfb	1	106009	15	1	10000		2	10010002	3	0
