INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
601005	40	1	0	0	0	0	2	4940	1484	179	187	23	3	3	0	0	23	3	3	3	3	0	2
700101	61	1	0	0	0	0	2	6412	1760	264	254	42	3	3	0	0	23	3	3	3	3	0	2
700201	56	1	0	0	0	0	2	6947	1595	264	234	41	3	3	0	0	23	3	3	3	3	0	2
700301	56	1	0	0	0	0	2	6947	1595	264	234	41	3	3	0	0	23	3	3	3	3	0	2
700302	61	1	0	0	0	0	2	6412	1760	264	254	42	3	3	0	0	23	3	3	3	3	0	2
700303	57	1	5	5	0	1	2	11500	1805	355	279	38	3	3	0	0	23	3	3	3	3	0	2
700401	57	1	0	0	0	0	2	8214	1641	322	254	38	3	3	0	0	23	3	3	3	3	0	2
700402	58	1	0	0	0	0	2	8259	1548	273	214	37	3	3	0	0	23	3	3	3	3	0	2
700501	57	1	0	0	0	0	2	8214	1641	322	254	38	3	3	0	0	23	3	3	3	3	0	2
700502	49	1	0	0	0	0	2	7776	2095	283	302	44	3	3	0	0	23	3	3	3	3	0	2
700601	57	1	0	0	0	0	2	8214	1641	322	254	38	3	3	0	0	23	3	3	3	3	0	2
700603	49	1	0	0	0	0	2	7776	2095	283	302	44	3	3	0	0	23	3	3	3	3	0	2
700604	52	1	5	5	0	1	2	10191	2112	288	350	53	3	3	0	0	23	3	3	3	3	0	2
700701	57	1	0	0	0	0	2	8214	1641	322	254	38	3	3	0	0	23	3	3	3	3	0	2
700702	50	1	0	0	0	0	2	6809	1808	276	260	41	3	3	0	0	23	3	3	3	3	0	2
700801	52	1	0	0	0	0	2	7279	1920	262	318	53	3	3	0	0	23	3	3	3	3	0	2
700802	50	1	0	0	0	0	2	6809	1808	276	260	41	3	3	0	0	23	3	3	3	3	0	2
700901	52	1	0	0	0	0	2	7279	1920	262	318	53	3	3	0	0	23	3	3	3	3	0	2
700904	53	1	5	5	0	1	2	11492	2387	300	333	51	3	3	0	0	23	3	3	3	3	0	2
700905	57	1	0	0	0	0	2	8214	1641	322	254	38	3	3	0	0	23	3	3	3	3	0	2
701001	53	1	0	0	0	0	2	8209	2170	272	303	51	3	3	0	0	23	3	3	3	3	0	2
701002	52	1	0	0	0	0	2	7279	1920	262	318	53	3	3	0	0	23	3	3	3	3	0	2
701003	208	1	15	15	0	2	2	15343	2396	401	355	37	3	3	0	0	23	3	3	3	3	0	2
800101	51	1	0	0	0	0	3	8186	2091	324	369	69	4	4	0	0	24	4	4	4	4	0	2
800201	68	1	0	0	0	0	3	9733	2071	374	386	56	4	4	0	0	24	4	4	4	4	0	2
800301	68	1	0	0	0	0	3	9733	2071	374	386	56	4	4	0	0	24	4	4	4	4	0	2
800303	67	1	5	5	0	1	3	14960	2591	452	428	69	4	4	0	0	24	4	4	4	4	0	2
800304	69	1	0	0	0	0	3	11822	2460	433	444	54	4	4	0	0	24	4	4	4	4	0	2
800401	67	1	0	0	0	0	3	10686	2355	410	389	69	4	4	0	0	24	4	4	4	4	0	2
800402	69	1	0	0	0	0	3	11822	2460	433	444	54	4	4	0	0	24	4	4	4	4	0	2
800501	67	1	0	0	0	0	3	10686	2355	410	389	69	4	4	0	0	24	4	4	4	4	0	2
800502	60	1	0	0	0	0	3	8527	2045	343	385	68	4	4	0	0	24	4	4	4	4	0	2
800503	69	1	0	0	0	0	3	11822	2460	433	444	54	4	4	0	0	24	4	4	4	4	0	2
800601	67	1	0	0	0	0	3	10686	2355	410	389	69	4	4	0	0	24	4	4	4	4	0	2
800604	62	1	5	5	0	1	3	12621	2411	380	524	79	4	4	0	0	24	4	4	4	4	0	2
800605	69	1	0	0	0	0	3	11822	2460	433	444	54	4	4	0	0	24	4	4	4	4	0	2
800701	62	1	0	0	0	0	3	9015	2191	346	476	79	4	4	0	0	24	4	4	4	4	0	2
800702	69	1	0	0	0	0	3	11822	2460	433	444	54	4	4	0	0	24	4	4	4	4	0	2
800703	51	1	0	0	0	0	3	8186	2091	324	369	69	4	4	0	0	24	4	4	4	4	0	2
800801	62	1	0	0	0	0	3	9015	2191	346	476	79	4	4	0	0	24	4	4	4	4	0	2
800802	67	1	0	0	0	0	3	10686	2355	410	389	69	4	4	0	0	24	4	4	4	4	0	2
800803	60	1	0	0	0	0	3	8527	2045	343	385	68	4	4	0	0	24	4	4	4	4	0	2
800901	62	1	0	0	0	0	3	9015	2191	346	476	79	4	4	0	0	24	4	4	4	4	0	2
800903	59	1	5	5	0	1	3	14252	2711	384	532	75	4	4	0	0	24	4	4	4	4	0	2
800904	60	1	0	0	0	0	3	8527	2045	343	385	68	4	4	0	0	24	4	4	4	4	0	2
801001	59	1	0	0	0	0	3	10180	2464	349	484	75	4	4	0	0	24	4	4	4	4	0	2
801002	62	1	0	0	0	0	3	9015	2191	346	476	79	4	4	0	0	24	4	4	4	4	0	2
801004	209	1	15	15	0	2	3	16419	2790	455	577	72	4	4	0	0	24	4	4	4	4	0	2
900101	2	1	0	0	0	0	3	12725	2765	516	560	75	4	4	0	0	24	4	4	4	4	0	4
900201	17	1	0	0	0	0	3	14735	2235	516	466	84	4	4	0	0	24	4	4	4	4	0	4
900301	17	1	0	0	0	0	3	14735	2235	516	466	84	4	4	0	0	24	4	4	4	4	0	4
900302	2	1	0	0	0	0	3	12725	2765	516	560	75	4	4	0	0	24	4	4	4	4	0	4
900303	6	1	5	5	0	1	3	24603	2615	697	593	88	4	4	0	0	24	4	4	4	4	0	4
900401	6	1	0	0	0	0	3	17573	2377	634	539	88	4	4	0	0	24	4	4	4	4	0	4
900402	17	1	0	0	0	0	3	14735	2235	516	466	84	4	4	0	0	24	4	4	4	4	0	4
900403	16	1	0	0	0	0	3	14956	2032	582	475	76	4	4	0	0	24	4	4	4	4	0	4
900501	6	1	0	0	0	0	3	17573	2377	634	539	88	4	4	0	0	24	4	4	4	4	0	4
900502	16	1	0	0	0	0	3	14956	2032	582	475	76	4	4	0	0	24	4	4	4	4	0	4
900601	6	1	0	0	0	0	3	17573	2377	634	539	88	4	4	0	0	24	4	4	4	4	0	4
900602	16	1	0	0	0	0	3	14956	2032	582	475	76	4	4	0	0	24	4	4	4	4	0	4
900604	7	1	5	5	0	1	3	21157	3400	560	631	100	4	4	0	0	24	4	4	4	4	0	4
900701	6	1	0	0	0	0	3	17573	2377	634	539	88	4	4	0	0	24	4	4	4	4	0	4
900702	25	1	0	0	0	0	3	14067	2787	557	603	64	4	4	0	0	24	4	4	4	4	0	4
900703	31	1	0	0	0	0	3	11388	2430	473	563	95	4	4	0	0	24	4	4	4	4	0	4
900801	7	1	0	0	0	0	3	15112	3091	509	574	100	4	4	0	0	24	4	4	4	4	0	4
900802	25	1	0	0	0	0	3	14067	2787	557	603	64	4	4	0	0	24	4	4	4	4	0	4
900803	31	1	0	0	0	0	3	11388	2430	473	563	95	4	4	0	0	24	4	4	4	4	0	4
900901	7	1	0	0	0	0	3	15112	3091	509	574	100	4	4	0	0	24	4	4	4	4	0	4
900904	8	1	5	5	0	1	3	18518	2871	578	754	108	4	4	0	0	24	4	4	4	4	0	4
900905	31	1	0	0	0	0	3	11388	2430	473	563	95	4	4	0	0	24	4	4	4	4	0	4
901001	8	1	0	0	0	0	3	13227	2610	526	686	108	4	4	0	0	24	4	4	4	4	0	4
901002	7	1	0	0	0	0	3	15112	3091	509	574	100	4	4	0	0	24	4	4	4	4	0	4
901004	211	1	15	15	0	2	3	29548	3904	730	799	73	4	4	0	0	24	4	4	4	4	0	4
1000101	23	1	0	0	0	0	3	19639	3389	773	699	127	5	5	0	0	25	5	5	5	5	0	4
1000201	26	1	0	0	0	0	3	20540	2553	788	641	104	5	5	0	0	25	5	5	5	5	0	4
1000301	26	1	0	0	0	0	3	20540	2553	788	641	104	5	5	0	0	25	5	5	5	5	0	4
1000302	23	1	0	0	0	0	3	19639	3389	773	699	127	5	5	0	0	25	5	5	5	5	0	4
1000303	37	1	5	5	0	1	3	28916	2823	839	635	103	5	5	0	0	25	5	5	5	5	0	4
1000401	37	1	0	0	0	0	3	20654	2567	763	577	103	5	5	0	0	25	5	5	5	5	0	4
1000402	33	1	0	0	0	0	3	18713	3271	712	661	115	5	5	0	0	25	5	5	5	5	0	4
1000501	37	1	0	0	0	0	3	20654	2567	763	577	103	5	5	0	0	25	5	5	5	5	0	4
1000502	29	1	0	0	0	0	3	19251	3099	677	744	117	5	5	0	0	25	5	5	5	5	0	4
1000602	33	1	0	0	0	0	3	18713	3271	712	661	115	5	5	0	0	25	5	5	5	5	0	4
1000603	27	1	5	5	0	1	3	36738	3240	952	868	112	5	5	0	0	25	5	5	5	5	0	4
1000604	29	1	0	0	0	0	3	19251	3099	677	744	117	5	5	0	0	25	5	5	5	5	0	4
1000701	27	1	0	0	0	0	3	26241	2945	866	789	112	5	5	0	0	25	5	5	5	5	0	4
1000702	28	1	0	0	0	0	3	16953	2876	646	710	130	5	5	0	0	25	5	5	5	5	0	4
1000801	27	1	0	0	0	0	3	26241	2945	866	789	112	5	5	0	0	25	5	5	5	5	0	4
1000802	37	1	0	0	0	0	3	20654	2567	763	577	103	5	5	0	0	25	5	5	5	5	0	4
1000803	28	1	0	0	0	0	3	16953	2876	646	710	130	5	5	0	0	25	5	5	5	5	0	4
1000901	27	1	0	0	0	0	3	26241	2945	866	789	112	5	5	0	0	25	5	5	5	5	0	4
1000903	36	1	5	5	0	1	3	32591	3233	982	748	124	5	5	0	0	25	5	5	5	5	0	4
1000904	37	1	0	0	0	0	3	20654	2567	763	577	103	5	5	0	0	25	5	5	5	5	0	4
1001001	36	1	0	0	0	0	3	23279	2939	892	680	124	5	5	0	0	25	5	5	5	5	0	4
1001004	212	1	15	15	0	2	3	39323	4746	964	932	121	5	5	0	0	25	5	5	5	5	0	4
1001005	37	1	0	0	0	0	3	20654	2567	763	577	103	5	5	0	0	25	5	5	5	5	0	4
1100101	1	1	0	0	0	0	3	27386	3015	1101	758	138	5	5	0	0	25	5	5	5	5	0	4
1100201	2	1	0	0	0	0	3	22360	3779	907	985	132	5	5	0	0	25	5	5	5	5	0	4
1100301	2	1	0	0	0	0	3	22360	3779	907	985	132	5	5	0	0	25	5	5	5	5	0	4
1100302	1	1	0	0	0	0	3	27386	3015	1101	758	138	5	5	0	0	25	5	5	5	5	0	4
1100303	22	1	5	5	0	1	3	39524	3321	1147	964	133	5	5	0	0	25	5	5	5	5	0	4
1100401	32	1	0	0	0	0	3	28885	2869	1024	758	130	5	5	0	0	25	5	5	5	5	0	4
1100402	1	1	0	0	0	0	3	27386	3015	1101	758	138	5	5	0	0	25	5	5	5	5	0	4
1100501	32	1	0	0	0	0	3	28885	2869	1024	758	130	5	5	0	0	25	5	5	5	5	0	4
1100502	2	1	0	0	0	0	3	22360	3779	907	985	132	5	5	0	0	25	5	5	5	5	0	4
1100602	35	1	5	5	0	1	3	33870	4055	968	1206	190	5	5	0	0	25	5	5	5	5	0	4
1100603	32	1	0	0	0	0	3	28885	2869	1024	758	130	5	5	0	0	25	5	5	5	5	0	4
1100604	2	1	0	0	0	0	3	22360	3779	907	985	132	5	5	0	0	25	5	5	5	5	0	4
1100701	35	1	0	0	0	0	3	24193	3687	880	1096	190	5	5	0	0	25	5	5	5	5	0	4
1100702	820	1	0	0	0	0	3	27958	2797	973	842	140	5	5	0	0	25	5	5	5	5	0	4
1100801	821	1	0	0	0	0	3	26982	2877	1103	820	138	5	5	0	0	25	5	5	5	5	0	4
1100802	35	1	0	0	0	0	3	24193	3687	880	1096	190	5	5	0	0	25	5	5	5	5	0	4
1100901	35	1	0	0	0	0	3	24193	3687	880	1096	190	5	5	0	0	25	5	5	5	5	0	4
1100902	821	1	0	0	0	0	3	26982	2877	1103	820	138	5	5	0	0	25	5	5	5	5	0	4
1100904	24	1	5	5	0	1	3	43258	3643	1311	1006	154	5	5	0	0	25	5	5	5	5	0	4
1101001	24	1	0	0	0	0	3	30898	3312	1192	914	154	5	5	0	0	25	5	5	5	5	0	4
1101002	35	1	0	0	0	0	3	24193	3687	880	1096	190	5	5	0	0	25	5	5	5	5	0	4
1101004	201	1	15	15	0	2	3	40851	4570	1120	1407	181	5	5	0	0	25	5	5	5	5	0	4
1200101	5	1	0	0	0	0	4	29628	4125	1156	1038	188	6	6	0	0	26	6	6	6	6	0	4
1200201	11	1	0	0	0	0	4	35095	3369	1294	1015	164	6	6	0	0	26	6	6	6	6	0	4
1200301	11	1	0	0	0	0	4	35095	3369	1294	1015	164	6	6	0	0	26	6	6	6	6	0	4
1200302	5	1	0	0	0	0	4	29628	4125	1156	1038	188	6	6	0	0	26	6	6	6	6	0	4
1200303	10	1	5	5	0	1	4	42414	4825	1142	1187	184	6	6	0	0	26	6	6	6	6	0	4
1200401	10	1	0	0	0	0	4	30296	4386	1038	1079	184	6	6	0	0	26	6	6	6	6	0	4
1200402	5	1	0	0	0	0	4	29628	4125	1156	1038	188	6	6	0	0	26	6	6	6	6	0	4
1200501	10	1	0	0	0	0	4	30296	4386	1038	1079	184	6	6	0	0	26	6	6	6	6	0	4
1200502	11	1	0	0	0	0	4	35095	3369	1294	1015	164	6	6	0	0	26	6	6	6	6	0	4
1200601	10	1	0	0	0	0	4	30296	4386	1038	1079	184	6	6	0	0	26	6	6	6	6	0	4
1200602	11	1	0	0	0	0	4	35095	3369	1294	1015	164	6	6	0	0	26	6	6	6	6	0	4
1200604	9	1	5	5	0	1	4	39722	4568	1190	1214	176	6	6	0	0	26	6	6	6	6	0	4
1200701	9	1	0	0	0	0	4	28373	4153	1082	1103	176	6	6	0	0	26	6	6	6	6	0	4
1200702	11	1	0	0	0	0	4	35095	3369	1294	1015	164	6	6	0	0	26	6	6	6	6	0	4
1200703	5	1	0	0	0	0	4	29628	4125	1156	1038	188	6	6	0	0	26	6	6	6	6	0	4
1200801	9	1	0	0	0	0	4	28373	4153	1082	1103	176	6	6	0	0	26	6	6	6	6	0	4
1200802	12	1	0	0	0	0	4	34478	3110	1233	994	164	6	6	0	0	26	6	6	6	6	0	4
1200901	9	1	0	0	0	0	4	28373	4153	1082	1103	176	6	6	0	0	26	6	6	6	6	0	4
1200902	12	1	0	0	0	0	4	34478	3110	1233	994	164	6	6	0	0	26	6	6	6	6	0	4
1200904	4	1	5	5	0	1	4	41816	4304	1243	1178	181	6	6	0	0	26	6	6	6	6	0	4
1201001	4	1	0	0	0	0	4	29869	3913	1130	1071	181	6	6	0	0	26	6	6	6	6	0	4
1201004	203	1	15	15	0	2	4	52404	5170	1411	1660	223	6	6	0	0	26	6	6	6	6	0	4
1201005	12	1	0	0	0	0	4	34478	3110	1233	994	164	6	6	0	0	26	6	6	6	6	0	4
1300101	16	1	0	0	0	0	4	35611	3388	1386	1131	181	6	6	0	0	26	6	6	6	6	0	4
1300201	2	1	0	0	0	0	4	30299	4609	1229	1335	179	6	6	0	0	26	6	6	6	6	0	4
1300302	6	1	5	5	0	1	4	58579	4359	1661	1413	209	6	6	0	0	26	6	6	6	6	0	4
1300303	2	1	0	0	0	0	4	30299	4609	1229	1335	179	6	6	0	0	26	6	6	6	6	0	4
1300304	16	1	0	0	0	0	4	35611	3388	1386	1131	181	6	6	0	0	26	6	6	6	6	0	4
1300401	6	1	0	0	0	0	4	41842	3963	1510	1285	209	6	6	0	0	26	6	6	6	6	0	4
1300402	16	1	0	0	0	0	4	35611	3388	1386	1131	181	6	6	0	0	26	6	6	6	6	0	4
1300501	6	1	0	0	0	0	4	41842	3963	1510	1285	209	6	6	0	0	26	6	6	6	6	0	4
1300502	2	1	0	0	0	0	4	30299	4609	1229	1335	179	6	6	0	0	26	6	6	6	6	0	4
1300602	7	1	5	5	0	1	4	50373	5668	1333	1504	240	6	6	0	0	26	6	6	6	6	0	4
1300603	6	1	0	0	0	0	4	41842	3963	1510	1285	209	6	6	0	0	26	6	6	6	6	0	4
1300604	2	1	0	0	0	0	4	30299	4609	1229	1335	179	6	6	0	0	26	6	6	6	6	0	4
1300701	7	1	0	0	0	0	4	35981	5152	1212	1367	240	6	6	0	0	26	6	6	6	6	0	4
1300702	17	1	0	0	0	0	4	35084	3726	1229	1110	202	6	6	0	0	26	6	6	6	6	0	4
1300801	7	1	0	0	0	0	4	35981	5152	1212	1367	240	6	6	0	0	26	6	6	6	6	0	4
1300802	17	1	0	0	0	0	4	35084	3726	1229	1110	202	6	6	0	0	26	6	6	6	6	0	4
1300901	7	1	0	0	0	0	4	35981	5152	1212	1367	240	6	6	0	0	26	6	6	6	6	0	4
1300902	6	1	0	0	0	0	4	41842	3963	1510	1285	209	6	6	0	0	26	6	6	6	6	0	4
1300904	8	1	5	5	0	1	4	44092	4786	1377	1797	259	6	6	0	0	26	6	6	6	6	0	4
1301001	8	1	0	0	0	0	4	31494	4351	1252	1634	259	6	6	0	0	26	6	6	6	6	0	4
1301002	7	1	0	0	0	0	4	35981	5152	1212	1367	240	6	6	0	0	26	6	6	6	6	0	4
1301004	204	1	15	15	0	2	4	67813	6147	1619	1632	217	6	6	0	0	26	6	6	6	6	0	4
1400101	31	1	0	0	0	0	4	29827	4456	1239	1477	249	7	7	0	0	27	7	7	7	7	0	4
1400201	16	1	0	0	0	0	4	39172	3727	1525	1244	199	7	7	0	0	27	7	7	7	7	0	4
1400301	16	1	0	0	0	0	4	39172	3727	1525	1244	199	7	7	0	0	27	7	7	7	7	0	4
1400302	31	1	0	0	0	0	4	29827	4456	1239	1477	249	7	7	0	0	27	7	7	7	7	0	4
1400303	26	1	5	5	0	1	4	54917	4291	1656	1347	200	7	7	0	0	27	7	7	7	7	0	4
1400401	26	1	0	0	0	0	4	39226	3901	1505	1224	200	7	7	0	0	27	7	7	7	7	0	4
1400402	23	1	0	0	0	0	4	37505	5178	1476	1336	243	7	7	0	0	27	7	7	7	7	0	4
1400501	26	1	0	0	0	0	4	39226	3901	1505	1224	200	7	7	0	0	27	7	7	7	7	0	4
1400502	820	1	0	0	0	0	4	41672	3753	1450	1256	208	7	7	0	0	27	7	7	7	7	0	4
1400601	26	1	0	0	0	0	4	39226	3901	1505	1224	200	7	7	0	0	27	7	7	7	7	0	4
1400603	23	1	0	0	0	0	4	37505	5178	1476	1336	243	7	7	0	0	27	7	7	7	7	0	4
1400604	35	1	5	5	0	1	4	50484	5440	1443	1798	283	7	7	0	0	27	7	7	7	7	0	4
1400701	26	1	0	0	0	0	4	39226	3901	1505	1224	200	7	7	0	0	27	7	7	7	7	0	4
1400702	35	1	0	0	0	0	4	36060	4946	1312	1634	283	7	7	0	0	27	7	7	7	7	0	4
