INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
4035	忆·灼眼公主	4	2	90010401	1	0	100	21	600
4036	忆·魔剑士	4	2	90010402	1	0	100	21	600
4037	忆·一卡螺丝	4	2	90010403	1	0	100	21	600
4038	忆·火女	4	2	90010404	1	0	100	21	600
4039	忆·女仆长	4	2	90010405	1	0	100	21	600
4040	忆·双枪少女	4	2	90010406	1	0	100	21	600
4041	忆·骑士女皇	4	2	90010400	1	0	100	21	4000
4042	忆·阿丝奈	4	2	90010500	1	0	100	21	4000
4043	忆·狂姗	4	2	90010501	1	0	100	21	4000
4044	忆·召唤师	4	2	90010502	1	0	100	21	4000
4045	忆·三竹立	4	2	90010503	1	0	100	21	4000
4046	忆·蝴蝶	4	2	90010504	1	0	100	21	4000
