INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	INT
15	魔法后排	对后排敌人造成60%的魔法伤害	t_skill_name_15	t_skill_desc_15		attack	1	2	3	6	0.6																																			
16	魔法随机	对随机3个敌人造成65%的魔法伤害	t_skill_name_16	t_skill_desc_16		attack	1	2	3	7	0.65																																			
17	魔法单列	对敌人及其相邻位置造成80%的魔法伤害	t_skill_name_17	t_skill_desc_17		attack	1	2	3	8	0.8																																			
18	魔法全体	对全体敌人造成40%的物理伤害	t_skill_name_18	t_skill_desc_18		attack	1	2	3	9	0.4																																			
19	攻击最高	对敌方攻击力最高的角色造成100%的物理伤害	t_skill_name_19	t_skill_desc_19		attack	1	1	3	10	1																																			
999	晕眩技能	晕眩用	t_skill_name_999	t_skill_desc_999		attack	1	1	3	1	1					2	2	1				13	1																							
10010000	蓄力激光	对前排单个敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的攻击，持续2回合	t_skill_name_10010000	t_skill_desc_10010000	zdjn_ic_cyz	jn01	1	1	3	1	3.2	0.128				2	1	2				7	30	0.24																						
10010100	能量护盾	对全体友军提升{{n3}}%的物免，持续2回合	t_skill_name_10010100	t_skill_desc_10010100	zdjn_ic_gm	jn01	1	4	1	9						2	2	2				14	30	0.24																						
10000100	连环重拳	对前排单个敌人造成{{n1}}%的物理伤害	t_skill_name_10000100	t_skill_desc_10000100	icjn_tyjn000	jn01	1	1	3	1	3.2	0.128																																		
10000200	连环重炮	对全体敌人造成{{n1}}%的物理伤害	t_skill_name_10000200	t_skill_desc_10000200		jn01	1	1	3	9	1.2	0.048																																		
10000300	疾风之矛	对前排单个敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的物防，持续2回合	t_skill_name_10000300	t_skill_desc_10000300		jn01	1	1	3	1	3.2	0.128				2	1	2				8	30	0.24																						
10000400	致命射击	对敌人及其相邻位置造成{{n1}}%的物理伤害，降低敌方{{n3}}%的物防，持续2回合	t_skill_name_10000400	t_skill_desc_10000400	zdjn_ic_qntz	jn01	1	1	3	8	2.4	0.096				2	2	2				8	-40	-0.32																						
10000500	连射	对前排敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的暴击，持续2回合	t_skill_name_10000500	t_skill_desc_10000500		jn01	1	1	3	4	1.6	0.064				2	1	2				11	30	0.24																						
10000600	愤怒之锤	对前排单个敌人造成{{n1}}%的物理伤害，50%概率晕眩敌方，持续1回合	t_skill_name_10000600	t_skill_desc_10000600	zdjn_ic_qxts	jn01	1	1	3	1	3.2	0.128																						50	1											
10000700	爆裂冲击	对敌人及其相邻位置造成{{n1}}%的物理伤害	t_skill_name_10000700	t_skill_desc_10000700	zdjn_ic_pjts	jn01	1	1	3	8	2.4	0.096																																		
10000800	死亡莲华	对敌人及其相邻位置造成{{n1}}%的魔法伤害，附带每回合{{n2}}%的魔法伤害，持续2回合	t_skill_name_10000800	t_skill_desc_10000800	zdjn_ic_zjts	jn01	1	2	3	4	1.6	0.064				1	2	2	1	0.48	0.0192																									
10000900	火焰喷射器	对前排敌人造成{{n1}}%的物理伤害，附带每回合{{n2}}%的物理伤害，持续2回合	t_skill_name_10000900	t_skill_desc_10000900		jn01	1	1	3	9	1.2	0.048				1	2	2	1	0.48	0.0192																									
10001000	多重榴弹	对后排敌人造成{{n1}}%的物理伤害，降低敌方{{n3}}%的物防，持续2回合	t_skill_name_10001000	t_skill_desc_10001000		jn01	1	1	3	6	1.6	0.064				2	2	2				8	-40	-0.32																						
10001100	乱舞	对前排单个敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的格挡，持续2回合	t_skill_name_10001100	t_skill_desc_10001100		jn01	1	1	3	1	3.2	0.128				2	1	2				12	30	0.24																						
10001200	电锯重挥	对前排单个敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的魔免，持续2回合	t_skill_name_10001200	t_skill_desc_10001200		jn01	1	1	3	1	3.2	0.128				2	1	2				15	30	0.24																						
10001300	赤炎双斧	对前排单个敌人造成{{n1}}%的物理伤害	t_skill_name_10001300	t_skill_desc_10001300		jn01	1	1	3	1	3.2	0.128																																		
10001400	格林机炮	对全体敌人造成{{n1}}%的物理伤害，50%概率降低敌方1点能量	t_skill_name_10001400	t_skill_desc_10001400		jn01	1	1	3	9	1.2	0.048	2	-1	50																															
10001500	烈光波	对敌人及其相邻位置造成{{n1}}%的物理伤害，附带每回合{{n2}}%的物理伤害，持续2回合	t_skill_name_10001500	t_skill_desc_10001500		jn01	1	1	3	8	2.4	0.096				1	2	2	1	0.48	0.0192																									
10001600	百吨重拳	对后排敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的格挡，持续2回合	t_skill_name_10001600	t_skill_desc_10001600		jn01	1	1	3	6	1.6	0.064				2	1	2				12	30	0.24																						
10001700	恐怖利刃	对后排敌人造成{{n1}}%的物理伤害	t_skill_name_10001700	t_skill_desc_10001700		jn01	1	1	3	6	1.6	0.064																																		
10002000	强力射击	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的物免，持续2回合	t_skill_name_10002000	t_skill_desc_10002000		jn01	1	1	3	8	2.4	0.096				2	1	2				14	30	0.24																						
10002100	火焰旋刃	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的暴击，持续2回合	t_skill_name_10002100	t_skill_desc_10002100		jn01	1	1	3	8	2.4	0.096				2	1	2				11	30	0.24																						
10002200	死亡镭射	对全体敌人造成{{n1}}%的物理伤害，降低敌方{{n3}}%的物防，持续2回合	t_skill_name_10002200	t_skill_desc_10002200		jn01	1	1	3	9	1.2	0.048				2	2	2				8	-30	-0.24																						
10002300	魔能标枪	对前排单个敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的暴击，持续2回合	t_skill_name_10002300	t_skill_desc_10002300	zdjn_ic_amb	jn01	1	1	3	1	3.2	0.128				2	1	2				11	30	0.24																						
10002400	离子护盾	对全体友军提升{{n3}}%的魔免，持续2回合	t_skill_name_10002400	t_skill_desc_10002400	zdjn_ic_gm	jn01	1	4	1	9						2	2	2				15	30	0.24																						
10002500	魔能回复	对全体友军回复{{n1}}%攻击的生命	t_skill_name_10002500	t_skill_desc_10002500		jn01	1	3	1	9	1.2	0.048																																		
10002600	量子冲拳	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的魔免，持续2回合	t_skill_name_10002600	t_skill_desc_10002600	zdjn_ic_cpjj	jn01	1	1	3	8	2.4	0.096				2	1	2				15	30	0.24																						
10002700	幻影剑舞	对前排单个敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的物免，持续2回合	t_skill_name_10002700	t_skill_desc_10002700	zdjn_ic_jjjj	jn01	1	1	3	1	3.2	0.128				2	1	2				14	30	0.24																						
10002800	酸性毒物	对全体敌人造成{{n1}}%的魔法伤害	t_skill_name_10002800	t_skill_desc_10002800		jn01	1	2	3	9	1.2	0.048																																		
10002900	火焰回旋	对后排敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的攻击，持续2回合	t_skill_name_10002900	t_skill_desc_10002900		jn01	1	1	3	6	1.6	0.064				2	1	2				7	30	0.24																						
10003000	离子束	对敌人及其相邻位置造成{{n1}}%的魔法伤害	t_skill_name_10003000	t_skill_desc_10003000		jn01	3	2	3	8	2.4	0.096																																		
10003100	大斧挥击	对前排敌人造成{{n1}}%的魔法伤害，降低敌方{{n3}}%的格挡，持续2回合	t_skill_name_10003100	t_skill_desc_10003100		jn01	1	2	3	4	1.6	0.064				2	2	2				12	-15	-0.12																						
10003200	花式枪术	对后排敌人造成{{n1}}%的物理伤害，降低敌方{{n3}}%的物防，持续2回合	t_skill_name_10003200	t_skill_desc_10003200		jn01	1	1	3	6	1.6	0.064				2	2	2				8	-50	-0.4																						
10003300	回旋怒斩	对前排单个敌人造成{{n1}}%的物理伤害，50%概率晕眩敌方，持续1回合	t_skill_name_10003300	t_skill_desc_10003300		jn01	1	1	3	1	3.2	0.128																						50	1											
10003400	波动拳	对前排后排敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的暴击，持续2回合	t_skill_name_10003400	t_skill_desc_10003400		jn01	1	1	3	6	1.6	0.064				2	1	2				11	30	0.24																						
10003500	邪光冲击	对全体敌人造成{{n1}}%的魔法伤害，降低敌方{{n3}}%的攻击，持续2回合	t_skill_name_10003500	t_skill_desc_10003500	zdjn_ic_jxnp	jn01	1	2	3	9	1.2	0.048				2	2	2				7	-10	-0.08																						
10003600	死棘之枪	对敌人及其相邻位置造成{{n1}}%的物理伤害，降低敌方{{n3}}%的物防，持续2回合	t_skill_name_10003600	t_skill_desc_10003600	zdjn_ic_hjsw	jn01	1	1	3	8	2.4	0.096				2	2	2				8	-40	-0.32																						
10003700	暗影三段	对前排敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的魔免，持续2回合	t_skill_name_10003700	t_skill_desc_10003700	zdjn_ic_bysw	jn01	1	1	3	4	1.6	0.064				2	1	2				15	30	0.24																						
10003800	闪电箭	对中排敌人造成{{n1}}%的魔法伤害	t_skill_name_10003800	t_skill_desc_10003800		jn01	1	2	3	5	1.6	0.064																																		
10004000	快速愈合	对全体友军回复{{n1}}%攻击的生命	t_skill_name_10004000	t_skill_desc_10004000		jn01	1	3	1	9	1.2	0.048																																		
10004100	青鬼斩	对前排单个敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的暴击，持续2回合	t_skill_name_10004100	t_skill_desc_10004100	zdjn_ic_qg	jn01	1	1	3	1	3.2	0.128				2	1	2				11	30	0.24																						
10004200	青鬼连斩	对前排单个敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的暴击，持续2回合	t_skill_name_10004200	t_skill_desc_10004200	zdjn_ic_qg	jn01	1	1	3	1	3.2	0.128				2	1	2				11	30	0.24																						
10004300	烈焰重锤	对前排单个敌人造成{{n1}}%的魔法伤害，50%概率晕眩敌方，持续1回合	t_skill_name_10004300	t_skill_desc_10004300	zdjn_ic_xyt	jn01	1	2	3	1	3.2	0.128																						50	1											
10004500	猫妖波	对全体敌人造成{{n1}}%的魔法伤害，降低敌方{{n3}}%的攻击，持续2回合	t_skill_name_10004500	t_skill_desc_10004500		jn01	1	2	3	9	1.2	0.048				2	2	2				7	-15	-0.12																						
10004600	猫猫弹	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的暴击，持续2回合	t_skill_name_10004600	t_skill_desc_10004600	zdjn_ic_myou	jn01	1	1	3	8	2.4	0.096				2	1	2				11	30	0.24																						
10004700	雷光球	对后排敌人造成{{n1}}%的魔法伤害	t_skill_name_10004700	t_skill_desc_10004700		jn01	1	2	3	6	1.6	0.064																																		
10004800	雪人风暴	对前排敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的物免，持续2回合	t_skill_name_10004800	t_skill_desc_10004800		jn01	1	1	3	4	1.6	0.064				2	1	2				14	30	0.24																						
10004900	十步一杀	对前排单个敌人造成{{n1}}%的物理伤害，附带每回合{{n2}}%的物理伤害，持续2回合	t_skill_name_10004900	t_skill_desc_10004900	zdjn_ic_ymo	jn01	1	1	3	1	3.2	0.128				1	2	2	2	1.12	0.0448																									
10005000	疾风射击	对后排敌人造成{{n1}}%的物理伤害，降低敌方{{n3}}%的物防，持续2回合	t_skill_name_10005000	t_skill_desc_10005000		jn01	1	1	3	6	1.6	0.064				2	2	2				8	-50	-0.4																						
10005100	结界术	对中排敌人造成{{n1}}%的魔法伤害，降低敌方{{n3}}%的魔防，持续2回合	t_skill_name_10005100	t_skill_desc_10005100		jn01	1	2	3	5	1.6	0.064				2	2	2				9	-50	-0.4																						
10005200	心灵震波	对中排敌人造成{{n1}}%的魔法伤害，附带每回合{{n2}}%的魔法伤害，持续2回合	t_skill_name_10005200	t_skill_desc_10005200	zdjn_ic_ytu	jn01	1	2	3	5	1.6	0.064				1	2	2	2	0.48	0.0192																									
10005300	地狱烈焰	对全体敌人造成{{n1}}%的物理伤害，降低敌方{{n3}}%的物防，持续2回合	t_skill_name_10005300	t_skill_desc_10005300	zdjn_ic_ywjz	jn01	1	1	3	9	1.2	0.048				2	2	2				8	-50	-0.4																						
10005500	雨伞风暴	对前排敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的攻击，持续2回合	t_skill_name_10005500	t_skill_desc_10005500	zdjn_ic_yhsv	jn01	1	1	3	4	1.6	0.064				2	1	2				7	30	0.24																						
10005600	超声波	对全体敌人造成{{n1}}%的魔法伤害，提升自身{{n3}}%的魔防，持续2回合	t_skill_name_10005600	t_skill_desc_10005600		jn01	1	2	3	9	1.2	0.048				2	1	2				9	30	0.24																						
10005700	赤鬼暴斩	对前排敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的暴击，持续2回合	t_skill_name_10005700	t_skill_desc_10005700	zdjn_ic_cgw	jn01	1	1	3	4	1.6	0.064				2	1	2				11	30	0.24																						
10005800	赤鬼斩	对前排单个敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的暴击，持续2回合	t_skill_name_10005800	t_skill_desc_10005800	zdjn_ic_chig	jn01	1	1	3	1	3.2	0.128				2	1	2				11	30	0.24																						
10005900	电光火石	对前排单个敌人造成{{n1}}%的魔法伤害，提升自身{{n3}}%的攻击，持续2回合	t_skill_name_10005900	t_skill_desc_10005900	zdjn_ic_bshe	jn01	1	2	3	1	3.2	0.128				2	1	2				7	30	0.24																						
10006000	怒雷强击	对后排敌人造成{{n1}}%的魔法伤害，降低敌方{{n3}}%的格挡，持续2回合	t_skill_name_10006000	t_skill_desc_10006000		jn01	1	2	3	6	1.6	0.064				2	2	2				12	-15	-0.12																						
10006100	巨型雪球	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的攻击，持续2回合	t_skill_name_10006100	t_skill_desc_10006100		jn01	1	1	3	8	2.4	0.096				2	1	2				7	30	0.24																						
10006200	寒冰地带	对全体敌人造成{{n1}}%的魔法伤害，附带每回合{{n2}}%的魔法伤害，持续2回合	t_skill_name_10006200	t_skill_desc_10006200	zdjn_ic_xnv	jn01	1	2	3	9	1.2	0.048				1	2	2	2	0.48	0.0192																									
10006600	火焰旋风	对敌人及其相邻位置造成{{n1}}%的魔法伤害，使自身每回合回复{{n2}}%攻击的生命，持续2回合	t_skill_name_10006600	t_skill_desc_10006600	zdjn_ic_jwyh	jn01	1	2	3	8	2.4	0.096				1	1	2	3	0.48	0.0192																									
10006700	离人之剑	对前排单个敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的暴击，持续2回合	t_skill_name_10006700	t_skill_desc_10006700	zdjn_ic_gwn	jn01	1	1	3	1	3.2	0.128				2	1	2				11	30	0.24																						
10006800	飞火流星	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的攻击，持续2回合	t_skill_name_10006800	t_skill_desc_10006800		jn01	1	1	3	8	2.4	0.096				2	1	2				7	30	0.24																						
10006900	治愈术	对己方生命最少的单位回复{{n1}}%攻击的生命	t_skill_name_10006900	t_skill_desc_10006900	zdjn_ic_zytz	jn01	1	3	2	1	3.2	0.128																																		
10020100	暗影镰刀	对全体敌人造成{{n1}}%的魔法伤害，20%概率降低敌方2点能量，15%概率晕眩敌方，持续1回合	t_skill_name_10020100	t_skill_desc_10020100	zdjn_ic_mrx	jn01	1	2	3	9	1.2	0.048	2	-2	20																			15	1											
10020101	暗影镰刀II	对全体敌人造成{{n1}}%的魔法伤害，20%概率降低敌方2点能量，20%概率晕眩敌方，持续1回合	t_skill_name_10020101	t_skill_desc_10020101	zdjn_ic_mrx	jn02	1	2	3	9	1.5	0.06	2	-2	20																			20	1											
10020102	暗影镰刀III	对全体敌人造成{{n1}}%的魔法伤害，20%概率降低敌方2点能量，25%概率晕眩敌方，持续1回合	t_skill_name_10020102	t_skill_desc_10020102	zdjn_ic_mrx	jn03	1	2	3	9	1.8	0.072	2	-2	20																			25	1											
10020200	斗人剑术	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的格挡，持续2回合	t_skill_name_10020200	t_skill_desc_10020200	zdjn_ic_dour	jn01	1	1	3	8	2.4	0.096				2	1	2				12	30	0.24																						
10020201	斗人剑术II	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的格挡，持续2回合	t_skill_name_10020201	t_skill_desc_10020201	zdjn_ic_dour	jn02	1	1	3	8	3	0.12				2	1	2				12	35	0.28																						
10020202	斗人剑术III	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的格挡，持续2回合	t_skill_name_10020202	t_skill_desc_10020202	zdjn_ic_dour	jn03	1	1	3	8	3.6	0.144				2	1	2				12	40	0.32																						
10020300	超电磁炮	对后排单个敌人造成{{n1}}%的魔法伤害，80%概率降低敌方2点能量，降低敌方{{n3}}%的魔防，持续2回合	t_skill_name_10020300	t_skill_desc_10020300	zdjn_ic_paoj	jn01	1	2	3	3	3.2	0.128	2	-2	80	2	2	2				9	-50	-0.4																						
10020301	超电磁炮II	对后排单个敌人造成{{n1}}%的魔法伤害，80%概率降低敌方2点能量，降低敌方{{n3}}%的魔防，持续2回合	t_skill_name_10020301	t_skill_desc_10020301	zdjn_ic_paoj	jn02	1	2	3	3	4	0.16	2	-2	80	2	2	2				9	-60	-0.48																						
10020302	超电磁炮III	对后排单个敌人造成{{n1}}%的魔法伤害，80%概率降低敌方2点能量，降低敌方{{n3}}%的魔防，持续2回合	t_skill_name_10020302	t_skill_desc_10020302	zdjn_ic_paoj	jn03	1	2	3	3	4.8	0.192	2	-2	80	2	2	2				9	-70	-0.56																						
10020400	震荡射击	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的攻击，持续2回合	t_skill_name_10020400	t_skill_desc_10020400	zdjn_ic_hsss	jn01	1	1	3	8	2.4	0.096				2	1	2				7	30	0.24																						
10020401	震荡射击II	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的攻击，持续2回合	t_skill_name_10020401	t_skill_desc_10020401	zdjn_ic_hsss	jn02	1	1	3	8	3	0.12				2	1	2				7	35	0.28																						
10020402	震荡射击III	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的攻击，持续2回合	t_skill_name_10020402	t_skill_desc_10020402	zdjn_ic_hsss	jn03	1	1	3	8	3.6	0.144				2	1	2				7	40	0.32																						
10020500	末日审判	对后排敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的暴击，持续2回合	t_skill_name_10020500	t_skill_desc_10020500	zdjn_ic_bbl	jn01	1	1	3	6	1.6	0.064				2	1	2				11	30	0.24																						
10020501	末日审判II	对后排敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的暴击，持续2回合	t_skill_name_10020501	t_skill_desc_10020501	zdjn_ic_bbl	jn02	1	1	3	6	2	0.08				2	1	2				11	35	0.28																						
10020502	末日审判III	对后排敌人造成{{n1}}%的物理伤害，提升自身{{n3}}%的暴击，持续2回合	t_skill_name_10020502	t_skill_desc_10020502	zdjn_ic_bbl	jn03	1	1	3	6	2.4	0.096				2	1	2				11	40	0.32																						
10020600	龙破斩	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的物免，持续2回合	t_skill_name_10020600	t_skill_desc_10020600	zdjn_ic_zero	jn01	1	1	3	8	2.4	0.096				2	1	2				14	30	0.24																						
10020601	龙破斩II	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的物免，持续2回合	t_skill_name_10020601	t_skill_desc_10020601	zdjn_ic_zero	jn02	1	1	3	8	3	0.12				2	1	2				14	35	0.28																						
10020602	龙破斩III	对敌人及其相邻位置造成{{n1}}%的物理伤害，提升自身{{n3}}%的物免，持续2回合	t_skill_name_10020602	t_skill_desc_10020602	zdjn_ic_zero	jn03	1	1	3	8	3.6	0.144				2	1	2				14	40	0.32																						
10020700	修罗剑	对前排单个敌人造成{{n1}}%的物理伤害，80%概率晕眩敌方，持续1回合	t_skill_name_10020700	t_skill_desc_10020700	zdjn_ic_yaom	jn01	1	1	3	1	3.2	0.128																						80	1											
10020701	修罗剑II	对前排单个敌人造成{{n1}}%的物理伤害，90%概率晕眩敌方，持续1回合	t_skill_name_10020701	t_skill_desc_10020701	zdjn_ic_yaom	jn02	1	1	3	1	4	0.16																						90	1											
10020702	修罗剑III	对前排单个敌人造成{{n1}}%的物理伤害，100%概率晕眩敌方，持续1回合	t_skill_name_10020702	t_skill_desc_10020702	zdjn_ic_yaom	jn03	1	1	3	1	4.8	0.192																						100	1											
10020800	墨染之樱	对全体友军回复{{n1}}%攻击的生命，附带每回合{{n2}}%的生命回复，持续2回合	t_skill_name_10020800	t_skill_desc_10020800	zdjn_ic_ylgz	jn01	1	3	1	9	1.2	0.048				1	2	2	3	0.48	0.0192																									
10020801	墨染之樱II	对全体友军回复{{n1}}%攻击的生命，附带每回合{{n2}}%的生命回复，持续2回合	t_skill_name_10020801	t_skill_desc_10020801	zdjn_ic_ylgz	jn02	1	3	1	9	1.5	0.06				1	2	2	3	0.6	0.024																									
10020802	墨染之樱III	对全体友军回复{{n1}}%攻击的生命，附带每回合{{n2}}%的生命回复，持续2回合	t_skill_name_10020802	t_skill_desc_10020802	zdjn_ic_ylgz	jn03	1	3	1	9	1.8	0.072				1	2	2	3	0.72	0.0288																									
10020900	二重结界	对中排敌人造成{{n1}}%的魔法伤害，附带每回合{{n2}}%的魔法伤害，持续2回合	t_skill_name_10020900	t_skill_desc_10020900	zdjn_ic_hob	jn01	1	2	3	5	1.6	0.064				1	2	2	2	0.48	0.0192																									
10020901	二重结界II	对中排敌人造成{{n1}}%的魔法伤害，附带每回合{{n2}}%的魔法伤害，持续2回合	t_skill_name_10020901	t_skill_desc_10020901	zdjn_ic_hob	jn02	1	2	3	5	2	0.08				1	2	2	2	0.6	0.024																									
10020902	二重结界III	对中排敌人造成{{n1}}%的魔法伤害，附带每回合{{n2}}%的魔法伤害，持续2回合	t_skill_name_10020902	t_skill_desc_10020902	zdjn_ic_hob	jn03	1	2	3	5	2.4	0.096				1	2	2	2	0.72	0.0288																									
10021100	天元突破	对全体友军回复{{n1}}%攻击的生命，20%概率增加友军2点能量，提升友军{{n3}}%的魔免，持续2回合	t_skill_name_10021100	t_skill_desc_10021100	zdjn_ic_cc	jn01	1	3	1	9	1.2	0.048	2	2	20	2	2	2				15	20	0.16																						
10021101	天元突破II	对全体友军回复{{n1}}%攻击的生命，25%概率增加友军2点能量，提升友军{{n3}}%的魔免，持续2回合	t_skill_name_10021101	t_skill_desc_10021101	zdjn_ic_cc	jn02	1	3	1	9	1.44	0.0576	2	2	25	2	2	2				15	25	0.2																						
10021102	天元突破III	对全体友军回复{{n1}}%攻击的生命，30%概率增加友军2点能量，提升友军{{n3}}%的魔免，持续2回合	t_skill_name_10021102	t_skill_desc_10021102	zdjn_ic_cc	jn03	1	3	1	9	1.68	0.0672	2	2	30	2	2	2				15	30	0.24																						
10021200	狂舞乐章	对前排单个敌人造成{{n1}}%的物理伤害，80%概率降低敌方2点能量，降低敌方{{n3}}%的物防，持续2回合	t_skill_name_10021200	t_skill_desc_10021200	zdjn_ic_chuy	jn01	1	1	3	1	3.2	0.128	2	-2	80	2	2	2				8	-50	-0.4																						
10021201	狂舞乐章II	对前排单个敌人造成{{n1}}%的物理伤害，90%概率降低敌方2点能量，降低敌方{{n3}}%的物防，持续2回合	t_skill_name_10021201	t_skill_desc_10021201	zdjn_ic_chuy	jn02	1	1	3	1	3.84	0.1536	2	-2	90	2	2	2				8	-60	-0.48																						
10021202	狂舞乐章III	对前排单个敌人造成{{n1}}%的物理伤害，100%概率降低敌方2点能量，降低敌方{{n3}}%的物防，持续2回合	t_skill_name_10021202	t_skill_desc_10021202	zdjn_ic_chuy	jn03	1	1	3	1	4.48	0.1792	2	-2	100	2	2	2				8	-70	-0.56																						
