INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT
33	B阶3级	t_chongwu_jinjie_33	xzjb_6	50	110030503	110030401	110030402	110030403	2315000		
34	B阶4级	t_chongwu_jinjie_34	xzjb_6	50	110030504	110030401	110030402	110030404	2335000		1
35	B阶5级	t_chongwu_jinjie_35	xzjb_6	50	110030501	110030502	110030403	110030404	2360000		
36	B阶6级	t_chongwu_jinjie_36	xzjb_6	50	110030503	110030504	110030401	110030402	2385000		2
37	B阶7级	t_chongwu_jinjie_37	xzjb_6	50	110030501	110030502	110030403	110030404	2410000		
38	B阶8级	t_chongwu_jinjie_38	xzjb_6	50	110030503	110030504	110030401	110030402	2430000		1
39	B阶9级	t_chongwu_jinjie_39	xzjb_6	50	110030501	110030502	110030503	110030504	3035000		
40	A阶0级	t_chongwu_jinjie_40	xzjb_9	80	110030601	110030501	110030502	110030503	3055000	5	
41	A阶1级	t_chongwu_jinjie_41	xzjb_9	80	110030602	110030501	110030502	110030504	3080000		2
42	A阶2级	t_chongwu_jinjie_42	xzjb_9	80	110030603	110030501	110030503	110030504	3105000		1
43	A阶3级	t_chongwu_jinjie_43	xzjb_9	80	110030604	110030502	110030503	110030504	3130000		2
44	A阶4级	t_chongwu_jinjie_44	xzjb_9	80	110030601	110030501	110030502	110030503	3155000		1
45	A阶5级	t_chongwu_jinjie_45	xzjb_9	80	110030602	110030603	110030501	110030504	3180000		2
46	A阶6级	t_chongwu_jinjie_46	xzjb_9	80	110030601	110030604	110030502	110030503	3205000		1
47	A阶7级	t_chongwu_jinjie_47	xzjb_9	80	110030602	110030603	110030501	110030504	3230000		2
48	A阶8级	t_chongwu_jinjie_48	xzjb_9	80	110030601	110030604	110030502	110030503	3250000		1
49	A阶9级	t_chongwu_jinjie_49	xzjb_9	80	110030601	110030602	110030603	110030604	3870000		2
50	S阶0级	t_chongwu_jinjie_50	xzjb_12	100	110030601	110030602	110030603	110030604	3890000	5	
51	S阶1级	t_chongwu_jinjie_51	xzjb_12	100	110030601	110030602	110030603	110030604	3910000		1
52	S阶2级	t_chongwu_jinjie_52	xzjb_12	100	110030601	110030602	110030603	110030604	3930000		2
53	S阶3级	t_chongwu_jinjie_53	xzjb_12	100	110030601	110030602	110030603	110030604	3950000		1
54	S阶4级	t_chongwu_jinjie_54	xzjb_12	100	110030701	110030601	110030602	110030603	3970000		2
55	S阶5级	t_chongwu_jinjie_55	xzjb_12	100	110030702	110030601	110030602	110030604	3990000		1
56	S阶6级	t_chongwu_jinjie_56	xzjb_12	100	110030703	110030602	110030603	110030604	4010000		2
57	S阶7级	t_chongwu_jinjie_57	xzjb_12	100	110030704	110030601	110030602	110030603	4030000		1
58	S阶8级	t_chongwu_jinjie_58	xzjb_12	100	110030701	110030702	110030601	110030604	4050000		2
59	S阶9级	t_chongwu_jinjie_59	xzjb_12	100	110030703	110030704	110030602	110030603	4070000		1
60	皇家战宠	t_chongwu_jinjie_60	xzjb_15	120	110030701	110030702	110030703	110030704	4090000	5	
