INT	STRING	STRING	STRING	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
7004	7-4 赤鬼来袭II	t_mission_name_7004	t_mission_desc_7004	1	7	ts_chapter07_01	0	6030	6040	0	0	6	99			103	700401	700402	700402	700402	700402	0						2	40040001	1	0	100																					0
7005	7-5 赤鬼来袭III	t_mission_name_7005	t_mission_desc_7005	1	7	ts_chapter07_01	0	6040	6050	0	0	6	99			101	700501	700501	700501	700502	700502	0						2	40040001	1	0	100																					0
7006	7-6 兔女郎	t_mission_name_7006	t_mission_desc_7006	1	7	ts_chapter07_02	1	6050	6060	0	0	6	10			102	700604	700601	700601	700603	700603	0						2	40040001	1	0	100	2	40030011	1	0	65	2	80020001	1	0	10											0
7007	7-7 青色魅惑	t_mission_name_7007	t_mission_desc_7007	1	7	ts_chapter07_02	0	6060	6070	0	0	6	99			101	700701	700701	700701	700702	700702	0						2	40040001	1	0	100																					0
7008	7-8 食物链 续	t_mission_name_7008	t_mission_desc_7008	1	7	ts_chapter07_02	0	6070	6080	0	0	6	99			102	700801	700801	700801	700802	700802	0						2	40040001	1	0	100																					0
7009	7-9 君主之威	t_mission_name_7009	t_mission_desc_7009	1	7	ts_chapter07_02	1	6080	6090	0	0	6	10			102	700904	700901	700901	700905	700905	0						2	40040001	1	0	100	2	70010202	1	0	20	2	80020001	1	0	10											0
7010	7-10 大小姐！	t_mission_name_7010	t_mission_desc_7010	1	7	ts_chapter07_02	2	6090	7000	0	0	6	5			102	701003	701001	701001	701002	701002	0						2	40040001	1	0	100	2	70020202	1	0	20	2	80020001	1	0	10											0
8001	8-1 夹道欢迎	t_mission_name_8001	t_mission_desc_8001	1	8	ts_chapter08_01	0	7000	7010	0	0	6	99			104	800101	800101	800101	800101	800101	0						2	40040001	1	0	100																					0
8002	8-2 放逐巫女	t_mission_name_8002	t_mission_desc_8002	1	8	ts_chapter08_01	0	7010	7020	0	0	6	99			104	800201	800201	800201	800201	800201	0						2	40040001	1	0	100																					0
8003	8-3 鬼巫女I	t_mission_name_8003	t_mission_desc_8003	1	8	ts_chapter08_01	1	7020	7030	0	0	6	10			101	800303	800301	800301	800304	800304	0						2	40040001	1	0	100	2	40030012	1	0	65	2	80020001	1	0	10											0
8004	8-4 鬼巫女II	t_mission_name_8004	t_mission_desc_8004	1	8	ts_chapter08_01	0	7030	7040	0	0	6	99			102	800401	800401	800401	800402	800402	0						2	40040001	1	0	100																					0
8005	8-5 蛇妖I	t_mission_name_8005	t_mission_desc_8005	1	8	ts_chapter08_01	0	7040	7050	0	0	6	99			102	800501	800502	800502	800503	800503	0						2	40040001	1	0	100																					0
8006	8-6 蛇妖II	t_mission_name_8006	t_mission_desc_8006	1	8	ts_chapter08_02	1	7050	7060	0	0	6	10			102	800604	800601	800601	800605	800605	0						2	40040001	1	0	100	2	40030013	1	0	65	2	80020001	1	0	10											0
8007	8-7 雪女	t_mission_name_8007	t_mission_desc_8007	1	8	ts_chapter08_02	0	7060	7070	0	0	6	99			102	800701	800702	800702	800703	800703	0						2	40040001	1	0	100																					0
8008	8-8 鸟居之下	t_mission_name_8008	t_mission_desc_8008	1	8	ts_chapter08_02	0	7070	7080	0	0	6	99			102	800801	800802	800802	800803	800803	0						2	40040001	1	0	100																					0
8009	8-9 白蛇出现	t_mission_name_8009	t_mission_desc_8009	1	8	ts_chapter08_02	1	7080	7090	0	0	6	10			102	800903	800904	800904	800901	800901	0						2	40040001	1	0	100	2	70030202	1	0	20	2	80020001	1	0	10											0
8010	8-10 博丽大结界	t_mission_name_8010	t_mission_desc_8010	1	8	ts_chapter08_02	2	7090	8000	0	0	6	5			102	801004	801001	801001	801002	801002	0						2	40040001	1	0	100	2	70040202	1	0	20	2	80020001	1	0	10											0
9001	9-1 滴水成冰	t_mission_name_9001	t_mission_desc_9001	1	9	ts_chapter09_01	0	8000	8010	0	0	6	99			104	900101	900101	900101	900101	900101	0						2	40040001	1	0	100																					0
9002	9-2 似曾相识	t_mission_name_9002	t_mission_desc_9002	1	9	ts_chapter09_01	0	8010	8020	0	0	6	99			104	900201	900201	900201	900201	900201	0						2	40040001	1	0	100																					0
9003	9-3 扑朔迷离I	t_mission_name_9003	t_mission_desc_9003	1	9	ts_chapter09_01	1	8020	8030	0	0	6	10			101	900303	900301	900301	900302	900302	0						2	40040001	1	0	100	2	40030011	1	0	65	2	80020001	1	0	10											0
9004	9-4 扑朔迷离II	t_mission_name_9004	t_mission_desc_9004	1	9	ts_chapter09_01	0	8030	8040	0	0	6	99			101	900401	900402	900402	900403	900403	0						2	40040001	1	0	100																					0
9005	9-5 扑朔迷离III	t_mission_name_9005	t_mission_desc_9005	1	9	ts_chapter09_01	0	8040	8050	0	0	6	99			101	900501	900501	900501	900502	900502	0						2	40040001	1	0	100																					0
9006	9-6 卧倒	t_mission_name_9006	t_mission_desc_9006	1	9	ts_chapter09_02	1	8050	8060	0	0	6	10			101	900604	900601	900601	900602	900602	0						2	40040001	1	0	100	2	40030012	1	0	65	2	80020001	1	0	10											0
9007	9-7 魔能势力I	t_mission_name_9007	t_mission_desc_9007	1	9	ts_chapter09_02	0	8060	8070	0	0	6	99			102	900701	900702	900702	900703	900703	0						2	40040001	1	0	100																					0
9008	9-8 魔能势力II	t_mission_name_9008	t_mission_desc_9008	1	9	ts_chapter09_02	0	8070	8080	0	0	6	99			102	900801	900802	900802	900803	900803	0						2	40040001	1	0	100																					0
9009	9-9 冰冻之下	t_mission_name_9009	t_mission_desc_9009	1	9	ts_chapter09_02	1	8080	8090	0	0	6	10			102	900904	900901	900901	900905	900905	0						2	40040001	1	0	100	2	70010203	1	0	20	2	80020001	1	0	10											0
9010	9-10 绿发妹子？	t_mission_name_9010	t_mission_desc_9010	1	9	ts_chapter09_02	2	8090	9000	0	0	6	5			102	901004	901001	901001	901002	901002	0						2	40040001	1	0	100	2	70020203	1	0	20	2	80020001	1	0	10											0
10001	10-1 抵达	t_mission_name_10001	t_mission_desc_10001	1	10	ts_chapter10_01	0	9000	9010	0	0	6	99			104	1000101	1000101	1000101	1000101	1000101	0						2	40040001	1	0	100																					0
10002	10-2 不明武装	t_mission_name_10002	t_mission_desc_10002	1	10	ts_chapter10_01	0	9010	9020	0	0	6	99			104	1000201	1000201	1000201	1000201	1000201	0						2	40040001	1	0	100																					0
10003	10-3 逃兵？	t_mission_name_10003	t_mission_desc_10003	1	10	ts_chapter10_01	1	9020	9030	0	0	6	10			101	1000303	1000301	1000301	1000302	1000302	0						2	40040001	1	0	100	2	40030013	1	0	65	2	80020001	1	0	10											0
10004	10-4 玩忽职守	t_mission_name_10004	t_mission_desc_10004	1	10	ts_chapter10_01	0	9030	9040	0	0	6	99			103	1000401	1000402	1000402	1000402	1000402	0						2	40040001	1	0	100																					0
10005	10-5 偶像宅真可怕I	t_mission_name_10005	t_mission_desc_10005	1	10	ts_chapter10_01	0	9040	9050	0	0	6	99			103	1000501	1000502	1000502	1000502	1000502	0						2	40040001	1	0	100																					0
10006	10-6 偶像宅真可怕II	t_mission_name_10006	t_mission_desc_10006	1	10	ts_chapter10_02	1	9050	9060	0	0	6	10			102	1000603	1000604	1000604	1000602	1000602	0						2	40040001	1	0	100	2	40030011	1	0	65	2	80020001	1	0	10											0
10007	10-7 偶像宅真可怕III	t_mission_name_10007	t_mission_desc_10007	1	10	ts_chapter10_02	0	9060	9070	0	0	6	99			101	1000701	1000701	1000701	1000702	1000702	0						2	40040001	1	0	100																					0
10008	10-8 公主殿下I	t_mission_name_10008	t_mission_desc_10008	1	10	ts_chapter10_02	0	9070	9080	0	0	6	99			102	1000801	1000802	1000802	1000803	1000803	0						2	40040001	1	0	100																					0
10009	10-9 公主殿下II	t_mission_name_10009	t_mission_desc_10009	1	10	ts_chapter10_02	1	9080	9090	0	0	6	10			102	1000903	1000901	1000901	1000904	1000904	0						2	40040001	1	0	100	2	70030203	1	0	20	2	80020001	1	0	10											0
10010	10-10 公主殿下III	t_mission_name_10010	t_mission_desc_10010	1	10	ts_chapter10_02	2	9090	10000	0	0	6	5			102	1001004	1001001	1001001	1001005	1001005	0						2	40040001	1	0	100	2	70040203	1	0	20	2	80020001	1	0	10											0
11001	11-1 初次试探	t_mission_name_11001	t_mission_desc_11001	1	11	ts_chapter01	0	10000	10010	0	0	6	99			104	1100101	1100101	1100101	1100101	1100101	0						2	40040001	2	0	100																					0
11002	11-2 二次试探	t_mission_name_11002	t_mission_desc_11002	1	11	ts_chapter01	0	10010	10020	0	0	6	99			104	1100201	1100201	1100201	1100201	1100201	0						2	40040001	2	0	100																					0
11003	11-3 代号歼灭	t_mission_name_11003	t_mission_desc_11003	1	11	ts_chapter01	1	10020	10030	0	0	6	10			101	1100303	1100302	1100302	1100301	1100301	0						2	40040001	2	0	100	2	40030012	1	0	65	2	80020001	1	0	10											0
11004	11-4 实战测试I	t_mission_name_11004	t_mission_desc_11004	1	11	ts_chapter01	0	10030	10040	0	0	6	99			101	1100401	1100402	1100402	1100401	1100401	0						2	40040001	2	0	100																					0
11005	11-5 实战测试II	t_mission_name_11005	t_mission_desc_11005	1	11	ts_chapter01	0	10040	10050	0	0	6	99			101	1100501	1100501	1100501	1100502	1100502	0						2	40040001	2	0	100																					0
11006	11-6 实战测试III	t_mission_name_11006	t_mission_desc_11006	1	11	ts_chapter01	1	10050	10060	0	0	6	10			101	1100602	1100603	1100603	1100604	1100604	0						2	40040001	2	0	100	2	40030013	1	0	65	2	80020001	1	0	10											0
11007	11-7 合金训练I	t_mission_name_11007	t_mission_desc_11007	1	11	ts_chapter01	0	10060	10070	0	0	6	99			104	1100701	1100702	1100702	1100702	1100702	0						2	40040001	2	0	100																					0
11008	11-8 合金训练II	t_mission_name_11008	t_mission_desc_11008	1	11	ts_chapter01	0	10070	10080	0	0	6	99			101	1100801	1100801	1100801	1100802	1100802	0						2	40040001	2	0	100																					0
11009	11-9 合金训练III	t_mission_name_11009	t_mission_desc_11009	1	11	ts_chapter01	1	10080	10090	0	0	6	10			101	1100904	1100902	1100902	1100901	1100901	0						2	40040001	2	0	100	2	70010205	1	0	20	2	80020001	1	0	10											0
11010	11-10 玩脱了？	t_mission_name_11010	t_mission_desc_11010	1	11	ts_chapter01	2	10090	11000	0	0	6	5			102	1101004	1101001	1101001	1101002	1101002	0						2	40040001	2	0	100	2	70020205	1	0	20	2	80020001	1	0	10											0
12001	12-1 探路I	t_mission_name_12001	t_mission_desc_12001	1	12	ts_chapter02	0	11000	11010	0	0	6	99			104	1200101	1200101	1200101	1200101	1200101	0						2	40040001	2	0	100																					0
12002	12-2 探路II	t_mission_name_12002	t_mission_desc_12002	1	12	ts_chapter02	0	11010	11020	0	0	6	99			104	1200201	1200201	1200201	1200201	1200201	0						2	40040001	2	0	100																					0
12003	12-3 探路III	t_mission_name_12003	t_mission_desc_12003	1	12	ts_chapter02	1	11020	11030	0	0	6	10			101	1200303	1200301	1200301	1200302	1200302	0						2	40040001	2	0	100	2	40030011	1	0	65	2	80020001	1	0	10											0
12004	12-4 渗透	t_mission_name_12004	t_mission_desc_12004	1	12	ts_chapter02	0	11030	11040	0	0	6	99			101	1200401	1200401	1200401	1200402	1200402	0						2	40040001	2	0	100																					0
12005	12-5 杂兵而已	t_mission_name_12005	t_mission_desc_12005	1	12	ts_chapter02	0	11040	11050	0	0	6	99			101	1200501	1200501	1200501	1200502	1200502	0						2	40040001	2	0	100																					0
12006	12-6 What?	t_mission_name_12006	t_mission_desc_12006	1	12	ts_chapter02	1	11050	11060	0	0	6	10			102	1200604	1200601	1200601	1200602	1200602	0						2	40040001	2	0	100	2	40030012	1	0	65	2	80020001	1	0	10											0
12007	12-7 副手太多I	t_mission_name_12007	t_mission_desc_12007	1	12	ts_chapter02	0	11060	11070	0	0	6	99			102	1200701	1200702	1200702	1200703	1200703	0						2	40040001	2	0	100																					0
12008	12-8 副手太多II	t_mission_name_12008	t_mission_desc_12008	1	12	ts_chapter02	0	11070	11080	0	0	6	99			101	1200801	1200801	1200801	1200802	1200802	0						2	40040001	2	0	100																					0
12009	12-9 左膀右臂	t_mission_name_12009	t_mission_desc_12009	1	12	ts_chapter02	1	11080	11090	0	0	6	10			101	1200904	1200901	1200901	1200902	1200902	0						2	40040001	2	0	100	2	70030205	1	0	20	2	80020001	1	0	10											0
12010	12-10 Exciting!!!	t_mission_name_12010	t_mission_desc_12010	1	12	ts_chapter02	2	11090	12000	0	0	6	5			102	1201004	1201001	1201001	1201005	1201005	0						2	40040001	2	0	100	2	70040205	1	0	20	2	80020001	1	0	10											0
13001	13-1 机甲潮	t_mission_name_13001	t_mission_desc_13001	1	13	ts_chapter03_01	0	12000	12010	0	0	6	99			104	1300101	1300101	1300101	1300101	1300101	0						2	40040001	2	0	100																					0
13002	13-2 枪炮主义	t_mission_name_13002	t_mission_desc_13002	1	13	ts_chapter03_01	0	12010	12020	0	0	6	99			104	1300201	1300201	1300201	1300201	1300201	0						2	40040001	2	0	100																					0
13003	13-3 天使陨落I	t_mission_name_13003	t_mission_desc_13003	1	13	ts_chapter03_01	1	12020	12030	0	0	6	10			102	1300302	1300303	1300303	1300304	1300304	0						2	40040001	2	0	100	2	40030013	1	0	65	2	80020001	1	0	10											0
13004	13-4 天使陨落II	t_mission_name_13004	t_mission_desc_13004	1	13	ts_chapter03_01	0	12030	12040	0	0	6	99			101	1300401	1300401	1300401	1300402	1300402	0						2	40040001	2	0	100																					0
13005	13-5 天使陨落III	t_mission_name_13005	t_mission_desc_13005	1	13	ts_chapter03_01	0	12040	12050	0	0	6	99			101	1300501	1300501	1300501	1300502	1300502	0						2	40040001	2	0	100																					0
13006	13-6 抱头蹲防	t_mission_name_13006	t_mission_desc_13006	1	13	ts_chapter03_02	1	12050	12060	0	0	6	10			102	1300602	1300603	1300603	1300604	1300604	0						2	40040001	2	0	100	2	40030011	1	0	65	2	80020001	1	0	10											0
13007	13-7 矿工梯队I	t_mission_name_13007	t_mission_desc_13007	1	13	ts_chapter03_02	0	12060	12070	0	0	6	99			103	1300701	1300702	1300702	1300702	1300702	0						2	40040001	2	0	100																					0
13008	13-8 矿工梯队II	t_mission_name_13008	t_mission_desc_13008	1	13	ts_chapter03_02	0	12070	12080	0	0	6	99			101	1300801	1300801	1300801	1300802	1300802	0						2	40040001	2	0	100																					0
13009	13-9 警戒部队	t_mission_name_13009	t_mission_desc_13009	1	13	ts_chapter03_02	1	12080	12090	0	0	6	10			102	1300904	1300901	1300901	1300902	1300902	0						2	40040001	2	0	100	2	40030012	1	0	65	2	80020001	1	0	10											0
13010	13-10 又见射手	t_mission_name_13010	t_mission_desc_13010	1	13	ts_chapter03_02	2	12090	13000	0	0	6	5			102	1301004	1301001	1301001	1301002	1301002	0						2	40040001	2	0	100	2	70010301	1	0	10	2	80020001	1	0	10											0
14001	14-1 魔能势力I	t_mission_name_14001	t_mission_desc_14001	1	14	ts_chapter04_01	0	13000	13010	0	0	6	99			104	1400101	1400101	1400101	1400101	1400101	0						2	40040001	2	0	100																					0
14002	14-2 魔能势力II	t_mission_name_14002	t_mission_desc_14002	1	14	ts_chapter04_01	0	13010	13020	0	0	6	99			104	1400201	1400201	1400201	1400201	1400201	0						2	40040001	2	0	100																					0
14003	14-3 魔能势力III	t_mission_name_14003	t_mission_desc_14003	1	14	ts_chapter04_01	1	13020	13030	0	0	6	10			101	1400303	1400301	1400301	1400302	1400302	0						2	40040001	2	0	100	2	40030013	1	0	65	2	80020001	1	0	10											0
14004	14-4 混合组织	t_mission_name_14004	t_mission_desc_14004	1	14	ts_chapter04_01	0	13030	13040	0	0	6	99			103	1400401	1400402	1400402	1400402	1400402	0						2	40040001	2	0	100																					0
