INT	STRING	STRING	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1504	15品4级	t_role_shengpin_1504	1505	90	4.4	4.4	4.4	4.4	3.6	2.25	2.25	2.25	2.25	2.25	5	1	3	12	9000			12000000	1
1505	15品5级	t_role_shengpin_1505	1600	90	4.4	4.4	4.4	4.4	4.4	2.25	2.25	2.25	2.25	2.25	5	1	3	12		100		12000000	1
1600	16品	t_role_shengpin_1600	1601	90	4.6	4.6	4.6	4.6	4.6	2.5	2.5	2.5	2.5	2.5	5	1	3	35			400	12000000	1
1601	16品1级	t_role_shengpin_1601	1602	100	5.56	4.6	4.6	4.6	4.6	2.5	2.5	2.5	2.5	2.5	5	1	4	14	10000			13000000	2
1602	16品2级	t_role_shengpin_1602	1603	100	5.56	5.56	4.6	4.6	4.6	2.5	2.5	2.5	2.5	2.5	5	1	4	14		110		13000000	1
1603	16品3级	t_role_shengpin_1603	1604	100	5.56	5.56	5.56	4.6	4.6	2.5	2.5	2.5	2.5	2.5	5	1	4	14			240	13000000	1
1604	16品4级	t_role_shengpin_1604	1605	100	5.56	5.56	5.56	5.56	4.6	2.5	2.5	2.5	2.5	2.5	5	1	4	14	11000			14000000	1
1605	16品5级	t_role_shengpin_1605	1700	100	5.56	5.56	5.56	5.56	5.56	2.5	2.5	2.5	2.5	2.5	5	1	4	14		120		14000000	1
1700	17品	t_role_shengpin_1700	1701	100	5.8	5.8	5.8	5.8	5.8	2.75	2.75	2.75	2.75	2.75	6	1	5	40			480	14000000	3
1701	17品1级	t_role_shengpin_1701	1702	110	6.92	5.8	5.8	5.8	5.8	2.75	2.75	2.75	2.75	2.75	6	1	5	16	12000			15000000	1
1702	17品2级	t_role_shengpin_1702	1703	110	6.92	6.92	5.8	5.8	5.8	2.75	2.75	2.75	2.75	2.75	6	1	5	16		130		15000000	1
1703	17品3级	t_role_shengpin_1703	1704	110	6.92	6.92	6.92	5.8	5.8	2.75	2.75	2.75	2.75	2.75	6	1	5	16			280	15000000	1
1704	17品4级	t_role_shengpin_1704	1705	110	6.92	6.92	6.92	6.92	5.8	2.75	2.75	2.75	2.75	2.75	6	1	5	16	13000			16000000	1
1705	17品5级	t_role_shengpin_1705	1800	110	6.92	6.92	6.92	6.92	6.92	2.75	2.75	2.75	2.75	2.75	6	1	5	16		140		16000000	1
1800	18品	t_role_shengpin_1800	1801	110	7.2	7.2	7.2	7.2	7.2	3	3	3	3	3	6	2	6	18			560	16000000	2
1801	18品1级	t_role_shengpin_1801	1802	130	9.28	7.2	7.2	7.2	7.2	3	3	3	3	3	6	2	6	18	14000			17000000	1
1802	18品2级	t_role_shengpin_1802	1803	130	9.28	9.28	7.2	7.2	7.2	3	3	3	3	3	6	2	6	18		150		17000000	1
1803	18品3级	t_role_shengpin_1803	1804	130	9.28	9.28	9.28	7.2	7.2	3	3	3	3	3	6	2	6	18			320	17000000	1
1804	18品4级	t_role_shengpin_1804	1805	130	9.28	9.28	9.28	9.28	7.2	3	3	3	3	3	6	2	6	18	15000			18000000	1
1805	18品5级	t_role_shengpin_1805	1900	130	9.28	9.28	9.28	9.28	9.28	3	3	3	3	3	6	2	6	18		160		18000000	1
1900	19品	t_role_shengpin_1900	1901	130	9.8	9.8	9.8	9.8	9.8	3.25	3.25	3.25	3.25	3.25	6	2	7	45			640	18000000	2
1901	19品1级	t_role_shengpin_1901	1902	150	11.24	9.8	9.8	9.8	9.8	3.25	3.25	3.25	3.25	3.25	6	2	7	20	16000			19000000	1
1902	19品2级	t_role_shengpin_1902	1903	150	11.24	11.24	9.8	9.8	9.8	3.25	3.25	3.25	3.25	3.25	6	2	7	20		170		19000000	1
1903	19品3级	t_role_shengpin_1903	1904	150	11.24	11.24	11.24	9.8	9.8	3.25	3.25	3.25	3.25	3.25	6	2	7	20			360	19000000	1
1904	19品4级	t_role_shengpin_1904	1905	150	11.24	11.24	11.24	11.24	9.8	3.25	3.25	3.25	3.25	3.25	6	2	7	20	17000			20000000	1
1905	19品5级	t_role_shengpin_1905	2000	150	11.24	11.24	11.24	11.24	11.24	3.25	3.25	3.25	3.25	3.25	6	2	7	20		180		20000000	1
2000	20品	t_role_shengpin_2000	0	150	11.6	11.6	11.6	11.6	11.6	3.5	3.5	3.5	3.5	3.5	6	2	8	50			720	20000000	2
