INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
101003	青梅竹马	t_huoban_name_101003	1	100				6	16		
101004	亦敌亦友	t_huoban_name_101004	1	66				7	16		
101005	秘银战甲	t_equip_name_20302	2	20302				6	12		
101007	紫云护符	t_baowu_name_3004	3	3004				6	12		
201001	傲娇组	t_huoban_name_201001	1	502	203	401	406	6	32	7	32
201002	福音战士	t_huoban_name_201002	1	205				30	18		
201003	基地王牌	t_huoban_name_201003	1	202				10	18		
201004	调戏新人	t_huoban_name_201004	1	100				7	17		
201005	闪电之光	t_equip_name_10403	2	10403				7	14		
201006	大天使之刃	t_equip_name_10501	2	10501				7	15		
201007	荣耀之戒	t_baowu_name_4002	3	4002				6	14		
201008	明光之戒	t_baowu_name_5002	3	5002				6	15		
202001	王的庇护	t_huoban_name_202001	1	400				30	24		
202002	聚人心	t_huoban_name_202002	1	215	403	404		6	24	30	24
202003	基地王牌	t_huoban_name_202003	1	201				6	18		
202004	调教新人	t_huoban_name_202004	1	100				7	17		
202005	炽光战甲	t_equip_name_20404	2	20404				6	14		
202006	大天使战甲	t_equip_name_20501	2	20501				6	15		
202007	荣耀护符	t_baowu_name_4004	3	4004				6	14		
202008	明光护符	t_baowu_name_5004	3	5004				6	15		
203001	傲娇组	t_huoban_name_203001	1	502	201	401	406	6	32	7	32
203002	平天下	t_huoban_name_203002	1	204				30	18		
203003	姐妹情深	t_huoban_name_203003	1	214				10	18		
203004	哔哩哔哩	t_huoban_name_203004	1	59				7	17		
203005	雷鸣手枪	t_equip_name_10405	2	10405				7	14		
203006	大天使之刃	t_equip_name_10501	2	10501				7	15		
203007	荣耀之戒	t_baowu_name_4002	3	4002				6	14		
203008	明光之戒	t_baowu_name_5002	3	5002				6	15		
204001	三无少女	t_huoban_name_204001	1	205	403			30	20	7	20
204002	终极兵器	t_huoban_name_204002	1	6	7	8		6	20	30	20
204003	百合之魂	t_huoban_name_204003	1	406				7	18		
204004	双马尾	t_huoban_name_204004	1	212				10	18		
204005	混元镰刀	t_equip_name_10406	2	10406				7	14		
204006	大天使之刃	t_equip_name_10501	2	10501				7	15		
204007	荣耀徽章	t_baowu_name_4003	3	4003				7	14		
204008	明光徽章	t_baowu_name_5003	3	5003				7	15		
205001	克隆分身	t_huoban_name_205001	1	501				30	24		
205002	潜能激发	t_huoban_name_205002	1	504				7	24		
205003	三无少女	t_huoban_name_205003	1	204	403			6	20	7	20
205004	福音战士	t_huoban_name_205004	1	201				10	18		
205005	永恒巨剑	t_equip_name_10401	2	10401				7	14		
205006	大天使之刃	t_equip_name_10501	2	10501				7	15		
205007	荣耀之链	t_baowu_name_4001	3	4001				7	14		
205008	明光之链	t_baowu_name_5001	3	5001				7	15		
206001	歌姬计划	t_huoban_name_206001	1	504	212			6	24	30	24
206002	黑色回忆	t_huoban_name_206002	1	211				6	18		
206003	性感诱惑	t_huoban_name_206003	1	404				30	18		
206004	垂帘听政	t_huoban_name_206004	1	27				7	17		
206005	晶铸战甲	t_equip_name_20402	2	20402				6	14		
206006	大天使战甲	t_equip_name_20501	2	20501				6	15		
206007	荣耀护符	t_baowu_name_4004	3	4004				6	14		
206008	明光护符	t_baowu_name_5004	3	5004				6	15		
207001	双持攻击	t_huoban_name_207001	1	503	406			6	24	7	24
207002	小巧玲珑	t_huoban_name_207002	1	401				7	18		
207003	护卫庭师	t_huoban_name_207003	1	208				30	18		
207004	疑神疑鬼	t_huoban_name_207004	1	62				10	17		
207005	闪电之光	t_equip_name_10403	2	10403				7	14		
207006	大天使之刃	t_equip_name_10501	2	10501				7	15		
207007	荣耀之链	t_baowu_name_4001	3	4001				7	14		
207008	明光之链	t_baowu_name_5001	3	5001				7	15		
208001	粉毛	t_huoban_name_208001	1	504	403	406		6	28	7	28
208002	好朋友	t_huoban_name_208002	1	215				7	18		
208003	护卫庭师	t_huoban_name_208003	1	207				10	18		
208004	物魔双免	t_huoban_name_208004	1	211				30	18		
208005	炽光之锤	t_equip_name_10404	2	10404				7	14		
208006	大天使之刃	t_equip_name_10501	2	10501				7	15		
208007	荣耀护符	t_baowu_name_4004	3	4004				6	14		
208008	明光护符	t_baowu_name_5004	3	5004				6	15		
209001	冥界约战	t_huoban_name_209001	1	207	208			6	20	7	20
209002	结界组	t_huoban_name_209002	1	215				30	18		
209003	斩妖除魔	t_huoban_name_209003	1	402				7	18		
209004	红与白	t_huoban_name_209004	1	404				10	18		
209005	雷鸣手枪	t_equip_name_10405	2	10405				7	14		
209006	大天使之刃	t_equip_name_10501	2	10501				7	15		
209007	荣耀之戒	t_baowu_name_4002	3	4002				6	14		
209008	明光之戒	t_baowu_name_5002	3	5002				6	15		
211001	魔女修养	t_huoban_name_211001	1	501				7	24		
211002	不老不死	t_huoban_name_211002	1	208	215			6	20	7	20
211003	黑色回忆	t_huoban_name_211003	1	206				10	18		
211004	绿意盎然	t_huoban_name_211004	1	212				30	18		
211005	混元镰刀	t_equip_name_10406	2	10406				7	14		
211006	大天使之刃	t_equip_name_10501	2	10501				7	15		
211007	荣耀护符	t_baowu_name_4004	3	4004				6	14		
211008	明光护符	t_baowu_name_5004	3	5004				6	15		
212001	歌姬计划	t_huoban_name_212001	1	504	206			6	24	7	24
212002	绿意盎然	t_huoban_name_212002	1	211				30	18		
212003	双马尾	t_huoban_name_212003	1	204				10	18		
212004	小小梦想	t_huoban_name_212004	1	101				7	17		
212005	永恒巨剑	t_equip_name_10401	2	10401				7	14		
212006	大天使之刃	t_equip_name_10501	2	10501				7	15		
212007	荣耀之链	t_baowu_name_4001	3	4001				7	14		
212008	明光之链	t_baowu_name_5001	3	5001				7	15		
213001	本体呆毛	t_huoban_name_213001	1	400				6	24		
213002	痴女	t_huoban_name_213002	1	214	404			6	20	30	20
213003	天空之城	t_huoban_name_213003	1	403				30	18		
213004	似曾相识	t_huoban_name_213004	1	7				7	18		
213005	闪电战甲	t_equip_name_20403	2	20403				6	15		
213006	大天使战甲	t_equip_name_20501	2	20501				6	15		
213007	荣耀护符	t_baowu_name_4004	3	4004				6	14		
213008	明光护符	t_baowu_name_5004	3	5004				6	15		
214001	投掷攻击	t_huoban_name_214001	1	404	405			6	20	7	20
214002	姐妹情深	t_huoban_name_214002	1	203				30	18		
214003	蝴蝶结	t_huoban_name_214003	1	209				7	18		
214004	瞬间移动	t_huoban_name_214004	1	402				10	18		
214005	炽光之锤	t_equip_name_10404	2	10404				7	14		
214006	大天使之刃	t_equip_name_10501	2	10501				7	15		
214007	荣耀之戒	t_baowu_name_4002	3	4002				6	14		
214008	明光之戒	t_baowu_name_5002	3	5002				6	15		
215001	聚人心	t_huoban_name_215001	1	202	403	404		6	24	30	24
215002	好朋友	t_huoban_name_215002	1	208				6	18		
215003	好同事	t_huoban_name_215003	1	209				7	18		
215004	千年魔女	t_huoban_name_215004	1	211				30	18		
215005	雷鸣战甲	t_equip_name_20405	2	20405				6	14		
215006	大天使战甲	t_equip_name_20501	2	20501				6	15		
215007	荣耀护符	t_baowu_name_4004	3	4004				6	14		
215008	明光护符	t_baowu_name_5004	3	5004				6	15		
401001	傲娇组	t_huoban_name_401001	1	502	201	203	406	6	32	7	32
401002	炙热火焰	t_huoban_name_401002	1	404				7	18		
401003	永恒的爱	t_huoban_name_401003	1	211				30	18		
401004	赤炎恶魔	t_huoban_name_401004	1	57				10	17		
401005	闪电之光	t_equip_name_10403	2	10403				7	14		
401006	大天使之刃	t_equip_name_10501	2	10501				7	15		
401007	荣耀之链	t_baowu_name_4001	3	4001				7	14		
401008	明光之链	t_baowu_name_5001	3	5001				7	15		
402001	虚拟现实	t_huoban_name_402001	1	500				7	24		
402002	降妖除魔	t_huoban_name_402002	1	209	401			6	20	7	20
402003	偶像大师	t_huoban_name_402003	1	212				30	18		
402004	模仿大赛	t_huoban_name_402004	1	213				10	18		
402005	炽光之锤	t_equip_name_10404	2	10404				7	14		
402006	大天使之刃	t_equip_name_10501	2	10501				7	15		
402007	荣耀徽章	t_baowu_name_4003	3	4003				7	14		
402008	明光徽章	t_baowu_name_5003	3	5003				7	15		
403001	聚人心	t_huoban_name_403001	1	404	202	215		6	24	30	24
403002	忠诚	t_huoban_name_403002	1	400				6	18		
403003	机娘	t_huoban_name_403003	1	204				7	18		
403004	天神之仆	t_huoban_name_403004	1	35				30	17		
403005	雷鸣战甲	t_equip_name_20405	2	20405				6	14		
403006	大天使战甲	t_equip_name_20501	2	20501				6	15		
403007	荣耀之戒	t_baowu_name_4002	3	4002				6	14		
403008	明光之戒	t_baowu_name_5002	3	5002				6	15		
404001	名花有主	t_huoban_name_404001	1	500				6	24		
404002	聚人心	t_huoban_name_404002	1	202	215	403		6	24	30	24
404003	性感诱惑	t_huoban_name_404003	1	206				30	18		
404004	炙热火焰	t_huoban_name_404004	1	401				7	18		
404005	混元战甲	t_equip_name_20406	2	20406				6	14		
404006	大天使战甲	t_equip_name_20501	2	20501				6	15		
404007	荣耀护符	t_baowu_name_4004	3	4004				6	14		
404008	明光护符	t_baowu_name_5004	3	5004				6	15		
405001	投掷攻击	t_huoban_name_405001	1	214	404			6	20	7	20
405002	时间操纵	t_huoban_name_405002	1	501				10	18		
405003	银刃	t_huoban_name_405003	1	207				7	18		
405004	女仆修养	t_huoban_name_405004	1	35				30	18		
405005	混元镰刀	t_equip_name_10406	2	10406				7	14		
405006	大天使之刃	t_equip_name_10501	2	10501				7	15		
405007	荣耀之戒	t_baowu_name_4002	3	4002				6	14		
405008	明光之戒	t_baowu_name_5002	3	5002				6	15		
406001	傲娇组	t_huoban_name_406001	1	502	201	203	401	6	32	7	32
406002	枪手	t_huoban_name_406002	1	501				7	24		
406003	百合之魂	t_huoban_name_406003	1	204				10	18		
406004	枪炮玫瑰	t_huoban_name_406004	1	7				30	17		
406005	永恒巨剑	t_equip_name_10401	2	10401				7	14		
406006	大天使之刃	t_equip_name_10501	2	10501				7	15		
406007	荣耀徽章	t_baowu_name_4003	3	4003				7	14		
406008	明光徽章	t_baowu_name_5003	3	5003				7	15		
400001	骑士荣耀	t_huoban_name_400001	1	500				7	24		
400002	圣杯战争	t_huoban_name_400002	1	502				6	24		
400003	胜利之剑	t_huoban_name_400003	1	202	206	402		6	28	30	28
400004	忠诚	t_huoban_name_400004	1	403				30	24		
400005	晶铸战甲	t_equip_name_20402	2	20402				6	14		
400006	大天使战甲	t_equip_name_20501	2	20501				6	15		
400007	荣耀护符	t_baowu_name_4004	3	4004				6	14		
400008	明光护符	t_baowu_name_5004	3	5004				6	15		
500001	刀光剑影	t_huoban_name_500001	1	503				7	24		
500002	穿刺	t_huoban_name_500002	1	205	403			6	24	7	24
500003	名花有主	t_huoban_name_500003	1	404				30	24		
500004	虚拟现实	t_huoban_name_500004	1	402				10	24		
500005	永恒巨剑	t_equip_name_10401	2	10401				7	14		
500006	大天使之刃	t_equip_name_10501	2	10501				7	15		
500007	荣耀之戒	t_baowu_name_4002	3	4002				6	14		
500008	明光之戒	t_baowu_name_5002	3	5002				6	15		
501001	马尾集结	t_huoban_name_501001	1	204	212	406		6	28	7	28
501002	反差萌	t_huoban_name_501002	1	503				7	24		
501003	克隆分身	t_huoban_name_501003	1	205				30	24		
501004	时间操纵	t_huoban_name_501004	1	405				10	24		
501005	晶铸之枪	t_equip_name_10402	2	10402				7	14		
501006	大天使之刃	t_equip_name_10501	2	10501				7	15		
501007	荣耀之链	t_baowu_name_4001	3	4001				7	14		
501008	明光之链	t_baowu_name_5001	3	5001				7	15		
502001	傲娇组	t_huoban_name_502001	1	201	203	401	406	6	32	7	32
502002	圣杯战争	t_huoban_name_502002	1	400				30	24		
502003	颜艺担当	t_huoban_name_502003	1	209				7	24		
502004	魔术师	t_huoban_name_502004	1	402				10	24		
502005	晶铸之枪	t_equip_name_10402	2	10402				7	14		
502006	大天使之刃	t_equip_name_10501	2	10501				7	15		
502007	荣耀护符	t_baowu_name_4004	3	4004				6	14		
502008	明光护符	t_baowu_name_5004	3	5004				6	15		
503001	刀光剑影	t_huoban_name_503001	1	500				10	24		
503002	双持攻击	t_huoban_name_503002	1	207	406			6	24	7	24
503003	名列前茅	t_huoban_name_503003	1	209				30	24		
503004	反差萌	t_huoban_name_503004	1	501				7	24		
503005	闪电之光	t_equip_name_10403	2	10403				7	14		
503006	大天使之刃	t_equip_name_10501	2	10501				7	15		
503007	荣耀之链	t_baowu_name_4001	3	4001				7	14		
503008	明光之链	t_baowu_name_5001	3	5001				7	15		
504001	天然呆	t_huoban_name_504001	1	400				6	24		
504002	歌姬计划	t_huoban_name_504002	1	206	212			6	24	30	24
504003	粉色马尾	t_huoban_name_504003	1	406				30	24		
504004	复制人	t_huoban_name_504004	1	205				7	24		
504005	炽光战甲	t_equip_name_20404	2	20404				6	14		
504006	大天使战甲	t_equip_name_20501	2	20501				6	15		
504007	荣耀之戒	t_baowu_name_4002	3	4002				6	14		
504008	明光之戒	t_baowu_name_5002	3	5002				6	15		
505001	战斗双煞	t_huoban_name_505001	1	503				10	24		
505002	双手空空	t_huoban_name_505002	1	502	504			6	24	7	24
505003	重生姐妹	t_huoban_name_505003	1	400				30	24		
505004	反差萌	t_huoban_name_505004	1	501				7	24		
505005	闪电之光	t_equip_name_10403	2	10403				7	14		
505006	大天使之刃	t_equip_name_10501	2	10501				7	15		
505007	荣耀之链	t_baowu_name_4001	3	4001				7	14		
505008	明光之链	t_baowu_name_5001	3	5001				7	15		
