INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
40020401	无限狙击	t_role_skillunlock_40020401	204	4	4	500			9	1500			11	18										
40020401	无限狙击	t_role_skillunlock_40020401	204	5	5	200			10	2	30		11	25										
40020501	荆棘之躯	t_role_skillunlock_40020501	205	1	1	1000			6	65			11	2			12	205003						
40020501	荆棘之躯	t_role_skillunlock_40020501	205	2	2	1000			8	8			11	6										
40020501	荆棘之躯	t_role_skillunlock_40020501	205	3	3	500			7	12			11	12										
40020501	荆棘之躯	t_role_skillunlock_40020501	205	4	4	500			9	1500			11	18										
40020501	荆棘之躯	t_role_skillunlock_40020501	205	5	5	200			10	3	30		11	25										
40020601	潜龙之击	t_role_skillunlock_40020601	206	1	1	1000			6	65			11	2			12	206003						
40020601	潜龙之击	t_role_skillunlock_40020601	206	2	2	1000			8	8			11	6										
40020601	潜龙之击	t_role_skillunlock_40020601	206	3	3	500			7	12			11	12										
40020601	潜龙之击	t_role_skillunlock_40020601	206	4	4	500			9	1500			11	18										
40020601	潜龙之击	t_role_skillunlock_40020601	206	5	5	200			10	1	30		11	25										
40020701	凶神罗刹	t_role_skillunlock_40020701	207	1	1	1000			6	65			11	2			12	207003						
40020701	凶神罗刹	t_role_skillunlock_40020701	207	2	2	1000			8	8			11	6										
40020701	凶神罗刹	t_role_skillunlock_40020701	207	3	3	500			7	12			11	12										
40020701	凶神罗刹	t_role_skillunlock_40020701	207	4	4	500			9	1500			11	18										
40020701	凶神罗刹	t_role_skillunlock_40020701	207	5	5	200			10	0	30		11	25										
40020801	樱之未来	t_role_skillunlock_40020801	208	1	1	1000			6	65			11	2			12	208003						
40020801	樱之未来	t_role_skillunlock_40020801	208	2	2	1000			8	8			11	6										
40020801	樱之未来	t_role_skillunlock_40020801	208	3	3	500			7	12			11	12										
40020801	樱之未来	t_role_skillunlock_40020801	208	4	4	500			9	1500			11	18										
40020801	樱之未来	t_role_skillunlock_40020801	208	5	5	200			10	5	30		11	25										
40020901	天神下凡	t_role_skillunlock_40020901	209	1	1	1000			6	65			11	2			12	209003						
40020901	天神下凡	t_role_skillunlock_40020901	209	2	2	1000			8	8			11	6										
40020901	天神下凡	t_role_skillunlock_40020901	209	3	3	500			7	12			11	12										
40020901	天神下凡	t_role_skillunlock_40020901	209	4	4	500			9	1500			11	18										
40020901	天神下凡	t_role_skillunlock_40020901	209	5	5	200			10	3	30		11	25										
40021101	魔女之爱	t_role_skillunlock_40021101	211	1	1	1000			6	65			11	2			12	211003						
40021101	魔女之爱	t_role_skillunlock_40021101	211	2	2	1000			8	8			11	6										
40021101	魔女之爱	t_role_skillunlock_40021101	211	3	3	500			7	12			11	12										
40021101	魔女之爱	t_role_skillunlock_40021101	211	4	4	500			9	1500			11	18										
40021101	魔女之爱	t_role_skillunlock_40021101	211	5	5	200			10	0	30		11	25										
40021201	完美演出	t_role_skillunlock_40021201	212	1	1	1000			6	65			11	2			12	212003						
40021201	完美演出	t_role_skillunlock_40021201	212	2	2	1000			8	8			11	6										
40021201	完美演出	t_role_skillunlock_40021201	212	3	3	500			7	12			11	12										
40021201	完美演出	t_role_skillunlock_40021201	212	4	4	500			9	1500			11	18										
40021201	完美演出	t_role_skillunlock_40021201	212	5	5	200			10	0	30		11	25										
40021301	降低SAN值	t_role_skillunlock_40021301	213	1	1	1000			6	65			11	2			12	213003						
40021301	降低SAN值	t_role_skillunlock_40021301	213	2	2	1000			8	8			11	5										
40021301	降低SAN值	t_role_skillunlock_40021301	213	3	3	500			7	12			11	10										
40021301	降低SAN值	t_role_skillunlock_40021301	213	4	4	500			9	1600			11	15										
40021301	降低SAN值	t_role_skillunlock_40021301	213	5	5	200			10	0	30		11	20										
40021401	空间撕裂	t_role_skillunlock_40021401	214	1	1	1000			6	65			11	2			12	214003						
40021401	空间撕裂	t_role_skillunlock_40021401	214	2	2	1000			8	8			11	5										
40021401	空间撕裂	t_role_skillunlock_40021401	214	3	3	500			7	12			11	10										
40021401	空间撕裂	t_role_skillunlock_40021401	214	4	4	500			9	1600			11	15										
40021401	空间撕裂	t_role_skillunlock_40021401	214	5	5	200			10	0	30		11	20										
40021501	境界颠覆	t_role_skillunlock_40021501	215	1	1	1000			6	65			11	2			12	215003						
40021501	境界颠覆	t_role_skillunlock_40021501	215	2	2	1000			8	8			11	5										
40021501	境界颠覆	t_role_skillunlock_40021501	215	3	3	500			7	12			11	10										
40021501	境界颠覆	t_role_skillunlock_40021501	215	4	4	500			9	1600			11	15										
40021501	境界颠覆	t_role_skillunlock_40021501	215	5	5	200			10	0	30		11	20										
40040101	红莲审判	t_role_skillunlock_40040101	401	1	1	1000			6	65			11	2			12	401003						
40040101	红莲审判	t_role_skillunlock_40040101	401	2	2	1000			8	8			11	5										
40040101	红莲审判	t_role_skillunlock_40040101	401	3	3	500			7	12			11	10										
40040101	红莲审判	t_role_skillunlock_40040101	401	4	4	500			9	1600			11	15										
40040101	红莲审判	t_role_skillunlock_40040101	401	5	5	200			10	5	30		11	20										
40040201	见缝插针	t_role_skillunlock_40040201	402	1	1	1000			6	65			11	2			12	402003						
40040201	见缝插针	t_role_skillunlock_40040201	402	2	2	1000			8	8			11	5										
40040201	见缝插针	t_role_skillunlock_40040201	402	3	3	500			7	12			11	10										
40040201	见缝插针	t_role_skillunlock_40040201	402	4	4	500			9	1600			11	15										
40040201	见缝插针	t_role_skillunlock_40040201	402	5	5	200			10	0	30		11	20										
40040301	天使之光	t_role_skillunlock_40040301	403	1	1	1000			6	65			11	2			12	403003						
40040301	天使之光	t_role_skillunlock_40040301	403	2	2	1000			8	8			11	5										
40040301	天使之光	t_role_skillunlock_40040301	403	3	3	500			7	12			11	10										
40040301	天使之光	t_role_skillunlock_40040301	403	4	4	500			9	1600			11	15										
40040301	天使之光	t_role_skillunlock_40040301	403	5	5	200			10	0	30		11	20										
40040401	红鹤之舞	t_role_skillunlock_40040401	404	1	1	1000			6	65			11	2			12	404003						
40040401	红鹤之舞	t_role_skillunlock_40040401	404	2	2	1000			8	8			11	5										
40040401	红鹤之舞	t_role_skillunlock_40040401	404	3	3	500			7	12			11	10										
40040401	红鹤之舞	t_role_skillunlock_40040401	404	4	4	500			9	1600			11	15										
40040401	红鹤之舞	t_role_skillunlock_40040401	404	5	5	200			10	0	30		11	20										
40040501	时间流动	t_role_skillunlock_40040501	405	1	1	1000			6	65			11	2			12	405003						
40040501	时间流动	t_role_skillunlock_40040501	405	2	2	1000			8	8			11	5										
40040501	时间流动	t_role_skillunlock_40040501	405	3	3	500			7	12			11	10										
40040501	时间流动	t_role_skillunlock_40040501	405	4	4	500			9	1600			11	15										
40040501	时间流动	t_role_skillunlock_40040501	405	5	5	200			10	0	30		11	20										
40040601	亡命追击	t_role_skillunlock_40040601	406	1	1	1000			6	65			11	2			12	406003						
40040601	亡命追击	t_role_skillunlock_40040601	406	2	2	1000			8	8			11	5										
40040601	亡命追击	t_role_skillunlock_40040601	406	3	3	500			7	12			11	10										
40040601	亡命追击	t_role_skillunlock_40040601	406	4	4	500			9	1600			11	15										
40040601	亡命追击	t_role_skillunlock_40040601	406	5	5	200			10	0	30		11	20										
40040001	风王结界	t_role_skillunlock_40040001	400	1	1	1000			6	65			11	2			12	400003						
40040001	风王结界	t_role_skillunlock_40040001	400	2	2	1000			8	8			11	6										
40040001	风王结界	t_role_skillunlock_40040001	400	3	3	500			7	12			11	10										
40040001	风王结界	t_role_skillunlock_40040001	400	4	4	500			9	1700			11	15										
40040001	风王结界	t_role_skillunlock_40040001	400	5	5	200			10	3	30		11	20										
40050001	攻略之鬼	t_role_skillunlock_40050001	500	1	1	1000			6	65			11	2			12	500003						
40050001	攻略之鬼	t_role_skillunlock_40050001	500	2	2	1000			8	8			11	6										
40050001	攻略之鬼	t_role_skillunlock_40050001	500	3	3	500			7	12			11	10										
40050001	攻略之鬼	t_role_skillunlock_40050001	500	4	4	500			9	1700			11	15										
40050001	攻略之鬼	t_role_skillunlock_40050001	500	5	5	200			10	2	30		11	20										
40050101	Dalet	t_role_skillunlock_40050101	501	1	1	1000			6	65			11	2			12	501003						
40050101	Dalet	t_role_skillunlock_40050101	501	2	2	1000			8	8			11	6										
40050101	Dalet	t_role_skillunlock_40050101	501	3	3	500			7	12			11	10										
40050101	Dalet	t_role_skillunlock_40050101	501	4	4	500			9	1700			11	15										
40050101	Dalet	t_role_skillunlock_40050101	501	5	5	200			10	0	30		11	20										
40050201	魔术刻印	t_role_skillunlock_40050201	502	1	1	1000			6	65			11	2			12	502003						
40050201	魔术刻印	t_role_skillunlock_40050201	502	2	2	1000			8	8			11	6										
40050201	魔术刻印	t_role_skillunlock_40050201	502	3	3	500			7	12			11	10										
40050201	魔术刻印	t_role_skillunlock_40050201	502	4	4	500			9	1700			11	15										
40050201	魔术刻印	t_role_skillunlock_40050201	502	5	5	200			10	0	30		11	20										
40050301	进击斩杀	t_role_skillunlock_40050301	503	1	1	1000			6	65			11	2			12	503003						
40050301	进击斩杀	t_role_skillunlock_40050301	503	2	2	1000			8	8			11	6										
40050301	进击斩杀	t_role_skillunlock_40050301	503	3	3	500			7	12			11	10										
40050301	进击斩杀	t_role_skillunlock_40050301	503	4	4	500			9	1700			11	15										
40050301	进击斩杀	t_role_skillunlock_40050301	503	5	5	200			10	0	30		11	20										
40050401	本我黯甲	t_role_skillunlock_40050401	504	1	1	1000			6	65			11	2			12	504003						
40050401	本我黯甲	t_role_skillunlock_40050401	504	2	2	1000			8	8			11	6										
40050401	本我黯甲	t_role_skillunlock_40050401	504	3	3	500			7	12			11	10										
40050401	本我黯甲	t_role_skillunlock_40050401	504	4	4	500			9	1700			11	15										
40050401	本我黯甲	t_role_skillunlock_40050401	504	5	5	200			10	0	30		11	20										
40050501	白音模式	t_role_skillunlock_40050501	505	1	1	2000			6	80			12	505003										
40050501	白音模式	t_role_skillunlock_40050501	505	2	2	2000			8	8														
40050501	白音模式	t_role_skillunlock_40050501	505	3	3	2000			7	12														
40050501	白音模式	t_role_skillunlock_40050501	505	4	4	2000			9	1700														
40050501	白音模式	t_role_skillunlock_40050501	505	5	5	2000			10	0	30													
