INT	STRING	STRING	INT	INT	INT	INT	INT	INT
201002	冒险精神	t_jibanex_name_201002	24	55	46		9	5
201003	危险游戏	t_jibanex_name_201003	27	66	49	58	6	5
202001	制裁之力	t_jibanex_name_202001	35	43			7	5
202002	魔法克星	t_jibanex_name_202002	36	24	26		9	5
202003	王的庇护	t_jibanex_name_202003	42	52	69	23	6	5
203001	魅影迷踪	t_jibanex_name_203001	49	26			10	5
203002	枪炮玫瑰	t_jibanex_name_203002	52	36	41		6	5
203003	斩妖除魔	t_jibanex_name_203003	100	57	35	23	8	5
204001	战斗之心	t_jibanex_name_204001	55	46			7	5
204002	守护者	t_jibanex_name_204002	57	67	26		8	5
204003	复苏之风	t_jibanex_name_204003	62	27	52	58	6	5
205001	毁灭者	t_jibanex_name_205001	66	4			7	5
205002	开天辟地	t_jibanex_name_205002	67	42	41		6	5
205003	虔诚之心	t_jibanex_name_205003	69	53	62	37	9	5
206001	尊严之战	t_jibanex_name_206001	101	4			7	5
206002	温柔的心	t_jibanex_name_206002	27	62	43		6	5
206003	姐与妹	t_jibanex_name_206003	36	69	24	23	8	5
207001	指点江山	t_jibanex_name_207001	49	46			7	5
207002	刀之道	t_jibanex_name_207002	53	100	23		6	5
207003	惺惺相惜	t_jibanex_name_207003	57	36	101	4	10	5
208001	死亡使命	t_jibanex_name_208001	66	37			7	5
208002	坚不可摧	t_jibanex_name_208002	69	53	58		8	5
208003	红之蔷薇	t_jibanex_name_208003	24	27	36	46	10	5
209001	双刃剑	t_jibanex_name_209001	35	23			7	5
209002	天真无邪	t_jibanex_name_209002	42	66	37		6	5
209003	红白之境	t_jibanex_name_209003	52	55	49	26	10	5
211001	健步如飞	t_jibanex_name_211001	55	37			10	5
211002	空手白刃	t_jibanex_name_211002	62	42	46		8	5
211003	心如止水	t_jibanex_name_211003	100	27	53	41	6	5
212001	星光闪耀	t_jibanex_name_212001	101	4			7	5
212002	气定神闲	t_jibanex_name_212002	35	67	43		8	5
212003	决死意志	t_jibanex_name_212003	49	57	66	26	6	5
301001	惣流	t_jibanex_name_301001	212	101			7	5
301002	王牌驾驶员	t_jibanex_name_301002	211	52	42		9	5
301003	第二适格者	t_jibanex_name_301003	202	27	49	62	6	5
302001	梦幻之星	t_jibanex_name_302001	209	69			7	5
302002	人生导师	t_jibanex_name_302002	212	36	67		9	5
302003	莫塔维亚	t_jibanex_name_302003	203	42	53	101	6	5
303001	豪放不羁	t_jibanex_name_303001	207	49			10	5
303002	最强电击使	t_jibanex_name_303002	201	67	55		6	5
303003	常盘台的王牌	t_jibanex_name_303003	211	53	57	62	8	5
304001	狭间	t_jibanex_name_304001	205	55			7	5
304002	匡威战士	t_jibanex_name_304002	202	57	66		8	5
304003	请你为我唱首歌	t_jibanex_name_304003	212	101	27	36	6	5
305001	始祖	t_jibanex_name_305001	211	57			7	5
305002	灵魂容器	t_jibanex_name_305002	203	62	49		6	5
305003	第一适格者	t_jibanex_name_305003	201	101	52	27	9	5
306001	新的秩序	t_jibanex_name_306001	203	55			7	5
306002	龙族	t_jibanex_name_306002	204	62	59		6	5
306003	并肩作战	t_jibanex_name_306003	205	27	69	24	8	5
307001	楼观剑	t_jibanex_name_307001	201	24			7	5
307002	白楼剑	t_jibanex_name_307002	205	57	69		6	5
307003	西行樱花树	t_jibanex_name_307003	209	35	42	53	10	5
308001	从不彷徨	t_jibanex_name_308001	204	24			7	5
308002	从不困惑	t_jibanex_name_308002	207	66	49		8	5
308003	生死之境	t_jibanex_name_308003	206	42	67	35	10	5
309001	自由奔放	t_jibanex_name_309001	208	36			7	5
309002	五欲巫女	t_jibanex_name_309002	206	35	53		6	5
309003	八百万神的代言人	t_jibanex_name_309003	207	52	55	66	10	5
311001	必胜客披萨	t_jibanex_name_311001	206	24			10	5
311002	不老不死	t_jibanex_name_311002	209	101	49		8	5
311003	茜茜公主	t_jibanex_name_311003	208	35	36	55	6	5
312001	歌姬计划	t_jibanex_name_312001	202	35			7	5
312002	初音之日	t_jibanex_name_312002	208	66	24		8	5
312003	我来为你唱首歌	t_jibanex_name_312003	204	42	52	69	6	5
400001	荣誉	t_jibanex_name_400001	308	66			7	5
400002	理想乡	t_jibanex_name_400002	302	209	42		6	5
400003	若水庇护	t_jibanex_name_400003	301	212	205	8	10	5
401001	狂暴者	t_jibanex_name_401001	303	52			7	5
401002	破晓之光	t_jibanex_name_401002	306	201	57		6	5
401003	动如脱兔	t_jibanex_name_401003	307	204	208	62	10	5
402001	轻盈	t_jibanex_name_402001	305	62			7	5
402002	破茧	t_jibanex_name_402002	304	203	67		6	5
402003	表演	t_jibanex_name_402003	311	202	206	57	10	5
403001	王位	t_jibanex_name_403001	309	101			7	5
403002	白色骑士	t_jibanex_name_403002	312	211	35		6	5
403003	荣誉与骄傲	t_jibanex_name_403003	307	203	206	59	10	5
