INT	STRING	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT
10041	属性匹配	t_huiyi_sub_name_10041	1	九尾妖狐最近颜色变得越来越厉害，赤鬼王说自己的属性能力好像受到了九尾的影响，想拜托我调查一下，但我还是拒绝了，毕竟九尾不是我能招惹的	t_huiyi_sub_lang_10041	90010066	90010057				2	31	60	24									
10042	区别对待	t_huiyi_sub_name_10042	1	鬼巫女和青鬼王的剑术比拼是在我的监督下进行的，但是有所区别的是，青鬼王后面有一波非常整齐划一的青鬼拉拉队，真是醉了	t_huiyi_sub_lang_10042	90010067	90010042				2	32	60	24									
10043	捕食关系	t_huiyi_sub_name_10043	1	今天她俩差点儿又打起来，主要还是兔子脾气差了点，白蛇妖只是说了一句“蛇和兔子大概是捕食关系吧”，这兔子眼睛就气红了，不过她平时也是那个样子呢	t_huiyi_sub_lang_10043	90010059	90010052				2	3	60	24									
10044	趣味相投	t_huiyi_sub_name_10044	1	不出我所料，白蛇妖和雪女确实是一样的大小姐的作风，今天就撞见了她们四个在咖啡厅聊得很开心，嗯，这样说没什么问题	t_huiyi_sub_lang_10044	90010062	90010059				2	1	600	240									
10045	百合效应	t_huiyi_sub_name_10045	1	今天我从一群赤鬼的包围下救出了妖狐少女，貌似是妖狐少女要约赤鬼王出去逛街，一群赤鬼少女把她当情敌给围了。后来我打电话问，赤鬼王道歉了老半天…赤鬼王啊，你的族人们到底是什么爱好	t_huiyi_sub_lang_10045	90010057	90010055				2	4	60	24									
10046	似曾相识	t_huiyi_sub_name_10046	1	不知道是我的错觉还是怎样，我总觉得在以前的所生活的那个时空中见过强袭天使，当然只是个coser；不过强袭天使也跟我说似乎在哪儿见过我的样子	t_huiyi_sub_lang_10046	90010100	90010006				2	32	60	24									
10047	不忍下手	t_huiyi_sub_name_10047	1	青鬼王向欲望君主交付了自己的一份欲望，结果欲望君主拒绝了，她悄悄地跟我说，那是她这辈子见过的一份最纯洁的情感，实在是不忍心吞噬	t_huiyi_sub_lang_10047	90010053	90010042				2	31	60	24									
10048	斩击无效	t_huiyi_sub_name_10048	1	今天喝酒的时候才知道，鬼巫女和白蛇妖是不打不相识，本来猎鬼者鬼巫女对着白蛇妖就是一顿乱砍，没想到什么作用都没有	t_huiyi_sub_lang_10048	90010067	90010059				2	32	60	24									
10049	审美偏差	t_huiyi_sub_name_10049	1	月兔总是和钢妹互相吐槽对方的审美，今天本来好好的我们一起打星际UNO，打着打着俩妹子就打起来了	t_huiyi_sub_lang_10049	90010101	90010052				2	31	60	24									
10050	友情陪练	t_huiyi_sub_name_10050	1	九尾的尾巴活动极其灵活而且有极强的自愈能力，在斩击天使刚完成改造的时候就靠九尾的尾巴当靶子做陪练，我呢，当技术观察员咯	t_huiyi_sub_lang_10050	90010066	90010008				2	31	60	24									
10051	分外眼红	t_huiyi_sub_name_10051	1	赤鬼王和我说，之前她不小心误伤过月兔，结果每次碰见这家伙都会被追着打，从来没有想到过兔子这么记仇	t_huiyi_sub_lang_10051	90010057	90010052				2	1	600	240									
10052	呆萌少女	t_huiyi_sub_name_10052	1	我和斩击天使走在路上的时候，突然妖狐少女跑过来问斩击天使她的伞是在哪里买的…她的兵器真的长得很像伞么？少女你的脑回路真是清奇啊	t_huiyi_sub_lang_10052	90010055	90010008				2	3	60	24									
10053	速度对决	t_huiyi_sub_name_10053	1	座敷童子是传统妖怪中跑的最快的，而改造后的斩击天使的冲刺能力又是不容小视的，她们让我当裁判来比一下到底是谁最快，结果我刚喊预备的时候两个人就都没影了	t_huiyi_sub_lang_10053	90010069	90010008				2	5	60	24									
10054	礼仪老师	t_huiyi_sub_name_10054	1	雪女姐姐是钢妹的礼仪老师，自从接受教育以后钢妹彬彬有礼的程度已经超出了我想象，这还是今天晚上一起出去喝斯达巴克的时候发现的	t_huiyi_sub_lang_10054	90010101	90010062				2	31	60	24									
10055	大众情人	t_huiyi_sub_name_10055	1	赤鬼王今天单独把我拉出来说这事儿，好像是机械女仆喜欢她，她有些苦恼。就在她和我说这些的时候，不远的地方一大堆青鬼依旧是看情敌一样地看着我	t_huiyi_sub_lang_10055	90010057	90010035				2	3	60	24									
10056	天使之家	t_huiyi_sub_name_10056	1	这三个小姐姐凑在一起的时候真的一群可爱的活宝，但是今天跟她们静静聊很久以后才知道，是战争毁了她们三个，然而此时作战已经成为了她们的使命	t_huiyi_sub_lang_10056	90010006	90010007	90010008			3	3	90	36									
10057	欲望附加	t_huiyi_sub_name_10057	1	欲望君主试图将欲望的转化机制强行附加到我们几个身上，从而使我们能够将自己的欲望转化为自己的战斗力，结果，除了欲望君主自己变强了一些以外，没有什么特殊的变化	t_huiyi_sub_lang_10057	90010027	90010036	90010053	90010100		4	4	120	48									
10058	武器交流	t_huiyi_sub_name_10058	1	钢妹突然心血来潮开了个武器交流小集会，在场的各位纷纷亮出了自己的武器，唯独座敷童子甩了一桌子钞票，我们纷纷膝盖一软就跪下叫爸爸了	t_huiyi_sub_lang_10058	90010100	90010101	90010069	90010006		4	1	1200	480									
10059	敏捷比拼	t_huiyi_sub_name_10059	1	白蛇妖跟我打赌说她的敏捷度绝对是最强的，然后我请来了黑子和她做敏捷度比拼，后来白蛇哭着跟我说，这家伙的移动根本没有轨迹可言	t_huiyi_sub_lang_10059	90010214	90010059				2	4	210	84									
10060	混沌领域	t_huiyi_sub_name_10060	1	我和机甲将军在办事的路上就遭遇到了由混沌而来的奈亚酱…萌是很萌，这样出现会吓人一跳的啊	t_huiyi_sub_lang_10060	90010213	90010027				2	1	2100	840									
10061	发育问题	t_huiyi_sub_name_10061	1	话说和童子以及火女一起吃饭的时候被童子突然轰走，后来火女跟我说在那之后童子整个晚上都在和她请教增加上围的方法——然而那只是个人发育问题	t_huiyi_sub_lang_10061	90010404	90010069				2	5	210	84									
10062	忠犬预定	t_huiyi_sub_name_10062	1	今天带着女仆长去欲望君主那里做欲望鉴定，毕竟那些多余的或者是有害的欲望可以被回收起来，然而君主是这样说的：“只是一条忠犬罢了”	t_huiyi_sub_lang_10062	90010405	90010053				2	3	210	84									
10063	神之兵器	t_huiyi_sub_name_10063	1	钢妹跟我抱怨说她试图寻找实现zero的武器杀伤力一样的武器实现方式，但是zero的那把武器实在是太特殊了，恐怕真的是天赐神兵吧	t_huiyi_sub_lang_10063	90010206	90010101				2	32	210	84									
10064	似曾相识	t_huiyi_sub_name_10064	1	今天西部丛林又着火了，好像是夜魇找灼眼公主的测试我远远地看见一道火光照亮整个丛林，估计用不了多长时间我又要提着慰问品去医院看夜魇去了	t_huiyi_sub_lang_10064	90010401	90010049				2	3	210	84									
10065	邪神之争	t_huiyi_sub_name_10065	1	赤鬼王总是和奈亚酱争论谁才是最具偶像气质的邪神，结果在我和一群赤鬼的围观下，赤鬼王被奈亚酱的CQC制服了，不过她之后被一群赤鬼围殴就是另外一回事了	t_huiyi_sub_lang_10065	90010213	90010057				2	3	210	84									
10066	机械之心	t_huiyi_sub_name_10066	1	这是我头一次和两个具有机械之心的少女坐在一起，实在是难以想象她们俩的本体居然是机械呢，不过要是强调这点的话黑色射手的脸色会非常不好看就是了	t_huiyi_sub_lang_10066	90010204	90010035				2	1	2100	840									
10067	跳弹	t_huiyi_sub_name_10067	1	冲击准确度测试的时候，试验是让双枪少女用训练弹向斩击天使进行射击，然后斩击天使利用冲刺躲避子弹，结果是子弹都被斩击天使的武器弹开了	t_huiyi_sub_lang_10067	90010406	90010008				2	32	210	84									
10068	兔女郎	t_huiyi_sub_name_10068	1	今天陪月兔去女仆长的咖啡厅，女仆长看见月兔瞬间就激动不已想把月兔改造为兔女郎…然后我今天擦了一天的鼻血	t_huiyi_sub_lang_10068	90010405	90010052				2	1	2100	840									
10069	扇式攻击	t_huiyi_sub_name_10069	1	我还问幽灵公主为什么白蛇妖的扇子要比她的大很多呢，直到幽灵公主给我亮了她的肱二头肌，我就已经什么都不想问了	t_huiyi_sub_lang_10069	90010208	90010059				2	31	210	84									
10070	太过招摇	t_huiyi_sub_name_10070	1	帮初音战士跑后台的时候，见到了同样在帮忙的白蛇妖，她说其实她也是初音战士的狂热粉丝，一开始想征询当初音战士的伴舞来着，不过她的身形实在是太过招摇了，并不合适当伴舞	t_huiyi_sub_lang_10070	90010212	90010059				2	32	210	84									
10071	投掷者	t_huiyi_sub_name_10071	1	冲击力实习中我发现了这两个人有相似的独特之处：斩击天使依靠冲刺提供强大动能，而波波利完全依靠投掷，后来我详细问了一下波波利，人家说只是懒得跑而已	t_huiyi_sub_lang_10071	90010205	90010008				2	4	210	84									
10072	错误打击	t_huiyi_sub_name_10072	1	给红白送香油钱的时候遇到了前来拜访的九尾妖狐，原来很早之前有一场异变红白怀疑是九尾做的，结果就是一通甩锅砸碗之后洗清误会，俩人还成了不错的朋友	t_huiyi_sub_lang_10072	90010209	90010066				2	4	210	84									
10073	道具选择	t_huiyi_sub_name_10073	1	帮鬼巫女擦刀的时候才知道，她一开始在武器选择的时候还咨询过斗人少尉，但是斗人少尉的武器速度太慢，而且更多时候是用来防御的，所以才选择了现在这把看起来略微单薄的刀	t_huiyi_sub_lang_10073	90010202	90010067				2	5	210	84									
10074	暗中资助	t_huiyi_sub_name_10074	1	今天在ATM机看到座敷童子在往C.C.的账户上汇款，原来在C.C.永生的过程中总是会出现一些经济危机，全靠同样永生的座敷童子资助她	t_huiyi_sub_lang_10074	90010211	90010069				2	5	210	84									
10075	欲望过强	t_huiyi_sub_name_10075	1	欲望君主很早就想吸收一点黑子对炮姐那种疯狂追求的欲望了，在我和黑子沟通之后欲望君主跑去衡量了一下，发现这种级别的能量是她完全无法驾驭的，所以这件事情也就告一段落	t_huiyi_sub_lang_10075	90010214	90010053				2	31	210	84									
10076	剑术觉悟	t_huiyi_sub_name_10076	1	妖妄之梦这个死傲娇想要通过我和女武神进行对决，然后我在今天安排的这场对决中眼睁睁地看着一群女武神分身围观女武神痛揍妖梦…	t_huiyi_sub_lang_10076	90010207	90010024				2	1	2100	840									
10077	神似杂耍	t_huiyi_sub_name_10077	1	今天进行的是强袭天使的准确度测试，而测试者我选择了相对容易一些的女仆长，女仆长明显放水了，因为每次强袭天使都能接住飞刀，甚至反抡回去	t_huiyi_sub_lang_10077	90010405	90010006				2	32	210	84									
10078	纯属作死	t_huiyi_sub_name_10078	1	在经历数次穿越之后我觉得我这种莫名其妙的穿越和阿紫的能力有关系，我去找她的时候没想到“紫妈”两字刚说出口，我就晕过去了，再醒过来已经是医院里面了	t_huiyi_sub_lang_10078	90010215	90010100				2	31	210	84									
10079	强制教学	t_huiyi_sub_name_10079	1	星际议会强制所有女性都要进行家政学习的决定真是让人摸不着头脑，不过在这里看着欲望君主放下架子、强袭天使放下镰刀，一同接受女仆长和机械女仆的家政实训也是有意思的很~	t_huiyi_sub_lang_10079	90010405	90010006	90010053			3	1	2400	960									
10080	天使军团	t_huiyi_sub_name_10080	1	强袭天使和炮击天使在此之前可是从来没有见过一卡螺丝的，到底还是在我一次心血来潮邀请她们一起吃饭的时候，这两位才头一次见到真正的战斗天使	t_huiyi_sub_lang_10080	90010403	90010007	90010006			3	4	240	96									
10081	暗之欲望	t_huiyi_sub_name_10081	1	这就是欲望君主悄悄跟我说的几个真正有毁灭世界的欲望的人，赤鬼王会这样我真的是不能理解，鬼巫女据说是因为感觉世上的鬼无法除净还不如一起毁灭了算了…至于黑色射手，一个传奇英雄会这样…还好欲望君主已经完全封存了这些欲望	t_huiyi_sub_lang_10081	90010204	90010067	90010057			3	31	240	96									
10082	粉丝协会	t_huiyi_sub_name_10082	1	初音战士的粉丝分布在整个星系的各个角落，即便是正派角色女武神，或者是高高在上的青鬼王，或者典型的无势力属性的月兔，都是初音战士的粉丝…不过呢，听歌是一回事，打仗就是另外一回事了，这些战士们不会因为喜欢偶像而抵触和偶像作战的	t_huiyi_sub_lang_10082	90010212	90010042	90010024			3	5	240	96									
10083	冥与欲	t_huiyi_sub_name_10083	1	我今天算是干了一件好事，幽灵公主和阿紫委托欲望君主掠取亡者转世的欲望，希望更多的亡者留在冥界，这个被我及时制止了，她们这么做的原因居然只是因为幽灵公主收拾家里的人手不太够	t_huiyi_sub_lang_10083	90010208	90010215	90010053			3	5	150	60	10	0.5	0.2						
10084	唯一交流	t_huiyi_sub_name_10084	1	我是今天凑在一起的时候才知道红白或者是机械女仆都是能跟波波利进行热烈的交流的，看来即便是话很少的人也是憋着一肚子的话要说的，只是说的对象你没有注意到而已	t_huiyi_sub_lang_10084	90010209	90010205	90010035			3	4	150	60	9	0.5	0.2						
10085	冥界茶会	t_huiyi_sub_name_10085	1	每隔一段时间，幽冥公主就会举行冥界茶会，每次邀请的人都有很多不同但是肯定都会邀请我去，不过这次邀请来的黄金神王实在是和冥界的景色格格不入	t_huiyi_sub_lang_10085	90010406	90010208	90010036			3	1	1500	600	6	0.5	0.2						
10086	秩序荣耀	t_huiyi_sub_name_10086	1	今天这三位约我出来的时候，我还以为我做了什么错事，毕竟这三位都是相当正派的人：无条件斩鬼之人，拯救了一个星球的英雄，和一个和平的结界的缔造者与守护者	t_huiyi_sub_lang_10086	90010209	90010204	90010067			3	5	150	60	10	0.5	0.2						
10087	火焰冲击	t_huiyi_sub_name_10087	1	灼眼公主拜托我和一些炮击系的战斗人员进行联系，她想从炮姐这种加速型和炮击天使这种炮台型两种方式上获得一些借鉴，毕竟她应该也可以实现将火焰冲击出去吧，只是还没有找到合适的载体	t_huiyi_sub_lang_10087	90010203	90010401	90010007			3	3	150	60	8	0.5	0.2						
10088	元气少女	t_huiyi_sub_name_10088	1	我也不知道老同学什么时候认识的两个反差这么大的人，一起玩的时候，活泼到爆炸级别的奈亚酱和一声不吭面无表情的波波利完全是鲜明的对比，不过很明显按本体讲还是奈亚酱更可怕吧	t_huiyi_sub_lang_10088	90010213	90010205	90010101			3	4	150	60	9	0.5	0.2						
10089	战斗展开	t_huiyi_sub_name_10089	1	九尾的尾巴可能是被那群妹子玩坏了吧，每次战斗的时候自己的九条尾巴都会像是孔雀开屏一样展开，虽然有些尴尬但是看起来却很美	t_huiyi_sub_lang_10089	90010215	90010205	90010066	90010006		4	1	1800	720	6	0.5	0.2						
10090	刚性熏染	t_huiyi_sub_name_10090	1	三竹立毕竟是这一群妹子中最有女汉子情怀的妹子（不可否认的是三竹立确实很可爱），她觉得妖狐少女柔弱的外表下隐藏着一颗狂暴的灵魂，所以还是保持现在的状态比较和谐一些	t_huiyi_sub_lang_10090	90010503	90010055				2	3	990	396	8	0.5	0.2						
10091	斩击教程	t_huiyi_sub_name_10091	1	骑士女皇为斩击天使量身定做的冲击教程，到底还是骑士女皇自己亲身试用了一下斩击天使的武器，考虑到和自己武器的差异性，最终认为还是身体上的位移来弥补武器冲击力不足是最有效的办法	t_huiyi_sub_lang_10091	90010400	90010008				2	31	990	396	33	0.5	0.2						
10092	网络主播	t_huiyi_sub_name_10092	1	蝴蝶觉得九尾的条件不错，所以就拉着九尾一起在这里的Xoutube上搞起的网络主播的活动，结果一时间她们成了现在整个星际空间中知名度仅次于初音战士的组合，到底还是喜欢蝴蝶的更多一些	t_huiyi_sub_lang_10092	90010504	90010066				2	5	990	396	10	0.5	0.2						
10093	异瞳协会	t_huiyi_sub_name_10093	1	这是由几位眼睛颜色很有特色的少女们组成的联合会，灼眼公主和狂姗的眼睛就不必多说了，月兔同学平时可能看不出来什么异样，但是到五月份或是其他的被逼急的情况下，月兔妹子的眼睛颜色会变得比灼眼公主的还要通红	t_huiyi_sub_lang_10093	90010501	90010401	90010052			3	1	9300	3720	6	1	0.4	28	5	0			
10094	谜之契合	t_huiyi_sub_name_10094	1	妖妄之梦只是为了逃避一天到晚都在不停做饭的生活才跑出来和她们一起聚会的，本以为骑士女皇会是一个很严肃的人，没想到整个下午她都在给骑士女皇做吃的——“头一回找到了比主子还能吃的了！”	t_huiyi_sub_lang_10094	90010400	90010207	90010008			3	5	930	372	10	1	0.4	26	5	0			
10095	羸弱之流	t_huiyi_sub_name_10095	1	无论是妖狐少女还是阿丝奈，甚至是年龄不详的阿紫，平时给我的感觉就是那种“好想守护她们啊”的感觉，但是实际上这三位的战斗力在整个星际空间内排名都是相当靠前的啊，还说不定到底是谁守护谁呢	t_huiyi_sub_lang_10095	90010500	90010215	90010055			3	31	930	372	33	1	0.4	25	5	0			
10096	色系不搭	t_huiyi_sub_name_10096	1	女武神向我寻求制作红色的时装的可能性，今天她们几个一起出行，结果只有她一个人的服装色系最扎眼…我又不是裁缝，所以我给她的建议是，下回再一起逛街的时候叫上20个分身，这样扎眼的就不是自己了	t_huiyi_sub_lang_10096	90010504	90010404	90010209			3	1	10800	4320	6	1	0.4	26	6	0			
10097	相比之下	t_huiyi_sub_name_10097	1	“阿丝奈小姐最端庄大气啦，然而火女看起来实在是太暴露了，本来想找初音战士要一张签名照的，可是旁边的红白一边打着哈欠一边催茶，还说上慢了不给钱，真是的”	t_huiyi_sub_lang_10097	90010500	90010404	90010209	90010212	90010035	5	5	1290	516	10	1	0.4	26	7	0			
10098	选择困难	t_huiyi_sub_name_10098	1	如果让我在阿丝奈和狂姗中选一个…如果让我在阿丝奈和狂姗中选一个…如果让我在阿丝奈和狂姗中选一个…	t_huiyi_sub_lang_10098	90010501	90010500	90010100			3	1	19500	7800	6	1	0.4	23	8	0			
10099	不安的兔	t_huiyi_sub_name_10099	1	谁会想到奇怪的声音搞得平时对声音相当敏感的月兔有些神经衰弱了，于是乎很多朋友就凑在一起为月兔想办法，最后还是初音战士给她做了一个超大号定制降噪耳机，一切安好	t_huiyi_sub_lang_10099	90010502	90010503	90010211	90010212	90010052	5	1	18300	7320	6	2	0.8	25	11	0			
20001	腰缠万贯	t_huiyi_sub_name_20001	2	座敷童子的技能副作用已经体现出来了，我一直在想尽办法阻挠红白把她强行掳走，可是她自己却是一脸无所谓的样子	t_huiyi_sub_lang_20001	90010069					1	32	30	12									
