INT	INT	INT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT
11	75	6	1	11000	2	550	29	550	7	30	30	30		
12	80	6	1	12000	2	600	29	600	7	50	30	50		
13	85	6	1	13000	2	650	29	650	7	50	30	50		
14	90	6	1	14000	2	700	29	700	7	50	30	50		
15	95	6	1	15000	2	750	29	750	7	50	30	50		
16	100	6	1	16000	2	800	29	800	7	80	30	80		
17	105	6	1	17000	2	850	29	850	7	81	30	81		
18	110	6	1	18000	2	900	29	900	7	82	30	82		
19	115	6	1	19000	2	950	29	950	7	83	30	83		
20	120	6	1	20000	2	1000	29	1000	7	84	30	84		
21	125	6	1	21000	2	1050	29	1050	7	85	30	85		
22	130	6	1	22000	2	1100	29	1100	7	86	30	86		
23	135	6	1	23000	2	1150	29	1150	7	87	30	87		
24	140	6	1	24000	2	1200	29	1200	7	88	30	88		
25	145	6	1	25000	2	1250	29	1250	7	89	30	89		
26	150	6	1	26000	2	1300	29	1300	7	90	30	90		
1	1	7	35	5	36	5								
2	2	7	35	10	36	10								
3	3	7	35	15	36	15								
4	4	7	35	20	36	20								
5	5	7	35	25	36	25								
6	6	7	35	30	36	30								
7	7	7	35	35	36	35								
8	8	7	35	40	36	40								
9	9	7	35	45	36	45								
10	10	7	35	50	36	50								
11	11	7	35	55	36	55								
12	12	7	35	60	36	60								
13	13	7	35	65	36	65								
14	14	7	35	70	36	70								
15	15	7	35	75	36	75								
