INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
9	2	1	加尔副团长	t_class_name_9	ts_bot133	0	ts_tx133	0	t_class_desc_9	1	1	1	2530	421.46	85.54	17.47	290	59.78	12.63	2.68	139	32.19	5.45	1.04	164	25.71	5.32	1.19	157	24.51	5.49	1.09	1	10000900																																				
10	2	1	强盗头目	t_class_name_10	ts_bot107	0	ts_tx107	0	t_class_desc_10	1	2	1	2048	509.69	82.18	19.55	332	69.97	14.58	2.52	153	26.87	5.35	1.03	156	25.99	6.03	1.05	153	25.94	5.78	1.15	3	10001000																																				
11	1	1	强盗战士	t_class_name_11	ts_bot110	0	ts_tx110	0	t_class_desc_11	1	3	1	2222	557.02	101.35	22.67	280	58	10.54	1.91	177	28.46	6.76	1.38	141	25.88	4.64	1.1	113	22	5.27	1.06	1	10001100																																				
12	1	1	强盗精英	t_class_name_12	ts_bot111	0	ts_tx111	0	t_class_desc_12	1	1	1	2876	543.34	110.97	20.04	222	44.62	9.65	1.98	160	33.56	6.2	1.24	129	24.7	5.66	0.96	144	25.86	4.84	1	1	10001200																																				
16	1	1	铁拳机甲	t_class_name_16	ts_bot143	0	ts_tx143	0	t_class_desc_16	1	2	1	2629	512.07	114.89	18.07	239	45.79	9.78	1.93	160	34.05	7.15	1.21	115	27.05	4.95	1.13	131	29.11	4.93	0.99	1	10001600																																				
17	1	1	钻头机甲	t_class_name_17	ts_bot141	0	ts_tx141	0	t_class_desc_17	1	3	1	2421	442.89	100.42	20.72	235	56.96	10.43	2.08	140	32.7	5.77	1.1	126	29.04	5.65	0.95	136	29.11	5.81	1.13	3	10001700																																				
22	1	1	歼灭者	t_class_name_22	ts_bot144	0	ts_tx144	0	t_class_desc_22	1	2	1	2911	576.16	108.15	20.74	260	48.22	9.07	2.32	164	33.87	6.47	1.35	120	26.31	5.73	1.16	122	27.58	5.61	0.94	9	10002200																																				
23	2	1	阿米巴	t_class_name_23	ts_bot117	0	ts_tx117	tspy_zm20	t_class_desc_23	2	6	2	2305	442.9	101.61	19.47	340	67.12	13.34	2.64	146	32.95	6.06	1.29	153	27.46	5.27	1.21	145	30.6	6.5	1.25	1	10002300		20002301	20002302				30070001	30060002	30220003																50											
24	1	2	女武神	t_class_name_24	ts_bot146	0	ts_tx146	tspy_zm21	t_class_desc_24	3	7	3	3643	615.49	116.59	28.49	324	69.87	13.93	2.26	171	39.2	8.7	1.77	164	29.9	6.43	1.35	175	34.1	6.9	1.24	1	10002400		20002401	20002402	20002403			30300001	30150002	30220003	30120004	30060005														400						24005		24007			100
25	3	1	魔能士兵	t_class_name_25	ts_bot25	0	ts_tx025	0	t_class_desc_25	1	2	1	2642	417.71	100.62	18.86	294	61.47	14.47	2.58	148	30.07	5.8	1.34	182	31.58	6.19	1.45	109	19.49	3.94	0.96	10	10002500																																				
26	1	1	苍破将军	t_class_name_26	ts_bot139	0	ts_tx139	tspy_zm22	t_class_desc_26	2	6	2	2869	466.56	98.15	20.74	257	46.61	11.56	1.87	158	34.74	7.17	1.16	145	23.07	4.76	1.15	138	29.14	4.74	1.01	1	10002600		20002601	20002602				30300001	30150002	30220003																50											
27	1	1	机甲将军	t_class_name_27	ts_bot27	0	ts_tx027	tspy_zm01	t_class_desc_27	3	9	3	3292	712.63	141.01	29.31	365	65.59	11.51	2.66	205	44.59	6.92	1.59	168	35.29	7.17	1.46	167	27.26	6.65	1.21	1	10002700		20002701	20002702	20002703			30300001	30120002	30220003	30060004	30120005														400						27005		27007			100
28	3	1	巨像守卫	t_class_name_28	ts_bot112	0	ts_tx112	0	t_class_desc_28	1	2	1	1778	447.84	78.17	17.09	285	54.75	11.59	2.25	123	24.48	5.18	1.12	165	30.51	5.75	1.12	137	27.21	7.01	1.32	12	10002800																																				
29	2	1	黄金剑士	t_class_name_29	ts_bot34	0	ts_tx034	0	t_class_desc_29	1	2	1	2499	484.7	98.35	18.03	365	70.61	11.24	2.3	133	26.61	4.94	1.21	162	33.08	6.48	1.11	128	27.45	5.27	1.26	1	10002900																																				
31	3	1	魔能尖兵	t_class_name_31	ts_bot31	0	ts_tx031	0	t_class_desc_31	1	3	1	2085	354.72	79.14	15.33	260	66.03	10.39	2.3	123	29.36	5.42	1.01	177	29.58	6.32	1.28	142	29.43	5.92	1.42	10	10003100																																				
32	1	2	魔灵	t_class_name_32	ts_bot39	0	ts_tx039	0	t_class_desc_32	1	3	1	2817	483.43	116.75	22.57	265	45.69	10.9	1.9	157	35.64	5.86	1.35	126	23.27	5.57	0.89	111	28.04	5.18	0.94	1	10003200																																				
33	2	1	黑铁剑士	t_class_name_33	ts_bot33	0	ts_tx033	0	t_class_desc_33	1	2	1	2320	436.87	94.9	18.37	348	56.58	12.32	2.74	161	27.85	5.43	1.22	131	30.09	4.97	1.09	154	29.84	6.3	1.02	1	10003300																																				
35	3	2	机械女仆	t_class_name_35	ts_bot35	0	ts_tx035	tspy_zm23	t_class_desc_35	3	8	3	2637	528.89	87.8	22.17	335	71.23	16.43	2.55	145	33.67	6.81	1.15	189	37.11	9.11	1.43	217	37.2	8.01	1.67	10	10003500		20003501	20003502	20003503			30100001	30110002	30220003	30070004	30180005														400						35005		35007			100
36	1	1	黄金神王	t_class_name_36	ts_bot115	0	ts_tx115	tspy_zm02	t_class_desc_36	3	9	3	3502	661.66	126.27	24.59	340	56.89	12.44	2.72	179	45.49	6.96	1.71	141	36.06	6.67	1.1	178	35.21	5.89	1.45	8	10003600		20003601	20003602	20003603			30300001	30140002	30220003	30210004	30200005														400						36005		36007			100
37	1	1	白银神王	t_class_name_37	ts_bot127	0	ts_tx127	tspy_zm24	t_class_desc_37	2	4	2	2869	516.42	115.54	17.92	277	51.4	8.78	2.13	160	27.35	6.92	1.23	126	25.45	4.66	0.91	125	28.93	5.62	0.88	1	10003700		20003701	20003702				30300001	30150002	30220003																50											
38	3	1	法老王	t_class_name_38	ts_bot38	0	ts_tx038	0	t_class_desc_38	1	3	1	1744	459.53	80.77	18.31	302	56.36	10.39	2.22	135	28.19	5.26	1.1	160	33.17	7.19	1.28	136	28.7	6.57	1.25	15	10003800																																				
40	3	2	花妖	t_class_name_40	ts_bot40	0	ts_tx040	0	t_class_desc_40	1	3	1	2476	453.66	90.76	20.69	277	64.25	11.76	2.23	161	27.89	5.78	1.19	176	29.57	5.75	1.26	118	24.89	4.93	0.89	10	10004000																																				
41	2	2	青鬼	t_class_name_41	ts_bot216	0	ts_tx216	0	t_class_desc_41	2	6	2	2443	441.7	86.11	19.09	283	70.04	14.67	2.76	127	26.42	5.97	1.29	151	25.94	5.07	1.03	135	30.51	5.46	1.29	1	10004100		20004101	20004102				30070001	30170002	30220003																50											
42	2	2	青鬼王	t_class_name_42	ts_bot217	0	ts_tx217	tspy_zm25	t_class_desc_42	3	7	3	3165	513.05	123.43	21.93	439	79.02	14.33	3.66	166	39.4	6.57	1.46	178	31.45	6.52	1.4	179	32.73	8.24	1.47	1	10004200		20004201	20004202	20004203			30070001	30110002	30220003	30070004	30160005														400						42005		42007			100
43	1	2	幸运兔	t_class_name_43	ts_bot43	0	ts_tx043	tspy_zm26	t_class_desc_43	2	5	2	2927	451.41	110.33	21.57	263	58.74	9.33	1.94	156	34.99	7.03	1.3	141	29.34	5.28	1.13	133	22.18	4.74	0.93	10	10004300		20004301	20004302				30300001	30140002	30220003																50											
45	3	1	猫妖	t_class_name_45	ts_bot45	0	ts_tx045	0	t_class_desc_45	1	1	1	1849	423.51	85.39	15.78	284	49.79	10.27	2.43	142	29.05	4.88	0.91	143	35.26	5.74	1.41	180	28.61	6.68	1.43	10	10004500																																				
46	2	2	猫又	t_class_name_46	ts_bot221	0	ts_tx221	tspy_zm27	t_class_desc_46	2	4	2	2286	509.73	98.86	20.74	341	71.17	12.39	2.27	127	27.05	5.95	1.12	139	29.06	5.14	1.25	159	26.76	5.53	1.09	1	10004600		20004601	20004602				30070001	30060002	30220003																50											
47	3	1	乌鸦	t_class_name_47	ts_bot47	0	ts_tx047	0	t_class_desc_47	1	3	1	2188	353.69	76.83	16.71	309	65.54	10.29	2.4	128	22.91	5.35	1.16	174	28.13	5.78	1.15	163	34.64	6.21	1.38	12	10004700																																				
48	1	1	雪怪	t_class_name_48	ts_bot48	0	ts_tx048	0	t_class_desc_48	1	3	1	2431	466.32	117.39	20.87	280	54.17	9.85	1.76	180	30.95	5.96	1.41	110	28.57	5.55	0.91	118	25.94	5.49	1.12	1	10004800																																				
49	2	2	夜魇	t_class_name_49	ts_bot220	0	ts_tx220	tspy_zm28	t_class_desc_49	3	8	3	3081	562.25	103.08	25.06	346	78.92	18.01	2.89	157	32.25	7.41	1.45	167	32.98	7.56	1.62	188	35.13	6.76	1.28	1	10004900		20004901	20004902	20004903			30070001	30060002	30220003	30200004	30110005														400						49005		49007			100
50	2	2	青狐	t_class_name_50	ts_bot222	0	ts_tx222	0	t_class_desc_50	1	2	1	2617	500.6	93.12	16.99	319	62.44	13.44	2.23	128	32.26	6.23	1.25	160	25.08	5.11	1.32	137	27.53	5.23	1.18	3	10005000																																				
51	3	2	巫女	t_class_name_51	ts_bot51	0	ts_tx051	0	t_class_desc_51	1	1	1	1987	408.85	80.55	14.52	310	59.04	9.99	2.58	125	28.12	5.04	0.98	147	27.58	5.77	1.19	170	36.64	6.9	1.19	17	10005100																																				
52	3	2	月兔	t_class_name_52	ts_bot219	0	ts_tx219	tspy_zm29	t_class_desc_52	3	8	3	2385	586.04	108.45	21.52	348	72.62	16.55	2.6	157	35.83	6.28	1.29	195	43.09	7.22	1.62	177	34.9	7.54	1.81	17	10005200		20005201	20005202	20005203			30100001	30170002	30220003	30070004	30060005														400						52005		52007			100
53	2	2	欲望君主	t_class_name_53	ts_bot53	0	ts_tx053	tspy_zm30	t_class_desc_53	3	7	3	2935	638.39	122.24	24.37	345	77.57	17.58	3.22	171	34.41	7.15	1.31	192	32.72	7.47	1.61	170	40.68	6.85	1.63	1	10005300		20005301	20005302	20005303			30070001	30170002	30220003	30070004	30200005														400						53005		53007			100
55	2	2	妖狐少女	t_class_name_55	ts_bot208	0	ts_tx208	tspy_zm31	t_class_desc_55	3	9	3	2812	502	116.15	23.52	351	73.51	18.35	2.87	195	31.36	6.49	1.64	161	36.27	7.17	1.55	176	39.06	8.06	1.46	1	10005500		20005501	20005502	20005503			30070001	30110002	30220003	30120004	30200005														400						55005		55007			100
56	1	2	天狗	t_class_name_56	ts_bot56	0	ts_tx056	0	t_class_desc_56	1	1	1	2366	493.58	89.81	18.68	236	56.19	10.06	2.23	181	27.54	6.45	1.12	126	25.6	5.27	1.07	133	29.37	4.95	1.17	10	10005600																																				
57	1	2	赤鬼王	t_class_name_57	ts_bot218	0	ts_tx218	tspy_zm32	t_class_desc_57	3	8	3	3515	674.72	127.51	22.36	315	60.12	13.22	2.35	181	36.13	7.18	1.82	136	31.35	6.99	1.22	168	29.95	5.67	1.14	1	10005700		20005701	20005702	20005703			30300001	30210002	30220003	30060005	30070004														400						57005		57007			100
58	1	2	赤鬼	t_class_name_58	ts_bot223	0	ts_tx223	0	t_class_desc_58	2	5	2	2387	578.25	104.44	23.19	271	51.5	10.12	2.12	144	29.61	5.52	1.34	134	27.47	4.7	0.9	121	25.75	5.25	0.96	1	10005800		20005801	20005802				30300001	30150002	30220003																50											
59	3	2	白蛇妖	t_class_name_59	ts_bot214	0	ts_tx214	tspy_zm33	t_class_desc_59	3	8	3	2831	439.07	102.91	23.27	347	69.88	15.36	3.3	153	35.46	5.85	1.16	216	43.27	8.02	1.72	193	41.95	6.89	1.68	10	10005900		20005901	20005902	20005903			30100001	30110001	30220003	30100004	30070004														400						59005		59007			100
60	3	2	青蛇妖	t_class_name_60	ts_bot213	0	ts_tx213	0	t_class_desc_60	1	1	1	2115	370	89.69	15.35	274	65.25	10.68	2.31	134	24.5	5.41	1.12	173	27.93	7.09	1.1	182	34.01	6.77	1.21	15	10006000																																				
61	2	1	雪孩	t_class_name_61	ts_bot61	0	ts_tx061	0	t_class_desc_61	1	2	1	2160	490.29	89.66	15.8	303	60.01	12.41	2.28	148	26.18	5.6	1.29	140	29.17	6.25	1.07	136	30.52	4.94	1.24	1	10006100																																				
62	3	2	雪女	t_class_name_62	ts_bot62	0	ts_tx062	tspy_zm34	t_class_desc_62	3	7	3	2458	524.68	87.96	18.62	399	61.98	15.77	2.56	145	31.51	6.46	1.14	212	43.67	9.06	1.53	200	37.6	8.57	1.73	17	10006200		20006201	20006202	20006203			30100001	30100002	30220003	30060004	30170005														400						62005		62007			100
66	3	2	九尾妖狐	t_class_name_66	ts_bot212	0	ts_tx212	tspy_zm38	t_class_desc_66	3	9	3	2558	439.7	99.17	22.18	342	73.96	13.83	2.83	167	29.29	6.46	1.14	210	43.06	8.67	1.41	206	39.47	7.26	1.81	17	10006600		20006601	20006602	20006603			30100001	30160002	30220003	30160004	30070005														400		66001	66002	66003	66004	66005		66007			100
67	2	2	鬼巫女	t_class_name_67	ts_bot211	0	ts_tx211	tspy_zm35	t_class_desc_67	3	7	3	2724	597.92	98.92	23.41	426	71.7	15.05	2.9	201	33.87	7.68	1.38	191	39.71	6.74	1.24	155	35.5	8.22	1.4	1	10006700		20006701	20006702	20006703			30070001	30160002	30220003	30100004	30110005														400						67005		67007			100
68	2	2	祸巫女	t_class_name_68	ts_bot209	0	ts_tx209	0	t_class_desc_68	1	1	1	2297	475.07	91.09	18.13	282	64.54	11.95	2.22	164	30.75	5.72	1.15	136	32.56	5.25	1.3	125	32.72	4.99	1.01	1	10006800																																				
69	3	2	座敷童子	t_class_name_69	ts_bot215	0	ts_tx215	tspy_zm36	t_class_desc_69	3	7	3	2875	546.43	120.53	26.76	451	90.29	15.12	2.82	182	40.7	7.6	1.47	203	44.26	7.21	1.51	133	28.78	6.24	1.09	10	10006900		20006901	20006902	20006903			30100001	30100002	30220003	30060004	30190005														400						69005		69007			100
201	3	2	明日少尉	t_class_name_201	ts_bot912	0	ts_t05	tspy_zm05	t_class_desc_201	4	10	4	3519	659.48	109.62	21.76	369	75.23	17.6	3.8	197	43.14	8.2	1.5	256	46.66	8.77	2.2	251	45.99	8.7	1.9	13	10020100	40020101	20020101	20020102	20020103	20020104	20020105	30100001	30100002	30220003	30170004	30070005	30160006	31010007	31190008	31180009	31070010	31010011	30290012	31010013	30290014	30020015	50030001	50030002	50030003	1000		201001	201002	201003	201004	201005	201006	201007	201008		50
202	1	2	斗人	t_class_name_202	ts_bot125	0	ts_tx125	tspy_zm06	t_class_desc_202	4	10	4	3546	664.61	149.71	27.06	401	87.43	16	3.22	234	49.75	8.47	1.94	175	43.67	6.68	1.45	215	38.55	7.26	1.58	8	10020200	40020201	20020201	20020202	20020203	20020204	20020205	30300001	30120002	30220003	30300004	30060005	30120006	31070007	31010008	30300009	30010010	31290011	30010012	31290013	30020014	30010015	50010001	50010002	50010003	1000		202001	202002	202003	202004	202005	202006	202007	202008		50
203	3	2	炮姐	t_class_name_203	ts_bot906	0	ts_tx131	tspy_zm07	t_class_desc_203	4	10	4	3183	678.83	116.34	22.5	437	75.39	19.33	3.56	170	43.17	8.52	1.53	206	47.36	9.58	1.91	215	47.49	9.54	1.78	10	10020300	40020301	20020301	20020302	20020303	20020304	20020305	30100001	30110002	30220003	30200004	30160005	31160006	31110007	31190008	31060009	31200010	31290011	30020012	31010013	30290014	30020015	50030001	50030002	50030003	1000		203001	203002	203003	203004	203005	203006	203007	203008		50
204	2	2	黑色射手	t_class_name_204	ts_bot903	0	ts_tx136	tspy_zm08	t_class_desc_204	4	10	4	3813	725.01	147.88	27.08	447	98.24	22.02	3.54	191	42.22	9.8	1.56	186	49.61	7.6	1.74	201	38.05	7.79	1.75	8	10020400	40020401	20020401	20020402	20020403	20020404	20020405	30070001	30070002	30220003	30110004	30200005	30070006	31020007	30200008	30110009	30020010	31020011	30020012	31010013	30290014	30010015	50020001	50020002	50020003	1000		204001	204002	204003	204004	204005	204006	204007	204008		50
205	2	2	波波利	t_class_name_205	ts_bot904	0	ts_tx129	tspy_zm09	t_class_desc_205	4	10	4	3352	665.76	132.58	23.73	432	90.17	21.05	3.67	206	42.1	8.89	1.87	205	42.13	9.1	1.96	211	47.48	8.68	1.77	3	10020500	40020501	20020501	20020502	20020503	20020504	20020505	30070001	30110002	30220003	30190004	30070005	31190006	30200007	31070008	31190009	30020010	31020011	30290012	31010013	30290014	30020015	50020001	50020002	50020003	1000		205001	205002	205003	205004	205005	205006	205007	205008		50
206	1	2	zero	t_class_name_206	ts_bot908	0	ts_tx135	tspy_zm10	t_class_desc_206	4	10	4	3411	784.42	166.15	31.48	402	84.82	15.91	3.07	260	51.69	9.12	1.68	187	33.05	7.37	1.44	175	43.93	8.1	1.42	1	10020600	40020601	20020601	20020602	20020603	20020604	20020605	30300001	30210002	30220003	30060004	30070005	31120006	30180007	30060008	31160009	30300010	31290011	30010012	31290013	30020014	30010015	50010001	50010002	50010003	1000		206001	206002	206003	206004	206005	206006	206007	206008		50
207	2	2	妖妄之梦	t_class_name_207	ts_bot911	0	ts_tx130	tspy_zm11	t_class_desc_207	4	10	4	3244	675.98	157.59	31.14	446	105.94	21.34	3.52	190	46.31	8.26	1.65	233	45.59	9.19	1.95	210	43.46	8.88	1.6	1	10020700	40020701	20020701	20020702	20020703	20020704	20020705	30070001	30070002	30220003	30060004	30120005	31170006	31060007	31020008	30010009	30200010	31020011	30010012	31010013	30290014	30020015	50020001	50020002	50020003	1000		207001	207002	207003	207004	207005	207006	207007	207008		50
208	3	2	幽灵公主	t_class_name_208	ts_bot910	0	ts_tx134	tspy_zm12	t_class_desc_208	4	10	4	3690	791	160.91	29.33	452	93.23	16.69	3.67	241	52.96	10.87	1.85	208	51.11	8.85	1.67	170	29.7	5.91	1.5	11	10020800	40020801	20020801	20020802	20020803	20020804	20020805	30100001	30170002	30220003	30200004	30170005	31180006	31060007	31110008	31210009	31300010	31010011	30010012	31290013	30290014	30010015	50030001	50030002	50030003	1000		208001	208002	208003	208004	208005	208006	208007	208008		50
209	3	2	红白	t_class_name_209	ts_bot909	0	ts_tx126	tspy_zm13	t_class_desc_209	4	10	4	2639	543.9	111.52	24.13	488	73.74	16.62	3.81	209	39.24	7.27	1.67	252	49.4	9.58	2.1	208	44.34	9.75	1.78	17	10020900	40020901	20020901	20020902	20020903	20020904	20020905	30100001	30160002	30220003	30110004	30070005	31010006	31170007	31180008	31190009	31180010	31210011	30010012	31010013	30290014	30020015	50030001	50030002	50030003	1000		209001	209002	209003	209004	209005	209006	209007	209008		50
211	3	2	C.C	t_class_name_211	ts_bot204	0	ts_tx204	tspy_zm03	t_class_desc_211	4	10	4	3966	681.45	134.25	31.75	484	97.68	20.32	4.22	259	40.88	9.33	1.84	253	54.33	8.26	2.12	170	29.51	6.22	1.43	11	10021100	40021101	20021101	20021102	20021103	20021104	20021105	30100001	30170002	30220003	30190004	30200005	31180006	31170007	31060008	31300009	31170010	31290011	30020012	31020013	30290014	30010015	50030001	50030002	50030003	1000		211001	211002	211003	211004	211005	211006	211007	211008		50
212	2	2	初音战士	t_class_name_212	ts_bot205	0	ts_tx205	tspy_zm39	t_class_desc_212	4	10	4	3042	758.43	155.39	26.94	537	88.91	21.84	4.24	205	45.12	9.49	1.66	245	41.41	7.77	1.76	193	42.58	8.25	1.52	1	10021200	40021201	20021201	20021202	20021203	20021204	20021205	30070001	30190002	30220003	30110004	30070005	31020006	31110007	31160008	31060009	30010010	31010011	30020012	31290013	30290014	30020015	50020001	50020002	50020003	1000		212001	212002	212003	212004	212005	212006	212007	212008		50
213	1	2	奈亚酱	t_class_name_213	ts_nyaruko	0	ts_xtx213	tspy_zm213	t_class_desc_213	4	11	4	6205	1017.47	237.39	49.75	500	122.55	22.06	4.17	357	80.04	13.9	2.95	251	64.22	12.67	2.61	259	54.64	12.16	2.27	4	10021300	40021301	20021301	20021302	20021303	20021304	20021305	30300001	30180002	30220003	30300004	30060005	30080006	31290007	30060008	31180009	30290010	31010011	30010012	31290013	30020014	30010015	50010001	50010002	50010003	1000		213001	213002	213003	213004	213005	213006	213007	213008		20
214	3	2	黑子	t_class_name_214	ts_shirai	0	ts_xtx214	tspy_zm214	t_class_desc_214	4	11	4	4778	910.61	196.82	38.39	664	132.37	26.75	4.59	325	53.05	11.68	2.45	372	75.52	13.74	2.93	308	76.41	14.72	2.53	14	10021400	40021401	20021401	20021402	20021403	20021404	20021405	30100001	30160002	30220003	30200004	30070005	30100006	31110007	31200008	30020009	30200010	31020011	30010012	31010013	30290014	30020015	50030001	50030002	50030003	1000		214001	214002	214003	214004	214005	214006	214007	214008		20
215	1	2	紫妈	t_class_name_215	ts_yukari	0	ts_xtx215	tspy_zm215	t_class_desc_215	4	11	4	6503	985.12	232.15	44.74	503	107.49	24.72	4.05	389	78.41	15.02	3.11	246	64.56	10.44	2.44	311	64.11	10.81	2.07	7	10021500	40021501	20021501	20021502	20021503	20021504	20021505	30300001	30180002	30220003	30300004	30060005	30300006	31210007	31170008	30020009	30010010	31290011	30020012	31020013	30290014	30010015	50010001	50010002	50010003	1000		215001	215002	215003	215004	215005	215006	215007	215008		20
401	2	2	灼眼公主	t_class_name_401	ts_bot905	0	ts_tx145	tspy_zm14	t_class_desc_401	4	11	4	4982	918.1	212.97	46.3	638	144.56	25.85	6	363	65.68	14.32	2.38	360	59.08	11.13	2.86	283	70.29	13.25	2.76	9	10040100	40040101	20040101	20040102	20040103	20040104	20040105	30070001	30110002	30220003	30160004	30070005	31160006	31110007	30020008	30010009	31020010	31200011	30020012	31290013	30020014	30010015	50020001	50020002	50020003	1200		401001	401002	401003	401004	401005	401006	401007	401008		20
402	3	2	魔法剑客	t_class_name_402	ts_bot207	0	ts_tx207	tspy_zm40	t_class_desc_402	4	11	4	5275	1027.93	189.43	41.24	625	114.34	28.64	4.49	248	50.01	12.67	2.17	338	79.3	14.51	2.96	362	63.68	13.51	3.16	10	10040200	40040201	20040201	20040202	20040203	20040204	20040205	30100001	30180002	30220003	30070004	30160005	31020006	31010007	30110008	31020009	31180010	31290011	30020012	31010013	30290014	30020015	50030001	50030002	50030003	1200		402001	402002	402003	402004	402005	402006	402007	402008		20
403	1	2	一卡螺丝	t_class_name_403	ts_bot224	0	ts_tx224	tspy_zm41	t_class_desc_403	4	11	4	5336	1005.14	253.28	50.69	557	124.61	25.96	5.01	355	74.01	14.22	3.12	256	60.39	11.05	2.1	271	50.58	11.36	2.43	11	10040300	40040301	20040301	20040302	20040303	20040304	20040305	30300001	30210002	30220003	30070004	30110005	31190006	30010007	30070008	30290009	30010010	31290011	30010012	31290013	30020014	30010015	50010001	50010002	50010003	1200		403001	403002	403003	403004	403005	403006	403007	403008		20
