INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
2025	波波利碎片	2		2	30010205	5	0	50	5	125	1
2026	zero碎片	2		2	30010206	5	0	50	5	125	1
2027	妖妄之梦碎片	2		2	30010207	5	0	50	5	125	1
2028	幽灵公主碎片	2		2	30010208	5	0	50	5	125	1
2029	红白碎片	2		2	30010209	5	0	50	5	125	1
2030	C.C碎片	2		2	30010211	5	0	50	5	125	1
2031	初音战士碎片	2		2	30010212	5	0	50	5	125	1
2032	奈亚酱碎片	2		2	30010213	5	0	50	5	150	1
2033	黑子碎片	2		2	30010214	5	0	50	5	150	1
2034	紫妈碎片	2		2	30010215	5	0	50	5	150	1
2035	灼眼公主碎片	2		2	30010401	5	0	30	5	150	1
2036	魔剑士碎片	2		2	30010402	5	0	30	5	150	1
2037	一卡螺丝碎片	2		2	30010403	5	0	30	5	150	1
2038	火女碎片	2		2	30010404	5	0	30	5	150	1
2039	女仆长碎片	2		2	30010405	5	0	30	5	150	1
2040	双枪少女碎片	2		2	30010406	5	0	30	5	150	1
2041	骑士女皇碎片	2	60	2	30010400	5	0	30	5	250	1
2042	阿丝奈碎片	2	60	2	30010500	5	0	30	5	250	1
2043	狂姗碎片	2	60	2	30010501	5	0	30	5	250	1
2044	召唤师碎片	2	60	2	30010502	5	0	30	5	250	1
2045	三竹立碎片	2	60	2	30010503	5	0	30	5	250	1
2046	明日少尉碎片	2		2	30010201	10	0	50	2	300	1
2047	斗人碎片	2		2	30010202	10	0	50	2	300	1
2048	炮姐碎片	2		2	30010203	10	0	50	2	300	1
2049	黑色射手碎片	2		2	30010204	10	0	50	2	300	1
2050	波波利碎片	2		2	30010205	10	0	50	2	300	1
2051	zero碎片	2		2	30010206	10	0	50	2	300	1
2052	妖妄之梦碎片	2		2	30010207	10	0	50	2	300	1
2053	幽灵公主碎片	2		2	30010208	10	0	50	2	300	1
2054	红白碎片	2		2	30010209	10	0	50	2	300	1
2055	C.C碎片	2		2	30010211	10	0	50	2	300	1
2056	初音战士碎片	2		2	30010212	10	0	50	2	300	1
2057	奈亚酱碎片	2		2	30010213	10	0	50	2	360	1
2058	黑子碎片	2		2	30010214	10	0	50	2	360	1
2059	紫妈碎片	2		2	30010215	10	0	50	2	360	1
2060	灼眼公主碎片	2		2	30010401	10	0	30	2	360	1
2061	魔剑士碎片	2		2	30010402	10	0	30	2	360	1
2062	一卡螺丝碎片	2		2	30010403	10	0	30	2	360	1
2063	火女碎片	2		2	30010404	10	0	30	2	360	1
2064	女仆长碎片	2		2	30010405	10	0	30	2	360	1
2065	双枪少女碎片	2		2	30010406	10	0	30	2	360	1
2066	骑士女皇碎片	2	60	2	30010400	10	0	30	2	600	1
2067	阿丝奈碎片	2	60	2	30010500	10	0	30	2	600	1
2068	狂姗碎片	2	60	2	30010501	10	0	30	2	600	1
2069	召唤师碎片	2	60	2	30010502	10	0	30	2	600	1
2070	三竹立碎片	2	60	2	30010503	10	0	30	2	600	1
