INT	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT
10205	裂空手枪	t_equip_name_10205	2	1	icon_jflan_wp	1	1000	0	2	240	2	48	11	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
10206	玄铁镰刀	t_equip_name_10206	2	1	icon_hmlan_wp	1	1000	0	2	240	2	48	11	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
10301	精金巨剑	t_equip_name_10301	3	1	icon_zb_wq003c	2	5000	0	2	360	2	72	11	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
10302	秘银之枪	t_equip_name_10302	3	1	icon_zb_wq001c	2	5000	0	2	360	2	72	11	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
10303	无双之光	t_equip_name_10303	3	1	icon_zb_wq002c	2	5000	0	2	360	2	72	11	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
10304	幻影之锤	t_equip_name_10304	3	1	icon_ym_wp	2	5000	0	2	360	2	72	11	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
10305	封灵手枪	t_equip_name_10305	3	1	icon_jf_wp	2	5000	0	2	360	2	72	11	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
10306	暗影镰刀	t_equip_name_10306	3	1	icon_hm_wp	2	5000	0	2	360	2	72	11	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
10401	永恒巨剑	t_equip_name_10401	4	1	icon_zb_wq003d	3	20000	0	2	480	2	96	11	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
10402	晶铸之枪	t_equip_name_10402	4	1	icon_zb_wq001d	3	20000	0	2	480	2	96	11	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
10403	闪电之光	t_equip_name_10403	4	1	icon_zb_wq002d	3	20000	0	2	480	2	96	11	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
10404	炽光之锤	t_equip_name_10404	4	1	icon_ymjin_wp	3	20000	0	2	480	2	96	11	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
10405	雷鸣手枪	t_equip_name_10405	4	1	icon_jfjin_wp	3	20000	0	2	480	2	96	11	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
10406	混元镰刀	t_equip_name_10406	4	1	icon_hmjin_wp	3	20000	0	2	480	2	96	11	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
10501	大天使之刃	t_equip_name_10501	5	1	icon_zb_wq001e	3	30000	40	2	600	2	120	11	1	1	400	2000	2	40	200	3	20	100	4	20	100	5	20	100
20101	狂野战甲	t_equip_name_20101	1	2	icon_zb_kj003a	0	80	0	1	1280	1	256	12	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
20102	钢化战甲	t_equip_name_20102	1	2	icon_zb_kj001a	0	80	0	1	1280	1	256	12	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
20103	极速战甲	t_equip_name_20103	1	2	icon_zb_kj002a	0	80	0	1	1280	1	256	12	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
20104	守护战甲	t_equip_name_20104	1	2	icon_ymlv_kj	0	80	0	1	1280	1	256	12	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
20105	疾风战甲	t_equip_name_20105	1	2	icon_jflv_kj	0	80	0	1	1280	1	256	12	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
20106	毁灭战甲	t_equip_name_20106	1	2	icon_hmlv_kj	0	80	0	1	1280	1	256	12	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
20201	活力战甲	t_equip_name_20201	2	2	icon_zb_kj003b	1	1000	0	1	2560	1	512	12	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
20202	合金战甲	t_equip_name_20202	2	2	icon_zb_kj001b	1	1000	0	1	2560	1	512	12	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
20203	迅影战甲	t_equip_name_20203	2	2	icon_zb_kj002b	1	1000	0	1	2560	1	512	12	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
20204	暮冰战甲	t_equip_name_20204	2	2	icon_ymlan_kj	1	1000	0	1	2560	1	512	12	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
20205	裂空战甲	t_equip_name_20205	2	2	icon_jflan_kj	1	1000	0	1	2560	1	512	12	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
20206	玄铁战甲	t_equip_name_20206	2	2	icon_hmlan_kj	1	1000	0	1	2560	1	512	12	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
20301	精金战甲	t_equip_name_20301	3	2	icon_zb_kj003c	2	5000	0	1	3840	1	768	12	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
20302	秘银战甲	t_equip_name_20302	3	2	icon_zb_kj001c	2	5000	0	1	3840	1	768	12	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
20303	无双战甲	t_equip_name_20303	3	2	icon_zb_kj002c	2	5000	0	1	3840	1	768	12	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
20304	幻影战甲	t_equip_name_20304	3	2	icon_ym_kj	2	5000	0	1	3840	1	768	12	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
20305	封灵战甲	t_equip_name_20305	3	2	icon_jf_kj	2	5000	0	1	3840	1	768	12	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
20306	暗影战甲	t_equip_name_20306	3	2	icon_hm_kj	2	5000	0	1	3840	1	768	12	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
20401	永恒战甲	t_equip_name_20401	4	2	icon_zb_kj003d	3	20000	0	1	5120	1	1024	12	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
20402	晶铸战甲	t_equip_name_20402	4	2	icon_zb_kj001d	3	20000	0	1	5120	1	1024	12	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
20403	闪电战甲	t_equip_name_20403	4	2	icon_zb_kj002d	3	20000	0	1	5120	1	1024	12	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
20404	炽光战甲	t_equip_name_20404	4	2	icon_ymjin_kj	3	20000	0	1	5120	1	1024	12	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
20405	雷鸣战甲	t_equip_name_20405	4	2	icon_jfjin_kj	3	20000	0	1	5120	1	1024	12	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
20406	混元战甲	t_equip_name_20406	4	2	icon_hmjin_kj	3	20000	0	1	5120	1	1024	12	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
20501	大天使战甲	t_equip_name_20501	5	2	icon_zb_kj001e	3	30000	40	1	6400	1	1280	12	1	1	400	2000	2	40	200	3	20	100	4	20	100	5	20	100
30101	狂野护手	t_equip_name_30101	1	3	icon_zb_st003a	0	80	0	3	80	3	16	16	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
30102	钢化护手	t_equip_name_30102	1	3	icon_zb_st001a	0	80	0	3	80	3	16	16	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
30103	极速护手	t_equip_name_30103	1	3	icon_zb_st002a	0	80	0	3	80	3	16	16	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
30104	守护护手	t_equip_name_30104	1	3	icon_ymlv_st	0	80	0	3	80	3	16	16	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
30105	疾风护手	t_equip_name_30105	1	3	icon_jflv_st	0	80	0	3	80	3	16	16	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
30106	毁灭护手	t_equip_name_30106	1	3	icon_hmlv_st	0	80	0	3	80	3	16	16	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
30201	活力护手	t_equip_name_30201	2	3	icon_zb_st003b	1	1000	0	3	160	3	32	16	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
30202	合金护手	t_equip_name_30202	2	3	icon_zb_st001b	1	1000	0	3	160	3	32	16	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
30203	迅影护手	t_equip_name_30203	2	3	icon_zb_st002b	1	1000	0	3	160	3	32	16	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
30204	暮冰护手	t_equip_name_30204	2	3	icon_ymlan_st	1	1000	0	3	160	3	32	16	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
30205	裂空护手	t_equip_name_30205	2	3	icon_jflan_st	1	1000	0	3	160	3	32	16	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
30206	玄铁护手	t_equip_name_30206	2	3	icon_hmlan_st	1	1000	0	3	160	3	32	16	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
30301	精金护手	t_equip_name_30301	3	3	icon_zb_st003c	2	5000	0	3	240	3	48	16	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
30302	秘银护手	t_equip_name_30302	3	3	icon_zb_st001c	2	5000	0	3	240	3	48	16	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
30303	无双护手	t_equip_name_30303	3	3	icon_zb_st002c	2	5000	0	3	240	3	48	16	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
30304	幻影护手	t_equip_name_30304	3	3	icon_ym_st	2	5000	0	3	240	3	48	16	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
30305	封灵护手	t_equip_name_30305	3	3	icon_jf_st	2	5000	0	3	240	3	48	16	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
30306	暗影护手	t_equip_name_30306	3	3	icon_hm_st	2	5000	0	3	240	3	48	16	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
30401	永恒护手	t_equip_name_30401	4	3	icon_zb_st003d	3	20000	0	3	320	3	64	16	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
30402	晶铸护手	t_equip_name_30402	4	3	icon_zb_st001d	3	20000	0	3	320	3	64	16	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
30403	闪电护手	t_equip_name_30403	4	3	icon_zb_st002d	3	20000	0	3	320	3	64	16	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
30404	炽光护手	t_equip_name_30404	4	3	icon_ymjin_st	3	20000	0	3	320	3	64	16	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
30405	雷鸣护手	t_equip_name_30405	4	3	icon_jfjin_st	3	20000	0	3	320	3	64	16	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
30406	混元护手	t_equip_name_30406	4	3	icon_hmjin_st	3	20000	0	3	320	3	64	16	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
30501	大天使护手	t_equip_name_30501	5	3	icon_zb_st001e	3	30000	40	3	400	3	80	16	1	1	400	2000	2	40	200	3	20	100	4	20	100	5	20	100
40101	狂野战靴	t_equip_name_40101	1	4	icon_zb_xz003a	0	80	0	4	80	4	16	17	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
40102	钢化战靴	t_equip_name_40102	1	4	icon_zb_xz001a	0	80	0	4	80	4	16	17	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
40103	极速战靴	t_equip_name_40103	1	4	icon_zb_xz002a	0	80	0	4	80	4	16	17	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
40104	守护战靴	t_equip_name_40104	1	4	icon_ymlv_xz	0	80	0	4	80	4	16	17	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
40105	疾风战靴	t_equip_name_40105	1	4	icon_jflv_xz	0	80	0	4	80	4	16	17	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
40106	毁灭战靴	t_equip_name_40106	1	4	icon_hmlv_xz	0	80	0	4	80	4	16	17	1	1	80	400	2	8	40	3	4	20	4	4	20	5	4	20
40201	活力战靴	t_equip_name_40201	2	4	icon_zb_xz003b	1	1000	0	4	160	4	32	17	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
40202	合金战靴	t_equip_name_40202	2	4	icon_zb_xz001b	1	1000	0	4	160	4	32	17	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
40203	迅影战靴	t_equip_name_40203	2	4	icon_zb_xz002b	1	1000	0	4	160	4	32	17	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
40204	暮冰战靴	t_equip_name_40204	2	4	icon_ymlan_xz	1	1000	0	4	160	4	32	17	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
40205	裂空战靴	t_equip_name_40205	2	4	icon_jflan_xz	1	1000	0	4	160	4	32	17	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
40206	玄铁战靴	t_equip_name_40206	2	4	icon_hmlan_xz	1	1000	0	4	160	4	32	17	1	1	160	800	2	16	80	3	8	40	4	8	40	5	8	40
40301	精金战靴	t_equip_name_40301	3	4	icon_zb_xz003c	2	5000	0	4	240	4	48	17	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
40302	秘银战靴	t_equip_name_40302	3	4	icon_zb_xz001c	2	5000	0	4	240	4	48	17	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
40303	无双战靴	t_equip_name_40303	3	4	icon_zb_xz002c	2	5000	0	4	240	4	48	17	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
40304	幻影战靴	t_equip_name_40304	3	4	icon_ym_xz	2	5000	0	4	240	4	48	17	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
40305	封灵战靴	t_equip_name_40305	3	4	icon_jf_xz	2	5000	0	4	240	4	48	17	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
40306	暗影战靴	t_equip_name_40306	3	4	icon_hm_xz	2	5000	0	4	240	4	48	17	1	1	240	1200	2	24	120	3	12	60	4	12	60	5	12	60
40401	永恒战靴	t_equip_name_40401	4	4	icon_zb_xz003d	3	20000	0	4	320	4	64	17	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
40402	晶铸战靴	t_equip_name_40402	4	4	icon_zb_xz001d	3	20000	0	4	320	4	64	17	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
40403	闪电战靴	t_equip_name_40403	4	4	icon_zb_xz002d	3	20000	0	4	320	4	64	17	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
40404	炽光战靴	t_equip_name_40404	4	4	icon_ymjin_xz	3	20000	0	4	320	4	64	17	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
40405	雷鸣战靴	t_equip_name_40405	4	4	icon_jfjin_xz	3	20000	0	4	320	4	64	17	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
40406	混元战靴	t_equip_name_40406	4	4	icon_hmjin_xz	3	20000	0	4	320	4	64	17	1	1	320	1600	2	32	160	3	16	80	4	16	80	5	16	80
40501	大天使战靴	t_equip_name_40501	5	4	icon_zb_xz001e	3	30000	40	4	400	4	80	17	1	1	400	2000	2	40	200	3	20	100	4	20	100	5	20	100
110300	至尊之剑	t_equip_name_110300	3	1	icon_zz_wp	2	1200	0	2	300	2	60	11	1	1	200	1000	2	20	100	3	20	100	4	10	50	5	10	50
120300	至尊战甲	t_equip_name_120300	3	2	icon_zz_kj	2	1200	0	1	3200	1	640	12	1	1	200	1000	2	20	100	3	20	100	4	10	50	5	10	50
130300	至尊护手	t_equip_name_130300	3	3	icon_zz_st	2	1200	0	3	200	3	40	16	1	1	200	1000	2	20	100	3	20	100	4	10	50	5	10	50
140300	至尊战靴	t_equip_name_140300	3	4	icon_zz_xz	2	1200	0	4	200	4	40	17	1	1	200	1000	2	20	100	3	20	100	4	10	50	5	10	50
